pass_a,pass_b,commute,ab_path,ba_path,details
instcombine,simplifycfg,true,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\instcombine__then__simplifycfg.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\simplifycfg__then__instcombine.ll,
instcombine,early-cse,true,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\instcombine__then__early-cse.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\early-cse__then__instcombine.ll,
instcombine,gvn,true,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\instcombine__then__gvn.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\gvn__then__instcombine.ll,
instcombine,loop-simplify,true,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\instcombine__then__loop-simplify.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\loop-simplify__then__instcombine.ll,
instcombine,loop-rotate,false,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\instcombine__then__loop-rotate.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\loop-rotate__then__instcombine.ll,"in function main:
  in block %4 / %4:
    >   %5 = phi i32 [ %39, %37 ], [ 0, %.preheader ]
    <   %5 = phi i32 [ %39, %37 ], [ 0, %.preheader ]
  in block %37 / %37:
    <   %.lcssa = phi i32 [ %35, %._crit_edge ]"
instcombine,licm,false,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\instcombine__then__licm.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\licm__then__instcombine.ll,"in function main:
  in block %4 / %4:
    >   %5 = phi i32 [ %39, %37 ], [ 0, %.preheader ]
    <   %5 = phi i32 [ %39, %37 ], [ 0, %.preheader ]
  in block %37 / %37:
    <   %.lcssa = phi i32 [ %35, %._crit_edge ]"
instcombine,indvars,false,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\instcombine__then__indvars.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\indvars__then__instcombine.ll,"in function main:
  in block %4 / %4:
    >   %5 = phi i32 [ %39, %37 ], [ 0, %.preheader ]
    <   %5 = phi i32 [ %39, %37 ], [ 0, %.preheader ]
  in block %37 / %37:
    <   %.lcssa = phi i32 [ %35, %._crit_edge ]"
instcombine,loop-unroll,false,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\instcombine__then__loop-unroll.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\loop-unroll__then__instcombine.ll,"in function main:
  in block %5 / %5:
    >   %6 = phi i32 [ 2, %4 ], [ %31, %._crit_edge ]
    >   %7 = phi i32 [ 0, %4 ], [ %30, %._crit_edge ]
    <   %6 = phi i32 [ 2, %4 ], [ %31, %._crit_edge ]
    <   %7 = phi i32 [ 0, %4 ], [ %30, %._crit_edge ]
  in block %15 / %15:
    >   %.not31 = icmp samesign ugt i32 %6, 20480000
    >   br i1 %.not31, label %._crit_edge, label %.lr.ph.preheader
    <   %17 = shl nuw i32 %6, 1
    <   %.not31 = icmp samesign ugt i32 %17, 40960000
    <   br i1 %.not31, label %._crit_edge, label %.lr.ph.preheader
  in block %90 / %90:
    <   %.lcssa.2 = phi i32 [ %88, %._crit_edge.2 ]
  in block %._crit_edge:
    >   %exitcond = icmp eq i32 %31, 40960001
    >   br i1 %exitcond, label %32, label %5, !llvm.loop !9
    <   %exitcond = icmp eq i32 %6, 40960000
    <   br i1 %exitcond, label %32, label %5, !llvm.loop !9"
simplifycfg,early-cse,true,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\simplifycfg__then__early-cse.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\early-cse__then__simplifycfg.ll,
simplifycfg,gvn,true,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\simplifycfg__then__gvn.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\gvn__then__simplifycfg.ll,
simplifycfg,loop-simplify,false,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\simplifycfg__then__loop-simplify.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\loop-simplify__then__simplifycfg.ll,"in function main:
  in block %.preheader:
    >   %4 = phi i32 [ %39, %37 ], [ 0, %2 ]
    >   %5 = lshr exact i32 40960000, %4
    >   %6 = lshr exact i32 5120000, %4
    >   %7 = or disjoint i32 %6, 4
    >   %8 = zext nneg i32 %7 to i64
    >   call void @llvm.memset.p0.i64(ptr noundef nonnull align 4 dereferenceable(1) %3, i8 -1, i64 %8, i1 false)
    >   %9 = add nuw nsw i32 %5, 1
    >   %umax = call i32 @llvm.umax.i32(i32 %9, i32 3)"
simplifycfg,loop-rotate,false,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\simplifycfg__then__loop-rotate.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\loop-rotate__then__simplifycfg.ll,"in function main:
  in block %.preheader:
    >   %4 = phi i32 [ %39, %37 ], [ 0, %2 ]
    >   %5 = lshr exact i32 40960000, %4
    >   %6 = lshr exact i32 5120000, %4
    >   %7 = or disjoint i32 %6, 4
    >   %8 = zext nneg i32 %7 to i64
    >   call void @llvm.memset.p0.i64(ptr noundef nonnull align 4 dereferenceable(1) %3, i8 -1, i64 %8, i1 false)
    >   %9 = add nuw nsw i32 %5, 1
    >   %umax = call i32 @llvm.umax.i32(i32 %9, i32 3)"
simplifycfg,licm,false,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\simplifycfg__then__licm.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\licm__then__simplifycfg.ll,"in function main:
  in block %.preheader:
    >   %4 = phi i32 [ %39, %37 ], [ 0, %2 ]
    >   %5 = lshr exact i32 40960000, %4
    >   %6 = lshr exact i32 5120000, %4
    >   %7 = or disjoint i32 %6, 4
    >   %8 = zext nneg i32 %7 to i64
    >   call void @llvm.memset.p0.i64(ptr noundef nonnull align 4 dereferenceable(1) %3, i8 -1, i64 %8, i1 false)
    >   %9 = add nuw nsw i32 %5, 1
    >   %umax = call i32 @llvm.umax.i32(i32 %9, i32 3)"
simplifycfg,indvars,false,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\simplifycfg__then__indvars.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\indvars__then__simplifycfg.ll,"in function main:
  in block %.preheader:
    >   %4 = phi i32 [ %39, %37 ], [ 0, %2 ]
    >   %5 = lshr exact i32 40960000, %4
    >   %6 = lshr exact i32 5120000, %4
    >   %7 = or disjoint i32 %6, 4
    >   %8 = zext nneg i32 %7 to i64
    >   call void @llvm.memset.p0.i64(ptr noundef nonnull align 4 dereferenceable(1) %3, i8 -1, i64 %8, i1 false)
    >   %9 = add nuw nsw i32 %5, 1
    >   %umax = call i32 @llvm.umax.i32(i32 %9, i32 3)"
simplifycfg,loop-unroll,false,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\simplifycfg__then__loop-unroll.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\loop-unroll__then__simplifycfg.ll,"in function main:
  in block %.preheader:
    in instruction   br label %4 /   br label %4:
      successor %4 cannot be equivalent to %4; it's already equivalent to %.preheader
    >   call void @llvm.memset.p0.i64(ptr noundef nonnull align 4 dereferenceable(1) %3, i8 -1, i64 5120004, i1 false)
  in block %.lr.ph.preheader.2 / %.lr.ph.2:
    >   %75 = phi i32 [ %86, %85 ], [ %74, %72 ]
    >   %76 = lshr i32 %75, 5
    >   %77 = zext nneg i32 %76 to i64
    >   %78 = getelementptr inbounds nuw [4 x i8], ptr %3, i64 %77
    >   %79 = load i32, ptr %78, align 4
    >   %80 = and i32 %75, 31
    >   %81 = shl nuw i32 1, %80
    >   %82 = and i32 %79, %81
    >   %.not4.2 = icmp eq i32 %82, 0
    >   br i1 %.not4.2, label %85, label %83
    <   br label %.lr.ph.2
  in block %._crit_edge.loopexit.2 / %85:
    >   %86 = add nuw nsw i32 %75, %63
    >   %.not3.2 = icmp samesign ugt i32 %86, 10240000
    >   br i1 %.not3.2, label %._crit_edge.2, label %.lr.ph.2, !llvm.loop !7
    <   br label %._crit_edge.2
  in block %.lr.ph.preheader.1 / %.lr.ph.1:
    >   %46 = phi i32 [ %57, %56 ], [ %45, %43 ]
    >   %47 = lshr i32 %46, 5
    >   %48 = zext nneg i32 %47 to i64
    >   %49 = getelementptr inbounds nuw [4 x i8], ptr %3, i64 %48
    >   %50 = load i32, ptr %49, align 4
    >   %51 = and i32 %46, 31
    >   %52 = shl nuw i32 1, %51
    >   %53 = and i32 %50, %52
    >   %.not4.1 = icmp eq i32 %53, 0
    >   br i1 %.not4.1, label %56, label %54
    <   br label %.lr.ph.1
  in block %._crit_edge.loopexit.1 / %56:
    >   %57 = add nuw nsw i32 %46, %34
    >   %.not3.1 = icmp samesign ugt i32 %57, 20480000
    >   br i1 %.not3.1, label %._crit_edge.1, label %.lr.ph.1, !llvm.loop !7
    <   br label %._crit_edge.1
  in block %.lr.ph.preheader / %.lr.ph:
    >   %17 = phi i32 [ %28, %27 ], [ %16, %14 ]
    >   %18 = lshr i32 %17, 5
    >   %19 = zext nneg i32 %18 to i64
    >   %20 = getelementptr inbounds nuw [4 x i8], ptr %3, i64 %19
    >   %21 = load i32, ptr %20, align 4
    >   %22 = and i32 %17, 31
    >   %23 = shl nuw i32 1, %22
    >   %24 = and i32 %21, %23
    >   %.not4 = icmp eq i32 %24, 0
    >   br i1 %.not4, label %27, label %25
    <   br label %.lr.ph
  in block %._crit_edge.loopexit / %27:
    >   %28 = add nuw nsw i32 %17, %5
    >   %.not3 = icmp samesign ugt i32 %28, 40960000
    >   br i1 %.not3, label %._crit_edge, label %.lr.ph, !llvm.loop !7
    <   br label %._crit_edge"
early-cse,gvn,true,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\early-cse__then__gvn.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\gvn__then__early-cse.ll,
early-cse,loop-simplify,true,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\early-cse__then__loop-simplify.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\loop-simplify__then__early-cse.ll,
early-cse,loop-rotate,false,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\early-cse__then__loop-rotate.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\loop-rotate__then__early-cse.ll,"in function main:
  in block %4 / %4:
    >   %5 = phi i32 [ %40, %38 ], [ 0, %.preheader ]
    <   %5 = phi i32 [ %40, %38 ], [ 0, %.preheader ]
  in block %38 / %38:
    <   %.lcssa = phi i32 [ %36, %._crit_edge ]"
early-cse,licm,false,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\early-cse__then__licm.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\licm__then__early-cse.ll,"in function main:
  in block %4 / %4:
    >   %5 = phi i32 [ %40, %38 ], [ 0, %.preheader ]
    <   %5 = phi i32 [ %40, %38 ], [ 0, %.preheader ]
  in block %38 / %38:
    <   %.lcssa = phi i32 [ %36, %._crit_edge ]"
early-cse,indvars,false,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\early-cse__then__indvars.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\indvars__then__early-cse.ll,"in function main:
  in block %4 / %4:
    >   %5 = phi i32 [ %40, %38 ], [ 0, %.preheader ]
    <   %5 = phi i32 [ %40, %38 ], [ 0, %.preheader ]
  in block %38 / %38:
    <   %.lcssa = phi i32 [ %36, %._crit_edge ]"
early-cse,loop-unroll,false,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\early-cse__then__loop-unroll.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\loop-unroll__then__early-cse.ll,"in function main:
  in block %90 / %90:
    <   %.lcssa.2 = phi i32 [ %88, %._crit_edge.2 ]
  in block %32 / %32:
    <   %.lcssa = phi i32 [ %30, %._crit_edge ]"
gvn,loop-simplify,true,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\gvn__then__loop-simplify.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\loop-simplify__then__gvn.ll,
gvn,loop-rotate,false,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\gvn__then__loop-rotate.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\loop-rotate__then__gvn.ll,"in function main:
  in block %4 / %4:
    >   %5 = phi i32 [ %40, %38 ], [ 0, %.preheader ]
    <   %5 = phi i32 [ %40, %38 ], [ 0, %.preheader ]
  in block %38 / %38:
    <   %.lcssa = phi i32 [ %36, %._crit_edge ]"
gvn,licm,false,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\gvn__then__licm.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\licm__then__gvn.ll,"in function main:
  in block %4 / %4:
    >   %5 = phi i32 [ %40, %38 ], [ 0, %.preheader ]
    <   %5 = phi i32 [ %40, %38 ], [ 0, %.preheader ]
  in block %38 / %38:
    <   %.lcssa = phi i32 [ %36, %._crit_edge ]"
gvn,indvars,false,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\gvn__then__indvars.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\indvars__then__gvn.ll,"in function main:
  in block %4 / %4:
    >   %5 = phi i32 [ %40, %38 ], [ 0, %.preheader ]
    <   %5 = phi i32 [ %40, %38 ], [ 0, %.preheader ]
  in block %38 / %38:
    <   %.lcssa = phi i32 [ %36, %._crit_edge ]"
gvn,loop-unroll,false,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\gvn__then__loop-unroll.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\loop-unroll__then__gvn.ll,"in function main:
  in block %.preheader:
    >   call void @llvm.memset.p0.i64(ptr noundef nonnull align 4 dereferenceable(1) %3, i8 -1, i64 5120004, i1 false)
  in block %90 / %89:
    <   %.lcssa.2 = phi i32 [ %88, %._crit_edge.2 ]"
loop-simplify,loop-rotate,true,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\loop-simplify__then__loop-rotate.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\loop-rotate__then__loop-simplify.ll,
loop-simplify,licm,true,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\loop-simplify__then__licm.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\licm__then__loop-simplify.ll,
loop-simplify,indvars,true,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\loop-simplify__then__indvars.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\indvars__then__loop-simplify.ll,
loop-simplify,loop-unroll,true,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\loop-simplify__then__loop-unroll.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\loop-unroll__then__loop-simplify.ll,
loop-rotate,licm,true,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\loop-rotate__then__licm.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\licm__then__loop-rotate.ll,
loop-rotate,indvars,true,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\loop-rotate__then__indvars.ll,results\paper_full\BenchmarkGame_nsieve-bits\round_004\analysis\BenchmarkGame_nsieve-bits\commutativity\indvars__then__loop-rotate.ll,
