pass_a,pass_b,commute,ab_path,ba_path,details
instcombine,simplifycfg,true,results\paper_full\BenchmarkGame_partialsums\round_002\analysis\BenchmarkGame_partialsums\commutativity\instcombine__then__simplifycfg.ll,results\paper_full\BenchmarkGame_partialsums\round_002\analysis\BenchmarkGame_partialsums\commutativity\simplifycfg__then__instcombine.ll,
instcombine,early-cse,true,results\paper_full\BenchmarkGame_partialsums\round_002\analysis\BenchmarkGame_partialsums\commutativity\instcombine__then__early-cse.ll,results\paper_full\BenchmarkGame_partialsums\round_002\analysis\BenchmarkGame_partialsums\commutativity\early-cse__then__instcombine.ll,
instcombine,gvn,true,results\paper_full\BenchmarkGame_partialsums\round_002\analysis\BenchmarkGame_partialsums\commutativity\instcombine__then__gvn.ll,results\paper_full\BenchmarkGame_partialsums\round_002\analysis\BenchmarkGame_partialsums\commutativity\gvn__then__instcombine.ll,
instcombine,loop-simplify,true,results\paper_full\BenchmarkGame_partialsums\round_002\analysis\BenchmarkGame_partialsums\commutativity\instcombine__then__loop-simplify.ll,results\paper_full\BenchmarkGame_partialsums\round_002\analysis\BenchmarkGame_partialsums\commutativity\loop-simplify__then__instcombine.ll,
instcombine,loop-rotate,false,results\paper_full\BenchmarkGame_partialsums\round_002\analysis\BenchmarkGame_partialsums\commutativity\instcombine__then__loop-rotate.ll,results\paper_full\BenchmarkGame_partialsums\round_002\analysis\BenchmarkGame_partialsums\commutativity\loop-rotate__then__instcombine.ll,"in function main:
  in block %30 / %30:
    <   %.056.lcssa = phi double [ %27, %9 ]
    <   %.055.lcssa = phi double [ %23, %9 ]
    <   %.054.lcssa = phi double [ %15, %9 ]
    <   %.0.lcssa = phi double [ %12, %9 ]"
instcombine,licm,false,results\paper_full\BenchmarkGame_partialsums\round_002\analysis\BenchmarkGame_partialsums\commutativity\instcombine__then__licm.ll,results\paper_full\BenchmarkGame_partialsums\round_002\analysis\BenchmarkGame_partialsums\commutativity\licm__then__instcombine.ll,"in function main:
  in block %31 / %31:
    <   %.056.lcssa = phi double [ %.056, %9 ]
    <   %.055.lcssa = phi double [ %.055, %9 ]
    <   %.054.lcssa = phi double [ %.054, %9 ]
    <   %.0.lcssa = phi double [ %.0, %9 ]"
instcombine,indvars,false,results\paper_full\BenchmarkGame_partialsums\round_002\analysis\BenchmarkGame_partialsums\commutativity\instcombine__then__indvars.ll,results\paper_full\BenchmarkGame_partialsums\round_002\analysis\BenchmarkGame_partialsums\commutativity\indvars__then__instcombine.ll,"in function main:
  in block %31 / %31:
    <   %.056.lcssa = phi double [ %.056, %9 ]
    <   %.055.lcssa = phi double [ %.055, %9 ]
    <   %.054.lcssa = phi double [ %.054, %9 ]
    <   %.0.lcssa = phi double [ %.0, %9 ]"
instcombine,loop-unroll,false,results\paper_full\BenchmarkGame_partialsums\round_002\analysis\BenchmarkGame_partialsums\commutativity\instcombine__then__loop-unroll.ll,results\paper_full\BenchmarkGame_partialsums\round_002\analysis\BenchmarkGame_partialsums\commutativity\loop-unroll__then__instcombine.ll,"in function main:
  in block %31 / %31:
    <   %.056.lcssa = phi double [ %.056, %9 ]
    <   %.055.lcssa = phi double [ %.055, %9 ]
    <   %.054.lcssa = phi double [ %.054, %9 ]
    <   %.0.lcssa = phi double [ %.0, %9 ]"
simplifycfg,early-cse,true,results\paper_full\BenchmarkGame_partialsums\round_002\analysis\BenchmarkGame_partialsums\commutativity\simplifycfg__then__early-cse.ll,results\paper_full\BenchmarkGame_partialsums\round_002\analysis\BenchmarkGame_partialsums\commutativity\early-cse__then__simplifycfg.ll,
simplifycfg,gvn,true,results\paper_full\BenchmarkGame_partialsums\round_002\analysis\BenchmarkGame_partialsums\commutativity\simplifycfg__then__gvn.ll,results\paper_full\BenchmarkGame_partialsums\round_002\analysis\BenchmarkGame_partialsums\commutativity\gvn__then__simplifycfg.ll,
simplifycfg,loop-simplify,false,results\paper_full\BenchmarkGame_partialsums\round_002\analysis\BenchmarkGame_partialsums\commutativity\simplifycfg__then__loop-simplify.ll,results\paper_full\BenchmarkGame_partialsums\round_002\analysis\BenchmarkGame_partialsums\commutativity\loop-simplify__then__simplifycfg.ll,"in function main:
  in block %.preheader / %31:
    >   %.063 = phi <2 x double> [ %48, %33 ], [ %3, %9 ]
    >   %.062 = phi <2 x double> [ %44, %33 ], [ %3, %9 ]
    >   %.061 = phi <2 x double> [ %37, %33 ], [ %3, %9 ]
    >   %.060 = phi <2 x double> [ %42, %33 ], [ %3, %9 ]
    >   %.059 = phi <2 x double> [ %49, %33 ], [ %7, %9 ]
    >   %.058 = phi <2 x double> [ %39, %33 ], [ %3, %9 ]
    >   %.0.vec.extract = extractelement <2 x double> %.059, i32 0
    >   %32 = fcmp ole double %.0.vec.extract, 2.500000e+06
    >   br i1 %32, label %33, label %50
    <   br label %31"
