round,benchmark,pass,scheduler_class,blocking_reasons,incident_pairs,safe_edge_count,total_edge_count,safe_edge_ratio
0,BenchmarkGame_partialsums,adce,decision_required,order_sensitive,"adce,dce:confirmed_independent;adce,early-cse:confirmed_independent;adce,gvn:order_sensitive;adce,indvars:confirmed_independent;adce,instcombine:confirmed_independent;adce,licm:confirmed_independent;adce,loop-rotate:confirmed_independent;adce,loop-unroll:confirmed_independent;adce,mem2reg:confirmed_independent;adce,reassociate:confirmed_independent;adce,sccp:confirmed_independent;adce,simplifycfg:confirmed_independent;adce,sroa:confirmed_independent",12,13,0.9231
0,BenchmarkGame_partialsums,dce,decision_required,order_sensitive,"adce,dce:confirmed_independent;dce,early-cse:confirmed_independent;dce,gvn:order_sensitive;dce,indvars:confirmed_independent;dce,instcombine:confirmed_independent;dce,licm:confirmed_independent;dce,loop-rotate:confirmed_independent;dce,loop-unroll:confirmed_independent;dce,mem2reg:confirmed_independent;dce,reassociate:confirmed_independent;dce,sccp:confirmed_independent;dce,simplifycfg:confirmed_independent;dce,sroa:confirmed_independent",12,13,0.9231
0,BenchmarkGame_partialsums,early-cse,decision_required,needs_attribution;order_sensitive,"adce,early-cse:confirmed_independent;dce,early-cse:confirmed_independent;early-cse,gvn:order_sensitive;early-cse,indvars:confirmed_independent;early-cse,instcombine:order_sensitive;early-cse,licm:order_sensitive;early-cse,loop-rotate:order_sensitive;early-cse,loop-unroll:confirmed_independent;early-cse,mem2reg:order_sensitive;early-cse,reassociate:order_sensitive;early-cse,sccp:needs_attribution;early-cse,simplifycfg:needs_attribution;early-cse,sroa:order_sensitive",4,13,0.3077
0,BenchmarkGame_partialsums,gvn,decision_required,needs_attribution;order_sensitive,"adce,gvn:order_sensitive;dce,gvn:order_sensitive;early-cse,gvn:order_sensitive;gvn,indvars:order_sensitive;gvn,instcombine:order_sensitive;gvn,licm:order_sensitive;gvn,loop-rotate:order_sensitive;gvn,loop-unroll:order_sensitive;gvn,mem2reg:order_sensitive;gvn,reassociate:order_sensitive;gvn,sccp:needs_attribution;gvn,simplifycfg:likely_independent;gvn,sroa:order_sensitive",1,13,0.0769
0,BenchmarkGame_partialsums,indvars,decision_required,order_sensitive,"adce,indvars:confirmed_independent;dce,indvars:confirmed_independent;early-cse,indvars:confirmed_independent;gvn,indvars:order_sensitive;indvars,instcombine:confirmed_independent;indvars,licm:confirmed_independent;indvars,loop-rotate:confirmed_independent;indvars,loop-unroll:confirmed_independent;indvars,mem2reg:order_sensitive;indvars,reassociate:confirmed_independent;indvars,sccp:confirmed_independent;indvars,simplifycfg:confirmed_independent;indvars,sroa:order_sensitive",10,13,0.7692
0,BenchmarkGame_partialsums,instcombine,decision_required,needs_attribution;order_sensitive,"adce,instcombine:confirmed_independent;dce,instcombine:confirmed_independent;early-cse,instcombine:order_sensitive;gvn,instcombine:order_sensitive;indvars,instcombine:confirmed_independent;instcombine,licm:order_sensitive;instcombine,loop-rotate:order_sensitive;instcombine,loop-unroll:confirmed_independent;instcombine,mem2reg:order_sensitive;instcombine,reassociate:order_sensitive;instcombine,sccp:likely_independent;instcombine,simplifycfg:needs_attribution;instcombine,sroa:order_sensitive",5,13,0.3846
0,BenchmarkGame_partialsums,licm,decision_required,needs_attribution;order_sensitive,"adce,licm:confirmed_independent;dce,licm:confirmed_independent;early-cse,licm:order_sensitive;gvn,licm:order_sensitive;indvars,licm:confirmed_independent;instcombine,licm:order_sensitive;licm,loop-rotate:order_sensitive;licm,loop-unroll:confirmed_independent;licm,mem2reg:order_sensitive;licm,reassociate:order_sensitive;licm,sccp:confirmed_independent;licm,simplifycfg:needs_attribution;licm,sroa:order_sensitive",5,13,0.3846
0,BenchmarkGame_partialsums,loop-rotate,decision_required,order_sensitive,"adce,loop-rotate:confirmed_independent;dce,loop-rotate:confirmed_independent;early-cse,loop-rotate:order_sensitive;gvn,loop-rotate:order_sensitive;indvars,loop-rotate:confirmed_independent;instcombine,loop-rotate:order_sensitive;licm,loop-rotate:order_sensitive;loop-rotate,loop-unroll:confirmed_independent;loop-rotate,mem2reg:order_sensitive;loop-rotate,reassociate:confirmed_independent;loop-rotate,sccp:confirmed_independent;loop-rotate,simplifycfg:order_sensitive;loop-rotate,sroa:order_sensitive",6,13,0.4615
0,BenchmarkGame_partialsums,loop-unroll,decision_required,order_sensitive,"adce,loop-unroll:confirmed_independent;dce,loop-unroll:confirmed_independent;early-cse,loop-unroll:confirmed_independent;gvn,loop-unroll:order_sensitive;indvars,loop-unroll:confirmed_independent;instcombine,loop-unroll:confirmed_independent;licm,loop-unroll:confirmed_independent;loop-rotate,loop-unroll:confirmed_independent;loop-unroll,mem2reg:order_sensitive;loop-unroll,reassociate:confirmed_independent;loop-unroll,sccp:confirmed_independent;loop-unroll,simplifycfg:confirmed_independent;loop-unroll,sroa:order_sensitive",10,13,0.7692
0,BenchmarkGame_partialsums,mem2reg,decision_required,needs_attribution;order_sensitive,"adce,mem2reg:confirmed_independent;dce,mem2reg:confirmed_independent;early-cse,mem2reg:order_sensitive;gvn,mem2reg:order_sensitive;indvars,mem2reg:order_sensitive;instcombine,mem2reg:order_sensitive;licm,mem2reg:order_sensitive;loop-rotate,mem2reg:order_sensitive;loop-unroll,mem2reg:order_sensitive;mem2reg,reassociate:order_sensitive;mem2reg,sccp:order_sensitive;mem2reg,simplifycfg:needs_attribution;mem2reg,sroa:order_sensitive",2,13,0.1538
0,BenchmarkGame_partialsums,reassociate,decision_required,order_sensitive,"adce,reassociate:confirmed_independent;dce,reassociate:confirmed_independent;early-cse,reassociate:order_sensitive;gvn,reassociate:order_sensitive;indvars,reassociate:confirmed_independent;instcombine,reassociate:order_sensitive;licm,reassociate:order_sensitive;loop-rotate,reassociate:confirmed_independent;loop-unroll,reassociate:confirmed_independent;mem2reg,reassociate:order_sensitive;reassociate,sccp:confirmed_independent;reassociate,simplifycfg:confirmed_independent;reassociate,sroa:order_sensitive",7,13,0.5385
