round,benchmark,pass,scheduler_class,blocking_reasons,incident_pairs,safe_edge_count,total_edge_count,safe_edge_ratio
0,BenchmarkGame_recursive,early-cse,decision_required,needs_attribution;order_sensitive,"early-cse,gvn:likely_independent;early-cse,instcombine:order_sensitive;early-cse,mem2reg:order_sensitive;early-cse,reassociate:needs_attribution;early-cse,sccp:needs_attribution;early-cse,simplifycfg:needs_attribution;early-cse,sroa:order_sensitive",1,7,0.1429
0,BenchmarkGame_recursive,gvn,decision_required,needs_attribution;order_sensitive,"early-cse,gvn:likely_independent;gvn,instcombine:order_sensitive;gvn,mem2reg:order_sensitive;gvn,reassociate:needs_attribution;gvn,sccp:needs_attribution;gvn,simplifycfg:needs_attribution;gvn,sroa:order_sensitive",1,7,0.1429
0,BenchmarkGame_recursive,instcombine,decision_required,needs_attribution;order_sensitive,"early-cse,instcombine:order_sensitive;gvn,instcombine:order_sensitive;instcombine,mem2reg:order_sensitive;instcombine,reassociate:needs_attribution;instcombine,sccp:confirmed_independent;instcombine,simplifycfg:order_sensitive;instcombine,sroa:order_sensitive",1,7,0.1429
0,BenchmarkGame_recursive,mem2reg,decision_required,order_sensitive,"early-cse,mem2reg:order_sensitive;gvn,mem2reg:order_sensitive;instcombine,mem2reg:order_sensitive;mem2reg,reassociate:order_sensitive;mem2reg,sccp:order_sensitive;mem2reg,simplifycfg:order_sensitive;mem2reg,sroa:likely_independent",1,7,0.1429
0,BenchmarkGame_recursive,reassociate,decision_required,needs_attribution;order_sensitive,"early-cse,reassociate:needs_attribution;gvn,reassociate:needs_attribution;instcombine,reassociate:needs_attribution;mem2reg,reassociate:order_sensitive;reassociate,sccp:confirmed_independent;reassociate,simplifycfg:needs_attribution;reassociate,sroa:order_sensitive",1,7,0.1429
0,BenchmarkGame_recursive,sccp,decision_required,needs_attribution;order_sensitive,"early-cse,sccp:needs_attribution;gvn,sccp:needs_attribution;instcombine,sccp:confirmed_independent;mem2reg,sccp:order_sensitive;reassociate,sccp:confirmed_independent;sccp,simplifycfg:confirmed_independent;sccp,sroa:order_sensitive",3,7,0.4286
0,BenchmarkGame_recursive,simplifycfg,decision_required,needs_attribution;order_sensitive,"early-cse,simplifycfg:needs_attribution;gvn,simplifycfg:needs_attribution;instcombine,simplifycfg:order_sensitive;mem2reg,simplifycfg:order_sensitive;reassociate,simplifycfg:needs_attribution;sccp,simplifycfg:confirmed_independent;simplifycfg,sroa:order_sensitive",1,7,0.1429
0,BenchmarkGame_recursive,sroa,decision_required,order_sensitive,"early-cse,sroa:order_sensitive;gvn,sroa:order_sensitive;instcombine,sroa:order_sensitive;mem2reg,sroa:likely_independent;reassociate,sroa:order_sensitive;sccp,sroa:order_sensitive;simplifycfg,sroa:order_sensitive",1,7,0.1429
1,BenchmarkGame_recursive,instcombine,blocked_for_auto,needs_attribution,"instcombine,sccp:needs_attribution;instcombine,simplifycfg:needs_attribution",0,2,0.0
1,BenchmarkGame_recursive,sccp,blocked_for_auto,needs_attribution,"instcombine,sccp:needs_attribution;sccp,simplifycfg:needs_attribution",0,2,0.0
1,BenchmarkGame_recursive,simplifycfg,blocked_for_auto,needs_attribution,"instcombine,simplifycfg:needs_attribution;sccp,simplifycfg:needs_attribution",0,2,0.0
2,BenchmarkGame_recursive,instcombine,blocked_for_auto,needs_attribution,"instcombine,sccp:needs_attribution;instcombine,simplifycfg:needs_attribution",0,2,0.0
2,BenchmarkGame_recursive,sccp,blocked_for_auto,needs_attribution,"instcombine,sccp:needs_attribution;sccp,simplifycfg:needs_attribution",0,2,0.0
2,BenchmarkGame_recursive,simplifycfg,blocked_for_auto,needs_attribution,"instcombine,simplifycfg:needs_attribution;sccp,simplifycfg:needs_attribution",0,2,0.0
3,BenchmarkGame_recursive,instcombine,blocked_for_auto,needs_attribution,"instcombine,sccp:needs_attribution;instcombine,simplifycfg:needs_attribution",0,2,0.0
3,BenchmarkGame_recursive,sccp,blocked_for_auto,needs_attribution,"instcombine,sccp:needs_attribution;sccp,simplifycfg:needs_attribution",0,2,0.0
3,BenchmarkGame_recursive,simplifycfg,blocked_for_auto,needs_attribution,"instcombine,simplifycfg:needs_attribution;sccp,simplifycfg:needs_attribution",0,2,0.0
4,BenchmarkGame_recursive,instcombine,blocked_for_auto,needs_attribution,"instcombine,sccp:needs_attribution;instcombine,simplifycfg:needs_attribution",0,2,0.0
4,BenchmarkGame_recursive,sccp,blocked_for_auto,needs_attribution,"instcombine,sccp:needs_attribution;sccp,simplifycfg:needs_attribution",0,2,0.0
4,BenchmarkGame_recursive,simplifycfg,blocked_for_auto,needs_attribution,"instcombine,simplifycfg:needs_attribution;sccp,simplifycfg:needs_attribution",0,2,0.0
5,BenchmarkGame_recursive,instcombine,blocked_for_auto,needs_attribution,"instcombine,sccp:needs_attribution;instcombine,simplifycfg:needs_attribution",0,2,0.0
5,BenchmarkGame_recursive,sccp,blocked_for_auto,needs_attribution,"instcombine,sccp:needs_attribution;sccp,simplifycfg:needs_attribution",0,2,0.0
5,BenchmarkGame_recursive,simplifycfg,blocked_for_auto,needs_attribution,"instcombine,simplifycfg:needs_attribution;sccp,simplifycfg:needs_attribution",0,2,0.0
