round,benchmark,scheduler_mode,independence_threshold,input_ir,input_hash,metric_score,instruction_count,candidate_pass_count,auto_safe_passes,candidate_safe_passes,blocked_passes,decision_required_passes,decision_required_pairs,selected_action_kind,selected_action,action_details,output_hash,metric_after,metric_delta,changed
0,CoyoteBench_huffbench,relaxed,0.9,results\paper_full\CoyoteBench_huffbench\round_000\input.ll,f7ca142d995dd21f51e357985259ae8250e3fa3b87cb4d139a1750f24d310044,1349.0,836,15,,,,adce;dce;early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;mem2reg;reassociate;sccp;simplifycfg;sroa,"adce,gvn;adce,mem2reg;adce,sroa;dce,gvn;dce,mem2reg;dce,sroa;early-cse,gvn;early-cse,indvars;early-cse,instcombine;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;early-cse,mem2reg;early-cse,reassociate;early-cse,simplifycfg;early-cse,sroa;gvn,indvars;gvn,instcombine;gvn,licm;gvn,loop-rotate;gvn,loop-simplify;gvn,loop-unroll;gvn,mem2reg;gvn,reassociate;gvn,sccp;gvn,simplifycfg;gvn,sroa;indvars,licm;indvars,mem2reg;indvars,simplifycfg;indvars,sroa;instcombine,licm;instcombine,loop-rotate;instcombine,mem2reg;instcombine,reassociate;instcombine,simplifycfg;instcombine,sroa;licm,loop-rotate;licm,mem2reg;licm,reassociate;licm,sccp;licm,simplifycfg;licm,sroa;loop-rotate,mem2reg;loop-rotate,simplifycfg;loop-rotate,sroa;loop-simplify,simplifycfg;loop-unroll,mem2reg;loop-unroll,simplifycfg;loop-unroll,sroa;mem2reg,reassociate;mem2reg,sccp;mem2reg,simplifycfg;mem2reg,sroa;reassociate,sroa;sccp,sroa;simplifycfg,sroa",oracle_ordered_pair,"mem2reg,adce",oracle chose mem2reg->adce (improvement: 598.00),676e69c29436cd7b5c15cac6b031394162cf60ad2365ff40cb779862bdb5fc08,751.0,-598.0,true
1,CoyoteBench_huffbench,relaxed,0.9,results\paper_full\CoyoteBench_huffbench\round_001\input.ll,676e69c29436cd7b5c15cac6b031394162cf60ad2365ff40cb779862bdb5fc08,751.0,548,13,,,,adce;dce;early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;reassociate;sccp;simplifycfg,"adce,gvn;dce,gvn;early-cse,gvn;early-cse,indvars;early-cse,instcombine;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;early-cse,simplifycfg;gvn,indvars;gvn,instcombine;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;gvn,reassociate;gvn,simplifycfg;indvars,instcombine;indvars,licm;indvars,loop-rotate;indvars,loop-unroll;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,reassociate;instcombine,simplifycfg;licm,loop-rotate;licm,simplifycfg;loop-rotate,loop-unroll;loop-rotate,reassociate;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,simplifycfg;sccp,simplifycfg",oracle_ordered_pair,"simplifycfg,early-cse",oracle chose simplifycfg->early-cse (improvement: 118.00),d9586b940a72d8a43b063a2caf81b10974e331bfbc3139d77b0378a9d170efa6,633.0,-118.0,true
2,CoyoteBench_huffbench,relaxed,0.9,results\paper_full\CoyoteBench_huffbench\round_002\input.ll,d9586b940a72d8a43b063a2caf81b10974e331bfbc3139d77b0378a9d170efa6,633.0,461,13,,,,adce;dce;early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;reassociate;sccp;simplifycfg,"adce,gvn;dce,gvn;early-cse,gvn;early-cse,indvars;early-cse,instcombine;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,instcombine;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;gvn,reassociate;gvn,simplifycfg;indvars,instcombine;indvars,licm;indvars,loop-rotate;indvars,loop-unroll;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-simplify;instcombine,loop-unroll;instcombine,reassociate;instcombine,simplifycfg;licm,loop-rotate;licm,sccp;licm,simplifycfg;loop-rotate,loop-unroll;loop-rotate,reassociate;loop-rotate,sccp;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,sccp;loop-unroll,simplifycfg",oracle_ordered_pair,"instcombine,early-cse",oracle chose instcombine->early-cse (improvement: 12.00),70c4ea66f5a5f5ba2f59a245abc975c480948784f7e74d54442c9da5c5ba1fd8,621.0,-12.0,true
3,CoyoteBench_huffbench,relaxed,0.9,results\paper_full\CoyoteBench_huffbench\round_003\input.ll,70c4ea66f5a5f5ba2f59a245abc975c480948784f7e74d54442c9da5c5ba1fd8,621.0,447,13,,,,adce;dce;early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;reassociate;sccp;simplifycfg,"adce,gvn;dce,gvn;early-cse,gvn;early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,instcombine;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;gvn,reassociate;gvn,simplifycfg;indvars,instcombine;indvars,licm;indvars,loop-rotate;indvars,loop-unroll;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-simplify;instcombine,loop-unroll;instcombine,reassociate;licm,loop-rotate;licm,sccp;licm,simplifycfg;loop-rotate,loop-unroll;loop-rotate,reassociate;loop-rotate,sccp;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,sccp;loop-unroll,simplifycfg",oracle_ordered_pair,"gvn,instcombine",oracle chose gvn->instcombine (improvement: 0.50),ea77e9b521900bcc7dd3d334aa1c04ee12de1a86b3e64ca12bdb94a03a19e7b7,620.5,-0.5,true
4,CoyoteBench_huffbench,relaxed,0.9,results\paper_full\CoyoteBench_huffbench\round_004\input.ll,ea77e9b521900bcc7dd3d334aa1c04ee12de1a86b3e64ca12bdb94a03a19e7b7,620.5,449,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,licm;indvars,loop-rotate;indvars,loop-unroll;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-simplify;instcombine,loop-unroll;licm,loop-rotate;licm,sccp;licm,simplifycfg;loop-rotate,loop-unroll;loop-rotate,sccp;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,sccp;loop-unroll,simplifycfg",oracle_ordered_pair,"indvars,gvn",oracle chose indvars->gvn (improvement: -12.50),9e2129694bd257faa752e51c16ec3edd1e63156434d2ca59fd5d8db060029c0f,633.0,12.5,true
5,CoyoteBench_huffbench,relaxed,0.9,results\paper_full\CoyoteBench_huffbench\round_005\input.ll,9e2129694bd257faa752e51c16ec3edd1e63156434d2ca59fd5d8db060029c0f,633.0,457,10,,,sccp,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,loop-rotate;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,simplifycfg;licm,loop-rotate;licm,simplifycfg;loop-rotate,loop-unroll;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,simplifycfg",oracle_ordered_pair,"indvars,instcombine",oracle chose indvars->instcombine (improvement: 1.00),fe584dc645e75fe1f07308d041f19c30a24de85d1a85afa7354718cd018d2954,632.0,-1.0,true
6,CoyoteBench_huffbench,relaxed,0.9,results\paper_full\CoyoteBench_huffbench\round_006\input.ll,fe584dc645e75fe1f07308d041f19c30a24de85d1a85afa7354718cd018d2954,632.0,456,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;early-cse,simplifycfg;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;gvn,simplifycfg;indvars,instcombine;indvars,loop-rotate;indvars,sccp;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,simplifycfg;licm,loop-rotate;licm,sccp;licm,simplifycfg;loop-rotate,loop-unroll;loop-rotate,sccp;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,sccp;loop-unroll,simplifycfg;sccp,simplifycfg",oracle_ordered_pair,"early-cse,simplifycfg",oracle chose early-cse->simplifycfg (improvement: 19.50),95a39026bdde8198ffbeea01a700a18fd2110743c85f25cb43adbe6b14c9e691,612.5,-19.5,true
7,CoyoteBench_huffbench,relaxed,0.9,results\paper_full\CoyoteBench_huffbench\round_007\input.ll,95a39026bdde8198ffbeea01a700a18fd2110743c85f25cb43adbe6b14c9e691,612.5,443,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-simplify;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-simplify;gvn,loop-unroll;indvars,instcombine;indvars,loop-rotate;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-simplify;instcombine,loop-unroll;licm,loop-rotate;licm,simplifycfg;loop-rotate,loop-unroll;loop-rotate,simplifycfg;loop-simplify,sccp;loop-simplify,simplifycfg;loop-unroll,simplifycfg",oracle_ordered_pair,"loop-simplify,early-cse",oracle chose loop-simplify->early-cse (improvement: -13.50),0207a60d2734e70a6f96c64b5abf3936be88516cfc84d84feb1db85df7365253,626.0,13.5,true
8,CoyoteBench_huffbench,relaxed,0.9,results\paper_full\CoyoteBench_huffbench\round_008\input.ll,0207a60d2734e70a6f96c64b5abf3936be88516cfc84d84feb1db85df7365253,626.0,452,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;early-cse,simplifycfg;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;gvn,simplifycfg;indvars,instcombine;indvars,loop-rotate;indvars,sccp;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,simplifycfg;licm,loop-rotate;licm,sccp;licm,simplifycfg;loop-rotate,loop-unroll;loop-rotate,sccp;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,sccp;loop-unroll,simplifycfg;sccp,simplifycfg",oracle_ordered_pair,"early-cse,simplifycfg",oracle chose early-cse->simplifycfg (improvement: 13.50),d6c50711cf70fca08dffd77af3df4fd0a52051fe06da2707943c900882b70d35,612.5,-13.5,true
9,CoyoteBench_huffbench,relaxed,0.9,results\paper_full\CoyoteBench_huffbench\round_009\input.ll,d6c50711cf70fca08dffd77af3df4fd0a52051fe06da2707943c900882b70d35,612.5,443,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-simplify;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-simplify;gvn,loop-unroll;indvars,instcombine;indvars,loop-rotate;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-simplify;instcombine,loop-unroll;licm,loop-rotate;licm,simplifycfg;loop-rotate,loop-unroll;loop-rotate,simplifycfg;loop-simplify,sccp;loop-simplify,simplifycfg;loop-unroll,simplifycfg",oracle_ordered_pair,"loop-simplify,gvn",oracle chose loop-simplify->gvn (improvement: -13.50),4db2d04eefa5bc7a5f6a4ecf9a09484ba96b3d1c8d2511d409518141e5128314,626.0,13.5,true
