round,benchmark,pass,scheduler_class,blocking_reasons,incident_pairs,safe_edge_count,total_edge_count,safe_edge_ratio
0,CoyoteBench_huffbench,adce,decision_required,order_sensitive,"adce,dce:confirmed_independent;adce,early-cse:confirmed_independent;adce,gvn:order_sensitive;adce,indvars:confirmed_independent;adce,instcombine:confirmed_independent;adce,licm:confirmed_independent;adce,loop-rotate:confirmed_independent;adce,loop-simplify:confirmed_independent;adce,loop-unroll:confirmed_independent;adce,mem2reg:order_sensitive;adce,reassociate:confirmed_independent;adce,sccp:confirmed_independent;adce,simplifycfg:confirmed_independent;adce,sroa:order_sensitive",11,14,0.7857
0,CoyoteBench_huffbench,dce,decision_required,order_sensitive,"adce,dce:confirmed_independent;dce,early-cse:confirmed_independent;dce,gvn:order_sensitive;dce,indvars:confirmed_independent;dce,instcombine:confirmed_independent;dce,licm:confirmed_independent;dce,loop-rotate:confirmed_independent;dce,loop-simplify:confirmed_independent;dce,loop-unroll:confirmed_independent;dce,mem2reg:order_sensitive;dce,reassociate:confirmed_independent;dce,sccp:confirmed_independent;dce,simplifycfg:confirmed_independent;dce,sroa:order_sensitive",11,14,0.7857
0,CoyoteBench_huffbench,early-cse,decision_required,needs_attribution;order_sensitive,"adce,early-cse:confirmed_independent;dce,early-cse:confirmed_independent;early-cse,gvn:order_sensitive;early-cse,indvars:order_sensitive;early-cse,instcombine:order_sensitive;early-cse,licm:order_sensitive;early-cse,loop-rotate:order_sensitive;early-cse,loop-simplify:confirmed_independent;early-cse,loop-unroll:order_sensitive;early-cse,mem2reg:order_sensitive;early-cse,reassociate:order_sensitive;early-cse,sccp:needs_attribution;early-cse,simplifycfg:order_sensitive;early-cse,sroa:order_sensitive",3,14,0.2143
0,CoyoteBench_huffbench,gvn,decision_required,order_sensitive,"adce,gvn:order_sensitive;dce,gvn:order_sensitive;early-cse,gvn:order_sensitive;gvn,indvars:order_sensitive;gvn,instcombine:order_sensitive;gvn,licm:order_sensitive;gvn,loop-rotate:order_sensitive;gvn,loop-simplify:order_sensitive;gvn,loop-unroll:order_sensitive;gvn,mem2reg:order_sensitive;gvn,reassociate:order_sensitive;gvn,sccp:order_sensitive;gvn,simplifycfg:order_sensitive;gvn,sroa:order_sensitive",0,14,0.0
0,CoyoteBench_huffbench,indvars,decision_required,needs_attribution;order_sensitive,"adce,indvars:confirmed_independent;dce,indvars:confirmed_independent;early-cse,indvars:order_sensitive;gvn,indvars:order_sensitive;indvars,instcombine:needs_attribution;indvars,licm:order_sensitive;indvars,loop-rotate:likely_independent;indvars,loop-simplify:likely_independent;indvars,loop-unroll:likely_independent;indvars,mem2reg:order_sensitive;indvars,reassociate:confirmed_independent;indvars,sccp:confirmed_independent;indvars,simplifycfg:order_sensitive;indvars,sroa:order_sensitive",7,14,0.5
0,CoyoteBench_huffbench,instcombine,decision_required,needs_attribution;order_sensitive,"adce,instcombine:confirmed_independent;dce,instcombine:confirmed_independent;early-cse,instcombine:order_sensitive;gvn,instcombine:order_sensitive;indvars,instcombine:needs_attribution;instcombine,licm:order_sensitive;instcombine,loop-rotate:order_sensitive;instcombine,loop-simplify:needs_attribution;instcombine,loop-unroll:needs_attribution;instcombine,mem2reg:order_sensitive;instcombine,reassociate:order_sensitive;instcombine,sccp:needs_attribution;instcombine,simplifycfg:order_sensitive;instcombine,sroa:order_sensitive",2,14,0.1429
0,CoyoteBench_huffbench,licm,decision_required,order_sensitive,"adce,licm:confirmed_independent;dce,licm:confirmed_independent;early-cse,licm:order_sensitive;gvn,licm:order_sensitive;indvars,licm:order_sensitive;instcombine,licm:order_sensitive;licm,loop-rotate:order_sensitive;licm,loop-simplify:likely_independent;licm,loop-unroll:likely_independent;licm,mem2reg:order_sensitive;licm,reassociate:order_sensitive;licm,sccp:order_sensitive;licm,simplifycfg:order_sensitive;licm,sroa:order_sensitive",4,14,0.2857
0,CoyoteBench_huffbench,loop-rotate,decision_required,needs_attribution;order_sensitive,"adce,loop-rotate:confirmed_independent;dce,loop-rotate:confirmed_independent;early-cse,loop-rotate:order_sensitive;gvn,loop-rotate:order_sensitive;indvars,loop-rotate:likely_independent;instcombine,loop-rotate:order_sensitive;licm,loop-rotate:order_sensitive;loop-rotate,loop-simplify:likely_independent;loop-rotate,loop-unroll:likely_independent;loop-rotate,mem2reg:order_sensitive;loop-rotate,reassociate:needs_attribution;loop-rotate,sccp:needs_attribution;loop-rotate,simplifycfg:order_sensitive;loop-rotate,sroa:order_sensitive",5,14,0.3571
0,CoyoteBench_huffbench,loop-simplify,decision_required,needs_attribution;order_sensitive,"adce,loop-simplify:confirmed_independent;dce,loop-simplify:confirmed_independent;early-cse,loop-simplify:confirmed_independent;gvn,loop-simplify:order_sensitive;indvars,loop-simplify:likely_independent;instcombine,loop-simplify:needs_attribution;licm,loop-simplify:likely_independent;loop-rotate,loop-simplify:likely_independent;loop-simplify,loop-unroll:likely_independent;loop-simplify,mem2reg:needs_attribution;loop-simplify,reassociate:confirmed_independent;loop-simplify,sccp:confirmed_independent;loop-simplify,simplifycfg:order_sensitive;loop-simplify,sroa:needs_attribution",9,14,0.6429
0,CoyoteBench_huffbench,loop-unroll,decision_required,needs_attribution;order_sensitive,"adce,loop-unroll:confirmed_independent;dce,loop-unroll:confirmed_independent;early-cse,loop-unroll:order_sensitive;gvn,loop-unroll:order_sensitive;indvars,loop-unroll:likely_independent;instcombine,loop-unroll:needs_attribution;licm,loop-unroll:likely_independent;loop-rotate,loop-unroll:likely_independent;loop-simplify,loop-unroll:likely_independent;loop-unroll,mem2reg:order_sensitive;loop-unroll,reassociate:confirmed_independent;loop-unroll,sccp:confirmed_independent;loop-unroll,simplifycfg:order_sensitive;loop-unroll,sroa:order_sensitive",8,14,0.5714
0,CoyoteBench_huffbench,mem2reg,decision_required,needs_attribution;order_sensitive,"adce,mem2reg:order_sensitive;dce,mem2reg:order_sensitive;early-cse,mem2reg:order_sensitive;gvn,mem2reg:order_sensitive;indvars,mem2reg:order_sensitive;instcombine,mem2reg:order_sensitive;licm,mem2reg:order_sensitive;loop-rotate,mem2reg:order_sensitive;loop-simplify,mem2reg:needs_attribution;loop-unroll,mem2reg:order_sensitive;mem2reg,reassociate:order_sensitive;mem2reg,sccp:order_sensitive;mem2reg,simplifycfg:order_sensitive;mem2reg,sroa:order_sensitive",0,14,0.0
0,CoyoteBench_huffbench,reassociate,decision_required,needs_attribution;order_sensitive,"adce,reassociate:confirmed_independent;dce,reassociate:confirmed_independent;early-cse,reassociate:order_sensitive;gvn,reassociate:order_sensitive;indvars,reassociate:confirmed_independent;instcombine,reassociate:order_sensitive;licm,reassociate:order_sensitive;loop-rotate,reassociate:needs_attribution;loop-simplify,reassociate:confirmed_independent;loop-unroll,reassociate:confirmed_independent;mem2reg,reassociate:order_sensitive;reassociate,sccp:needs_attribution;reassociate,simplifycfg:needs_attribution;reassociate,sroa:order_sensitive",5,14,0.3571
0,CoyoteBench_huffbench,sccp,decision_required,needs_attribution;order_sensitive,"adce,sccp:confirmed_independent;dce,sccp:confirmed_independent;early-cse,sccp:needs_attribution;gvn,sccp:order_sensitive;indvars,sccp:confirmed_independent;instcombine,sccp:needs_attribution;licm,sccp:order_sensitive;loop-rotate,sccp:needs_attribution;loop-simplify,sccp:confirmed_independent;loop-unroll,sccp:confirmed_independent;mem2reg,sccp:order_sensitive;reassociate,sccp:needs_attribution;sccp,simplifycfg:needs_attribution;sccp,sroa:order_sensitive",5,14,0.3571
0,CoyoteBench_huffbench,simplifycfg,decision_required,needs_attribution;order_sensitive,"adce,simplifycfg:confirmed_independent;dce,simplifycfg:confirmed_independent;early-cse,simplifycfg:order_sensitive;gvn,simplifycfg:order_sensitive;indvars,simplifycfg:order_sensitive;instcombine,simplifycfg:order_sensitive;licm,simplifycfg:order_sensitive;loop-rotate,simplifycfg:order_sensitive;loop-simplify,simplifycfg:order_sensitive;loop-unroll,simplifycfg:order_sensitive;mem2reg,simplifycfg:order_sensitive;reassociate,simplifycfg:needs_attribution;sccp,simplifycfg:needs_attribution;simplifycfg,sroa:order_sensitive",2,14,0.1429
