pass_a,pass_b,commute,ab_path,ba_path,details
instcombine,simplifycfg,false,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\instcombine__then__simplifycfg.ll,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\simplifycfg__then__instcombine.ll,"in function Proc2:
  in block %1 / %1:
    <   %2 = load i32, ptr %0, align 4

in function Func2:
  in block %3 / %3:
    >   %.01 = phi i32 [ 1, %2 ], [ %spec.select, %5 ]
    >   %4 = icmp samesign ult i32 %.01, 2
    >   br i1 %4, label %5, label %17
    <   %.01 = phi i32 [ 1, %2 ], [ %spec.select, %5 ]
    <   %4 = icmp slt i32 %.01, 2
    <   br i1 %4, label %5, label %17

in function Func3:
  in block %1 / %1:
    >   %. = zext i1 %2 to i32
    >   ret i32 %.
    <   %. = select i1 %2, i32 1, i32 0
    <   ret i32 %."
instcombine,early-cse,true,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\instcombine__then__early-cse.ll,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\early-cse__then__instcombine.ll,
instcombine,gvn,true,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\instcombine__then__gvn.ll,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\gvn__then__instcombine.ll,
instcombine,sccp,false,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\instcombine__then__sccp.ll,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\sccp__then__instcombine.ll,"in function Func2:
  in block %5 / %5:
    >   %9 = getelementptr i8, ptr %1, i64 2
    >   %10 = load i8, ptr %9, align 1
    >   %11 = sext i8 %10 to i32
    <   %9 = getelementptr i8, ptr %1, i64 1
    <   %10 = getelementptr i8, ptr %9, i64 1
    <   %11 = load i8, ptr %10, align 1
    <   %12 = sext i8 %11 to i32"
instcombine,loop-rotate,false,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\instcombine__then__loop-rotate.ll,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\loop-rotate__then__instcombine.ll,"in function Proc0:
  in block %7 / %7:
    >   %.02 = phi i32 [ 0, %0 ], [ %9, %8 ]
    <   %.02 = phi i32 [ 0, %0 ], [ %9, %8 ]
  in block %8 / %8:
    >   %10 = icmp samesign ult i32 %.02, 99999999
    >   br i1 %10, label %7, label %11, !llvm.loop !7
    <   %10 = icmp samesign ult i32 %9, 100000000
    <   br i1 %10, label %7, label %11, !llvm.loop !7

in function Proc8:
  in block %13 / %13:
    >   %.01 = phi i32 [ %5, %4 ], [ %18, %17 ]
    <   %.01 = phi i32 [ %5, %4 ], [ %18, %17 ]
  in block %17 / %17:
    >   %.not.not = icmp slt i32 %.01, %12
    >   br i1 %.not.not, label %13, label %19, !llvm.loop !7
    <   %.not = icmp sgt i32 %18, %12
    <   br i1 %.not, label %19, label %13, !llvm.loop !7"
instcombine,licm,false,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\instcombine__then__licm.ll,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\licm__then__instcombine.ll,"in function Proc0:
  in block %39 / %39:
    <   %.lcssa = phi i32 [ %31, %30 ]
        %40 = load i32, ptr %2, align 4
    >   %41 = call i32 @Proc8(ptr noundef nonnull @Array1Glob, ptr noundef nonnull @Array2Glob, i32 noundef %31, i32 noundef %40)
    <   %41 = call i32 @Proc8(ptr noundef nonnull @Array1Glob, ptr noundef nonnull @Array2Glob, i32 noundef %.lcssa, i32 noundef %40)"
instcombine,indvars,false,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\instcombine__then__indvars.ll,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\indvars__then__instcombine.ll,"in function Proc0:
  in block %21 / %21:
    >   %.1 = phi i32 [ 0, %10 ], [ %58, %57 ]
    >   %exitcond.not = icmp eq i32 %.1, 100000000
    >   br i1 %exitcond.not, label %59, label %22
    <   %.1 = phi i32 [ 0, %10 ], [ %58, %57 ]
    <   %exitcond = icmp ne i32 %.1, 100000000
    <   br i1 %exitcond, label %22, label %59"
instcombine,loop-unroll,false,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\instcombine__then__loop-unroll.ll,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\loop-unroll__then__instcombine.ll,"in function Proc0:
  in block %53 / %53:
    <   %.lcssa = phi i32 [ %45, %44 ]
        %54 = load i32, ptr %2, align 4
    >   %55 = call i32 @Proc8(ptr noundef nonnull @Array1Glob, ptr noundef nonnull @Array2Glob, i32 noundef %45, i32 noundef %54)
    <   %55 = call i32 @Proc8(ptr noundef nonnull @Array1Glob, ptr noundef nonnull @Array2Glob, i32 noundef %.lcssa, i32 noundef %54)

in function Proc8:
  in block %17 / %17:
    <   %18 = add nsw i32 %2, 6"
instcombine,reassociate,false,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\instcombine__then__reassociate.ll,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\reassociate__then__instcombine.ll,"in function Proc2:
  in block %6 / %6:
    >   %9 = sub i32 %7, %8
    >   store i32 %9, ptr %0, align 4
    <   %.neg = sub i32 0, %8
    <   %9 = add i32 %7, %.neg
    <   store i32 %9, ptr %0, align 4"
simplifycfg,early-cse,true,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\simplifycfg__then__early-cse.ll,results\paper_full\Dhrystone_dry\round_002\analysis\Dhrystone_dry\commutativity\early-cse__then__simplifycfg.ll,
