round,benchmark,scheduler_mode,independence_threshold,input_ir,input_hash,metric_score,instruction_count,candidate_pass_count,auto_safe_passes,candidate_safe_passes,blocked_passes,decision_required_passes,decision_required_pairs,selected_action_kind,selected_action,action_details,output_hash,metric_after,metric_delta,changed
0,Dhrystone_dry,relaxed,0.9,results\paper_full\Dhrystone_dry\round_000\input.ll,0abbdcc016e9e2fc3f06ae858fe17556d59a1a8c1a5b94c51e61fa4088c0ecf2,794.0,493,14,,,,adce;dce;early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll;mem2reg;reassociate;sccp;simplifycfg;sroa,"adce,gvn;adce,mem2reg;adce,sroa;dce,gvn;dce,mem2reg;dce,sroa;early-cse,gvn;early-cse,indvars;early-cse,instcombine;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;early-cse,mem2reg;early-cse,reassociate;early-cse,simplifycfg;early-cse,sroa;gvn,indvars;gvn,instcombine;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;gvn,mem2reg;gvn,reassociate;gvn,sccp;gvn,simplifycfg;gvn,sroa;indvars,licm;indvars,mem2reg;indvars,sroa;instcombine,licm;instcombine,loop-rotate;instcombine,mem2reg;instcombine,reassociate;instcombine,simplifycfg;instcombine,sroa;licm,loop-rotate;licm,mem2reg;licm,simplifycfg;licm,sroa;loop-rotate,mem2reg;loop-rotate,simplifycfg;loop-rotate,sroa;loop-unroll,mem2reg;loop-unroll,sroa;mem2reg,reassociate;mem2reg,sccp;mem2reg,simplifycfg;reassociate,sroa;sccp,sroa;simplifycfg,sroa",oracle_ordered_pair,"mem2reg,adce",oracle chose mem2reg->adce (improvement: 363.00),9485ca0483c75ed146235e2d2429d28dd2346ebc8508bad56f75d8ccf7e1a25a,431.0,-363.0,true
1,Dhrystone_dry,relaxed,0.9,results\paper_full\Dhrystone_dry\round_001\input.ll,9485ca0483c75ed146235e2d2429d28dd2346ebc8508bad56f75d8ccf7e1a25a,431.0,286,12,,,,adce;dce;early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll;reassociate;sccp;simplifycfg,"adce,gvn;adce,sccp;dce,gvn;dce,sccp;early-cse,gvn;early-cse,indvars;early-cse,instcombine;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;early-cse,sccp;early-cse,simplifycfg;gvn,indvars;gvn,instcombine;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;gvn,reassociate;gvn,sccp;gvn,simplifycfg;indvars,instcombine;indvars,licm;indvars,loop-rotate;indvars,loop-unroll;indvars,reassociate;indvars,sccp;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,reassociate;instcombine,sccp;instcombine,simplifycfg;licm,loop-unroll;licm,sccp;loop-rotate,loop-unroll;loop-rotate,simplifycfg;loop-unroll,reassociate;loop-unroll,sccp;loop-unroll,simplifycfg;reassociate,sccp;sccp,simplifycfg",oracle_ordered_pair,"instcombine,early-cse",oracle chose instcombine->early-cse (improvement: 59.00),8049f908742e7dc1762aad215e6b757a94061e70a6fd3bced28ac6d35719fb2e,372.0,-59.0,true
2,Dhrystone_dry,relaxed,0.9,results\paper_full\Dhrystone_dry\round_002\input.ll,8049f908742e7dc1762aad215e6b757a94061e70a6fd3bced28ac6d35719fb2e,372.0,239,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll;reassociate;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;gvn,sccp;gvn,simplifycfg;indvars,instcombine;indvars,licm;indvars,loop-rotate;indvars,loop-unroll;indvars,sccp;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,reassociate;instcombine,sccp;instcombine,simplifycfg;licm,loop-unroll;licm,sccp;licm,simplifycfg;loop-rotate,loop-unroll;loop-rotate,simplifycfg;loop-unroll,sccp;loop-unroll,simplifycfg",oracle_ordered_pair,"gvn,simplifycfg",oracle chose gvn->simplifycfg (improvement: 46.50),e24dffba868041118ca91c380bf82cb7a65607b62f99ce7a94a77f6390effc70,325.5,-46.5,true
3,Dhrystone_dry,relaxed,0.9,results\paper_full\Dhrystone_dry\round_003\input.ll,e24dffba868041118ca91c380bf82cb7a65607b62f99ce7a94a77f6390effc70,325.5,208,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll;reassociate;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,licm;indvars,loop-rotate;indvars,loop-unroll;indvars,sccp;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,reassociate;instcombine,sccp;licm,loop-unroll;licm,sccp;loop-rotate,loop-unroll;loop-rotate,sccp;loop-rotate,simplifycfg;loop-unroll,sccp;loop-unroll,simplifycfg",oracle_ordered_pair,"indvars,instcombine",oracle chose indvars->instcombine (improvement: 6.00),f64f4820559e8791ed05581c7beae554f28790eff1bd8250afa4fbafa598a4bd,319.5,-6.0,true
4,Dhrystone_dry,relaxed,0.9,results\paper_full\Dhrystone_dry\round_004\input.ll,f64f4820559e8791ed05581c7beae554f28790eff1bd8250afa4fbafa598a4bd,319.5,204,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll;reassociate;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;gvn,sccp;indvars,instcombine;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,reassociate;instcombine,sccp;licm,loop-rotate;licm,sccp;loop-rotate,loop-unroll;loop-rotate,sccp;loop-rotate,simplifycfg",oracle_ordered_pair,"sccp,gvn",oracle chose sccp->gvn (improvement: 6.50),fab72894b410c8f5d24eb3cf319e61271f6d9fee3be8e99bf04271012f72f453,313.0,-6.5,true
5,Dhrystone_dry,relaxed,0.9,results\paper_full\Dhrystone_dry\round_005\input.ll,fab72894b410c8f5d24eb3cf319e61271f6d9fee3be8e99bf04271012f72f453,313.0,199,9,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll;reassociate;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,reassociate;licm,loop-rotate;loop-rotate,loop-unroll;loop-rotate,simplifycfg",oracle_ordered_pair,"indvars,instcombine",oracle chose indvars->instcombine (improvement: 3.00),08b021c238b4771f67e0d67775fd592ae20bd5252c757c403366e2bae26ad019,310.0,-3.0,true
6,Dhrystone_dry,relaxed,0.9,results\paper_full\Dhrystone_dry\round_006\input.ll,08b021c238b4771f67e0d67775fd592ae20bd5252c757c403366e2bae26ad019,310.0,196,9,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll;reassociate;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,reassociate;licm,loop-rotate;loop-rotate,loop-unroll;loop-rotate,simplifycfg",oracle_ordered_pair,"licm,early-cse",oracle chose licm->early-cse (improvement: 1.00),9276572eb5d7572ac7638c0353b8ade04030ca15f61db5c0f7ebcd5bf61d7919,309.0,-1.0,true
7,Dhrystone_dry,relaxed,0.9,results\paper_full\Dhrystone_dry\round_007\input.ll,9276572eb5d7572ac7638c0353b8ade04030ca15f61db5c0f7ebcd5bf61d7919,309.0,195,9,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll;reassociate;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,reassociate;loop-rotate,loop-unroll;loop-rotate,simplifycfg",oracle_ordered_pair,"indvars,early-cse",oracle chose indvars->early-cse (improvement: 0.00),e9259ef3e5b487bb2202c94b1e6bdeb28e848a3d811f557e42d449803400fb52,309.0,0.0,true
8,Dhrystone_dry,relaxed,0.9,results\paper_full\Dhrystone_dry\round_008\input.ll,e9259ef3e5b487bb2202c94b1e6bdeb28e848a3d811f557e42d449803400fb52,309.0,195,9,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll;reassociate;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,reassociate;loop-rotate,loop-unroll;loop-rotate,simplifycfg",oracle_ordered_pair,"licm,early-cse",oracle chose licm->early-cse (improvement: 0.00),b60ef38737b40b8c78d151e81362b2c9526064a21cb8d2f7a8631c516c18c271,309.0,0.0,true
9,Dhrystone_dry,relaxed,0.9,results\paper_full\Dhrystone_dry\round_009\input.ll,b60ef38737b40b8c78d151e81362b2c9526064a21cb8d2f7a8631c516c18c271,309.0,195,9,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll;reassociate;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,reassociate;loop-rotate,loop-unroll;loop-rotate,simplifycfg",oracle_ordered_pair,"loop-unroll,early-cse",oracle chose loop-unroll->early-cse (improvement: 0.00),f96054f34ae852577f6481c235a23e505f4bd3d653e87eeb7448d3763130ee73,309.0,0.0,true
