pass_a,pass_b,commute,ab_path,ba_path,details
instcombine,simplifycfg,true,results\paper_full\Dhrystone_fldry\round_004\analysis\Dhrystone_fldry\commutativity\instcombine__then__simplifycfg.ll,results\paper_full\Dhrystone_fldry\round_004\analysis\Dhrystone_fldry\commutativity\simplifycfg__then__instcombine.ll,
instcombine,early-cse,true,results\paper_full\Dhrystone_fldry\round_004\analysis\Dhrystone_fldry\commutativity\instcombine__then__early-cse.ll,results\paper_full\Dhrystone_fldry\round_004\analysis\Dhrystone_fldry\commutativity\early-cse__then__instcombine.ll,
instcombine,gvn,true,results\paper_full\Dhrystone_fldry\round_004\analysis\Dhrystone_fldry\commutativity\instcombine__then__gvn.ll,results\paper_full\Dhrystone_fldry\round_004\analysis\Dhrystone_fldry\commutativity\gvn__then__instcombine.ll,
instcombine,sccp,true,results\paper_full\Dhrystone_fldry\round_004\analysis\Dhrystone_fldry\commutativity\instcombine__then__sccp.ll,results\paper_full\Dhrystone_fldry\round_004\analysis\Dhrystone_fldry\commutativity\sccp__then__instcombine.ll,
instcombine,loop-rotate,false,results\paper_full\Dhrystone_fldry\round_004\analysis\Dhrystone_fldry\commutativity\instcombine__then__loop-rotate.ll,results\paper_full\Dhrystone_fldry\round_004\analysis\Dhrystone_fldry\commutativity\loop-rotate__then__instcombine.ll,"in function Proc0:
  in block %._crit_edge:
    <   %split = phi double [ %29, %24 ]
  in block %31 / %31:
    >   %.lcssa = phi double [ %29, %._crit_edge ], [ %.pre, %18 ]
    <   %.lcssa = phi double [ %split, %._crit_edge ], [ %.pre, %18 ]
        %32 = load double, ptr %2, align 8
        %33 = call i32 @Proc8(ptr noundef nonnull @Array1Glob, ptr noundef nonnull @Array2Glob, double noundef %.lcssa, double noundef %32)
        %34 = load ptr, ptr @PtrGlb, align 8
        %35 = call i32 @Proc1(ptr noundef %34)
        %36 = load i8, ptr @Char2Glob, align 1
    >   %.not11 = icmp slt i8 %36, 65
    >   br i1 %.not11, label %47, label %.lr.ph4
    <   %.not11 = icmp sgt i8 65, %36
    <   br i1 %.not11, label %47, label %.lr.ph4"
instcombine,licm,false,results\paper_full\Dhrystone_fldry\round_004\analysis\Dhrystone_fldry\commutativity\instcombine__then__licm.ll,results\paper_full\Dhrystone_fldry\round_004\analysis\Dhrystone_fldry\commutativity\licm__then__instcombine.ll,"in function Proc0:
  in block %33 / %33:
    <   %.lcssa = phi double [ %26, %25 ]"
instcombine,indvars,false,results\paper_full\Dhrystone_fldry\round_004\analysis\Dhrystone_fldry\commutativity\instcombine__then__indvars.ll,results\paper_full\Dhrystone_fldry\round_004\analysis\Dhrystone_fldry\commutativity\indvars__then__instcombine.ll,"in function Proc0:
  in block %33 / %33:
    <   %.lcssa = phi double [ %26, %25 ]"
instcombine,loop-unroll,false,results\paper_full\Dhrystone_fldry\round_004\analysis\Dhrystone_fldry\commutativity\instcombine__then__loop-unroll.ll,results\paper_full\Dhrystone_fldry\round_004\analysis\Dhrystone_fldry\commutativity\loop-unroll__then__instcombine.ll,"in function Proc0:
  in block %33 / %33:
    <   %.lcssa = phi double [ %26, %25 ]"
simplifycfg,early-cse,true,results\paper_full\Dhrystone_fldry\round_004\analysis\Dhrystone_fldry\commutativity\simplifycfg__then__early-cse.ll,results\paper_full\Dhrystone_fldry\round_004\analysis\Dhrystone_fldry\commutativity\early-cse__then__simplifycfg.ll,
simplifycfg,gvn,true,results\paper_full\Dhrystone_fldry\round_004\analysis\Dhrystone_fldry\commutativity\simplifycfg__then__gvn.ll,results\paper_full\Dhrystone_fldry\round_004\analysis\Dhrystone_fldry\commutativity\gvn__then__simplifycfg.ll,
simplifycfg,sccp,true,results\paper_full\Dhrystone_fldry\round_004\analysis\Dhrystone_fldry\commutativity\simplifycfg__then__sccp.ll,results\paper_full\Dhrystone_fldry\round_004\analysis\Dhrystone_fldry\commutativity\sccp__then__simplifycfg.ll,
