round,edge_kind,enabler,enabled,prefix,reads_after_prefix,writes_after_prefix,new_writes_after_prefix,changed_writes_after_prefix
1,activation,loop-rotate,instcombine,loop-rotate,inst:Proc0:%.not11;inst:Proc0:%split,inst:Proc0:%.not11;inst:Proc0:%split,inst:Proc0:%.not11;inst:Proc0:%split,
1,activation,loop-rotate,simplifycfg,loop-rotate,bb:Proc0:bb4;bb:Proc0:bb5;bb:Proc0:bb6;bb:Proc0:bb7;bb:Proc8:bb0;bb:Proc8:bb1;inst:Proc0:%.012;inst:Proc0:%23;inst:Proc0:%24;inst:Proc0:%25;inst:Proc0:%26;inst:Proc0:%27;inst:Proc0:%28;inst:Proc0:%30;inst:Proc0:%31;inst:Proc0:%32;inst:Proc0:%33;inst:Proc0:%34;inst:Proc0:%36;inst:Proc0:%37;inst:Proc0:%38;inst:Proc0:%39;inst:Proc0:%41;inst:Proc0:%43;inst:Proc0:%44;inst:Proc0:%46;inst:Proc0:%47;inst:Proc0:%48;inst:Proc0:%49;inst:Proc0:%split;inst:Proc0:._crit_edge5:1:br;inst:Proc0:._crit_edge:1:br;inst:Proc0:.lr.ph4:1:br;inst:Proc0:.lr.ph:1:br;inst:Proc0:bb1:1:br;inst:Proc0:bb2:1:store;inst:Proc0:bb2:2:store;inst:Proc0:bb2:3:br;inst:Proc0:bb3:1:store;inst:Proc0:bb3:2:br;inst:Proc0:bb4:1:br;inst:Proc0:bb5:1:br;inst:Proc0:bb6:1:br;inst:Proc0:bb7:1:ret;inst:Proc8:%15;inst:Proc8:%16;inst:Proc8:%17;inst:Proc8:%18;inst:Proc8:%19;inst:Proc8:%21;inst:Proc8:%22;inst:Proc8:%24;inst:Proc8:%25;inst:Proc8:%26;inst:Proc8:%27;inst:Proc8:._crit_edge:1:br;inst:Proc8:.lr.ph:1:br;inst:Proc8:bb0:1:store;inst:Proc8:bb0:2:store;inst:Proc8:bb0:3:store;inst:Proc8:bb0:4:ret;inst:Proc8:bb1:1:store;inst:Proc8:bb1:2:br;loop:Proc0:._crit_edge5;loop:Proc0:bb2;loop:Proc0:bb7;loop:Proc8:._crit_edge,bb:Proc0:bb4;bb:Proc0:bb5;bb:Proc0:bb6;bb:Proc0:bb7;bb:Proc8:bb0;bb:Proc8:bb1;inst:Proc0:%.012;inst:Proc0:%22;inst:Proc0:%23;inst:Proc0:%24;inst:Proc0:%25;inst:Proc0:%26;inst:Proc0:%27;inst:Proc0:%28;inst:Proc0:%29;inst:Proc0:%30;inst:Proc0:%31;inst:Proc0:%32;inst:Proc0:%33;inst:Proc0:%34;inst:Proc0:%35;inst:Proc0:%36;inst:Proc0:%37;inst:Proc0:%38;inst:Proc0:%39;inst:Proc0:%40;inst:Proc0:%41;inst:Proc0:%42;inst:Proc0:%43;inst:Proc0:%44;inst:Proc0:%45;inst:Proc0:%46;inst:Proc0:%47;inst:Proc0:%48;inst:Proc0:%49;inst:Proc0:%split;inst:Proc0:._crit_edge5:1:br;inst:Proc0:._crit_edge5:1:store;inst:Proc0:._crit_edge5:2:br;inst:Proc0:._crit_edge:1:br;inst:Proc0:.lr.ph4:1:br;inst:Proc0:.lr.ph:1:br;inst:Proc0:.lr.ph:1:store;inst:Proc0:.lr.ph:2:store;inst:Proc0:.lr.ph:3:br;inst:Proc0:bb1:1:br;inst:Proc0:bb2:1:br;inst:Proc0:bb2:1:store;inst:Proc0:bb2:2:store;inst:Proc0:bb2:3:br;inst:Proc0:bb3:1:ret;inst:Proc0:bb3:1:store;inst:Proc0:bb3:2:br;inst:Proc0:bb4:1:br;inst:Proc0:bb5:1:br;inst:Proc0:bb6:1:br;inst:Proc0:bb7:1:ret;inst:Proc8:%14;inst:Proc8:%15;inst:Proc8:%16;inst:Proc8:%17;inst:Proc8:%18;inst:Proc8:%19;inst:Proc8:%20;inst:Proc8:%21;inst:Proc8:%22;inst:Proc8:%24;inst:Proc8:%25;inst:Proc8:%26;inst:Proc8:%27;inst:Proc8:._crit_edge:1:br;inst:Proc8:._crit_edge:1:store;inst:Proc8:._crit_edge:2:store;inst:Proc8:._crit_edge:3:store;inst:Proc8:._crit_edge:4:ret;inst:Proc8:.lr.ph:1:br;inst:Proc8:.lr.ph:1:store;inst:Proc8:.lr.ph:2:br;inst:Proc8:bb0:1:store;inst:Proc8:bb0:2:store;inst:Proc8:bb0:3:store;inst:Proc8:bb0:4:ret;inst:Proc8:bb1:1:store;inst:Proc8:bb1:2:br;loop:Proc0:._crit_edge5;loop:Proc0:.lr.ph;loop:Proc0:bb2;loop:Proc0:bb3;loop:Proc0:bb7;loop:Proc8:._crit_edge,bb:Proc0:bb4;bb:Proc0:bb5;bb:Proc0:bb6;bb:Proc0:bb7;bb:Proc8:bb0;bb:Proc8:bb1;inst:Proc0:%.012;inst:Proc0:%22;inst:Proc0:%23;inst:Proc0:%24;inst:Proc0:%25;inst:Proc0:%26;inst:Proc0:%27;inst:Proc0:%28;inst:Proc0:%29;inst:Proc0:%30;inst:Proc0:%31;inst:Proc0:%32;inst:Proc0:%33;inst:Proc0:%34;inst:Proc0:%35;inst:Proc0:%36;inst:Proc0:%37;inst:Proc0:%38;inst:Proc0:%39;inst:Proc0:%40;inst:Proc0:%41;inst:Proc0:%42;inst:Proc0:%43;inst:Proc0:%44;inst:Proc0:%45;inst:Proc0:%46;inst:Proc0:%47;inst:Proc0:%48;inst:Proc0:%49;inst:Proc0:%split;inst:Proc0:._crit_edge5:1:br;inst:Proc0:._crit_edge5:1:store;inst:Proc0:._crit_edge5:2:br;inst:Proc0:._crit_edge:1:br;inst:Proc0:.lr.ph4:1:br;inst:Proc0:.lr.ph:1:br;inst:Proc0:.lr.ph:1:store;inst:Proc0:.lr.ph:2:store;inst:Proc0:.lr.ph:3:br;inst:Proc0:bb1:1:br;inst:Proc0:bb2:1:br;inst:Proc0:bb2:1:store;inst:Proc0:bb2:2:store;inst:Proc0:bb2:3:br;inst:Proc0:bb3:1:ret;inst:Proc0:bb3:1:store;inst:Proc0:bb3:2:br;inst:Proc0:bb4:1:br;inst:Proc0:bb5:1:br;inst:Proc0:bb6:1:br;inst:Proc0:bb7:1:ret;inst:Proc8:%14;inst:Proc8:%15;inst:Proc8:%16;inst:Proc8:%17;inst:Proc8:%18;inst:Proc8:%19;inst:Proc8:%20;inst:Proc8:%21;inst:Proc8:%22;inst:Proc8:%24;inst:Proc8:%25;inst:Proc8:%26;inst:Proc8:%27;inst:Proc8:._crit_edge:1:br;inst:Proc8:._crit_edge:1:store;inst:Proc8:._crit_edge:2:store;inst:Proc8:._crit_edge:3:store;inst:Proc8:._crit_edge:4:ret;inst:Proc8:.lr.ph:1:br;inst:Proc8:.lr.ph:1:store;inst:Proc8:.lr.ph:2:br;inst:Proc8:bb0:1:store;inst:Proc8:bb0:2:store;inst:Proc8:bb0:3:store;inst:Proc8:bb0:4:ret;inst:Proc8:bb1:1:store;inst:Proc8:bb1:2:br;loop:Proc0:._crit_edge5;loop:Proc0:.lr.ph;loop:Proc0:bb2;loop:Proc0:bb3;loop:Proc0:bb7;loop:Proc8:._crit_edge,
1,activation,loop-rotate,early-cse,loop-rotate,inst:Proc0:%split,inst:Proc0:%split,inst:Proc0:%split,
1,activation,loop-rotate,gvn,loop-rotate,inst:Proc0:%split,inst:Proc0:%split,inst:Proc0:%split,
1,activation,licm,instcombine,licm,inst:Proc0:%.lcssa,inst:Proc0:%.lcssa,inst:Proc0:%.lcssa,
1,activation,licm,early-cse,licm,inst:Proc0:%.lcssa,inst:Proc0:%.lcssa,inst:Proc0:%.lcssa,
1,activation,licm,gvn,licm,inst:Proc0:%.lcssa,inst:Proc0:%.lcssa,inst:Proc0:%.lcssa,
1,activation,indvars,instcombine,indvars,inst:Proc0:%.lcssa,inst:Proc0:%.lcssa,inst:Proc0:%.lcssa,
1,activation,indvars,early-cse,indvars,inst:Proc0:%.lcssa,inst:Proc0:%.lcssa,inst:Proc0:%.lcssa,
1,activation,indvars,gvn,indvars,inst:Proc0:%.lcssa,inst:Proc0:%.lcssa,inst:Proc0:%.lcssa,
