round,benchmark,scheduler_mode,independence_threshold,input_ir,input_hash,metric_score,instruction_count,candidate_pass_count,auto_safe_passes,candidate_safe_passes,blocked_passes,decision_required_passes,decision_required_pairs,selected_action_kind,selected_action,action_details,output_hash,metric_after,metric_delta,changed
0,Dhrystone_fldry,relaxed,0.9,results\paper_full\Dhrystone_fldry\round_000\input.ll,334860eca7eef407cbe90dea307cc563e5a1663fb73fd577aa27a6806af4bf62,820.0,511,14,,,,adce;dce;early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll;mem2reg;reassociate;sccp;simplifycfg;sroa,"adce,gvn;adce,mem2reg;adce,sroa;dce,gvn;dce,mem2reg;dce,sroa;early-cse,gvn;early-cse,indvars;early-cse,instcombine;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;early-cse,mem2reg;early-cse,reassociate;early-cse,simplifycfg;early-cse,sroa;gvn,indvars;gvn,instcombine;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;gvn,mem2reg;gvn,reassociate;gvn,sccp;gvn,simplifycfg;gvn,sroa;indvars,licm;indvars,mem2reg;indvars,sroa;instcombine,licm;instcombine,loop-rotate;instcombine,mem2reg;instcombine,reassociate;instcombine,simplifycfg;instcombine,sroa;licm,loop-rotate;licm,mem2reg;licm,reassociate;licm,sccp;licm,simplifycfg;licm,sroa;loop-rotate,mem2reg;loop-rotate,simplifycfg;loop-rotate,sroa;loop-unroll,mem2reg;loop-unroll,sroa;mem2reg,reassociate;mem2reg,sccp;mem2reg,simplifycfg;reassociate,sroa;sccp,sroa;simplifycfg,sroa",oracle_ordered_pair,"mem2reg,adce",oracle chose mem2reg->adce (improvement: 371.00),2310668f99a887b82cdb83deae9465d80075f55037525e036453742a97577ba9,449.0,-371.0,true
1,Dhrystone_fldry,relaxed,0.9,results\paper_full\Dhrystone_fldry\round_001\input.ll,2310668f99a887b82cdb83deae9465d80075f55037525e036453742a97577ba9,449.0,300,12,,,,adce;dce;early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll;reassociate;sccp;simplifycfg,"adce,gvn;adce,sccp;dce,gvn;dce,sccp;early-cse,gvn;early-cse,indvars;early-cse,instcombine;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;early-cse,sccp;early-cse,simplifycfg;gvn,indvars;gvn,instcombine;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;gvn,reassociate;gvn,sccp;gvn,simplifycfg;indvars,instcombine;indvars,licm;indvars,loop-rotate;indvars,loop-unroll;indvars,sccp;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,reassociate;instcombine,simplifycfg;licm,loop-rotate;licm,loop-unroll;licm,sccp;loop-rotate,loop-unroll;loop-rotate,simplifycfg;loop-unroll,sccp;loop-unroll,simplifycfg;reassociate,sccp;sccp,simplifycfg",oracle_ordered_pair,"instcombine,early-cse",oracle chose instcombine->early-cse (improvement: 72.00),6c34ac9cea70a52ddda3ada99ff1e4dda97d93fbec11c105b921cafa79226c7f,377.0,-72.0,true
2,Dhrystone_fldry,relaxed,0.9,results\paper_full\Dhrystone_fldry\round_002\input.ll,6c34ac9cea70a52ddda3ada99ff1e4dda97d93fbec11c105b921cafa79226c7f,377.0,240,9,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;gvn,sccp;gvn,simplifycfg;indvars,instcombine;indvars,loop-rotate;indvars,loop-unroll;indvars,sccp;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,simplifycfg;licm,loop-rotate;licm,loop-unroll;licm,sccp;licm,simplifycfg;loop-rotate,loop-unroll;loop-rotate,simplifycfg;loop-unroll,simplifycfg",oracle_ordered_pair,"gvn,simplifycfg",oracle chose gvn->simplifycfg (improvement: 46.50),3b7141a7d416df69ed70e743f1b5a421a43125ca07fcdde490cc4e3bd64baa2e,330.5,-46.5,true
3,Dhrystone_fldry,relaxed,0.9,results\paper_full\Dhrystone_fldry\round_003\input.ll,3b7141a7d416df69ed70e743f1b5a421a43125ca07fcdde490cc4e3bd64baa2e,330.5,209,9,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,loop-unroll;indvars,sccp;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;licm,loop-rotate;loop-rotate,loop-unroll;loop-rotate,simplifycfg;loop-unroll,simplifycfg",oracle_ordered_pair,"indvars,instcombine",oracle chose indvars->instcombine (improvement: 8.00),1306818e055a2863b20aaa46ab5b373a52ac2ad5c20f687577fd7d6694ec53e4,322.5,-8.0,true
4,Dhrystone_fldry,relaxed,0.9,results\paper_full\Dhrystone_fldry\round_004\input.ll,1306818e055a2863b20aaa46ab5b373a52ac2ad5c20f687577fd7d6694ec53e4,322.5,203,9,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;gvn,sccp;indvars,instcombine;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;licm,loop-rotate;loop-rotate,loop-unroll;loop-rotate,simplifycfg",oracle_ordered_pair,"sccp,gvn",oracle chose sccp->gvn (improvement: 4.50),3f13fe9e40c53e2f5fde7c744cb8634bfb2302e526d74c0de435d701102aa104,318.0,-4.5,true
5,Dhrystone_fldry,relaxed,0.9,results\paper_full\Dhrystone_fldry\round_005\input.ll,3f13fe9e40c53e2f5fde7c744cb8634bfb2302e526d74c0de435d701102aa104,318.0,200,8,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;licm,loop-rotate;loop-rotate,simplifycfg",oracle_ordered_pair,"licm,early-cse",oracle chose licm->early-cse (improvement: 1.00),0adb9a05f26ff3d276811183152c3128ad69f30c43a4ad139477dce85f1dfd45,317.0,-1.0,true
6,Dhrystone_fldry,relaxed,0.9,results\paper_full\Dhrystone_fldry\round_006\input.ll,0adb9a05f26ff3d276811183152c3128ad69f30c43a4ad139477dce85f1dfd45,317.0,199,8,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;loop-rotate,simplifycfg",oracle_ordered_pair,"indvars,instcombine",oracle chose indvars->instcombine (improvement: 1.00),900f1643c74698348ee45ba021487dfa44b8ba8d619266bf13760e41248a6c94,316.0,-1.0,true
7,Dhrystone_fldry,relaxed,0.9,results\paper_full\Dhrystone_fldry\round_007\input.ll,900f1643c74698348ee45ba021487dfa44b8ba8d619266bf13760e41248a6c94,316.0,198,8,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;loop-rotate,simplifycfg",oracle_ordered_pair,"indvars,early-cse",oracle chose indvars->early-cse (improvement: 0.00),9f006c948ab50a9ed44c983a41dbbedcd92bb6c0b92c2e966d6c3c6cf7abdd80,316.0,0.0,true
8,Dhrystone_fldry,relaxed,0.9,results\paper_full\Dhrystone_fldry\round_008\input.ll,9f006c948ab50a9ed44c983a41dbbedcd92bb6c0b92c2e966d6c3c6cf7abdd80,316.0,198,8,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;loop-rotate,simplifycfg",oracle_ordered_pair,"licm,early-cse",oracle chose licm->early-cse (improvement: 0.00),eab6fa2c70a816d9943e4120ae7ba07ba3f67ee2cade3b3545be008729434df2,316.0,0.0,true
9,Dhrystone_fldry,relaxed,0.9,results\paper_full\Dhrystone_fldry\round_009\input.ll,eab6fa2c70a816d9943e4120ae7ba07ba3f67ee2cade3b3545be008729434df2,316.0,198,8,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;loop-rotate,simplifycfg",oracle_ordered_pair,"loop-unroll,early-cse",oracle chose loop-unroll->early-cse (improvement: 0.00),072adf084e16fbd8e89e96c85b9b57efeaf58f9fdf4e76ee672a62fbeecdb584,316.0,0.0,true
10,Dhrystone_fldry,relaxed,0.9,results\paper_full\Dhrystone_fldry\round_010\input.ll,072adf084e16fbd8e89e96c85b9b57efeaf58f9fdf4e76ee672a62fbeecdb584,316.0,198,8,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;loop-rotate,simplifycfg",oracle_ordered_pair,"indvars,gvn",oracle chose indvars->gvn (improvement: 0.00),0e96cf1e9444171af5341d8b44aa1379d64cd069141da594f486e747630c1851,316.0,0.0,true
11,Dhrystone_fldry,relaxed,0.9,results\paper_full\Dhrystone_fldry\round_011\input.ll,0e96cf1e9444171af5341d8b44aa1379d64cd069141da594f486e747630c1851,316.0,198,8,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;loop-rotate,simplifycfg",oracle_ordered_pair,"indvars,early-cse",oracle chose indvars->early-cse (improvement: 0.00),9fc4df8c9d7aa81072790c4a35a7aeb64d922d8b627e7ad078f4c25b47a9c251,316.0,0.0,true
