round,benchmark,pass,scheduler_class,blocking_reasons,incident_pairs,safe_edge_count,total_edge_count,safe_edge_ratio
0,Dhrystone_fldry,adce,decision_required,needs_attribution;order_sensitive,"adce,dce:likely_independent;adce,early-cse:likely_independent;adce,gvn:order_sensitive;adce,indvars:confirmed_independent;adce,instcombine:likely_independent;adce,licm:needs_attribution;adce,loop-rotate:needs_attribution;adce,loop-unroll:confirmed_independent;adce,mem2reg:order_sensitive;adce,reassociate:likely_independent;adce,sccp:needs_attribution;adce,simplifycfg:needs_attribution;adce,sroa:order_sensitive",6,13,0.4615
0,Dhrystone_fldry,dce,decision_required,needs_attribution;order_sensitive,"adce,dce:likely_independent;dce,early-cse:likely_independent;dce,gvn:order_sensitive;dce,indvars:confirmed_independent;dce,instcombine:likely_independent;dce,licm:needs_attribution;dce,loop-rotate:needs_attribution;dce,loop-unroll:confirmed_independent;dce,mem2reg:order_sensitive;dce,reassociate:likely_independent;dce,sccp:needs_attribution;dce,simplifycfg:needs_attribution;dce,sroa:order_sensitive",6,13,0.4615
0,Dhrystone_fldry,early-cse,decision_required,needs_attribution;order_sensitive,"adce,early-cse:likely_independent;dce,early-cse:likely_independent;early-cse,gvn:order_sensitive;early-cse,indvars:order_sensitive;early-cse,instcombine:order_sensitive;early-cse,licm:order_sensitive;early-cse,loop-rotate:order_sensitive;early-cse,loop-unroll:order_sensitive;early-cse,mem2reg:order_sensitive;early-cse,reassociate:order_sensitive;early-cse,sccp:needs_attribution;early-cse,simplifycfg:order_sensitive;early-cse,sroa:order_sensitive",2,13,0.1538
0,Dhrystone_fldry,gvn,decision_required,order_sensitive,"adce,gvn:order_sensitive;dce,gvn:order_sensitive;early-cse,gvn:order_sensitive;gvn,indvars:order_sensitive;gvn,instcombine:order_sensitive;gvn,licm:order_sensitive;gvn,loop-rotate:order_sensitive;gvn,loop-unroll:order_sensitive;gvn,mem2reg:order_sensitive;gvn,reassociate:order_sensitive;gvn,sccp:order_sensitive;gvn,simplifycfg:order_sensitive;gvn,sroa:order_sensitive",0,13,0.0
0,Dhrystone_fldry,indvars,decision_required,order_sensitive,"adce,indvars:confirmed_independent;dce,indvars:confirmed_independent;early-cse,indvars:order_sensitive;gvn,indvars:order_sensitive;indvars,instcombine:confirmed_independent;indvars,licm:order_sensitive;indvars,loop-rotate:confirmed_independent;indvars,loop-unroll:confirmed_independent;indvars,mem2reg:order_sensitive;indvars,reassociate:confirmed_independent;indvars,sccp:confirmed_independent;indvars,simplifycfg:confirmed_independent;indvars,sroa:order_sensitive",8,13,0.6154
0,Dhrystone_fldry,instcombine,decision_required,needs_attribution;order_sensitive,"adce,instcombine:likely_independent;dce,instcombine:likely_independent;early-cse,instcombine:order_sensitive;gvn,instcombine:order_sensitive;indvars,instcombine:confirmed_independent;instcombine,licm:order_sensitive;instcombine,loop-rotate:order_sensitive;instcombine,loop-unroll:confirmed_independent;instcombine,mem2reg:order_sensitive;instcombine,reassociate:order_sensitive;instcombine,sccp:needs_attribution;instcombine,simplifycfg:order_sensitive;instcombine,sroa:order_sensitive",4,13,0.3077
0,Dhrystone_fldry,licm,decision_required,needs_attribution;order_sensitive,"adce,licm:needs_attribution;dce,licm:needs_attribution;early-cse,licm:order_sensitive;gvn,licm:order_sensitive;indvars,licm:order_sensitive;instcombine,licm:order_sensitive;licm,loop-rotate:order_sensitive;licm,loop-unroll:confirmed_independent;licm,mem2reg:order_sensitive;licm,reassociate:order_sensitive;licm,sccp:order_sensitive;licm,simplifycfg:order_sensitive;licm,sroa:order_sensitive",1,13,0.0769
0,Dhrystone_fldry,loop-rotate,decision_required,needs_attribution;order_sensitive,"adce,loop-rotate:needs_attribution;dce,loop-rotate:needs_attribution;early-cse,loop-rotate:order_sensitive;gvn,loop-rotate:order_sensitive;indvars,loop-rotate:confirmed_independent;instcombine,loop-rotate:order_sensitive;licm,loop-rotate:order_sensitive;loop-rotate,loop-unroll:confirmed_independent;loop-rotate,mem2reg:order_sensitive;loop-rotate,reassociate:needs_attribution;loop-rotate,sccp:needs_attribution;loop-rotate,simplifycfg:order_sensitive;loop-rotate,sroa:order_sensitive",2,13,0.1538
0,Dhrystone_fldry,loop-unroll,decision_required,order_sensitive,"adce,loop-unroll:confirmed_independent;dce,loop-unroll:confirmed_independent;early-cse,loop-unroll:order_sensitive;gvn,loop-unroll:order_sensitive;indvars,loop-unroll:confirmed_independent;instcombine,loop-unroll:confirmed_independent;licm,loop-unroll:confirmed_independent;loop-rotate,loop-unroll:confirmed_independent;loop-unroll,mem2reg:order_sensitive;loop-unroll,reassociate:confirmed_independent;loop-unroll,sccp:confirmed_independent;loop-unroll,simplifycfg:confirmed_independent;loop-unroll,sroa:order_sensitive",9,13,0.6923
0,Dhrystone_fldry,mem2reg,decision_required,needs_attribution;order_sensitive,"adce,mem2reg:order_sensitive;dce,mem2reg:order_sensitive;early-cse,mem2reg:order_sensitive;gvn,mem2reg:order_sensitive;indvars,mem2reg:order_sensitive;instcombine,mem2reg:order_sensitive;licm,mem2reg:order_sensitive;loop-rotate,mem2reg:order_sensitive;loop-unroll,mem2reg:order_sensitive;mem2reg,reassociate:order_sensitive;mem2reg,sccp:order_sensitive;mem2reg,simplifycfg:order_sensitive;mem2reg,sroa:needs_attribution",0,13,0.0
