pass_a,pass_b,classification,dependency_kinds,dependency_strength,read_write_strength,enablement_strength,uncertainty_risk,wa_intersect_rb,wb_intersect_ra,wa_intersect_wb,strong_intersections,weak_intersections,intersection_token_kinds,overlap_pattern,enablement_edge_kinds,enablement_edges,enablement_evidence
early-cse,gvn,independent,,none,none,none,none,,,,,,,none,,,
early-cse,indvars,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,indvars->early-cse,kind=activation round=1 prefix=indvars writes=inst:get_good_move:%.01.lcssa;inst:get_real_move:%.lcssa;inst:get_value:%.0.lcssa;inst:get_winning_move:%.0.lcssa;inst:main:%.01.lcssa;inst:make_list:%.1.lcssa;inst:make_list:%.15.lcssa;inst:make_wanted:%.1.lcssa;inst:make_wanted:%.12.lcssa;inst:next_data:%.0.lcssa;inst:valid_data:%.not.lcssa;inst:where:%.0.lcssa
early-cse,instcombine,independent,,none,none,none,none,,,,,,,none,,,
early-cse,licm,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,licm->early-cse,kind=activation round=1 prefix=licm writes=inst:equal_data:%.0.lcssa;inst:get_good_move:%.01.lcssa;inst:get_real_move:%.lcssa;inst:get_value:%.0.lcssa;inst:get_winning_move:%.0.lcssa;inst:main:%.01.lcssa;inst:make_list:%.1.lcssa;inst:make_list:%.15.lcssa;inst:make_wanted:%.1.lcssa;inst:make_wanted:%.12.lcssa;inst:next_data:%.0.lcssa;inst:valid_data:%.not.lcssa;inst:where:%.0.lcssa
early-cse,loop-rotate,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,loop-rotate->early-cse,kind=activation round=1 prefix=loop-rotate writes=inst:equal_data:%.0.lcssa;inst:get_good_move:%split;inst:get_good_move:%split5;inst:get_real_move:%.lcssa;inst:get_value:%.0.lcssa;inst:get_winning_move:%.0.lcssa;inst:in_wanted:%.01.in;inst:main:%.not;inst:main:%split;inst:make_list:%split;inst:make_list:%split5;inst:make_wanted:%split;inst:make_wanted:%split5;inst:next_data:%split;inst:valid_data:%.0;inst:valid_data:%.01;inst:valid_data:%.not.lcssa;inst:valid_data:%.not4;inst:valid_data:%split;inst:valid_data:%split6;inst:where:%split
early-cse,loop-simplify,independent,,none,none,none,none,,,,,,,none,,,
early-cse,loop-unroll,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,loop-unroll->early-cse,kind=activation round=1 prefix=loop-unroll writes=inst:equal_data:%.0.lcssa;inst:get_good_move:%.01.lcssa;inst:get_real_move:%.lcssa;inst:get_value:%.0.lcssa;inst:get_winning_move:%.0.lcssa;inst:main:%.01.lcssa;inst:make_list:%.1.lcssa;inst:make_list:%.15.lcssa;inst:make_wanted:%.1.lcssa;inst:make_wanted:%.12.lcssa;inst:next_data:%.0.lcssa;inst:valid_data:%.not.lcssa;inst:where:%.0.lcssa
early-cse,sccp,independent,,none,none,none,none,,,,,,,none,,,
early-cse,simplifycfg,independent,,none,none,none,none,,,,,,,none,,,
gvn,indvars,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,indvars->gvn,kind=activation round=1 prefix=indvars writes=inst:get_good_move:%.01.lcssa;inst:get_real_move:%.lcssa;inst:get_value:%.0.lcssa;inst:get_winning_move:%.0.lcssa;inst:main:%.01.lcssa;inst:make_list:%.1.lcssa;inst:make_list:%.15.lcssa;inst:make_wanted:%.1.lcssa;inst:make_wanted:%.12.lcssa;inst:next_data:%.0.lcssa;inst:valid_data:%.not.lcssa;inst:where:%.0.lcssa
gvn,instcombine,independent,,none,none,none,none,,,,,,,none,,,
gvn,licm,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,licm->gvn,kind=activation round=1 prefix=licm writes=inst:equal_data:%.0.lcssa;inst:get_good_move:%.01.lcssa;inst:get_real_move:%.lcssa;inst:get_value:%.0.lcssa;inst:get_winning_move:%.0.lcssa;inst:main:%.01.lcssa;inst:make_list:%.1.lcssa;inst:make_list:%.15.lcssa;inst:make_wanted:%.1.lcssa;inst:make_wanted:%.12.lcssa;inst:next_data:%.0.lcssa;inst:valid_data:%.not.lcssa;inst:where:%.0.lcssa
