round,benchmark,pass,scheduler_class,blocking_reasons,incident_pairs,safe_edge_count,total_edge_count,safe_edge_ratio
0,McGill_chomp,adce,decision_required,order_sensitive,"adce,early-cse:confirmed_independent;adce,gvn:confirmed_independent;adce,indvars:confirmed_independent;adce,instcombine:order_sensitive;adce,licm:confirmed_independent;adce,loop-rotate:confirmed_independent;adce,loop-simplify:confirmed_independent;adce,loop-unroll:confirmed_independent;adce,mem2reg:confirmed_independent;adce,sccp:confirmed_independent;adce,simplifycfg:confirmed_independent;adce,sroa:confirmed_independent",11,12,0.9167
0,McGill_chomp,early-cse,decision_required,order_sensitive,"adce,early-cse:confirmed_independent;early-cse,gvn:order_sensitive;early-cse,indvars:order_sensitive;early-cse,instcombine:order_sensitive;early-cse,licm:order_sensitive;early-cse,loop-rotate:order_sensitive;early-cse,loop-simplify:confirmed_independent;early-cse,loop-unroll:order_sensitive;early-cse,mem2reg:order_sensitive;early-cse,sccp:order_sensitive;early-cse,simplifycfg:order_sensitive;early-cse,sroa:order_sensitive",2,12,0.1667
0,McGill_chomp,gvn,decision_required,order_sensitive,"adce,gvn:confirmed_independent;early-cse,gvn:order_sensitive;gvn,indvars:order_sensitive;gvn,instcombine:order_sensitive;gvn,licm:order_sensitive;gvn,loop-rotate:order_sensitive;gvn,loop-simplify:confirmed_independent;gvn,loop-unroll:order_sensitive;gvn,mem2reg:order_sensitive;gvn,sccp:order_sensitive;gvn,simplifycfg:order_sensitive;gvn,sroa:order_sensitive",2,12,0.1667
0,McGill_chomp,indvars,decision_required,order_sensitive,"adce,indvars:confirmed_independent;early-cse,indvars:order_sensitive;gvn,indvars:order_sensitive;indvars,instcombine:order_sensitive;indvars,licm:order_sensitive;indvars,loop-rotate:likely_independent;indvars,loop-simplify:likely_independent;indvars,loop-unroll:likely_independent;indvars,mem2reg:order_sensitive;indvars,sccp:confirmed_independent;indvars,simplifycfg:order_sensitive;indvars,sroa:order_sensitive",5,12,0.4167
0,McGill_chomp,instcombine,decision_required,order_sensitive,"adce,instcombine:order_sensitive;early-cse,instcombine:order_sensitive;gvn,instcombine:order_sensitive;indvars,instcombine:order_sensitive;instcombine,licm:order_sensitive;instcombine,loop-rotate:order_sensitive;instcombine,loop-simplify:order_sensitive;instcombine,loop-unroll:order_sensitive;instcombine,mem2reg:order_sensitive;instcombine,sccp:order_sensitive;instcombine,simplifycfg:order_sensitive;instcombine,sroa:order_sensitive",0,12,0.0
0,McGill_chomp,licm,decision_required,order_sensitive,"adce,licm:confirmed_independent;early-cse,licm:order_sensitive;gvn,licm:order_sensitive;indvars,licm:order_sensitive;instcombine,licm:order_sensitive;licm,loop-rotate:order_sensitive;licm,loop-simplify:likely_independent;licm,loop-unroll:likely_independent;licm,mem2reg:order_sensitive;licm,sccp:confirmed_independent;licm,simplifycfg:order_sensitive;licm,sroa:order_sensitive",4,12,0.3333
0,McGill_chomp,loop-rotate,decision_required,order_sensitive,"adce,loop-rotate:confirmed_independent;early-cse,loop-rotate:order_sensitive;gvn,loop-rotate:order_sensitive;indvars,loop-rotate:likely_independent;instcombine,loop-rotate:order_sensitive;licm,loop-rotate:order_sensitive;loop-rotate,loop-simplify:likely_independent;loop-rotate,loop-unroll:likely_independent;loop-rotate,mem2reg:order_sensitive;loop-rotate,sccp:confirmed_independent;loop-rotate,simplifycfg:order_sensitive;loop-rotate,sroa:order_sensitive",5,12,0.4167
0,McGill_chomp,loop-simplify,decision_required,needs_attribution;order_sensitive,"adce,loop-simplify:confirmed_independent;early-cse,loop-simplify:confirmed_independent;gvn,loop-simplify:confirmed_independent;indvars,loop-simplify:likely_independent;instcombine,loop-simplify:order_sensitive;licm,loop-simplify:likely_independent;loop-rotate,loop-simplify:likely_independent;loop-simplify,loop-unroll:likely_independent;loop-simplify,mem2reg:needs_attribution;loop-simplify,sccp:confirmed_independent;loop-simplify,simplifycfg:order_sensitive;loop-simplify,sroa:needs_attribution",8,12,0.6667
0,McGill_chomp,loop-unroll,decision_required,order_sensitive,"adce,loop-unroll:confirmed_independent;early-cse,loop-unroll:order_sensitive;gvn,loop-unroll:order_sensitive;indvars,loop-unroll:likely_independent;instcombine,loop-unroll:order_sensitive;licm,loop-unroll:likely_independent;loop-rotate,loop-unroll:likely_independent;loop-simplify,loop-unroll:likely_independent;loop-unroll,mem2reg:order_sensitive;loop-unroll,sccp:confirmed_independent;loop-unroll,simplifycfg:order_sensitive;loop-unroll,sroa:order_sensitive",6,12,0.5
0,McGill_chomp,mem2reg,decision_required,needs_attribution;order_sensitive,"adce,mem2reg:confirmed_independent;early-cse,mem2reg:order_sensitive;gvn,mem2reg:order_sensitive;indvars,mem2reg:order_sensitive;instcombine,mem2reg:order_sensitive;licm,mem2reg:order_sensitive;loop-rotate,mem2reg:order_sensitive;loop-simplify,mem2reg:needs_attribution;loop-unroll,mem2reg:order_sensitive;mem2reg,sccp:needs_attribution;mem2reg,simplifycfg:order_sensitive;mem2reg,sroa:order_sensitive",1,12,0.0833
