pass_a,pass_b,commute,ab_path,ba_path,details
instcombine,simplifycfg,false,results\paper_full\McGill_exptree\round_002\analysis\McGill_exptree\commutativity\instcombine__then__simplifycfg.ll,results\paper_full\McGill_exptree\round_002\analysis\McGill_exptree\commutativity\simplifycfg__then__instcombine.ll,"in function doSearch:
  in block %24 / %24:
    >   br label %25
    <   %storemerge = phi i32 [ %31, %29 ], [ 1, %19 ]
    <   store i32 %storemerge, ptr @dmax, align 4
    <   %25 = load i32, ptr @listLength, align 4
    <   %26 = icmp slt i32 %storemerge, %25
    <   br i1 %26, label %27, label %32"
instcombine,dce,true,results\paper_full\McGill_exptree\round_002\analysis\McGill_exptree\commutativity\instcombine__then__dce.ll,results\paper_full\McGill_exptree\round_002\analysis\McGill_exptree\commutativity\dce__then__instcombine.ll,
instcombine,early-cse,true,results\paper_full\McGill_exptree\round_002\analysis\McGill_exptree\commutativity\instcombine__then__early-cse.ll,results\paper_full\McGill_exptree\round_002\analysis\McGill_exptree\commutativity\early-cse__then__instcombine.ll,
instcombine,gvn,false,results\paper_full\McGill_exptree\round_002\analysis\McGill_exptree\commutativity\instcombine__then__gvn.ll,results\paper_full\McGill_exptree\round_002\analysis\McGill_exptree\commutativity\gvn__then__instcombine.ll,"in function doSearch:
  in block %23 / %23:
    >   store i32 1, ptr @dmax, align 4"
instcombine,sccp,true,results\paper_full\McGill_exptree\round_002\analysis\McGill_exptree\commutativity\instcombine__then__sccp.ll,results\paper_full\McGill_exptree\round_002\analysis\McGill_exptree\commutativity\sccp__then__instcombine.ll,
instcombine,adce,true,results\paper_full\McGill_exptree\round_002\analysis\McGill_exptree\commutativity\instcombine__then__adce.ll,results\paper_full\McGill_exptree\round_002\analysis\McGill_exptree\commutativity\adce__then__instcombine.ll,
instcombine,loop-simplify,true,results\paper_full\McGill_exptree\round_002\analysis\McGill_exptree\commutativity\instcombine__then__loop-simplify.ll,results\paper_full\McGill_exptree\round_002\analysis\McGill_exptree\commutativity\loop-simplify__then__instcombine.ll,
instcombine,loop-rotate,false,results\paper_full\McGill_exptree\round_002\analysis\McGill_exptree\commutativity\instcombine__then__loop-rotate.ll,results\paper_full\McGill_exptree\round_002\analysis\McGill_exptree\commutativity\loop-rotate__then__instcombine.ll,"in function initWorkList:
  in block %3 / %3:
    >   %4 = icmp sgt i32 %2, 0
    >   br i1 %4, label %.lr.ph, label %12
    <   %4 = icmp slt i32 0, %2
    <   br i1 %4, label %.lr.ph, label %12

in function initCombList:
  in block %2 / %2:
    >   %3 = icmp sgt i32 %1, 0
    >   br i1 %3, label %.lr.ph, label %10
    <   %3 = icmp slt i32 0, %1
    <   br i1 %3, label %.lr.ph, label %10

in function saveSolution:
  in block %3 / %3:
    >   %4 = icmp sgt i32 %2, 0
    >   br i1 %4, label %.lr.ph, label %18
    <   %4 = icmp slt i32 0, %2
    <   br i1 %4, label %.lr.ph, label %18

in function printSolution:
  in block %2 / %2:
    >   %3 = icmp sgt i32 %1, 0
    >   br i1 %3, label %.lr.ph, label %31
    <   %3 = icmp slt i32 0, %1
    <   br i1 %3, label %.lr.ph, label %31

in function printList:
  in block %3 / %3:
    >   %4 = icmp sgt i32 %1, 0
    >   br i1 %4, label %.lr.ph, label %16
    <   %4 = icmp slt i32 0, %1
    <   br i1 %4, label %.lr.ph, label %16

in function recSearch:
  in block %.preheader4 / %.preheader1:
    >   %.027 = phi i32 [ 1, %.preheader2 ], [ %92, %91 ]
    <   %.0211 = phi i32 [ 1, %.preheader5 ], [ %93, %92 ]
        %32 = load i32, ptr @listLength, align 4
        %33 = add nsw i32 %32, %0
    >   %34 = icmp sgt i32 %33, 0
    >   br i1 %34, label %.lr.ph6, label %91
    <   %34 = icmp slt i32 0, %33
    <   br i1 %34, label %.lr.ph10, label %92

in function doSearch:
  in block %0 / %0:
    >   %2 = icmp sgt i32 %1, 0
    >   br i1 %2, label %.lr.ph, label %20
    <   %2 = icmp slt i32 0, %1
    <   br i1 %2, label %.lr.ph, label %20

in function getInput:
  in block %15 / %15:
    >   %16 = icmp eq i32 %.0, 0
    >   %17 = add nsw i32 %.0, -1
    >   %18 = select i1 %16, i32 3, i32 %17
    >   store i32 %18, ptr @listLength, align 4
    >   %19 = sext i32 %18 to i64
    >   %20 = getelementptr inbounds [4 x i8], ptr %1, i64 %19
    >   %21 = load i32, ptr %20, align 4
    >   store i32 %21, ptr @goal, align 4
    >   %22 = shl nsw i32 %18, 1
    <   %.0.lcssa = phi i32 [ %.0, %5 ], [ %.0, %5 ]
    <   %16 = icmp eq i32 %.0.lcssa, 0
    <   %17 = add nsw i32 %.0.lcssa, -1
    <   %18 = select i1 %16, i32 3, i32 %17
    <   store i32 %18, ptr @listLength, align 4
    <   %19 = sext i32 %18 to i64
    <   %20 = getelementptr inbounds [4 x i8], ptr %1, i64 %19
    <   %21 = load i32, ptr %20, align 4
    <   store i32 %21, ptr @goal, align 4
    <   %22 = shl nsw i32 %18, 1"
instcombine,licm,false,results\paper_full\McGill_exptree\round_002\analysis\McGill_exptree\commutativity\instcombine__then__licm.ll,results\paper_full\McGill_exptree\round_002\analysis\McGill_exptree\commutativity\licm__then__instcombine.ll,"in function getInput:
  in block %15 / %15:
    >   %16 = icmp eq i32 %.0, 0
    >   %17 = add nsw i32 %.0, -1
    >   %18 = select i1 %16, i32 3, i32 %17
    >   store i32 %18, ptr @listLength, align 4
    >   %19 = sext i32 %18 to i64
    >   %20 = getelementptr inbounds [4 x i8], ptr %1, i64 %19
    >   %21 = load i32, ptr %20, align 4
    >   store i32 %21, ptr @goal, align 4
    >   %22 = shl nsw i32 %18, 1
    <   %.0.lcssa = phi i32 [ %.0, %5 ], [ %.0, %5 ]
    <   %16 = icmp eq i32 %.0.lcssa, 0
    <   %17 = add nsw i32 %.0.lcssa, -1
    <   %18 = select i1 %16, i32 3, i32 %17
    <   store i32 %18, ptr @listLength, align 4
    <   %19 = sext i32 %18 to i64
    <   %20 = getelementptr inbounds [4 x i8], ptr %1, i64 %19
    <   %21 = load i32, ptr %20, align 4
    <   store i32 %21, ptr @goal, align 4
    <   %22 = shl nsw i32 %18, 1"
instcombine,indvars,false,results\paper_full\McGill_exptree\round_002\analysis\McGill_exptree\commutativity\instcombine__then__indvars.ll,results\paper_full\McGill_exptree\round_002\analysis\McGill_exptree\commutativity\indvars__then__instcombine.ll,"in function initWorkList:
  in block %4 / %4:
    >   %indvars.iv = phi i64 [ %indvars.iv.next, %5 ], [ 0, %3 ]
    >   %exitcond.not = icmp eq i64 %indvars.iv, %wide.trip.count
    >   br i1 %exitcond.not, label %9, label %5
    <   %indvars.iv = phi i64 [ %indvars.iv.next, %5 ], [ 0, %3 ]
    <   %exitcond = icmp ne i64 %indvars.iv, %wide.trip.count
    <   br i1 %exitcond, label %5, label %9

in function initCombList:
  in block %3 / %3:
    >   %indvars.iv = phi i64 [ %indvars.iv.next, %4 ], [ 0, %2 ]
    >   %exitcond.not = icmp eq i64 %indvars.iv, %wide.trip.count
    >   br i1 %exitcond.not, label %7, label %4
    <   %indvars.iv = phi i64 [ %indvars.iv.next, %4 ], [ 0, %2 ]
    <   %exitcond = icmp ne i64 %indvars.iv, %wide.trip.count
    <   br i1 %exitcond, label %4, label %7

in function saveSolution:
  in block %4 / %4:
    >   %indvars.iv = phi i64 [ %indvars.iv.next, %5 ], [ 0, %3 ]
    >   %exitcond.not = icmp eq i64 %indvars.iv, %wide.trip.count
    >   br i1 %exitcond.not, label %15, label %5
    <   %indvars.iv = phi i64 [ %indvars.iv.next, %5 ], [ 0, %3 ]
    <   %exitcond = icmp ne i64 %indvars.iv, %wide.trip.count
    <   br i1 %exitcond, label %5, label %15

in function printSolution:
  in block %3 / %3:
    >   %indvars.iv = phi i64 [ %indvars.iv.next, %28 ], [ 0, %2 ]
    >   %exitcond.not = icmp eq i64 %indvars.iv, %wide.trip.count
    >   br i1 %exitcond.not, label %29, label %4
    <   %indvars.iv = phi i64 [ %indvars.iv.next, %28 ], [ 0, %2 ]
    <   %exitcond = icmp ne i64 %indvars.iv, %wide.trip.count
    <   br i1 %exitcond, label %4, label %29

in function printList:
  in block %4 / %4:
    >   %indvars.iv = phi i64 [ %indvars.iv.next, %13 ], [ 0, %3 ]
    >   %exitcond.not = icmp eq i64 %indvars.iv, %wide.trip.count
    >   br i1 %exitcond.not, label %14, label %5
    <   %indvars.iv = phi i64 [ %indvars.iv.next, %13 ], [ 0, %3 ]
    <   %exitcond = icmp ne i64 %indvars.iv, %wide.trip.count
    <   br i1 %exitcond, label %5, label %14

in function recSearch:
  in block %32 / %32:
    >   %.02 = phi i32 [ %90, %89 ], [ 1, %.preheader2 ]
    >   %exitcond8.not = icmp eq i32 %.02, 5
    >   br i1 %exitcond8.not, label %.loopexit3, label %.preheader1
    <   %.02 = phi i32 [ %90, %89 ], [ 1, %.preheader5 ]
    <   %exitcond11 = icmp ne i32 %.02, 5
    <   br i1 %exitcond11, label %.preheader4, label %.loopexit6

in function getInput:
  in block %5 / %5:
    >   %indvars.iv = phi i64 [ %indvars.iv.next, %7 ], [ 0, %0 ]
    <   %indvars.iv = phi i64 [ %indvars.iv.next, %8 ], [ 0, %0 ]
        %6 = call i32 @getchar() #8
    <   %7 = trunc nuw nsw i64 %indvars.iv to i32"
