pass_a,pass_b,commute,ab_path,ba_path,details
instcombine,simplifycfg,false,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\instcombine__then__simplifycfg.ll,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\simplifycfg__then__instcombine.ll,"in function main:
  in block %5 / %5:
    >   %.05 = phi i32 [ 1, %0 ], [ %11, %7 ]
    >   %.0 = phi double [ %2, %0 ], [ %8, %7 ]
    <   %.05 = phi i32 [ 1, %0 ], [ %11, %7 ]
    <   %.0 = phi double [ %2, %0 ], [ %10, %7 ]
  in block %7 / %7:
    >   %8 = fneg double %.0
        %8 = load double, ptr @sa, align 8
        %9 = fsub double %8, %.0
        store double %9, ptr @sa, align 8
    <   %10 = fneg double %.0
  in block %14 / %14:
    >   %.16 = phi i32 [ 1, %12 ], [ %25, %16 ]
    >   %.03 = phi double [ 0.000000e+00, %12 ], [ %24, %16 ]
    >   %.02 = phi double [ 0.000000e+00, %12 ], [ %22, %16 ]
    >   %.01 = phi double [ %13, %12 ], [ %21, %16 ]
    >   %.1 = phi double [ %.0, %12 ], [ %17, %16 ]
    <   %.16 = phi i32 [ 1, %12 ], [ %25, %16 ]
    <   %.03 = phi double [ 0.000000e+00, %12 ], [ %23, %16 ]
    <   %.02 = phi double [ 0.000000e+00, %12 ], [ %24, %16 ]
    <   %.01 = phi double [ %13, %12 ], [ %20, %16 ]
    <   %.1 = phi double [ %.0, %12 ], [ %21, %16 ]
  in block %16 / %16:
    >   %17 = fneg double %.1
        %17 = load double, ptr @sa, align 8
        %18 = fsub double %17, %.1
        store double %18, ptr @sa, align 8
        %19 = load double, ptr @two, align 8
        %20 = fadd double %.01, %19
    >   %22 = call double @llvm.fmuladd.f64(double %.1, double %21, double %.02)
    <   %21 = fneg double %.1
        %22 = fdiv double %.1, %20
        %23 = fsub double %.03, %22
    <   %24 = call double @llvm.fmuladd.f64(double %.1, double %20, double %.02)"
instcombine,dce,true,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\instcombine__then__dce.ll,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\dce__then__instcombine.ll,
instcombine,early-cse,true,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\instcombine__then__early-cse.ll,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\early-cse__then__instcombine.ll,
instcombine,gvn,false,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\instcombine__then__gvn.ll,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\gvn__then__instcombine.ll,"in function main:
  in block %5 / %5:
    >   %6 = phi double [ %4, %0 ], [ %10, %8 ]
    >   %.05 = phi i32 [ 1, %0 ], [ %11, %8 ]
    >   %.0 = phi double [ %2, %0 ], [ %9, %8 ]
    <   %6 = phi double [ %4, %0 ], [ %9, %8 ]
    <   %.05 = phi i32 [ 1, %0 ], [ %11, %8 ]
    <   %.0 = phi double [ %2, %0 ], [ %10, %8 ]
  in block %8 / %8:
    >   %9 = fneg double %.0
        %9 = fsub double %6, %.0
        store double %9, ptr @sa, align 8
    <   %10 = fneg double %.0
  in block %13 / %13:
    >   %14 = phi double [ %6, %12 ], [ %18, %16 ]
    >   %.16 = phi i32 [ 1, %12 ], [ %24, %16 ]
    >   %.03 = phi double [ 0.000000e+00, %12 ], [ %23, %16 ]
    >   %.02 = phi double [ 0.000000e+00, %12 ], [ %21, %16 ]
    >   %.01 = phi double [ %6, %12 ], [ %20, %16 ]
    >   %.1 = phi double [ %.0, %12 ], [ %17, %16 ]
    <   %14 = phi double [ %6, %12 ], [ %17, %16 ]
    <   %.16 = phi i32 [ 1, %12 ], [ %24, %16 ]
    <   %.03 = phi double [ 0.000000e+00, %12 ], [ %22, %16 ]
    <   %.02 = phi double [ 0.000000e+00, %12 ], [ %23, %16 ]
    <   %.01 = phi double [ %6, %12 ], [ %19, %16 ]
    <   %.1 = phi double [ %.0, %12 ], [ %20, %16 ]
  in block %16 / %16:
    >   %17 = fneg double %.1
        %17 = fsub double %14, %.1
        store double %17, ptr @sa, align 8
        %18 = load double, ptr @two, align 8
        %19 = fadd double %.01, %18
    >   %21 = call double @llvm.fmuladd.f64(double %.1, double %20, double %.02)
    <   %20 = fneg double %.1
        %21 = fdiv double %.1, %19
        %22 = fsub double %.03, %21
    <   %23 = call double @llvm.fmuladd.f64(double %.1, double %19, double %.02)"
instcombine,adce,true,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\instcombine__then__adce.ll,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\adce__then__instcombine.ll,
instcombine,loop-simplify,true,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\instcombine__then__loop-simplify.ll,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\loop-simplify__then__instcombine.ll,
instcombine,loop-rotate,false,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\instcombine__then__loop-rotate.ll,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\loop-rotate__then__instcombine.ll,"in function main:
  in block %5 / %5:
    >   %.06 = phi double [ %2, %0 ], [ %9, %8 ]
    >   %.051 = phi i32 [ 1, %0 ], [ %10, %8 ]
    <   %.04 = phi double [ %2, %0 ], [ %9, %8 ]
    <   %.053 = phi i32 [ 1, %0 ], [ %10, %8 ]
  in block %8 / %8:
    >   %11 = icmp samesign ult i32 %.051, 156250000
    >   br i1 %11, label %5, label %12, !llvm.loop !7
    <   %11 = icmp samesign ult i32 %10, 156250001
    <   br i1 %11, label %5, label %12, !llvm.loop !7"
instcombine,licm,false,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\instcombine__then__licm.ll,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\licm__then__instcombine.ll,"in function main:
  in block %0 / %0:
    <   %sa.promoted = load double, ptr @sa, align 8"
instcombine,indvars,false,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\instcombine__then__indvars.ll,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\indvars__then__instcombine.ll,"in function main:
  in block %5 / %5:
    >   %.05 = phi i32 [ 1, %0 ], [ %11, %9 ]
    >   %.0 = phi double [ %2, %0 ], [ %10, %9 ]
    >   %exitcond.not = icmp eq i32 %.05, 156250001
    >   br i1 %exitcond.not, label %12, label %6
    <   %.05 = phi i32 [ 1, %0 ], [ %11, %9 ]
    <   %.0 = phi double [ %2, %0 ], [ %10, %9 ]
    <   %exitcond = icmp ne i32 %.05, 156250001
    <   br i1 %exitcond, label %6, label %12"
instcombine,loop-unroll,false,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\instcombine__then__loop-unroll.ll,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\loop-unroll__then__instcombine.ll,"in function main:
  in block %5 / %5:
    >   %.05 = phi i32 [ 1, %0 ], [ %15, %14 ]
    >   %6 = icmp samesign ult i32 %.05, 156250001
    >   br i1 %6, label %7, label %16
    <   %.05 = phi i32 [ 1, %0 ], [ %16, %15 ]
    <   %.0 = phi double [ %2, %0 ], [ %.0, %15 ]
    <   %6 = icmp samesign ult i32 %.05, 156250001
    <   br i1 %6, label %7, label %17"
instcombine,reassociate,true,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\instcombine__then__reassociate.ll,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\reassociate__then__instcombine.ll,
simplifycfg,dce,true,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\simplifycfg__then__dce.ll,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\dce__then__simplifycfg.ll,
simplifycfg,early-cse,true,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\simplifycfg__then__early-cse.ll,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\early-cse__then__simplifycfg.ll,
simplifycfg,gvn,true,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\simplifycfg__then__gvn.ll,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\gvn__then__simplifycfg.ll,
simplifycfg,adce,true,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\simplifycfg__then__adce.ll,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\adce__then__simplifycfg.ll,
simplifycfg,loop-simplify,true,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\simplifycfg__then__loop-simplify.ll,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\loop-simplify__then__simplifycfg.ll,
simplifycfg,loop-rotate,true,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\simplifycfg__then__loop-rotate.ll,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\loop-rotate__then__simplifycfg.ll,
simplifycfg,licm,true,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\simplifycfg__then__licm.ll,results\paper_full\Misc_flops_2\round_001\analysis\Misc_flops_2\commutativity\licm__then__simplifycfg.ll,
