pass_a,pass_b,classification,dependency_kinds,dependency_strength,read_write_strength,enablement_strength,uncertainty_risk,wa_intersect_rb,wb_intersect_ra,wa_intersect_wb,strong_intersections,weak_intersections,intersection_token_kinds,overlap_pattern,enablement_edge_kinds,enablement_edges,enablement_evidence
early-cse,gvn,independent,,none,none,none,none,,,,,,,none,,,
early-cse,indvars,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,indvars->early-cse,kind=activation round=1 prefix=indvars writes=inst:main:%.0.lcssa
early-cse,instcombine,independent,,none,none,none,none,,,,,,,none,,,
early-cse,licm,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,licm->early-cse,kind=activation round=1 prefix=licm writes=inst:main:%.0.lcssa
early-cse,loop-rotate,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,loop-rotate->early-cse,kind=activation round=1 prefix=loop-rotate writes=inst:main:%.0.lcssa
early-cse,loop-unroll,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,loop-unroll->early-cse,kind=activation round=1 prefix=loop-unroll writes=inst:main:%.0.lcssa
gvn,indvars,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,indvars->gvn,kind=activation round=1 prefix=indvars writes=inst:main:%.0.lcssa
gvn,instcombine,independent,,none,none,none,none,,,,,,,none,,,
gvn,licm,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,licm->gvn,kind=activation round=1 prefix=licm writes=inst:main:%.0.lcssa
gvn,loop-rotate,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,loop-rotate->gvn,kind=activation round=1 prefix=loop-rotate writes=inst:main:%.0.lcssa
gvn,loop-unroll,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,loop-unroll->gvn,kind=activation round=1 prefix=loop-unroll writes=inst:main:%.0.lcssa
indvars,instcombine,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,indvars->instcombine,kind=activation round=1 prefix=indvars writes=inst:main:%.0.lcssa;inst:main:%exitcond;inst:main:%exitcond.not;inst:main:bb1:1:br;inst:main:bb1:1:store;inst:main:bb1:2:store;inst:main:bb1:3:store;inst:main:bb1:4:ret;inst:main:bb2:1:br;inst:main:bb2:1:store;inst:main:bb2:2:store;inst:main:bb2:3:store;inst:main:bb2:4:ret;loop:main:bb0
indvars,licm,dependent,read_write,strong,strong,none,none,,,inst:main:%.0.lcssa,inst:main:%.0.lcssa,,inst,write_write_only,,,
