pass_a,pass_b,commute,ab_path,ba_path,details
mem2reg,instcombine,true,results\paper_full\Shootout_ary3\round_001\analysis\Shootout_ary3\commutativity\mem2reg__then__instcombine.ll,results\paper_full\Shootout_ary3\round_001\analysis\Shootout_ary3\commutativity\instcombine__then__mem2reg.ll,
mem2reg,simplifycfg,true,results\paper_full\Shootout_ary3\round_001\analysis\Shootout_ary3\commutativity\mem2reg__then__simplifycfg.ll,results\paper_full\Shootout_ary3\round_001\analysis\Shootout_ary3\commutativity\simplifycfg__then__mem2reg.ll,
mem2reg,sroa,true,results\paper_full\Shootout_ary3\round_001\analysis\Shootout_ary3\commutativity\mem2reg__then__sroa.ll,results\paper_full\Shootout_ary3\round_001\analysis\Shootout_ary3\commutativity\sroa__then__mem2reg.ll,
mem2reg,early-cse,true,results\paper_full\Shootout_ary3\round_001\analysis\Shootout_ary3\commutativity\mem2reg__then__early-cse.ll,results\paper_full\Shootout_ary3\round_001\analysis\Shootout_ary3\commutativity\early-cse__then__mem2reg.ll,
mem2reg,gvn,true,results\paper_full\Shootout_ary3\round_001\analysis\Shootout_ary3\commutativity\mem2reg__then__gvn.ll,results\paper_full\Shootout_ary3\round_001\analysis\Shootout_ary3\commutativity\gvn__then__mem2reg.ll,
mem2reg,sccp,true,results\paper_full\Shootout_ary3\round_001\analysis\Shootout_ary3\commutativity\mem2reg__then__sccp.ll,results\paper_full\Shootout_ary3\round_001\analysis\Shootout_ary3\commutativity\sccp__then__mem2reg.ll,
mem2reg,loop-simplify,true,results\paper_full\Shootout_ary3\round_001\analysis\Shootout_ary3\commutativity\mem2reg__then__loop-simplify.ll,results\paper_full\Shootout_ary3\round_001\analysis\Shootout_ary3\commutativity\loop-simplify__then__mem2reg.ll,
mem2reg,loop-rotate,true,results\paper_full\Shootout_ary3\round_001\analysis\Shootout_ary3\commutativity\mem2reg__then__loop-rotate.ll,results\paper_full\Shootout_ary3\round_001\analysis\Shootout_ary3\commutativity\loop-rotate__then__mem2reg.ll,
mem2reg,licm,true,results\paper_full\Shootout_ary3\round_001\analysis\Shootout_ary3\commutativity\mem2reg__then__licm.ll,results\paper_full\Shootout_ary3\round_001\analysis\Shootout_ary3\commutativity\licm__then__mem2reg.ll,
mem2reg,indvars,true,results\paper_full\Shootout_ary3\round_001\analysis\Shootout_ary3\commutativity\mem2reg__then__indvars.ll,results\paper_full\Shootout_ary3\round_001\analysis\Shootout_ary3\commutativity\indvars__then__mem2reg.ll,
