round,edge_kind,enabler,enabled,prefix,reads_after_prefix,writes_after_prefix,new_writes_after_prefix,changed_writes_after_prefix
1,expansion,instcombine,loop-rotate,instcombine,bb:main:bb7;bb:main:bb8;bb:main:bb9;inst:main:%15;inst:main:%16;inst:main:%18;inst:main:%20;inst:main:%22;inst:main:%24;inst:main:%25;inst:main:%26;inst:main:%27;inst:main:%28;inst:main:%30;inst:main:%32;inst:main:%33;inst:main:%34;inst:main:%35;inst:main:%36;inst:main:%indvars.iv;inst:main:%indvars.iv2;inst:main:bb1:1:br;inst:main:bb2:1:br;inst:main:bb3:1:br;inst:main:bb4:1:store;inst:main:bb4:2:br;inst:main:bb5:1:br;inst:main:bb7:1:br;inst:main:bb8:1:store;inst:main:bb8:2:br;inst:main:bb9:1:br;loop:main:bb2;loop:main:bb5;loop:main:bb7,bb:main:._crit_edge;bb:main:._crit_edge6;bb:main:.lr.ph;bb:main:.lr.ph5;bb:main:.preheader;bb:main:bb7;bb:main:bb8;bb:main:bb9;inst:main:%14;inst:main:%15;inst:main:%16;inst:main:%17;inst:main:%18;inst:main:%19;inst:main:%20;inst:main:%21;inst:main:%22;inst:main:%23;inst:main:%24;inst:main:%25;inst:main:%26;inst:main:%27;inst:main:%28;inst:main:%30;inst:main:%31;inst:main:%32;inst:main:%33;inst:main:%34;inst:main:%35;inst:main:%36;inst:main:%exitcond.not1;inst:main:%indvars.iv;inst:main:%indvars.iv2;inst:main:%indvars.iv24;inst:main:%indvars.iv3;inst:main:._crit_edge6:1:br;inst:main:._crit_edge:1:br;inst:main:.lr.ph5:1:br;inst:main:.lr.ph:1:br;inst:main:.preheader:1:br;inst:main:bb1:1:br;inst:main:bb2:1:br;inst:main:bb3:1:br;inst:main:bb3:1:store;inst:main:bb3:2:br;inst:main:bb4:1:br;inst:main:bb4:1:store;inst:main:bb4:2:br;inst:main:bb5:1:br;inst:main:bb5:1:store;inst:main:bb5:2:br;inst:main:bb7:1:br;inst:main:bb8:1:store;inst:main:bb8:2:br;inst:main:bb9:1:br;loop:main:._crit_edge;loop:main:bb2;loop:main:bb5;loop:main:bb6;loop:main:bb7,inst:main:%exitcond.not1;inst:main:bb3:1:br;inst:main:bb3:1:store;inst:main:bb4:1:store;inst:main:bb4:2:br;inst:main:bb7:1:br;loop:main:._crit_edge;loop:main:bb7,loop:main:bb6
1,activation,early-cse,simplifycfg,early-cse,bb:main:bb9;inst:main:%19;inst:main:%21;inst:main:%23;inst:main:%24;inst:main:%25;inst:main:%26;inst:main:%27;inst:main:%29;inst:main:%31;inst:main:%32;inst:main:%33;inst:main:%34;inst:main:%35;inst:main:bb4:1:br;inst:main:bb6:1:br;inst:main:bb7:1:call;inst:main:bb7:2:call;inst:main:bb7:3:ret;inst:main:bb8:1:store;inst:main:bb8:2:br;inst:main:bb9:1:br;loop:main:bb5;loop:main:bb6,bb:main:bb9;inst:main:%18;inst:main:%19;inst:main:%20;inst:main:%21;inst:main:%22;inst:main:%23;inst:main:%24;inst:main:%25;inst:main:%26;inst:main:%27;inst:main:%28;inst:main:%29;inst:main:%30;inst:main:%31;inst:main:%32;inst:main:%33;inst:main:%34;inst:main:%35;inst:main:bb4:1:br;inst:main:bb6:1:br;inst:main:bb6:1:call;inst:main:bb6:2:call;inst:main:bb6:3:ret;inst:main:bb7:1:call;inst:main:bb7:1:store;inst:main:bb7:2:br;inst:main:bb7:2:call;inst:main:bb7:3:ret;inst:main:bb8:1:br;inst:main:bb8:1:store;inst:main:bb8:2:br;inst:main:bb9:1:br;loop:main:bb4;loop:main:bb5;loop:main:bb6,bb:main:bb9;inst:main:%18;inst:main:%19;inst:main:%20;inst:main:%21;inst:main:%22;inst:main:%23;inst:main:%24;inst:main:%25;inst:main:%26;inst:main:%27;inst:main:%28;inst:main:%29;inst:main:%30;inst:main:%31;inst:main:%32;inst:main:%33;inst:main:%34;inst:main:%35;inst:main:bb4:1:br;inst:main:bb6:1:br;inst:main:bb6:1:call;inst:main:bb6:2:call;inst:main:bb6:3:ret;inst:main:bb7:1:call;inst:main:bb7:1:store;inst:main:bb7:2:br;inst:main:bb7:2:call;inst:main:bb7:3:ret;inst:main:bb8:1:br;inst:main:bb8:1:store;inst:main:bb8:2:br;inst:main:bb9:1:br;loop:main:bb4;loop:main:bb5;loop:main:bb6,
1,expansion,early-cse,sccp,early-cse,inst:main:%23;inst:main:%25;inst:main:%wide.trip.count,inst:main:%23;inst:main:%25;inst:main:%wide.trip.count,inst:main:%23;inst:main:%25,
1,expansion,early-cse,loop-rotate,early-cse,bb:main:bb7;bb:main:bb8;bb:main:bb9;inst:main:%15;inst:main:%16;inst:main:%19;inst:main:%21;inst:main:%23;inst:main:%24;inst:main:%25;inst:main:%26;inst:main:%27;inst:main:%29;inst:main:%31;inst:main:%32;inst:main:%33;inst:main:%34;inst:main:%35;inst:main:%indvars.iv;inst:main:%indvars.iv2;inst:main:bb1:1:br;inst:main:bb2:1:br;inst:main:bb3:2:br;inst:main:bb4:1:br;inst:main:bb5:1:br;inst:main:bb6:1:br;inst:main:bb7:1:call;inst:main:bb7:2:call;inst:main:bb7:3:ret;inst:main:bb8:1:store;inst:main:bb8:2:br;inst:main:bb9:1:br;loop:main:bb2;loop:main:bb5;loop:main:bb6,bb:main:._crit_edge;bb:main:._crit_edge6;bb:main:.lr.ph;bb:main:.lr.ph5;bb:main:.preheader;bb:main:bb7;bb:main:bb8;bb:main:bb9;inst:main:%14;inst:main:%15;inst:main:%16;inst:main:%17;inst:main:%18;inst:main:%19;inst:main:%20;inst:main:%21;inst:main:%22;inst:main:%23;inst:main:%24;inst:main:%25;inst:main:%26;inst:main:%27;inst:main:%29;inst:main:%30;inst:main:%31;inst:main:%32;inst:main:%33;inst:main:%34;inst:main:%35;inst:main:%exitcond1;inst:main:%indvars.iv;inst:main:%indvars.iv2;inst:main:%indvars.iv24;inst:main:%indvars.iv3;inst:main:._crit_edge6:1:br;inst:main:._crit_edge:1:br;inst:main:.lr.ph5:1:br;inst:main:.lr.ph:1:br;inst:main:.preheader:1:br;inst:main:bb1:1:br;inst:main:bb2:1:br;inst:main:bb3:2:br;inst:main:bb4:1:br;inst:main:bb5:1:br;inst:main:bb5:1:store;inst:main:bb5:2:br;inst:main:bb6:1:br;inst:main:bb6:1:call;inst:main:bb6:2:call;inst:main:bb6:3:ret;inst:main:bb7:1:call;inst:main:bb7:2:call;inst:main:bb7:3:ret;inst:main:bb8:1:store;inst:main:bb8:2:br;inst:main:bb9:1:br;loop:main:.preheader;loop:main:bb2;loop:main:bb3;loop:main:bb5;loop:main:bb6,inst:main:%29,inst:main:%17;inst:main:%18;inst:main:%19;inst:main:%20;inst:main:%21;inst:main:%22;inst:main:%23;inst:main:%24;inst:main:%25;inst:main:%26;inst:main:%27;inst:main:%30;inst:main:%31;inst:main:%32;inst:main:%33;inst:main:%34
1,expansion,early-cse,loop-unroll,early-cse,inst:main:%19;inst:main:%29;inst:main:%31;inst:main:%32;inst:main:%33;inst:main:%34;inst:main:%35;inst:main:bb6:1:br;inst:main:bb7:1:call;inst:main:bb7:2:call;inst:main:bb7:3:ret;inst:main:bb9:1:br;loop:main:bb5;loop:main:bb6,bb:main:.preheader;bb:main:.preheader.1;bb:main:bb10;bb:main:bb11;bb:main:bb12;inst:main:%19;inst:main:%29;inst:main:%30;inst:main:%31;inst:main:%32;inst:main:%33;inst:main:%34;inst:main:%35;inst:main:%36;inst:main:%37;inst:main:%38;inst:main:%40;inst:main:%41;inst:main:%42;inst:main:%43;inst:main:%44;inst:main:%indvars.iv.next3.1;inst:main:%indvars.iv2.1;inst:main:.preheader.1:1:br;inst:main:.preheader:1:br;inst:main:bb10:1:br;inst:main:bb11:1:store;inst:main:bb11:2:br;inst:main:bb12:1:br;inst:main:bb6:1:br;inst:main:bb6:1:call;inst:main:bb6:2:call;inst:main:bb6:3:ret;inst:main:bb7:1:br;inst:main:bb7:1:call;inst:main:bb7:2:call;inst:main:bb7:3:ret;inst:main:bb9:1:br;loop:main:bb10;loop:main:bb5;loop:main:bb6;loop:main:bb7,inst:main:%19;inst:main:%29;inst:main:%40,inst:main:%30;inst:main:%31;inst:main:%32;inst:main:%33;inst:main:%34;inst:main:%35;inst:main:%36;inst:main:%37;inst:main:%38;inst:main:%41;inst:main:%42;inst:main:%43;inst:main:%44
1,activation,gvn,simplifycfg,gvn,bb:main:bb9;inst:main:%19;inst:main:%21;inst:main:%23;inst:main:%24;inst:main:%25;inst:main:%26;inst:main:%27;inst:main:%29;inst:main:%31;inst:main:%32;inst:main:%33;inst:main:%34;inst:main:%35;inst:main:bb4:1:br;inst:main:bb6:1:br;inst:main:bb7:1:call;inst:main:bb7:2:call;inst:main:bb7:3:ret;inst:main:bb8:1:store;inst:main:bb8:2:br;inst:main:bb9:1:br;loop:main:bb5;loop:main:bb6,bb:main:bb9;inst:main:%18;inst:main:%19;inst:main:%20;inst:main:%21;inst:main:%22;inst:main:%23;inst:main:%24;inst:main:%25;inst:main:%26;inst:main:%27;inst:main:%28;inst:main:%29;inst:main:%30;inst:main:%31;inst:main:%32;inst:main:%33;inst:main:%34;inst:main:%35;inst:main:bb4:1:br;inst:main:bb6:1:br;inst:main:bb6:1:call;inst:main:bb6:2:call;inst:main:bb6:3:ret;inst:main:bb7:1:call;inst:main:bb7:1:store;inst:main:bb7:2:br;inst:main:bb7:2:call;inst:main:bb7:3:ret;inst:main:bb8:1:br;inst:main:bb8:1:store;inst:main:bb8:2:br;inst:main:bb9:1:br;loop:main:bb4;loop:main:bb5;loop:main:bb6,bb:main:bb9;inst:main:%18;inst:main:%19;inst:main:%20;inst:main:%21;inst:main:%22;inst:main:%23;inst:main:%24;inst:main:%25;inst:main:%26;inst:main:%27;inst:main:%28;inst:main:%29;inst:main:%30;inst:main:%31;inst:main:%32;inst:main:%33;inst:main:%34;inst:main:%35;inst:main:bb4:1:br;inst:main:bb6:1:br;inst:main:bb6:1:call;inst:main:bb6:2:call;inst:main:bb6:3:ret;inst:main:bb7:1:call;inst:main:bb7:1:store;inst:main:bb7:2:br;inst:main:bb7:2:call;inst:main:bb7:3:ret;inst:main:bb8:1:br;inst:main:bb8:1:store;inst:main:bb8:2:br;inst:main:bb9:1:br;loop:main:bb4;loop:main:bb5;loop:main:bb6,
1,expansion,gvn,sccp,gvn,inst:main:%23;inst:main:%25;inst:main:%wide.trip.count,inst:main:%23;inst:main:%25;inst:main:%wide.trip.count,inst:main:%23;inst:main:%25,
1,expansion,gvn,loop-rotate,gvn,bb:main:bb7;bb:main:bb8;bb:main:bb9;inst:main:%15;inst:main:%16;inst:main:%19;inst:main:%21;inst:main:%23;inst:main:%24;inst:main:%25;inst:main:%26;inst:main:%27;inst:main:%29;inst:main:%31;inst:main:%32;inst:main:%33;inst:main:%34;inst:main:%35;inst:main:%indvars.iv;inst:main:%indvars.iv2;inst:main:bb1:1:br;inst:main:bb2:1:br;inst:main:bb3:2:br;inst:main:bb4:1:br;inst:main:bb5:1:br;inst:main:bb6:1:br;inst:main:bb7:1:call;inst:main:bb7:2:call;inst:main:bb7:3:ret;inst:main:bb8:1:store;inst:main:bb8:2:br;inst:main:bb9:1:br;loop:main:bb2;loop:main:bb5;loop:main:bb6,bb:main:._crit_edge;bb:main:._crit_edge6;bb:main:.lr.ph;bb:main:.lr.ph5;bb:main:.preheader;bb:main:bb7;bb:main:bb8;bb:main:bb9;inst:main:%14;inst:main:%15;inst:main:%16;inst:main:%17;inst:main:%18;inst:main:%19;inst:main:%20;inst:main:%21;inst:main:%22;inst:main:%23;inst:main:%24;inst:main:%25;inst:main:%26;inst:main:%27;inst:main:%29;inst:main:%30;inst:main:%31;inst:main:%32;inst:main:%33;inst:main:%34;inst:main:%35;inst:main:%exitcond1;inst:main:%indvars.iv;inst:main:%indvars.iv2;inst:main:%indvars.iv24;inst:main:%indvars.iv3;inst:main:._crit_edge6:1:br;inst:main:._crit_edge:1:br;inst:main:.lr.ph5:1:br;inst:main:.lr.ph:1:br;inst:main:.preheader:1:br;inst:main:bb1:1:br;inst:main:bb2:1:br;inst:main:bb3:2:br;inst:main:bb4:1:br;inst:main:bb5:1:br;inst:main:bb5:1:store;inst:main:bb5:2:br;inst:main:bb6:1:br;inst:main:bb6:1:call;inst:main:bb6:2:call;inst:main:bb6:3:ret;inst:main:bb7:1:call;inst:main:bb7:2:call;inst:main:bb7:3:ret;inst:main:bb8:1:store;inst:main:bb8:2:br;inst:main:bb9:1:br;loop:main:.preheader;loop:main:bb2;loop:main:bb3;loop:main:bb5;loop:main:bb6,inst:main:%29,inst:main:%17;inst:main:%18;inst:main:%19;inst:main:%20;inst:main:%21;inst:main:%22;inst:main:%23;inst:main:%24;inst:main:%25;inst:main:%26;inst:main:%27;inst:main:%30;inst:main:%31;inst:main:%32;inst:main:%33;inst:main:%34
1,expansion,gvn,loop-unroll,gvn,inst:main:%19;inst:main:%29;inst:main:%31;inst:main:%32;inst:main:%33;inst:main:%34;inst:main:%35;inst:main:bb6:1:br;inst:main:bb7:1:call;inst:main:bb7:2:call;inst:main:bb7:3:ret;inst:main:bb9:1:br;loop:main:bb5;loop:main:bb6,bb:main:.preheader;bb:main:.preheader.1;bb:main:bb10;bb:main:bb11;bb:main:bb12;inst:main:%19;inst:main:%29;inst:main:%30;inst:main:%31;inst:main:%32;inst:main:%33;inst:main:%34;inst:main:%35;inst:main:%36;inst:main:%37;inst:main:%38;inst:main:%40;inst:main:%41;inst:main:%42;inst:main:%43;inst:main:%44;inst:main:%indvars.iv.next3.1;inst:main:%indvars.iv2.1;inst:main:.preheader.1:1:br;inst:main:.preheader:1:br;inst:main:bb10:1:br;inst:main:bb11:1:store;inst:main:bb11:2:br;inst:main:bb12:1:br;inst:main:bb6:1:br;inst:main:bb6:1:call;inst:main:bb6:2:call;inst:main:bb6:3:ret;inst:main:bb7:1:br;inst:main:bb7:1:call;inst:main:bb7:2:call;inst:main:bb7:3:ret;inst:main:bb9:1:br;loop:main:bb10;loop:main:bb5;loop:main:bb6;loop:main:bb7,inst:main:%19;inst:main:%29;inst:main:%40,inst:main:%30;inst:main:%31;inst:main:%32;inst:main:%33;inst:main:%34;inst:main:%35;inst:main:%36;inst:main:%37;inst:main:%38;inst:main:%41;inst:main:%42;inst:main:%43;inst:main:%44
1,mutation,sccp,early-cse,sccp,inst:main:%18;inst:main:%20;inst:main:%22;inst:main:%24;inst:main:%25;inst:main:%26;inst:main:%27;inst:main:%28;inst:main:%30;inst:main:%32;inst:main:%33;inst:main:%34;inst:main:%35;inst:main:%36,inst:main:%18;inst:main:%19;inst:main:%20;inst:main:%21;inst:main:%22;inst:main:%23;inst:main:%24;inst:main:%25;inst:main:%26;inst:main:%27;inst:main:%28;inst:main:%29;inst:main:%30;inst:main:%31;inst:main:%32;inst:main:%33;inst:main:%34;inst:main:%35;inst:main:%36,,inst:main:%23;inst:main:%25
