round,benchmark,pass,scheduler_class,blocking_reasons,incident_pairs,safe_edge_count,total_edge_count,safe_edge_ratio
0,Shootout_ary3,early-cse,decision_required,needs_attribution;order_sensitive,"early-cse,gvn:likely_independent;early-cse,indvars:confirmed_independent;early-cse,instcombine:order_sensitive;early-cse,licm:order_sensitive;early-cse,loop-rotate:order_sensitive;early-cse,loop-unroll:confirmed_independent;early-cse,mem2reg:order_sensitive;early-cse,sccp:order_sensitive;early-cse,simplifycfg:needs_attribution;early-cse,sroa:order_sensitive",3,10,0.3
0,Shootout_ary3,gvn,decision_required,needs_attribution;order_sensitive,"early-cse,gvn:likely_independent;gvn,indvars:order_sensitive;gvn,instcombine:order_sensitive;gvn,licm:order_sensitive;gvn,loop-rotate:order_sensitive;gvn,loop-unroll:order_sensitive;gvn,mem2reg:order_sensitive;gvn,sccp:order_sensitive;gvn,simplifycfg:needs_attribution;gvn,sroa:order_sensitive",1,10,0.1
0,Shootout_ary3,indvars,decision_required,order_sensitive,"early-cse,indvars:confirmed_independent;gvn,indvars:order_sensitive;indvars,instcombine:confirmed_independent;indvars,licm:order_sensitive;indvars,loop-rotate:confirmed_independent;indvars,loop-unroll:confirmed_independent;indvars,mem2reg:order_sensitive;indvars,sccp:confirmed_independent;indvars,simplifycfg:confirmed_independent;indvars,sroa:order_sensitive",6,10,0.6
0,Shootout_ary3,instcombine,decision_required,order_sensitive,"early-cse,instcombine:order_sensitive;gvn,instcombine:order_sensitive;indvars,instcombine:confirmed_independent;instcombine,licm:order_sensitive;instcombine,loop-rotate:order_sensitive;instcombine,loop-unroll:confirmed_independent;instcombine,mem2reg:order_sensitive;instcombine,sccp:likely_independent;instcombine,simplifycfg:order_sensitive;instcombine,sroa:order_sensitive",3,10,0.3
0,Shootout_ary3,licm,decision_required,order_sensitive,"early-cse,licm:order_sensitive;gvn,licm:order_sensitive;indvars,licm:order_sensitive;instcombine,licm:order_sensitive;licm,loop-rotate:order_sensitive;licm,loop-unroll:confirmed_independent;licm,mem2reg:order_sensitive;licm,sccp:order_sensitive;licm,simplifycfg:order_sensitive;licm,sroa:order_sensitive",1,10,0.1
0,Shootout_ary3,loop-rotate,decision_required,needs_attribution;order_sensitive,"early-cse,loop-rotate:order_sensitive;gvn,loop-rotate:order_sensitive;indvars,loop-rotate:confirmed_independent;instcombine,loop-rotate:order_sensitive;licm,loop-rotate:order_sensitive;loop-rotate,loop-unroll:confirmed_independent;loop-rotate,mem2reg:order_sensitive;loop-rotate,sccp:needs_attribution;loop-rotate,simplifycfg:order_sensitive;loop-rotate,sroa:order_sensitive",2,10,0.2
0,Shootout_ary3,loop-unroll,decision_required,order_sensitive,"early-cse,loop-unroll:confirmed_independent;gvn,loop-unroll:order_sensitive;indvars,loop-unroll:confirmed_independent;instcombine,loop-unroll:confirmed_independent;licm,loop-unroll:confirmed_independent;loop-rotate,loop-unroll:confirmed_independent;loop-unroll,mem2reg:confirmed_independent;loop-unroll,sccp:confirmed_independent;loop-unroll,simplifycfg:confirmed_independent;loop-unroll,sroa:confirmed_independent",9,10,0.9
0,Shootout_ary3,mem2reg,decision_required,needs_attribution;order_sensitive,"early-cse,mem2reg:order_sensitive;gvn,mem2reg:order_sensitive;indvars,mem2reg:order_sensitive;instcombine,mem2reg:order_sensitive;licm,mem2reg:order_sensitive;loop-rotate,mem2reg:order_sensitive;loop-unroll,mem2reg:confirmed_independent;mem2reg,sccp:order_sensitive;mem2reg,simplifycfg:order_sensitive;mem2reg,sroa:needs_attribution",1,10,0.1
0,Shootout_ary3,sccp,decision_required,needs_attribution;order_sensitive,"early-cse,sccp:order_sensitive;gvn,sccp:order_sensitive;indvars,sccp:confirmed_independent;instcombine,sccp:likely_independent;licm,sccp:order_sensitive;loop-rotate,sccp:needs_attribution;loop-unroll,sccp:confirmed_independent;mem2reg,sccp:order_sensitive;sccp,simplifycfg:needs_attribution;sccp,sroa:order_sensitive",3,10,0.3
0,Shootout_ary3,simplifycfg,decision_required,needs_attribution;order_sensitive,"early-cse,simplifycfg:needs_attribution;gvn,simplifycfg:needs_attribution;indvars,simplifycfg:confirmed_independent;instcombine,simplifycfg:order_sensitive;licm,simplifycfg:order_sensitive;loop-rotate,simplifycfg:order_sensitive;loop-unroll,simplifycfg:confirmed_independent;mem2reg,simplifycfg:order_sensitive;sccp,simplifycfg:needs_attribution;simplifycfg,sroa:order_sensitive",2,10,0.2
0,Shootout_ary3,sroa,decision_required,needs_attribution;order_sensitive,"early-cse,sroa:order_sensitive;gvn,sroa:order_sensitive;indvars,sroa:order_sensitive;instcombine,sroa:order_sensitive;licm,sroa:order_sensitive;loop-rotate,sroa:order_sensitive;loop-unroll,sroa:confirmed_independent;mem2reg,sroa:needs_attribution;sccp,sroa:order_sensitive;simplifycfg,sroa:order_sensitive",1,10,0.1
1,Shootout_ary3,early-cse,decision_required,needs_attribution;order_sensitive,"early-cse,gvn:likely_independent;early-cse,indvars:order_sensitive;early-cse,instcombine:confirmed_independent;early-cse,licm:confirmed_independent;early-cse,loop-rotate:order_sensitive;early-cse,loop-simplify:confirmed_independent;early-cse,loop-unroll:needs_attribution;early-cse,mem2reg:needs_attribution;early-cse,sccp:confirmed_independent;early-cse,simplifycfg:needs_attribution;early-cse,sroa:needs_attribution",5,11,0.4545
1,Shootout_ary3,gvn,decision_required,needs_attribution;order_sensitive,"early-cse,gvn:likely_independent;gvn,indvars:order_sensitive;gvn,instcombine:order_sensitive;gvn,licm:confirmed_independent;gvn,loop-rotate:order_sensitive;gvn,loop-simplify:confirmed_independent;gvn,loop-unroll:order_sensitive;gvn,mem2reg:needs_attribution;gvn,sccp:confirmed_independent;gvn,simplifycfg:needs_attribution;gvn,sroa:needs_attribution",4,11,0.3636
1,Shootout_ary3,indvars,decision_required,needs_attribution;order_sensitive,"early-cse,indvars:order_sensitive;gvn,indvars:order_sensitive;indvars,instcombine:order_sensitive;indvars,licm:confirmed_independent;indvars,loop-rotate:order_sensitive;indvars,loop-simplify:confirmed_independent;indvars,loop-unroll:order_sensitive;indvars,mem2reg:needs_attribution;indvars,sccp:order_sensitive;indvars,simplifycfg:order_sensitive;indvars,sroa:needs_attribution",2,11,0.1818
1,Shootout_ary3,instcombine,decision_required,needs_attribution;order_sensitive,"early-cse,instcombine:confirmed_independent;gvn,instcombine:order_sensitive;indvars,instcombine:order_sensitive;instcombine,licm:confirmed_independent;instcombine,loop-rotate:order_sensitive;instcombine,loop-simplify:confirmed_independent;instcombine,loop-unroll:confirmed_independent;instcombine,mem2reg:needs_attribution;instcombine,sccp:needs_attribution;instcombine,simplifycfg:confirmed_independent;instcombine,sroa:needs_attribution",5,11,0.4545
1,Shootout_ary3,licm,decision_required,order_sensitive,"early-cse,licm:confirmed_independent;gvn,licm:confirmed_independent;indvars,licm:confirmed_independent;instcombine,licm:confirmed_independent;licm,loop-rotate:order_sensitive;licm,loop-simplify:confirmed_independent;licm,loop-unroll:confirmed_independent;licm,mem2reg:confirmed_independent;licm,sccp:confirmed_independent;licm,simplifycfg:order_sensitive;licm,sroa:confirmed_independent",9,11,0.8182
