pass_a,pass_b,classification,dependency_kinds,dependency_strength,read_write_strength,enablement_strength,uncertainty_risk,wa_intersect_rb,wb_intersect_ra,wa_intersect_wb,strong_intersections,weak_intersections,intersection_token_kinds,overlap_pattern,enablement_edge_kinds,enablement_edges,enablement_evidence
gvn,instcombine,dependent,enablement,strong,none,strong,none,,,,,,,none,expansion,instcombine->gvn;gvn->instcombine,kind=expansion round=1 prefix=instcombine writes=bb:main:bb15;bb:main:bb16;bb:main:bb17;bb:main:bb18;bb:main:bb19;bb:main:bb20;inst:main:%23;inst:main:%24;inst:main:%25;inst:main:%26;inst:main:%27;inst:main:%29;inst:main:%30;inst:main:%31;inst:main:%32;inst:main:%33;inst:main:bb10:1:br;inst:main:bb10:1:unreachable;inst:main:bb11:1:br;inst:main:bb11:1:unreachable;inst:main:bb12:1:br;inst:main:bb12:1:unreachable;inst:main:bb13:1:br;inst:main:bb13:1:unreachable;inst:main:bb15:1:br;inst:main:bb16:1:br;inst:main:bb17:1:unreachable;inst:main:bb18:1:br;inst:main:bb19:1:unreachable;inst:main:bb20:1:unreachable;inst:main:bb2:1:br;inst:main:bb4:1:br;inst:main:bb4:1:ret;inst:main:bb5:1:br;inst:main:bb5:1:ret;inst:main:bb6:1:br;inst:main:bb6:1:unreachable;inst:main:bb7:1:br;kind=expansion round=1 prefix=gvn writes=inst:main:%11;inst:main:%12;inst:main:%13;inst:main:%23;inst:main:%24;inst:main:%25
gvn,reassociate,dependent,enablement,strong,none,strong,none,,,,,,,none,expansion,gvn->reassociate;reassociate->gvn,kind=expansion round=1 prefix=gvn writes=inst:main:%12;inst:main:%13;inst:main:%24;inst:main:%25;kind=expansion round=1 prefix=reassociate writes=bb:main:bb15;bb:main:bb16;bb:main:bb17;bb:main:bb18;bb:main:bb19;bb:main:bb20;inst:main:%24;inst:main:%25;inst:main:%26;inst:main:%27;inst:main:%30;inst:main:%31;inst:main:%32;inst:main:%33;inst:main:bb10:1:br;inst:main:bb10:1:unreachable;inst:main:bb11:1:br;inst:main:bb11:1:unreachable;inst:main:bb12:1:br;inst:main:bb12:1:unreachable;inst:main:bb13:1:br;inst:main:bb13:1:unreachable;inst:main:bb15:1:br;inst:main:bb16:1:br;inst:main:bb17:1:unreachable;inst:main:bb18:1:br;inst:main:bb19:1:unreachable;inst:main:bb20:1:unreachable;inst:main:bb2:1:br;inst:main:bb4:1:br;inst:main:bb4:1:ret;inst:main:bb5:1:br;inst:main:bb5:1:ret;inst:main:bb6:1:br;inst:main:bb6:1:unreachable;inst:main:bb7:1:br
gvn,sccp,dependent,read_write;enablement,strong,strong,strong,none,bb:main:bb15;bb:main:bb16;bb:main:bb17;bb:main:bb18;bb:main:bb19;bb:main:bb20;inst:main:%32;inst:main:%33;inst:main:bb10:1:br;inst:main:bb11:1:unreachable;inst:main:bb12:1:br;inst:main:bb13:1:br;inst:main:bb15:1:br;inst:main:bb16:1:br;inst:main:bb17:1:unreachable;inst:main:bb18:1:br;inst:main:bb19:1:unreachable;inst:main:bb20:1:unreachable;inst:main:bb4:1:br;inst:main:bb5:1:ret;inst:main:bb6:1:br;inst:main:bb7:1:br,bb:main:bb15;bb:main:bb16;bb:main:bb17;bb:main:bb18;bb:main:bb19;bb:main:bb20;inst:main:%32;inst:main:%33;inst:main:bb10:1:br;inst:main:bb11:1:unreachable;inst:main:bb12:1:br;inst:main:bb13:1:br;inst:main:bb15:1:br;inst:main:bb16:1:br;inst:main:bb17:1:unreachable;inst:main:bb18:1:br;inst:main:bb19:1:unreachable;inst:main:bb20:1:unreachable;inst:main:bb4:1:br;inst:main:bb5:1:ret;inst:main:bb6:1:br;inst:main:bb7:1:br,bb:main:bb15;bb:main:bb16;bb:main:bb17;bb:main:bb18;bb:main:bb19;bb:main:bb20;inst:main:%32;inst:main:%33;inst:main:bb10:1:br;inst:main:bb11:1:unreachable;inst:main:bb12:1:br;inst:main:bb13:1:br;inst:main:bb15:1:br;inst:main:bb16:1:br;inst:main:bb17:1:unreachable;inst:main:bb18:1:br;inst:main:bb19:1:unreachable;inst:main:bb20:1:unreachable;inst:main:bb4:1:br;inst:main:bb4:1:ret;inst:main:bb5:1:ret;inst:main:bb6:1:br;inst:main:bb7:1:br,inst:main:%32;inst:main:%33,bb:main:bb15;bb:main:bb16;bb:main:bb17;bb:main:bb18;bb:main:bb19;bb:main:bb20;inst:main:bb10:1:br;inst:main:bb11:1:unreachable;inst:main:bb12:1:br;inst:main:bb13:1:br;inst:main:bb15:1:br;inst:main:bb16:1:br;inst:main:bb17:1:unreachable;inst:main:bb18:1:br;inst:main:bb19:1:unreachable;inst:main:bb20:1:unreachable;inst:main:bb4:1:br;inst:main:bb4:1:ret;inst:main:bb5:1:ret;inst:main:bb6:1:br;inst:main:bb7:1:br,bb;inst,mixed,expansion,gvn->sccp;sccp->gvn,kind=expansion round=1 prefix=gvn writes=bb:main:bb10;bb:main:bb11;bb:main:bb12;bb:main:bb13;bb:main:bb14;bb:main:bb4;bb:main:bb5;bb:main:bb6;bb:main:bb7;bb:main:bb8;bb:main:bb9;inst:main:%15;inst:main:%16;inst:main:%26;inst:main:%27;inst:main:bb10:1:unreachable;inst:main:bb11:1:br;inst:main:bb12:1:unreachable;inst:main:bb13:1:unreachable;inst:main:bb14:1:unreachable;inst:main:bb2:1:br;inst:main:bb3:1:br;inst:main:bb3:1:ret;inst:main:bb4:1:ret;inst:main:bb5:1:br;inst:main:bb6:1:unreachable;inst:main:bb7:1:br;inst:main:bb8:1:unreachable;inst:main:bb9:1:br;kind=expansion round=1 prefix=sccp writes=bb:main:bb3;bb:main:bb4;inst:main:%14;inst:main:%15;inst:main:%16;inst:main:%17;inst:main:bb2:1:br;inst:main:bb2:1:ret;inst:main:bb3:1:br;inst:main:bb4:1:ret
gvn,simplifycfg,dependent,read_write;enablement,strong,strong,strong,none,bb:main:bb15;bb:main:bb16;bb:main:bb17;bb:main:bb18;bb:main:bb19;bb:main:bb20;inst:main:%32;inst:main:%33;inst:main:bb10:1:br;inst:main:bb11:1:unreachable;inst:main:bb12:1:br;inst:main:bb13:1:br;inst:main:bb15:1:br;inst:main:bb16:1:br;inst:main:bb17:1:unreachable;inst:main:bb18:1:br;inst:main:bb19:1:unreachable;inst:main:bb20:1:unreachable;inst:main:bb2:1:br;inst:main:bb4:1:br;inst:main:bb5:1:ret;inst:main:bb6:1:br;inst:main:bb7:1:br,bb:main:bb15;bb:main:bb16;bb:main:bb17;bb:main:bb18;bb:main:bb19;bb:main:bb20;inst:main:%32;inst:main:%33;inst:main:bb10:1:br;inst:main:bb11:1:unreachable;inst:main:bb12:1:br;inst:main:bb13:1:br;inst:main:bb15:1:br;inst:main:bb16:1:br;inst:main:bb17:1:unreachable;inst:main:bb18:1:br;inst:main:bb19:1:unreachable;inst:main:bb20:1:unreachable;inst:main:bb2:1:br;inst:main:bb4:1:br;inst:main:bb5:1:ret;inst:main:bb6:1:br;inst:main:bb7:1:br,bb:main:bb15;bb:main:bb16;bb:main:bb17;bb:main:bb18;bb:main:bb19;bb:main:bb20;inst:main:%32;inst:main:%33;inst:main:bb10:1:br;inst:main:bb11:1:unreachable;inst:main:bb12:1:br;inst:main:bb13:1:br;inst:main:bb15:1:br;inst:main:bb16:1:br;inst:main:bb17:1:unreachable;inst:main:bb18:1:br;inst:main:bb19:1:unreachable;inst:main:bb20:1:unreachable;inst:main:bb2:1:br;inst:main:bb4:1:br;inst:main:bb5:1:ret;inst:main:bb6:1:br;inst:main:bb7:1:br,inst:main:%32;inst:main:%33,bb:main:bb15;bb:main:bb16;bb:main:bb17;bb:main:bb18;bb:main:bb19;bb:main:bb20;inst:main:bb10:1:br;inst:main:bb11:1:unreachable;inst:main:bb12:1:br;inst:main:bb13:1:br;inst:main:bb15:1:br;inst:main:bb16:1:br;inst:main:bb17:1:unreachable;inst:main:bb18:1:br;inst:main:bb19:1:unreachable;inst:main:bb20:1:unreachable;inst:main:bb2:1:br;inst:main:bb4:1:br;inst:main:bb5:1:ret;inst:main:bb6:1:br;inst:main:bb7:1:br,bb;inst,symmetric_rewrite,expansion,gvn->simplifycfg,kind=expansion round=1 prefix=gvn writes=bb:main:bb10;bb:main:bb11;bb:main:bb12;bb:main:bb13;bb:main:bb14;bb:main:bb2;bb:main:bb3;bb:main:bb4;bb:main:bb5;bb:main:bb6;bb:main:bb7;bb:main:bb8;bb:main:bb9;inst:main:%10;inst:main:%14;inst:main:%26;inst:main:%27;inst:main:%9;inst:main:bb10:1:unreachable;inst:main:bb11:1:br;inst:main:bb12:1:unreachable;inst:main:bb13:1:unreachable;inst:main:bb14:1:unreachable;inst:main:bb1:1:br;inst:main:bb1:1:ret;inst:main:bb2:1:br;inst:main:bb3:1:br;inst:main:bb4:1:ret;inst:main:bb5:1:br;inst:main:bb6:1:unreachable;inst:main:bb7:1:br;inst:main:bb8:1:unreachable;inst:main:bb9:1:br
instcombine,reassociate,dependent,read_write,strong,strong,none,none,inst:main:%12;inst:main:%13,inst:main:%12;inst:main:%13,inst:main:%12;inst:main:%13;inst:main:%30;inst:main:%31,inst:main:%12;inst:main:%13;inst:main:%30;inst:main:%31,,inst,mixed,,,
instcombine,sccp,dependent,enablement,strong,none,strong,none,,,,,,,none,expansion,instcombine->sccp;sccp->instcombine,kind=expansion round=1 prefix=instcombine writes=bb:main:bb10;bb:main:bb11;bb:main:bb12;bb:main:bb13;bb:main:bb14;bb:main:bb15;bb:main:bb16;bb:main:bb17;bb:main:bb18;bb:main:bb19;bb:main:bb20;bb:main:bb5;bb:main:bb6;bb:main:bb7;bb:main:bb8;bb:main:bb9;inst:main:%13;inst:main:%14;inst:main:%15;inst:main:%16;inst:main:%17;inst:main:%29;inst:main:%30;inst:main:%31;inst:main:%32;inst:main:%33;inst:main:bb10:1:br;inst:main:bb11:1:unreachable;inst:main:bb12:1:br;inst:main:bb13:1:br;inst:main:bb14:1:unreachable;inst:main:bb15:1:br;inst:main:bb16:1:br;inst:main:bb17:1:unreachable;inst:main:bb18:1:br;inst:main:bb19:1:unreachable;inst:main:bb20:1:unreachable;inst:main:bb3:1:br;inst:main:bb4:1:br;inst:main:bb4:1:ret;inst:main:bb5:1:ret;inst:main:bb6:1:br;inst:main:bb7:1:br;inst:main:bb8:1:unreachable;inst:main:bb9:1:br;kind=expansion round=1 prefix=sccp writes=inst:main:%11;inst:main:%12;inst:main:%14;inst:main:%15
instcombine,simplifycfg,dependent,enablement,strong,none,strong,none,,,,,,,none,expansion,instcombine->simplifycfg,kind=expansion round=1 prefix=instcombine writes=bb:main:bb10;bb:main:bb11;bb:main:bb12;bb:main:bb13;bb:main:bb14;bb:main:bb15;bb:main:bb16;bb:main:bb17;bb:main:bb18;bb:main:bb19;bb:main:bb2;bb:main:bb20;bb:main:bb3;bb:main:bb4;bb:main:bb5;bb:main:bb6;bb:main:bb7;bb:main:bb8;bb:main:bb9;inst:main:%10;inst:main:%11;inst:main:%12;inst:main:%13;inst:main:%14;inst:main:%29;inst:main:%30;inst:main:%31;inst:main:%32;inst:main:%33;inst:main:%9;inst:main:bb10:1:br;inst:main:bb11:1:unreachable;inst:main:bb12:1:br;inst:main:bb13:1:br;inst:main:bb14:1:unreachable;inst:main:bb15:1:br;inst:main:bb16:1:br;inst:main:bb17:1:unreachable;inst:main:bb18:1:br;inst:main:bb19:1:unreachable;inst:main:bb1:1:br;inst:main:bb1:1:ret;inst:main:bb20:1:unreachable;inst:main:bb2:1:br;inst:main:bb3:1:br;inst:main:bb4:1:br;inst:main:bb5:1:ret;inst:main:bb6:1:br;inst:main:bb7:1:br;inst:main:bb8:1:unreachable;inst:main:bb9:1:br
reassociate,sccp,dependent,enablement,strong,none,strong,none,,,,,,,none,expansion,sccp->reassociate;reassociate->sccp,kind=expansion round=1 prefix=sccp writes=inst:main:%12;inst:main:%13;inst:main:%14;inst:main:%15;kind=expansion round=1 prefix=reassociate writes=bb:main:bb10;bb:main:bb11;bb:main:bb12;bb:main:bb13;bb:main:bb14;bb:main:bb15;bb:main:bb16;bb:main:bb17;bb:main:bb18;bb:main:bb19;bb:main:bb20;bb:main:bb5;bb:main:bb6;bb:main:bb7;bb:main:bb8;bb:main:bb9;inst:main:%14;inst:main:%15;inst:main:%16;inst:main:%17;inst:main:%30;inst:main:%31;inst:main:%32;inst:main:%33;inst:main:bb10:1:br;inst:main:bb11:1:unreachable;inst:main:bb12:1:br;inst:main:bb13:1:br;inst:main:bb14:1:unreachable;inst:main:bb15:1:br;inst:main:bb16:1:br;inst:main:bb17:1:unreachable;inst:main:bb18:1:br;inst:main:bb19:1:unreachable;inst:main:bb20:1:unreachable;inst:main:bb3:1:br;inst:main:bb4:1:br;inst:main:bb4:1:ret;inst:main:bb5:1:ret;inst:main:bb6:1:br;inst:main:bb7:1:br;inst:main:bb8:1:unreachable;inst:main:bb9:1:br
reassociate,simplifycfg,dependent,enablement,strong,none,strong,none,,,,,,,none,expansion,reassociate->simplifycfg,kind=expansion round=1 prefix=reassociate writes=bb:main:bb10;bb:main:bb11;bb:main:bb12;bb:main:bb13;bb:main:bb14;bb:main:bb15;bb:main:bb16;bb:main:bb17;bb:main:bb18;bb:main:bb19;bb:main:bb2;bb:main:bb20;bb:main:bb3;bb:main:bb4;bb:main:bb5;bb:main:bb6;bb:main:bb7;bb:main:bb8;bb:main:bb9;inst:main:%10;inst:main:%12;inst:main:%13;inst:main:%14;inst:main:%30;inst:main:%31;inst:main:%32;inst:main:%33;inst:main:%9;inst:main:bb10:1:br;inst:main:bb11:1:unreachable;inst:main:bb12:1:br;inst:main:bb13:1:br;inst:main:bb14:1:unreachable;inst:main:bb15:1:br;inst:main:bb16:1:br;inst:main:bb17:1:unreachable;inst:main:bb18:1:br;inst:main:bb19:1:unreachable;inst:main:bb1:1:br;inst:main:bb1:1:ret;inst:main:bb20:1:unreachable;inst:main:bb2:1:br;inst:main:bb3:1:br;inst:main:bb4:1:br;inst:main:bb5:1:ret;inst:main:bb6:1:br;inst:main:bb7:1:br;inst:main:bb8:1:unreachable;inst:main:bb9:1:br
sccp,simplifycfg,dependent,read_write;enablement,strong,strong,strong,none,bb:main:bb10;bb:main:bb11;bb:main:bb12;bb:main:bb13;bb:main:bb14;bb:main:bb15;bb:main:bb16;bb:main:bb17;bb:main:bb18;bb:main:bb19;bb:main:bb20;bb:main:bb5;bb:main:bb6;bb:main:bb7;bb:main:bb8;bb:main:bb9;inst:main:%32;inst:main:%33;inst:main:bb10:1:br;inst:main:bb11:1:unreachable;inst:main:bb12:1:br;inst:main:bb13:1:br;inst:main:bb14:1:unreachable;inst:main:bb15:1:br;inst:main:bb16:1:br;inst:main:bb17:1:unreachable;inst:main:bb18:1:br;inst:main:bb19:1:unreachable;inst:main:bb20:1:unreachable;inst:main:bb3:1:br;inst:main:bb4:1:br;inst:main:bb5:1:ret;inst:main:bb6:1:br;inst:main:bb7:1:br;inst:main:bb8:1:unreachable;inst:main:bb9:1:br,bb:main:bb10;bb:main:bb11;bb:main:bb12;bb:main:bb13;bb:main:bb14;bb:main:bb15;bb:main:bb16;bb:main:bb17;bb:main:bb18;bb:main:bb19;bb:main:bb20;bb:main:bb5;bb:main:bb6;bb:main:bb7;bb:main:bb8;bb:main:bb9;inst:main:%32;inst:main:%33;inst:main:bb10:1:br;inst:main:bb11:1:unreachable;inst:main:bb12:1:br;inst:main:bb13:1:br;inst:main:bb14:1:unreachable;inst:main:bb15:1:br;inst:main:bb16:1:br;inst:main:bb17:1:unreachable;inst:main:bb18:1:br;inst:main:bb19:1:unreachable;inst:main:bb20:1:unreachable;inst:main:bb3:1:br;inst:main:bb4:1:br;inst:main:bb5:1:ret;inst:main:bb6:1:br;inst:main:bb7:1:br;inst:main:bb8:1:unreachable;inst:main:bb9:1:br,bb:main:bb10;bb:main:bb11;bb:main:bb12;bb:main:bb13;bb:main:bb14;bb:main:bb15;bb:main:bb16;bb:main:bb17;bb:main:bb18;bb:main:bb19;bb:main:bb20;bb:main:bb5;bb:main:bb6;bb:main:bb7;bb:main:bb8;bb:main:bb9;inst:main:%32;inst:main:%33;inst:main:bb10:1:br;inst:main:bb11:1:unreachable;inst:main:bb12:1:br;inst:main:bb13:1:br;inst:main:bb14:1:unreachable;inst:main:bb15:1:br;inst:main:bb16:1:br;inst:main:bb17:1:unreachable;inst:main:bb18:1:br;inst:main:bb19:1:unreachable;inst:main:bb20:1:unreachable;inst:main:bb3:1:br;inst:main:bb4:1:br;inst:main:bb5:1:ret;inst:main:bb6:1:br;inst:main:bb7:1:br;inst:main:bb8:1:unreachable;inst:main:bb9:1:br,inst:main:%32;inst:main:%33,bb:main:bb10;bb:main:bb11;bb:main:bb12;bb:main:bb13;bb:main:bb14;bb:main:bb15;bb:main:bb16;bb:main:bb17;bb:main:bb18;bb:main:bb19;bb:main:bb20;bb:main:bb5;bb:main:bb6;bb:main:bb7;bb:main:bb8;bb:main:bb9;inst:main:bb10:1:br;inst:main:bb11:1:unreachable;inst:main:bb12:1:br;inst:main:bb13:1:br;inst:main:bb14:1:unreachable;inst:main:bb15:1:br;inst:main:bb16:1:br;inst:main:bb17:1:unreachable;inst:main:bb18:1:br;inst:main:bb19:1:unreachable;inst:main:bb20:1:unreachable;inst:main:bb3:1:br;inst:main:bb4:1:br;inst:main:bb5:1:ret;inst:main:bb6:1:br;inst:main:bb7:1:br;inst:main:bb8:1:unreachable;inst:main:bb9:1:br,bb;inst,symmetric_rewrite,expansion,sccp->simplifycfg,kind=expansion round=1 prefix=sccp writes=bb:main:bb2;bb:main:bb3;bb:main:bb4;inst:main:%10;inst:main:%14;inst:main:%16;inst:main:%17;inst:main:%9;inst:main:bb1:1:br;inst:main:bb1:1:ret;inst:main:bb2:1:br;inst:main:bb3:1:br;inst:main:bb4:1:ret
