round,edge_kind,enabler,enabled,prefix,reads_after_prefix,writes_after_prefix,new_writes_after_prefix,changed_writes_after_prefix
1,expansion,instcombine,loop-rotate,instcombine,bb:Bubble:bb8;bb:Bubble:bb9;bb:bInitarr:bb6;bb:main:bb2;inst:Bubble:%10;inst:Bubble:%11;inst:Bubble:%16;inst:Bubble:%17;inst:Bubble:%19;inst:Bubble:%20;inst:Bubble:%23;inst:Bubble:%24;inst:Bubble:%25;inst:Bubble:%26;inst:Bubble:%27;inst:Bubble:%3;inst:Bubble:%4;inst:Bubble:%7;inst:Bubble:%8;inst:Bubble:%9;inst:Bubble:%indvars.iv;inst:Bubble:%indvars.iv2;inst:Bubble:bb0:1:store;inst:Bubble:bb0:2:br;inst:Bubble:bb1:1:br;inst:Bubble:bb2:1:br;inst:Bubble:bb3:1:br;inst:Bubble:bb5:1:store;inst:Bubble:bb5:2:store;inst:Bubble:bb5:3:br;inst:Bubble:bb6:1:br;inst:Bubble:bb7:1:br;inst:Bubble:bb8:1:br;inst:Bubble:bb9:1:ret;inst:Bubble:entry:2:br;inst:bInitarr:%11;inst:bInitarr:%12;inst:bInitarr:%3;inst:bInitarr:%4;inst:bInitarr:%5;inst:bInitarr:%6;inst:bInitarr:%7;inst:bInitarr:%8;inst:bInitarr:%indvars.iv;inst:bInitarr:bb0:1:br;inst:bInitarr:bb1:1:ret;inst:bInitarr:bb2:1:store;inst:bInitarr:bb2:2:br;inst:bInitarr:bb3:1:store;inst:bInitarr:bb3:2:br;inst:bInitarr:bb4:1:br;inst:bInitarr:bb5:1:br;inst:bInitarr:bb6:1:store;inst:bInitarr:bb6:2:br;inst:main:%2;inst:main:%4;inst:main:bb0:1:br;inst:main:bb2:1:call;inst:main:bb2:2:br;loop:Bubble:bb0;loop:Bubble:bb1;loop:bInitarr:bb0;loop:main:bb0,bb:Bubble:.preheader;bb:Bubble:bb8;bb:Bubble:bb9;bb:bInitarr:bb6;bb:main:bb2;inst:Bubble:%10;inst:Bubble:%11;inst:Bubble:%12;inst:Bubble:%14;inst:Bubble:%15;inst:Bubble:%16;inst:Bubble:%17;inst:Bubble:%18;inst:Bubble:%19;inst:Bubble:%20;inst:Bubble:%21;inst:Bubble:%22;inst:Bubble:%23;inst:Bubble:%24;inst:Bubble:%25;inst:Bubble:%26;inst:Bubble:%27;inst:Bubble:%3;inst:Bubble:%4;inst:Bubble:%5;inst:Bubble:%6;inst:Bubble:%7;inst:Bubble:%8;inst:Bubble:%9;inst:Bubble:%indvars.iv;inst:Bubble:%indvars.iv1;inst:Bubble:%indvars.iv2;inst:Bubble:%indvars.iv22;inst:Bubble:.preheader:1:br;inst:Bubble:bb0:1:br;inst:Bubble:bb0:1:store;inst:Bubble:bb0:2:br;inst:Bubble:bb1:1:br;inst:Bubble:bb1:1:store;inst:Bubble:bb1:2:store;inst:Bubble:bb1:3:br;inst:Bubble:bb2:1:br;inst:Bubble:bb3:1:br;inst:Bubble:bb3:1:store;inst:Bubble:bb3:2:br;inst:Bubble:bb5:1:br;inst:Bubble:bb5:1:store;inst:Bubble:bb5:2:store;inst:Bubble:bb5:3:br;inst:Bubble:bb6:1:br;inst:Bubble:bb7:1:br;inst:Bubble:bb7:1:ret;inst:Bubble:bb8:1:br;inst:Bubble:bb9:1:ret;inst:Bubble:entry:2:br;inst:Bubble:entry:2:store;inst:Bubble:entry:3:br;inst:bInitarr:%10;inst:bInitarr:%11;inst:bInitarr:%12;inst:bInitarr:%2;inst:bInitarr:%3;inst:bInitarr:%4;inst:bInitarr:%5;inst:bInitarr:%6;inst:bInitarr:%7;inst:bInitarr:%8;inst:bInitarr:%indvars.iv;inst:bInitarr:%indvars.iv1;inst:bInitarr:bb0:1:br;inst:bInitarr:bb0:1:store;inst:bInitarr:bb0:2:br;inst:bInitarr:bb1:1:ret;inst:bInitarr:bb1:1:store;inst:bInitarr:bb1:2:br;inst:bInitarr:bb2:1:br;inst:bInitarr:bb2:1:store;inst:bInitarr:bb2:2:br;inst:bInitarr:bb3:1:br;inst:bInitarr:bb3:1:store;inst:bInitarr:bb3:2:br;inst:bInitarr:bb4:1:br;inst:bInitarr:bb4:1:store;inst:bInitarr:bb4:2:br;inst:bInitarr:bb5:1:br;inst:bInitarr:bb5:1:ret;inst:bInitarr:bb6:1:store;inst:bInitarr:bb6:2:br;inst:main:%2;inst:main:%3;inst:main:%4;inst:main:bb0:1:br;inst:main:bb0:1:call;inst:main:bb0:2:br;inst:main:bb2:1:call;inst:main:bb2:2:br;loop:Bubble:.preheader;loop:Bubble:bb0;loop:Bubble:bb1;loop:Bubble:bb3;loop:bInitarr:bb0;loop:bInitarr:bb5;loop:main:bb0;loop:main:bb1,inst:bInitarr:bb1:1:ret;inst:bInitarr:bb2:1:store;inst:bInitarr:bb2:2:br;inst:main:bb2:1:call;inst:main:bb2:2:br;loop:Bubble:bb3;loop:bInitarr:bb5;loop:main:bb1,loop:Bubble:bb0;loop:bInitarr:bb0;loop:main:bb0
1,activation,loop-simplify,simplifycfg,loop-simplify,bb:Bubble:bb9;inst:Bubble:%10;inst:Bubble:%11;inst:Bubble:%16;inst:Bubble:%17;inst:Bubble:%19;inst:Bubble:%20;inst:Bubble:%23;inst:Bubble:%24;inst:Bubble:%25;inst:Bubble:%26;inst:Bubble:%27;inst:Bubble:%7;inst:Bubble:%8;inst:Bubble:%9;inst:Bubble:.preheader:1:br;inst:Bubble:bb3:1:br;inst:Bubble:bb4:1:br;inst:Bubble:bb5:1:store;inst:Bubble:bb5:2:store;inst:Bubble:bb5:3:br;inst:Bubble:bb6:1:br;inst:Bubble:bb7:1:br;inst:Bubble:bb8:1:br;inst:Bubble:bb9:1:ret;loop:Bubble:bb0;loop:Bubble:bb2,bb:Bubble:bb9;inst:Bubble:%10;inst:Bubble:%11;inst:Bubble:%15;inst:Bubble:%16;inst:Bubble:%17;inst:Bubble:%18;inst:Bubble:%19;inst:Bubble:%20;inst:Bubble:%22;inst:Bubble:%23;inst:Bubble:%24;inst:Bubble:%25;inst:Bubble:%26;inst:Bubble:%27;inst:Bubble:%6;inst:Bubble:%7;inst:Bubble:%8;inst:Bubble:%9;inst:Bubble:.preheader:1:br;inst:Bubble:bb3:1:br;inst:Bubble:bb4:1:br;inst:Bubble:bb4:1:store;inst:Bubble:bb4:2:store;inst:Bubble:bb4:3:br;inst:Bubble:bb5:1:br;inst:Bubble:bb5:1:store;inst:Bubble:bb5:2:store;inst:Bubble:bb5:3:br;inst:Bubble:bb6:1:br;inst:Bubble:bb7:1:br;inst:Bubble:bb8:1:br;inst:Bubble:bb8:1:ret;inst:Bubble:bb9:1:ret;loop:Bubble:.preheader;loop:Bubble:bb0;loop:Bubble:bb2,bb:Bubble:bb9;inst:Bubble:%10;inst:Bubble:%11;inst:Bubble:%15;inst:Bubble:%16;inst:Bubble:%17;inst:Bubble:%18;inst:Bubble:%19;inst:Bubble:%20;inst:Bubble:%22;inst:Bubble:%23;inst:Bubble:%24;inst:Bubble:%25;inst:Bubble:%26;inst:Bubble:%27;inst:Bubble:%6;inst:Bubble:%7;inst:Bubble:%8;inst:Bubble:%9;inst:Bubble:.preheader:1:br;inst:Bubble:bb3:1:br;inst:Bubble:bb4:1:br;inst:Bubble:bb4:1:store;inst:Bubble:bb4:2:store;inst:Bubble:bb4:3:br;inst:Bubble:bb5:1:br;inst:Bubble:bb5:1:store;inst:Bubble:bb5:2:store;inst:Bubble:bb5:3:br;inst:Bubble:bb6:1:br;inst:Bubble:bb7:1:br;inst:Bubble:bb8:1:br;inst:Bubble:bb8:1:ret;inst:Bubble:bb9:1:ret;loop:Bubble:.preheader;loop:Bubble:bb0;loop:Bubble:bb2,
1,expansion,loop-simplify,loop-rotate,loop-simplify,bb:Bubble:bb8;bb:Bubble:bb9;bb:bInitarr:bb6;bb:main:bb2;inst:Bubble:%10;inst:Bubble:%11;inst:Bubble:%16;inst:Bubble:%17;inst:Bubble:%19;inst:Bubble:%20;inst:Bubble:%23;inst:Bubble:%24;inst:Bubble:%25;inst:Bubble:%26;inst:Bubble:%27;inst:Bubble:%3;inst:Bubble:%4;inst:Bubble:%7;inst:Bubble:%8;inst:Bubble:%9;inst:Bubble:%indvars.iv;inst:Bubble:%indvars.iv2;inst:Bubble:bb0:1:store;inst:Bubble:bb0:2:br;inst:Bubble:bb1:1:br;inst:Bubble:bb2:1:br;inst:Bubble:bb3:1:br;inst:Bubble:bb4:1:br;inst:Bubble:bb5:1:store;inst:Bubble:bb5:2:store;inst:Bubble:bb5:3:br;inst:Bubble:bb6:1:br;inst:Bubble:bb7:1:br;inst:Bubble:bb8:1:br;inst:Bubble:bb9:1:ret;inst:Bubble:entry:2:br;inst:bInitarr:%11;inst:bInitarr:%12;inst:bInitarr:%3;inst:bInitarr:%4;inst:bInitarr:%5;inst:bInitarr:%6;inst:bInitarr:%7;inst:bInitarr:%8;inst:bInitarr:%indvars.iv;inst:bInitarr:bb0:1:br;inst:bInitarr:bb1:1:store;inst:bInitarr:bb1:2:br;inst:bInitarr:bb2:1:ret;inst:bInitarr:bb3:1:store;inst:bInitarr:bb3:2:br;inst:bInitarr:bb4:1:br;inst:bInitarr:bb5:1:br;inst:bInitarr:bb6:1:store;inst:bInitarr:bb6:2:br;inst:main:%2;inst:main:%4;inst:main:bb0:1:br;inst:main:bb1:1:call;inst:main:bb1:2:br;inst:main:bb2:1:ret;loop:Bubble:bb0;loop:Bubble:bb2;loop:bInitarr:bb0;loop:main:bb0,bb:Bubble:bb8;bb:Bubble:bb9;bb:bInitarr:bb6;bb:main:bb2;inst:Bubble:%10;inst:Bubble:%11;inst:Bubble:%12;inst:Bubble:%14;inst:Bubble:%15;inst:Bubble:%16;inst:Bubble:%17;inst:Bubble:%18;inst:Bubble:%19;inst:Bubble:%20;inst:Bubble:%21;inst:Bubble:%22;inst:Bubble:%23;inst:Bubble:%24;inst:Bubble:%25;inst:Bubble:%26;inst:Bubble:%27;inst:Bubble:%3;inst:Bubble:%4;inst:Bubble:%5;inst:Bubble:%6;inst:Bubble:%7;inst:Bubble:%8;inst:Bubble:%9;inst:Bubble:%indvars.iv;inst:Bubble:%indvars.iv1;inst:Bubble:%indvars.iv2;inst:Bubble:%indvars.iv22;inst:Bubble:bb0:1:br;inst:Bubble:bb0:1:store;inst:Bubble:bb0:2:br;inst:Bubble:bb1:1:br;inst:Bubble:bb1:1:store;inst:Bubble:bb1:2:store;inst:Bubble:bb1:3:br;inst:Bubble:bb2:1:br;inst:Bubble:bb3:1:br;inst:Bubble:bb3:1:store;inst:Bubble:bb3:2:br;inst:Bubble:bb4:1:br;inst:Bubble:bb5:1:br;inst:Bubble:bb5:1:store;inst:Bubble:bb5:2:store;inst:Bubble:bb5:3:br;inst:Bubble:bb6:1:br;inst:Bubble:bb7:1:br;inst:Bubble:bb7:1:ret;inst:Bubble:bb8:1:br;inst:Bubble:bb9:1:ret;inst:Bubble:entry:2:br;inst:Bubble:entry:2:store;inst:Bubble:entry:3:br;inst:bInitarr:%10;inst:bInitarr:%11;inst:bInitarr:%12;inst:bInitarr:%2;inst:bInitarr:%3;inst:bInitarr:%4;inst:bInitarr:%5;inst:bInitarr:%6;inst:bInitarr:%7;inst:bInitarr:%8;inst:bInitarr:%indvars.iv;inst:bInitarr:%indvars.iv1;inst:bInitarr:bb0:1:br;inst:bInitarr:bb0:1:store;inst:bInitarr:bb0:2:br;inst:bInitarr:bb1:1:store;inst:bInitarr:bb1:2:br;inst:bInitarr:bb2:1:br;inst:bInitarr:bb2:1:ret;inst:bInitarr:bb3:1:br;inst:bInitarr:bb3:1:store;inst:bInitarr:bb3:2:br;inst:bInitarr:bb4:1:br;inst:bInitarr:bb4:1:store;inst:bInitarr:bb4:2:br;inst:bInitarr:bb5:1:br;inst:bInitarr:bb5:1:ret;inst:bInitarr:bb6:1:store;inst:bInitarr:bb6:2:br;inst:main:%2;inst:main:%3;inst:main:%4;inst:main:bb0:1:br;inst:main:bb0:1:call;inst:main:bb0:2:br;inst:main:bb1:1:call;inst:main:bb1:1:ret;inst:main:bb1:2:br;inst:main:bb2:1:ret;loop:Bubble:.preheader;loop:Bubble:bb0;loop:Bubble:bb2;loop:bInitarr:bb0;loop:main:bb0,loop:Bubble:bb2,
1,expansion,loop-rotate,instcombine,loop-rotate,inst:Bubble:%12;inst:Bubble:%exitcond;inst:bInitarr:%exitcond;inst:main:%exitcond;loop:Bubble:bb0;loop:bInitarr:bb0;loop:main:bb0,inst:Bubble:%12;inst:Bubble:%exitcond;inst:Bubble:%exitcond.not;inst:bInitarr:%exitcond;inst:bInitarr:%exitcond.not;inst:main:%exitcond;inst:main:%exitcond.not;loop:Bubble:bb0;loop:Bubble:bb3;loop:bInitarr:bb0;loop:bInitarr:bb5;loop:main:bb0;loop:main:bb1,inst:Bubble:%12;loop:Bubble:bb3;loop:bInitarr:bb0;loop:bInitarr:bb5;loop:main:bb1,loop:Bubble:bb0;loop:main:bb0
1,activation,loop-rotate,gvn,loop-rotate,inst:Bubble:%11;inst:Bubble:%12;inst:Bubble:%14;inst:Bubble:%15;inst:Bubble:%17;inst:Bubble:%18;inst:Bubble:%21;inst:Bubble:%22;inst:Bubble:%23;inst:Bubble:%24;inst:Bubble:%25;inst:Bubble:%3;inst:Bubble:%4,inst:Bubble:%.pre;inst:Bubble:%10;inst:Bubble:%11;inst:Bubble:%12;inst:Bubble:%13;inst:Bubble:%14;inst:Bubble:%15;inst:Bubble:%16;inst:Bubble:%17;inst:Bubble:%18;inst:Bubble:%19;inst:Bubble:%21;inst:Bubble:%22;inst:Bubble:%23;inst:Bubble:%24;inst:Bubble:%25;inst:Bubble:%26;inst:Bubble:%3;inst:Bubble:%4,inst:Bubble:%.pre;inst:Bubble:%10;inst:Bubble:%11;inst:Bubble:%12;inst:Bubble:%13;inst:Bubble:%14;inst:Bubble:%15;inst:Bubble:%16;inst:Bubble:%17;inst:Bubble:%18;inst:Bubble:%19;inst:Bubble:%21;inst:Bubble:%22;inst:Bubble:%23;inst:Bubble:%24;inst:Bubble:%25;inst:Bubble:%26;inst:Bubble:%3;inst:Bubble:%4,
1,expansion,loop-rotate,licm,loop-rotate,inst:Bubble:bb3:1:store;inst:Bubble:bb3:2:br;inst:Bubble:bb4:1:br,inst:Bubble:%.lcssa;inst:Bubble:bb3:1:br;inst:Bubble:bb3:1:store;inst:Bubble:bb3:2:br;inst:Bubble:bb4:1:br;inst:Bubble:bb4:1:store;inst:Bubble:bb4:2:br,inst:Bubble:bb3:1:br;inst:Bubble:bb3:1:store;inst:Bubble:bb3:2:br;inst:Bubble:bb4:1:br;inst:Bubble:bb4:1:store;inst:Bubble:bb4:2:br,
1,expansion,loop-rotate,loop-unroll,loop-rotate,inst:Bubble:%11;inst:Bubble:%12;inst:Bubble:%14;inst:Bubble:%15;inst:Bubble:%17;inst:Bubble:%18;inst:Bubble:%21;inst:Bubble:%22;inst:Bubble:%23;inst:Bubble:%24;inst:Bubble:%25;inst:Bubble:%3;inst:Bubble:%4;inst:Bubble:%5;inst:Bubble:%6;inst:Bubble:%7;inst:Bubble:%exitcond;inst:Bubble:.preheader:1:br;inst:Bubble:bb2:1:br;inst:Bubble:bb3:1:store;inst:Bubble:bb3:2:br;inst:Bubble:bb4:1:br;inst:Bubble:bb5:1:br;inst:Bubble:bb6:1:br;inst:Bubble:bb7:1:ret;loop:Bubble:.preheader;loop:Bubble:bb0,bb:Bubble:.epil.preheader;bb:Bubble:.epilog-lcssa;bb:Bubble:.preheader.new;bb:Bubble:.unr-lcssa;bb:Bubble:bb10;bb:Bubble:bb11;bb:Bubble:bb8;bb:Bubble:bb9;inst:Bubble:%10;inst:Bubble:%11;inst:Bubble:%12;inst:Bubble:%14;inst:Bubble:%15;inst:Bubble:%16;inst:Bubble:%17;inst:Bubble:%18;inst:Bubble:%2;inst:Bubble:%21;inst:Bubble:%22;inst:Bubble:%23;inst:Bubble:%24;inst:Bubble:%25;inst:Bubble:%26;inst:Bubble:%29;inst:Bubble:%3;inst:Bubble:%30;inst:Bubble:%32;inst:Bubble:%33;inst:Bubble:%35;inst:Bubble:%36;inst:Bubble:%39;inst:Bubble:%4;inst:Bubble:%40;inst:Bubble:%41;inst:Bubble:%42;inst:Bubble:%43;inst:Bubble:%5;inst:Bubble:%6;inst:Bubble:%7;inst:Bubble:%8;inst:Bubble:%9;inst:Bubble:%exitcond;inst:Bubble:%indvar;inst:Bubble:%indvar.next;inst:Bubble:%indvars.iv.next.1;inst:Bubble:%indvars.iv.next.epil;inst:Bubble:%indvars.iv1.epil.init;inst:Bubble:%indvars.iv1.unr;inst:Bubble:%lcmp.mod;inst:Bubble:%lcmp.mod3;inst:Bubble:%niter;inst:Bubble:%niter.ncmp.1;inst:Bubble:%niter.next.1;inst:Bubble:%unroll_iter;inst:Bubble:%xtraiter;inst:Bubble:.epil.preheader:1:call;inst:Bubble:.epil.preheader:2:br;inst:Bubble:.epilog-lcssa:1:br;inst:Bubble:.preheader.new:1:br;inst:Bubble:.preheader:1:br;inst:Bubble:.unr-lcssa:1:br;inst:Bubble:bb10:1:br;inst:Bubble:bb11:1:ret;inst:Bubble:bb2:1:br;inst:Bubble:bb3:1:store;inst:Bubble:bb3:2:br;inst:Bubble:bb3:2:store;inst:Bubble:bb3:3:br;inst:Bubble:bb4:1:br;inst:Bubble:bb5:1:br;inst:Bubble:bb5:1:store;inst:Bubble:bb5:2:br;inst:Bubble:bb6:1:br;inst:Bubble:bb7:1:ret;inst:Bubble:bb7:1:store;inst:Bubble:bb7:2:store;inst:Bubble:bb7:3:br;inst:Bubble:bb8:1:br;inst:Bubble:bb9:1:br;loop:Bubble:.preheader;loop:Bubble:bb0,bb:Bubble:.epil.preheader;bb:Bubble:.epilog-lcssa;bb:Bubble:.preheader.new;bb:Bubble:.unr-lcssa;bb:Bubble:bb10;bb:Bubble:bb11;bb:Bubble:bb8;bb:Bubble:bb9;inst:Bubble:%10;inst:Bubble:%11;inst:Bubble:%12;inst:Bubble:%14;inst:Bubble:%15;inst:Bubble:%16;inst:Bubble:%17;inst:Bubble:%18;inst:Bubble:%2;inst:Bubble:%21;inst:Bubble:%22;inst:Bubble:%23;inst:Bubble:%24;inst:Bubble:%25;inst:Bubble:%26;inst:Bubble:%29;inst:Bubble:%3;inst:Bubble:%30;inst:Bubble:%32;inst:Bubble:%33;inst:Bubble:%35;inst:Bubble:%36;inst:Bubble:%39;inst:Bubble:%4;inst:Bubble:%40;inst:Bubble:%41;inst:Bubble:%42;inst:Bubble:%43;inst:Bubble:%5;inst:Bubble:%6;inst:Bubble:%7;inst:Bubble:%8;inst:Bubble:%9;inst:Bubble:%exitcond;inst:Bubble:%indvar;inst:Bubble:%indvar.next;inst:Bubble:%indvars.iv.next.1;inst:Bubble:%indvars.iv.next.epil;inst:Bubble:%indvars.iv1.epil.init;inst:Bubble:%indvars.iv1.unr;inst:Bubble:%lcmp.mod;inst:Bubble:%lcmp.mod3;inst:Bubble:%niter;inst:Bubble:%niter.ncmp.1;inst:Bubble:%niter.next.1;inst:Bubble:%unroll_iter;inst:Bubble:%xtraiter;inst:Bubble:.epil.preheader:1:call;inst:Bubble:.epil.preheader:2:br;inst:Bubble:.epilog-lcssa:1:br;inst:Bubble:.preheader.new:1:br;inst:Bubble:.unr-lcssa:1:br;inst:Bubble:bb10:1:br;inst:Bubble:bb11:1:ret;inst:Bubble:bb2:1:br;inst:Bubble:bb3:1:store;inst:Bubble:bb3:2:br;inst:Bubble:bb3:2:store;inst:Bubble:bb3:3:br;inst:Bubble:bb4:1:br;inst:Bubble:bb5:1:br;inst:Bubble:bb5:1:store;inst:Bubble:bb5:2:br;inst:Bubble:bb6:1:br;inst:Bubble:bb7:1:ret;inst:Bubble:bb7:1:store;inst:Bubble:bb7:2:store;inst:Bubble:bb7:3:br;inst:Bubble:bb8:1:br;inst:Bubble:bb9:1:br;loop:Bubble:.preheader;loop:Bubble:bb0,inst:Bubble:.preheader:1:br
1,expansion,licm,instcombine,licm,inst:Bubble:%.lcssa;inst:Bubble:%10;inst:Bubble:%11;inst:Bubble:%3;inst:Bubble:%4;inst:Bubble:%7;inst:Bubble:%8;inst:Bubble:%9;inst:Bubble:%exitcond;inst:Bubble:bb3:1:br;inst:Bubble:bb4:1:br;inst:bInitarr:%exitcond;inst:bInitarr:bb1:1:store;inst:bInitarr:bb1:2:br;inst:bInitarr:bb2:1:ret;inst:main:%exitcond;inst:main:bb1:1:call;inst:main:bb1:2:br;inst:main:bb2:1:ret;loop:Bubble:bb0;loop:main:bb0,inst:Bubble:%.lcssa;inst:Bubble:%10;inst:Bubble:%11;inst:Bubble:%15;inst:Bubble:%3;inst:Bubble:%4;inst:Bubble:%6;inst:Bubble:%7;inst:Bubble:%8;inst:Bubble:%9;inst:Bubble:%exitcond;inst:Bubble:%exitcond.not;inst:Bubble:bb3:1:br;inst:Bubble:bb4:1:br;inst:bInitarr:%exitcond;inst:bInitarr:%exitcond.not;inst:bInitarr:bb1:1:ret;inst:bInitarr:bb1:1:store;inst:bInitarr:bb1:2:br;inst:bInitarr:bb2:1:ret;inst:bInitarr:bb2:1:store;inst:bInitarr:bb2:2:br;inst:main:%exitcond;inst:main:%exitcond.not;inst:main:bb1:1:call;inst:main:bb1:1:ret;inst:main:bb1:2:br;inst:main:bb2:1:call;inst:main:bb2:1:ret;inst:main:bb2:2:br;loop:Bubble:bb0;loop:main:bb0,inst:Bubble:%.lcssa;inst:Bubble:%10;inst:Bubble:%11;inst:Bubble:%15;inst:Bubble:%3;inst:Bubble:%4;inst:Bubble:%6;inst:Bubble:%7;inst:Bubble:%8;inst:Bubble:%9,
1,activation,licm,simplifycfg,licm,bb:Bubble:bb9;inst:Bubble:%10;inst:Bubble:%11;inst:Bubble:%16;inst:Bubble:%17;inst:Bubble:%19;inst:Bubble:%20;inst:Bubble:%23;inst:Bubble:%24;inst:Bubble:%25;inst:Bubble:%26;inst:Bubble:%27;inst:Bubble:%7;inst:Bubble:%8;inst:Bubble:%9;inst:Bubble:.preheader:1:br;inst:Bubble:bb3:1:br;inst:Bubble:bb4:1:br;inst:Bubble:bb5:1:store;inst:Bubble:bb5:2:store;inst:Bubble:bb5:3:br;inst:Bubble:bb6:1:br;inst:Bubble:bb7:1:br;inst:Bubble:bb8:1:br;inst:Bubble:bb9:1:ret;loop:Bubble:bb0;loop:Bubble:bb2,bb:Bubble:bb9;inst:Bubble:%10;inst:Bubble:%11;inst:Bubble:%15;inst:Bubble:%16;inst:Bubble:%17;inst:Bubble:%18;inst:Bubble:%19;inst:Bubble:%20;inst:Bubble:%22;inst:Bubble:%23;inst:Bubble:%24;inst:Bubble:%25;inst:Bubble:%26;inst:Bubble:%27;inst:Bubble:%6;inst:Bubble:%7;inst:Bubble:%8;inst:Bubble:%9;inst:Bubble:.preheader:1:br;inst:Bubble:bb3:1:br;inst:Bubble:bb4:1:br;inst:Bubble:bb4:1:store;inst:Bubble:bb4:2:store;inst:Bubble:bb4:3:br;inst:Bubble:bb5:1:br;inst:Bubble:bb5:1:store;inst:Bubble:bb5:2:store;inst:Bubble:bb5:3:br;inst:Bubble:bb6:1:br;inst:Bubble:bb7:1:br;inst:Bubble:bb8:1:br;inst:Bubble:bb8:1:ret;inst:Bubble:bb9:1:ret;loop:Bubble:.preheader;loop:Bubble:bb0;loop:Bubble:bb2,bb:Bubble:bb9;inst:Bubble:%10;inst:Bubble:%11;inst:Bubble:%15;inst:Bubble:%16;inst:Bubble:%17;inst:Bubble:%18;inst:Bubble:%19;inst:Bubble:%20;inst:Bubble:%22;inst:Bubble:%23;inst:Bubble:%24;inst:Bubble:%25;inst:Bubble:%26;inst:Bubble:%27;inst:Bubble:%6;inst:Bubble:%7;inst:Bubble:%8;inst:Bubble:%9;inst:Bubble:.preheader:1:br;inst:Bubble:bb3:1:br;inst:Bubble:bb4:1:br;inst:Bubble:bb4:1:store;inst:Bubble:bb4:2:store;inst:Bubble:bb4:3:br;inst:Bubble:bb5:1:br;inst:Bubble:bb5:1:store;inst:Bubble:bb5:2:store;inst:Bubble:bb5:3:br;inst:Bubble:bb6:1:br;inst:Bubble:bb7:1:br;inst:Bubble:bb8:1:br;inst:Bubble:bb8:1:ret;inst:Bubble:bb9:1:ret;loop:Bubble:.preheader;loop:Bubble:bb0;loop:Bubble:bb2,
1,activation,licm,early-cse,licm,inst:Bubble:%.lcssa,inst:Bubble:%.lcssa,inst:Bubble:%.lcssa,
