pass_a,pass_b,commute,ab_path,ba_path,details
instcombine,simplifycfg,true,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\instcombine__then__simplifycfg.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\simplifycfg__then__instcombine.ll,
instcombine,early-cse,true,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\instcombine__then__early-cse.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\early-cse__then__instcombine.ll,
instcombine,gvn,true,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\instcombine__then__gvn.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\gvn__then__instcombine.ll,
instcombine,sccp,true,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\instcombine__then__sccp.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\sccp__then__instcombine.ll,
instcombine,loop-simplify,true,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\instcombine__then__loop-simplify.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\loop-simplify__then__instcombine.ll,
instcombine,loop-rotate,false,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\instcombine__then__loop-rotate.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\loop-rotate__then__instcombine.ll,"in function Initmatrix:
  in block %2 / %2:
    >   %3 = phi i32 [ 1, %1 ], [ %16, %15 ]
    <   %3 = phi i32 [ 1, %1 ], [ %16, %15 ]
  in block %15 / %15:
    >   %17 = icmp samesign ult i32 %3, 40
    >   br i1 %17, label %2, label %18, !llvm.loop !9
    <   %17 = icmp samesign ult i32 %16, 41
    <   br i1 %17, label %2, label %18, !llvm.loop !9
  in block %4 / %4:
    >   %5 = phi i32 [ 1, %2 ], [ %13, %4 ]
    <   %5 = phi i32 [ 1, %2 ], [ %13, %4 ]
        %6 = call i32 @Rand()
        %.fr = freeze i32 %6
        %7 = srem i32 %.fr, 120
        %8 = add nsw i32 %7, -60
        %9 = zext nneg i32 %3 to i64
        %10 = getelementptr inbounds nuw [164 x i8], ptr %0, i64 %9
    >   %11 = zext nneg i32 %5 to i64
    >   %12 = getelementptr inbounds nuw [4 x i8], ptr %10, i64 %11
    >   store i32 %8, ptr %12, align 4
    >   %13 = add nuw nsw i32 %5, 1
    >   %14 = icmp samesign ult i32 %5, 40
    >   br i1 %14, label %4, label %15, !llvm.loop !7
    <   %11 = zext nneg i32 %5 to i64
    <   %12 = getelementptr inbounds nuw [4 x i8], ptr %10, i64 %11
    <   store i32 %8, ptr %12, align 4
    <   %13 = add nuw nsw i32 %5, 1
    <   %14 = icmp samesign ult i32 %13, 41
    <   br i1 %14, label %4, label %15, !llvm.loop !7

in function Innerproduct:
  in block %6 / %6:
    >   %7 = phi i32 [ 1, %5 ], [ %20, %6 ]
    >   %8 = phi i32 [ 0, %5 ], [ %19, %6 ]
    <   %7 = phi i32 [ 1, %5 ], [ %20, %6 ]
    <   %8 = phi i32 [ 0, %5 ], [ %19, %6 ]
        %9 = sext i32 %3 to i64
        %10 = getelementptr inbounds [164 x i8], ptr %1, i64 %9
    >   %11 = zext nneg i32 %7 to i64
    >   %12 = getelementptr inbounds nuw [4 x i8], ptr %10, i64 %11
    >   %13 = load i32, ptr %12, align 4
    >   %14 = getelementptr inbounds nuw [164 x i8], ptr %2, i64 %11
    <   %11 = zext nneg i32 %7 to i64
    <   %12 = getelementptr inbounds nuw [4 x i8], ptr %10, i64 %11
    <   %13 = load i32, ptr %12, align 4
    <   %14 = getelementptr inbounds nuw [164 x i8], ptr %2, i64 %11
        %15 = sext i32 %4 to i64
    >   %16 = getelementptr inbounds [4 x i8], ptr %14, i64 %15
    >   %17 = load i32, ptr %16, align 4
    >   %18 = mul nsw i32 %13, %17
    >   %19 = add nsw i32 %8, %18
    >   store i32 %19, ptr %0, align 4
    >   %20 = add nuw nsw i32 %7, 1
    >   %21 = icmp samesign ult i32 %7, 40
    >   br i1 %21, label %6, label %22, !llvm.loop !7
    <   %16 = getelementptr inbounds [4 x i8], ptr %14, i64 %15
    <   %17 = load i32, ptr %16, align 4
    <   %18 = mul nsw i32 %13, %17
    <   %19 = add nsw i32 %8, %18
    <   store i32 %19, ptr %0, align 4
    <   %20 = add nuw nsw i32 %7, 1
    <   %21 = icmp samesign ult i32 %20, 41
    <   br i1 %21, label %6, label %22, !llvm.loop !7

in function Intmm:
  in block %2 / %2:
    >   %3 = phi i32 [ 1, %1 ], [ %13, %12 ]
    <   %3 = phi i32 [ 1, %1 ], [ %13, %12 ]
  in block %12 / %12:
    >   %14 = icmp samesign ult i32 %3, 40
    >   br i1 %14, label %2, label %15, !llvm.loop !9
    <   %14 = icmp samesign ult i32 %13, 41
    <   br i1 %14, label %2, label %15, !llvm.loop !9
  in block %4 / %4:
    >   %5 = phi i32 [ 1, %2 ], [ %10, %4 ]
    <   %5 = phi i32 [ 1, %2 ], [ %10, %4 ]
        %6 = zext nneg i32 %3 to i64
        %7 = getelementptr inbounds nuw [164 x i8], ptr @imr, i64 %6
    >   %8 = zext nneg i32 %5 to i64
    >   %9 = getelementptr inbounds nuw [4 x i8], ptr %7, i64 %8
    <   %8 = zext nneg i32 %5 to i64
    <   %9 = getelementptr inbounds nuw [4 x i8], ptr %7, i64 %8
        call void @Innerproduct(ptr noundef nonnull %9, ptr noundef nonnull @ima, ptr noundef nonnull @imb, i32 noundef %3, i32 noundef %5)
    >   %10 = add nuw nsw i32 %5, 1
    >   %11 = icmp samesign ult i32 %5, 40
    >   br i1 %11, label %4, label %12, !llvm.loop !7
    <   %10 = add nuw nsw i32 %5, 1
    <   %11 = icmp samesign ult i32 %10, 41
    <   br i1 %11, label %4, label %12, !llvm.loop !7

in function main:
  in block %1 / %1:
    >   %2 = phi i32 [ 0, %0 ], [ %3, %1 ]
    <   %2 = phi i32 [ 0, %0 ], [ %3, %1 ]
        call void @Intmm(i32 noundef %2)
    >   %3 = add nuw nsw i32 %2, 1
    >   %4 = icmp samesign ult i32 %2, 9
    >   br i1 %4, label %1, label %5, !llvm.loop !7
    <   %3 = add nuw nsw i32 %2, 1
    <   %4 = icmp samesign ult i32 %3, 10
    <   br i1 %4, label %1, label %5, !llvm.loop !7"
instcombine,licm,true,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\instcombine__then__licm.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\licm__then__instcombine.ll,
instcombine,indvars,false,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\instcombine__then__indvars.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\indvars__then__instcombine.ll,"in function Initmatrix:
  in block %2 / %2:
    >   %indvars.iv2 = phi i64 [ %indvars.iv.next3, %11 ], [ 1, %1 ]
    >   %exitcond5.not = icmp eq i64 %indvars.iv2, 41
    >   br i1 %exitcond5.not, label %12, label %3
    <   %indvars.iv2 = phi i64 [ %indvars.iv.next3, %11 ], [ 1, %1 ]
    <   %exitcond5 = icmp ne i64 %indvars.iv2, 41
    <   br i1 %exitcond5, label %3, label %12

in function Innerproduct:
  in block %6 / %6:
    >   %indvars.iv = phi i64 [ %indvars.iv.next, %8 ], [ 1, %5 ]
    >   %7 = phi i32 [ %18, %8 ], [ 0, %5 ]
    >   %exitcond.not = icmp eq i64 %indvars.iv, 41
    >   br i1 %exitcond.not, label %19, label %8
    <   %indvars.iv = phi i64 [ %indvars.iv.next, %8 ], [ 1, %5 ]
    <   %7 = phi i32 [ %18, %8 ], [ 0, %5 ]
    <   %exitcond = icmp ne i64 %indvars.iv, 41
    <   br i1 %exitcond, label %8, label %19

in function Intmm:
  in block %2 / %2:
    >   %indvars.iv2 = phi i64 [ %indvars.iv.next3, %10 ], [ 1, %1 ]
    >   %exitcond5.not = icmp eq i64 %indvars.iv2, 41
    >   br i1 %exitcond5.not, label %11, label %3
    <   %indvars.iv2 = phi i64 [ %indvars.iv.next3, %10 ], [ 1, %1 ]
    <   %exitcond5 = icmp ne i64 %indvars.iv2, 41
    <   br i1 %exitcond5, label %3, label %11

in function main:
  in block %1 / %1:
    >   %2 = phi i32 [ %4, %3 ], [ 0, %0 ]
    >   %exitcond.not = icmp eq i32 %2, 10
    >   br i1 %exitcond.not, label %5, label %3
    <   %2 = phi i32 [ %4, %3 ], [ 0, %0 ]
    <   %exitcond = icmp ne i32 %2, 10
    <   br i1 %exitcond, label %3, label %5"
instcombine,loop-unroll,false,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\instcombine__then__loop-unroll.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\loop-unroll__then__instcombine.ll,"in function Innerproduct:
  in block %6 / %6:
    >   %7 = phi i32 [ 0, %5 ], [ %34, %22 ]
    >   %8 = phi i32 [ 1, %5 ], [ %35, %22 ]
    <   %7 = phi i32 [ 0, %5 ], [ %34, %23 ]
    <   %8 = phi i32 [ 1, %5 ], [ %35, %23 ]
  in block %10 / %10:
    <   %22 = add nuw nsw i32 %8, 1
  in block %23 / %22:
    >   %23 = add nuw nsw i32 %8, 1
        %24 = sext i32 %3 to i64
        %25 = getelementptr inbounds [164 x i8], ptr %1, i64 %24
    >   %26 = zext nneg i32 %23 to i64
    >   %27 = getelementptr inbounds nuw [4 x i8], ptr %25, i64 %26
    >   %28 = load i32, ptr %27, align 4
    >   %29 = getelementptr inbounds nuw [164 x i8], ptr %2, i64 %26
    <   %26 = zext nneg i32 %22 to i64
    <   %27 = getelementptr inbounds nuw [4 x i8], ptr %25, i64 %26
    <   %28 = load i32, ptr %27, align 4
    <   %29 = getelementptr inbounds nuw [164 x i8], ptr %2, i64 %26
        %30 = sext i32 %4 to i64
    >   %31 = getelementptr inbounds [4 x i8], ptr %29, i64 %30
    >   %32 = load i32, ptr %31, align 4
    >   %33 = mul nsw i32 %28, %32
    >   %34 = add nsw i32 %21, %33
    >   store i32 %34, ptr %0, align 4
    <   %31 = getelementptr inbounds [4 x i8], ptr %29, i64 %30
    <   %32 = load i32, ptr %31, align 4
    <   %33 = mul nsw i32 %28, %32
    <   %34 = add nsw i32 %21, %33
    <   store i32 %34, ptr %0, align 4

in function main:
  in block %12 / %12:
    <   call void @Intmm(i32 noundef 10)"
simplifycfg,early-cse,true,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\simplifycfg__then__early-cse.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\early-cse__then__simplifycfg.ll,
