pass_a,pass_b,commute,ab_path,ba_path,details
instcombine,simplifycfg,false,results\paper_full\Stanford_Oscar\round_001\analysis\Stanford_Oscar\commutativity\instcombine__then__simplifycfg.ll,results\paper_full\Stanford_Oscar\round_001\analysis\Stanford_Oscar\commutativity\simplifycfg__then__instcombine.ll,"function @llvm.smin.i32 exists only in right module
in function Min0:
  in block %2 / %2:
    >   %. = call i32 @llvm.smin.i32(i32 %0, i32 %1)
    >   ret i32 %.
    <   %3 = icmp slt i32 %0, %1
    <   %. = select i1 %3, i32 %0, i32 %1
    <   ret i32 %."
instcombine,early-cse,true,results\paper_full\Stanford_Oscar\round_001\analysis\Stanford_Oscar\commutativity\instcombine__then__early-cse.ll,results\paper_full\Stanford_Oscar\round_001\analysis\Stanford_Oscar\commutativity\early-cse__then__instcombine.ll,
instcombine,gvn,true,results\paper_full\Stanford_Oscar\round_001\analysis\Stanford_Oscar\commutativity\instcombine__then__gvn.ll,results\paper_full\Stanford_Oscar\round_001\analysis\Stanford_Oscar\commutativity\gvn__then__instcombine.ll,
instcombine,sccp,true,results\paper_full\Stanford_Oscar\round_001\analysis\Stanford_Oscar\commutativity\instcombine__then__sccp.ll,results\paper_full\Stanford_Oscar\round_001\analysis\Stanford_Oscar\commutativity\sccp__then__instcombine.ll,
instcombine,loop-simplify,true,results\paper_full\Stanford_Oscar\round_001\analysis\Stanford_Oscar\commutativity\instcombine__then__loop-simplify.ll,results\paper_full\Stanford_Oscar\round_001\analysis\Stanford_Oscar\commutativity\loop-simplify__then__instcombine.ll,
instcombine,loop-rotate,false,results\paper_full\Stanford_Oscar\round_001\analysis\Stanford_Oscar\commutativity\instcombine__then__loop-rotate.ll,results\paper_full\Stanford_Oscar\round_001\analysis\Stanford_Oscar\commutativity\loop-rotate__then__instcombine.ll,"in function Cos:
  in block %2 / %2:
    >   %.013 = phi i32 [ 2, %1 ], [ %21, %20 ]
    <   %.013 = phi i32 [ 2, %1 ], [ %21, %20 ]
  in block %20 / %20:
    >   %22 = icmp samesign ult i32 %.013, 10
    >   br i1 %22, label %2, label %23, !llvm.loop !7
    <   %22 = icmp samesign ult i32 %21, 11
    <   br i1 %22, label %2, label %23, !llvm.loop !7

in function Exptab:
  in block %4 / %4:
    >   %.032 = phi float [ 4.000000e+00, %2 ], [ %12, %11 ]
    >   %.041 = phi i32 [ 1, %2 ], [ %13, %11 ]
    <   %.032 = phi float [ 4.000000e+00, %2 ], [ %12, %11 ]
    <   %.041 = phi i32 [ 1, %2 ], [ %13, %11 ]
  in block %11 / %11:
    >   %14 = icmp samesign ult i32 %.041, 25
    >   br i1 %14, label %4, label %15, !llvm.loop !7
    <   %14 = icmp samesign ult i32 %13, 26
    <   br i1 %14, label %4, label %15, !llvm.loop !7

in function Fft:
  in block %72 / %72:
    >   %73 = icmp sgt i32 %0, 0
    >   br i1 %73, label %.lr.ph, label %85
    <   %.not34 = icmp sgt i32 1, %0
    <   br i1 %.not34, label %84, label %.lr.ph
  in block %8 / %8:
    >   %.04 = phi i32 [ 1, %7 ], [ %57, %59 ]
    >   %.03 = phi i32 [ %.01, %7 ], [ %60, %59 ]
    >   %.02 = phi i32 [ 0, %7 ], [ %.03, %59 ]
    <   %.04 = phi i32 [ 1, %7 ], [ %.lcssa, %59 ]
    <   %.03 = phi i32 [ %.01, %7 ], [ %60, %59 ]
    <   %.02 = phi i32 [ 0, %7 ], [ %.03, %59 ]

in function Oscar:
  in block %2 / %2:
    >   %.01 = phi i32 [ 1, %0 ], [ %14, %13 ]
    <   %.01 = phi i32 [ 1, %0 ], [ %14, %13 ]
  in block %13 / %13:
    >   %15 = icmp samesign ult i32 %.01, 256
    >   br i1 %15, label %2, label %16, !llvm.loop !7
    <   %15 = icmp samesign ult i32 %14, 257
    <   br i1 %15, label %2, label %16, !llvm.loop !7

in function main:
  in block %1 / %1:
    >   %.01 = phi i32 [ 0, %0 ], [ %3, %2 ]
    <   %.01 = phi i32 [ 0, %0 ], [ %3, %2 ]
  in block %2 / %2:
    >   %4 = icmp samesign ult i32 %.01, 9
    >   br i1 %4, label %1, label %5, !llvm.loop !7
    <   %4 = icmp samesign ult i32 %3, 10
    <   br i1 %4, label %1, label %5, !llvm.loop !7"
instcombine,licm,false,results\paper_full\Stanford_Oscar\round_001\analysis\Stanford_Oscar\commutativity\instcombine__then__licm.ll,results\paper_full\Stanford_Oscar\round_001\analysis\Stanford_Oscar\commutativity\licm__then__instcombine.ll,"in function Cos:
  in block %24 / %24:
    >   ret float %.03
    <   %.03.lcssa = phi float [ %.03, %2 ]
    <   ret float %.03.lcssa

in function Exptab:
  in block %29 / %29:
    >   %.02 = phi i32 [ 1, %16 ], [ %57, %58 ]
    >   %.0 = phi i32 [ %18, %16 ], [ %30, %58 ]
    >   %30 = sdiv i32 %.0, 2
    >   %31 = sext i32 %.02 to i64
    >   %32 = getelementptr inbounds [4 x i8], ptr %3, i64 %31
    >   %33 = load float, ptr %32, align 4
    >   %invariant.op = add nsw i32 %30, 1
    <   %.02 = phi i32 [ 1, %16 ], [ %62, %63 ]
    <   %.0 = phi i32 [ %18, %16 ], [ %30, %63 ]
    <   %30 = sdiv i32 %.0, 2
    <   %31 = sext i32 %.02 to i64
    <   %32 = getelementptr inbounds [4 x i8], ptr %3, i64 %31
    <   %33 = load float, ptr %32, align 4
    <   %34 = load float, ptr %32, align 4

in function Fft:
  in block %8 / %8:
    >   %.04 = phi i32 [ 1, %7 ], [ %57, %59 ]
    >   %.03 = phi i32 [ %.01, %7 ], [ %60, %59 ]
    >   %.02 = phi i32 [ 0, %7 ], [ %.03, %59 ]
    >   %9 = sext i32 %.02 to i64
    >   %10 = getelementptr [8 x i8], ptr %3, i64 %9
    >   %11 = getelementptr i8, ptr %10, i64 8
    >   %12 = getelementptr i8, ptr %10, i64 12
    <   %.04 = phi i32 [ 1, %7 ], [ %.lcssa, %59 ]
    <   %.03 = phi i32 [ %.01, %7 ], [ %60, %59 ]
    <   %.02 = phi i32 [ 0, %7 ], [ %.03, %59 ]
    <   %9 = sext i32 %.02 to i64
    <   %10 = getelementptr [8 x i8], ptr %3, i64 %9
    <   %11 = getelementptr i8, ptr %10, i64 8
    <   %12 = getelementptr i8, ptr %10, i64 12"
instcombine,indvars,false,results\paper_full\Stanford_Oscar\round_001\analysis\Stanford_Oscar\commutativity\instcombine__then__indvars.ll,results\paper_full\Stanford_Oscar\round_001\analysis\Stanford_Oscar\commutativity\indvars__then__instcombine.ll,"in function Cos:
  in block %2 / %2:
    >   %.03 = phi float [ 1.000000e+00, %1 ], [ %.1, %21 ]
    >   %.02 = phi i32 [ 1, %1 ], [ %4, %21 ]
    >   %.01 = phi i32 [ 2, %1 ], [ %22, %21 ]
    >   %.0 = phi float [ %0, %1 ], [ %5, %21 ]
    >   %exitcond.not = icmp eq i32 %.01, 11
    >   br i1 %exitcond.not, label %23, label %3
    <   %.03 = phi float [ 1.000000e+00, %1 ], [ %.1, %21 ]
    <   %.02 = phi i32 [ 1, %1 ], [ %4, %21 ]
    <   %.01 = phi i32 [ 2, %1 ], [ %22, %21 ]
    <   %.0 = phi float [ %0, %1 ], [ %5, %21 ]
    <   %exitcond = icmp ne i32 %.01, 11
    <   br i1 %exitcond, label %3, label %23

in function Exptab:
  in block %4 / %4:
    >   %indvars.iv = phi i64 [ %indvars.iv.next, %11 ], [ 1, %2 ]
    >   %.03 = phi float [ %12, %11 ], [ 4.000000e+00, %2 ]
    >   %exitcond.not = icmp eq i64 %indvars.iv, 26
    >   br i1 %exitcond.not, label %13, label %5
    <   %indvars.iv = phi i64 [ %indvars.iv.next, %11 ], [ 1, %2 ]
    <   %.03 = phi float [ 4.000000e+00, %2 ], [ %12, %11 ]
    <   %exitcond = icmp ne i64 %indvars.iv, 26
    <   br i1 %exitcond, label %5, label %13

in function Fft:
  in block %12 / %12:
    >   %indvars.iv2 = phi i64 [ %indvars.iv.next3, %60 ], [ %11, %10 ]
    >   %.04 = phi i64 [ %indvars.iv.next, %60 ], [ 1, %10 ]
    >   %.02 = phi i32 [ %61, %60 ], [ 0, %10 ]
    >   %sext = shl i64 %.04, 32
    >   %13 = ashr exact i64 %sext, 32
    >   %14 = sext i32 %.02 to i64
    >   %smax = call i64 @llvm.smax.i64(i64 %indvars.iv2, i64 %13)
    <   %indvars.iv5 = phi i64 [ %indvars.iv.next6, %62 ], [ %11, %10 ]
    <   %.04 = phi i32 [ 1, %10 ], [ %61, %62 ]
    <   %.02 = phi i32 [ 0, %10 ], [ %63, %62 ]
    <   %13 = sext i32 %.04 to i64
    <   %14 = sext i32 %.02 to i64
    <   %smax = call i64 @llvm.smax.i64(i64 %indvars.iv5, i64 %13)
    <   %15 = add i64 %smax, 1

in function Oscar:
  in block %2 / %2:
    >   %indvars.iv = phi i64 [ %indvars.iv.next, %13 ], [ 1, %0 ]
    >   %exitcond.not = icmp eq i64 %indvars.iv, 257
    >   br i1 %exitcond.not, label %14, label %3
    <   %indvars.iv = phi i64 [ %indvars.iv.next, %13 ], [ 1, %0 ]
    <   %exitcond = icmp ne i64 %indvars.iv, 257
    <   br i1 %exitcond, label %3, label %14

in function main:
  in block %1 / %1:
    >   %.0 = phi i32 [ 0, %0 ], [ %4, %3 ]
    >   %exitcond.not = icmp eq i32 %.0, 10
    >   br i1 %exitcond.not, label %5, label %2
    <   %.0 = phi i32 [ 0, %0 ], [ %4, %3 ]
    <   %exitcond = icmp ne i32 %.0, 10
    <   br i1 %exitcond, label %2, label %5"
instcombine,loop-unroll,false,results\paper_full\Stanford_Oscar\round_001\analysis\Stanford_Oscar\commutativity\instcombine__then__loop-unroll.ll,results\paper_full\Stanford_Oscar\round_001\analysis\Stanford_Oscar\commutativity\loop-unroll__then__instcombine.ll,"in function Cos:
  in block %9 / %7:
    >   %8 = fmul float %4, 5.000000e-01
    >   %9 = fsub float 1.000000e+00, %8
    <   %10 = fdiv float %4, 2.000000e+00
    <   %11 = fsub float 1.000000e+00, %10
  in block %6 / %6:
    <   %7 = fdiv float %4, 2.000000e+00
    <   %8 = fadd float 1.000000e+00, %7
  in block %13 / %11:
    >   %.1 = phi float [ %.2, %10 ], [ poison, %3 ]
    <   %.1 = phi float [ %.2, %12 ], [ 1.000000e+00, %3 ]

in function Fft:
  in block %5 / %5:
    <   %7 = add nsw i32 %smax, -1

in function main:
  in block %22 / %22:
    <   call void @Oscar()"
instcombine,reassociate,false,results\paper_full\Stanford_Oscar\round_001\analysis\Stanford_Oscar\commutativity\instcombine__then__reassociate.ll,results\paper_full\Stanford_Oscar\round_001\analysis\Stanford_Oscar\commutativity\reassociate__then__instcombine.ll,"in function Exptab:
  in block %29 / %29:
    >   %.02 = phi i32 [ 1, %16 ], [ %62, %63 ]
    <   %.02 = phi i32 [ 1, %16 ], [ %62, %63 ]
  in block %31 / %31:
    >   %.01 = phi i32 [ %30, %29 ], [ %59, %58 ]
    <   %.01 = phi i32 [ %30, %29 ], [ %59, %58 ]
        %32 = sext i32 %.02 to i64
        %33 = getelementptr inbounds [4 x i8], ptr %3, i64 %32
        %34 = load float, ptr %33, align 4
    >   %35 = add nsw i32 %30, 1
    >   %36 = add i32 %35, %.01
    >   %37 = sext i32 %36 to i64
    >   %38 = getelementptr inbounds [8 x i8], ptr %1, i64 %37
    >   %39 = load float, ptr %38, align 4
    >   %40 = add i32 %.01, 1
    >   %41 = sub i32 %40, %30
    >   %42 = sext i32 %41 to i64
    >   %43 = getelementptr inbounds [8 x i8], ptr %1, i64 %42
    >   %44 = load float, ptr %43, align 4
    >   %45 = fadd float %39, %44
    >   %46 = fmul float %34, %45
    >   %47 = sext i32 %.01 to i64
    >   %48 = getelementptr [8 x i8], ptr %1, i64 %47
    >   %49 = getelementptr i8, ptr %48, i64 8
    >   store float %46, ptr %49, align 4
    <   %35 = add nsw i32 %.01, %30
    <   %36 = sext i32 %35 to i64
    <   %37 = getelementptr [8 x i8], ptr %1, i64 %36
    <   %38 = getelementptr i8, ptr %37, i64 8
    <   %39 = load float, ptr %38, align 4
    <   %40 = sub nsw i32 %.01, %30
    <   %41 = sext i32 %40 to i64
    <   %42 = getelementptr [8 x i8], ptr %1, i64 %41
    <   %43 = getelementptr i8, ptr %42, i64 8
    <   %44 = load float, ptr %43, align 4
    <   %45 = fadd float %39, %44
    <   %46 = fmul float %34, %45
    <   %47 = sext i32 %.01 to i64
    <   %48 = getelementptr [8 x i8], ptr %1, i64 %47
    <   %49 = getelementptr i8, ptr %48, i64 8
    <   store float %46, ptr %49, align 4
        %50 = load float, ptr %33, align 4
    >   %51 = getelementptr inbounds nuw i8, ptr %38, i64 4
    >   %52 = load float, ptr %51, align 4
    >   %53 = getelementptr inbounds nuw i8, ptr %43, i64 4
    >   %54 = load float, ptr %53, align 4
    >   %55 = fadd float %52, %54
    >   %56 = fmul float %50, %55
    >   %57 = getelementptr i8, ptr %48, i64 12
    >   store float %56, ptr %57, align 4
    <   %51 = getelementptr i8, ptr %37, i64 12
    <   %52 = load float, ptr %51, align 4
    <   %53 = getelementptr i8, ptr %42, i64 12
    <   %54 = load float, ptr %53, align 4
    <   %55 = fadd float %52, %54
    <   %56 = fmul float %50, %55
    <   %57 = getelementptr i8, ptr %48, i64 12
    <   store float %56, ptr %57, align 4

in function Fft:
  in block %74 / %73:
    >   %81 = fmul float %80, %78
    >   store float %81, ptr %79, align 4
    <   %82 = fmul float %79, %81
    <   store float %82, ptr %80, align 4"
