pass_a,pass_b,commute,ab_path,ba_path,details
mem2reg,instcombine,false,results\paper_full\Stanford_Perm\round_000\analysis\Stanford_Perm\commutativity\mem2reg__then__instcombine.ll,results\paper_full\Stanford_Perm\round_000\analysis\Stanford_Perm\commutativity\instcombine__then__mem2reg.ll,"in function Initialize:
  in block %1 / %1:
    >   %storemerge = phi i32 [ 1, %0 ], [ %8, %7 ]
    >   %2 = icmp slt i32 %storemerge, 8
    >   br i1 %2, label %3, label %9
    <   %.0 = phi i32 [ 1, %0 ], [ %8, %7 ]
    <   %2 = icmp samesign ult i32 %.0, 8
    <   br i1 %2, label %3, label %9

in function Perm:
  in block %1 / %1:
    >   %storemerge = phi i32 [ 1, %0 ], [ %5, %4 ]
    >   %2 = icmp slt i32 %storemerge, 6
    >   br i1 %2, label %3, label %6
    <   %.0 = phi i32 [ 1, %0 ], [ %5, %4 ]
    <   %2 = icmp samesign ult i32 %.0, 6
    <   br i1 %2, label %3, label %6

in function main:
  in block %1 / %1:
    >   %storemerge = phi i32 [ 0, %0 ], [ %5, %4 ]
    >   %2 = icmp slt i32 %storemerge, 100
    >   br i1 %2, label %3, label %6
    <   %.0 = phi i32 [ 0, %0 ], [ %5, %4 ]
    <   %2 = icmp samesign ult i32 %.0, 100
    <   br i1 %2, label %3, label %6"
mem2reg,simplifycfg,true,results\paper_full\Stanford_Perm\round_000\analysis\Stanford_Perm\commutativity\mem2reg__then__simplifycfg.ll,results\paper_full\Stanford_Perm\round_000\analysis\Stanford_Perm\commutativity\simplifycfg__then__mem2reg.ll,
mem2reg,sroa,true,results\paper_full\Stanford_Perm\round_000\analysis\Stanford_Perm\commutativity\mem2reg__then__sroa.ll,results\paper_full\Stanford_Perm\round_000\analysis\Stanford_Perm\commutativity\sroa__then__mem2reg.ll,
mem2reg,early-cse,false,results\paper_full\Stanford_Perm\round_000\analysis\Stanford_Perm\commutativity\mem2reg__then__early-cse.ll,results\paper_full\Stanford_Perm\round_000\analysis\Stanford_Perm\commutativity\early-cse__then__mem2reg.ll,"in function Permute:
  in block %5 / %5:
    >   %7 = sub nsw i32 %0, 1"
mem2reg,gvn,false,results\paper_full\Stanford_Perm\round_000\analysis\Stanford_Perm\commutativity\mem2reg__then__gvn.ll,results\paper_full\Stanford_Perm\round_000\analysis\Stanford_Perm\commutativity\gvn__then__mem2reg.ll,"in function Initialize:
  in block %1 / %1:
    >   %2 = phi i32 [ %8, %4 ], [ 1, %0 ]
    >   %3 = icmp sle i32 %2, 7
    >   br i1 %3, label %4, label %9
    <   %.0 = phi i32 [ 1, %0 ], [ %7, %3 ]
    <   %2 = icmp sle i32 %.0, 7
    <   br i1 %2, label %3, label %8

in function Permute:
  in block %7 / %7:
    >   %8 = phi i32 [ %15, %10 ], [ %6, %5 ]
    >   %9 = icmp sge i32 %8, 1
    >   br i1 %9, label %10, label %16
    <   %.0 = phi i32 [ %6, %5 ], [ %14, %9 ]
    <   %8 = icmp sge i32 %.0, 1
    <   br i1 %8, label %9, label %15

in function Perm:
  in block %1 / %1:
    >   %2 = phi i32 [ %5, %4 ], [ 1, %0 ]
    >   %3 = icmp sle i32 %2, 5
    >   br i1 %3, label %4, label %6
    <   %.0 = phi i32 [ 1, %0 ], [ %4, %3 ]
    <   %2 = icmp sle i32 %.0, 5
    <   br i1 %2, label %3, label %5

in function main:
  in block %1 / %1:
    >   %2 = phi i32 [ %5, %4 ], [ 0, %0 ]
    >   %3 = icmp slt i32 %2, 100
    >   br i1 %3, label %4, label %6
    <   %.0 = phi i32 [ 0, %0 ], [ %4, %3 ]
    <   %2 = icmp slt i32 %.0, 100
    <   br i1 %2, label %3, label %5"
mem2reg,sccp,false,results\paper_full\Stanford_Perm\round_000\analysis\Stanford_Perm\commutativity\mem2reg__then__sccp.ll,results\paper_full\Stanford_Perm\round_000\analysis\Stanford_Perm\commutativity\sccp__then__mem2reg.ll,"in function Permute:
  in block %10 / %10:
    >   %13 = sext i32 %.0 to i64
    >   %14 = getelementptr inbounds [11 x i32], ptr @permarray, i64 0, i64 %13
    <   %13 = zext nneg i32 %.0 to i64
    <   %14 = getelementptr inbounds [11 x i32], ptr @permarray, i64 0, i64 %13
        call void @Swap(ptr noundef %12, ptr noundef %14)
        %15 = sub nsw i32 %0, 1
        call void @Permute(i32 noundef %15)
        %16 = sext i32 %0 to i64
        %17 = getelementptr inbounds [11 x i32], ptr @permarray, i64 0, i64 %16
    >   %18 = sext i32 %.0 to i64
    >   %19 = getelementptr inbounds [11 x i32], ptr @permarray, i64 0, i64 %18
    <   %18 = zext nneg i32 %.0 to i64
    <   %19 = getelementptr inbounds [11 x i32], ptr @permarray, i64 0, i64 %18"
mem2reg,loop-simplify,true,results\paper_full\Stanford_Perm\round_000\analysis\Stanford_Perm\commutativity\mem2reg__then__loop-simplify.ll,results\paper_full\Stanford_Perm\round_000\analysis\Stanford_Perm\commutativity\loop-simplify__then__mem2reg.ll,
mem2reg,loop-rotate,false,results\paper_full\Stanford_Perm\round_000\analysis\Stanford_Perm\commutativity\mem2reg__then__loop-rotate.ll,results\paper_full\Stanford_Perm\round_000\analysis\Stanford_Perm\commutativity\loop-rotate__then__mem2reg.ll,"in function Initialize:
  in block %0 / %0:
    >   %1 = icmp sle i32 1, 7
    >   br i1 %1, label %.lr.ph, label %9
    <   br label %1

in function Perm:
  in block %0 / %0:
    >   %1 = icmp sle i32 1, 5
    >   br i1 %1, label %.lr.ph, label %6
    <   br label %1

in function main:
  in block %0 / %0:
    >   %1 = icmp slt i32 0, 100
    >   br i1 %1, label %.lr.ph, label %6
    <   br label %1"
mem2reg,licm,false,results\paper_full\Stanford_Perm\round_000\analysis\Stanford_Perm\commutativity\mem2reg__then__licm.ll,results\paper_full\Stanford_Perm\round_000\analysis\Stanford_Perm\commutativity\licm__then__mem2reg.ll,"in function Initialize:
  in block %1 / %1:
    >   %2 = phi i32 [ %9, %8 ], [ 1, %0 ]
    >   %3 = icmp sle i32 %2, 7
    >   br i1 %3, label %4, label %10
    <   %.0 = phi i32 [ 1, %0 ], [ %8, %7 ]
    <   %2 = icmp sle i32 %.0, 7
    <   br i1 %2, label %3, label %9

in function Permute:
  in block %13 / %13:
    >   %14 = phi i32 [ %22, %21 ], [ %7, %5 ]
    >   %15 = icmp sge i32 %14, 1
    >   br i1 %15, label %16, label %23
    <   %.0 = phi i32 [ %7, %5 ], [ %21, %20 ]
    <   %14 = icmp sge i32 %.0, 1
    <   br i1 %14, label %15, label %22

in function Perm:
  in block %1 / %1:
    >   %2 = phi i32 [ %6, %5 ], [ 1, %0 ]
    >   %3 = icmp sle i32 %2, 5
    >   br i1 %3, label %4, label %7
    <   %.0 = phi i32 [ 1, %0 ], [ %5, %4 ]
    <   %2 = icmp sle i32 %.0, 5
    <   br i1 %2, label %3, label %6

in function main:
  in block %1 / %1:
    >   %2 = phi i32 [ %6, %5 ], [ 0, %0 ]
    >   %3 = icmp slt i32 %2, 100
    >   br i1 %3, label %4, label %7
    <   %.0 = phi i32 [ 0, %0 ], [ %5, %4 ]
    <   %2 = icmp slt i32 %.0, 100
    <   br i1 %2, label %3, label %6"
mem2reg,indvars,false,results\paper_full\Stanford_Perm\round_000\analysis\Stanford_Perm\commutativity\mem2reg__then__indvars.ll,results\paper_full\Stanford_Perm\round_000\analysis\Stanford_Perm\commutativity\indvars__then__mem2reg.ll,"in function Initialize:
  in block %1 / %1:
    >   %.0 = phi i32 [ 1, %0 ], [ %8, %7 ]
    >   %2 = icmp sle i32 %.0, 7
    >   br i1 %2, label %3, label %9
    <   %indvars.iv = phi i64 [ %indvars.iv.next, %6 ], [ 1, %0 ]
    <   %exitcond = icmp ne i64 %indvars.iv, 8
    <   br i1 %exitcond, label %2, label %7

in function Permute:
  in block %5 / %5:
    <   %8 = sext i32 %7 to i64

in function Perm:
  in block %1 / %1:
    >   %.0 = phi i32 [ 1, %0 ], [ %5, %4 ]
    >   %2 = icmp sle i32 %.0, 5
    >   br i1 %2, label %3, label %6
    <   %.0 = phi i32 [ 1, %0 ], [ %4, %3 ]
    <   %exitcond = icmp ne i32 %.0, 6
    <   br i1 %exitcond, label %2, label %5

in function main:
  in block %1 / %1:
    >   %.0 = phi i32 [ 0, %0 ], [ %5, %4 ]
    >   %2 = icmp slt i32 %.0, 100
    >   br i1 %2, label %3, label %6
    <   %.0 = phi i32 [ 0, %0 ], [ %4, %3 ]
    <   %exitcond = icmp ne i32 %.0, 100
    <   br i1 %exitcond, label %2, label %5"
mem2reg,loop-unroll,false,results\paper_full\Stanford_Perm\round_000\analysis\Stanford_Perm\commutativity\mem2reg__then__loop-unroll.ll,results\paper_full\Stanford_Perm\round_000\analysis\Stanford_Perm\commutativity\loop-unroll__then__mem2reg.ll,"in function Initialize:
  in block %1 / %1:
    >   %.0 = phi i32 [ 1, %0 ], [ %8, %7 ]
    >   %2 = icmp sle i32 %.0, 7
    >   br i1 %2, label %3, label %9
    <   br label %2

in function Perm:
  in block %1 / %1:
    >   %.0 = phi i32 [ 1, %0 ], [ %5, %4 ]
    >   %2 = icmp sle i32 %.0, 5
    >   br i1 %2, label %3, label %6
    <   br label %2"
instcombine,simplifycfg,false,results\paper_full\Stanford_Perm\round_000\analysis\Stanford_Perm\commutativity\instcombine__then__simplifycfg.ll,results\paper_full\Stanford_Perm\round_000\analysis\Stanford_Perm\commutativity\simplifycfg__then__instcombine.ll,"in function Initialize:
  in block %2 / %2:
    >   %storemerge = phi i32 [ 1, %0 ], [ %9, %4 ]
    <   %storemerge = phi i32 [ 1, %0 ], [ %10, %4 ]
  in block %4 / %4:
    <   %9 = load i32, ptr %1, align 4

in function Permute:
  in block %9 / %9:
    >   %storemerge.in = phi i32 [ %7, %6 ], [ %22, %11 ]
    <   %storemerge.in = phi i32 [ %7, %6 ], [ %25, %11 ]
  in block %11 / %11:
    <   %25 = load i32, ptr %3, align 4"
instcombine,sroa,false,results\paper_full\Stanford_Perm\round_000\analysis\Stanford_Perm\commutativity\instcombine__then__sroa.ll,results\paper_full\Stanford_Perm\round_000\analysis\Stanford_Perm\commutativity\sroa__then__instcombine.ll,"in function Initialize:
  in block %1 / %1:
    >   %.0 = phi i32 [ 1, %0 ], [ %8, %7 ]
    >   %2 = icmp samesign ult i32 %.0, 8
    >   br i1 %2, label %3, label %9
    <   %storemerge = phi i32 [ 1, %0 ], [ %8, %7 ]
    <   %2 = icmp slt i32 %storemerge, 8
    <   br i1 %2, label %3, label %9

in function Perm:
  in block %1 / %1:
    >   %.0 = phi i32 [ 1, %0 ], [ %5, %4 ]
    >   %2 = icmp samesign ult i32 %.0, 6
    >   br i1 %2, label %3, label %6
    <   %storemerge = phi i32 [ 1, %0 ], [ %5, %4 ]
    <   %2 = icmp slt i32 %storemerge, 6
    <   br i1 %2, label %3, label %6

in function main:
  in block %1 / %1:
    >   %.0 = phi i32 [ 0, %0 ], [ %5, %4 ]
    >   %2 = icmp samesign ult i32 %.0, 100
    >   br i1 %2, label %3, label %6
    <   %storemerge = phi i32 [ 0, %0 ], [ %5, %4 ]
    <   %2 = icmp slt i32 %storemerge, 100
    <   br i1 %2, label %3, label %6"
