round,benchmark,scheduler_mode,independence_threshold,input_ir,input_hash,metric_score,instruction_count,candidate_pass_count,auto_safe_passes,candidate_safe_passes,blocked_passes,decision_required_passes,decision_required_pairs,selected_action_kind,selected_action,action_details,output_hash,metric_after,metric_delta,changed
0,Stanford_Puzzle,relaxed,0.9,results\paper_full\Stanford_Puzzle\round_000\input.ll,145866c28e29127bc026287d3fde072dd4b9bce1172f74be43e167aec7d69c85,1434.5,913,12,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll;mem2reg;reassociate;sccp;simplifycfg;sroa,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;early-cse,reassociate;gvn,indvars;gvn,instcombine;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;gvn,mem2reg;gvn,sccp;gvn,simplifycfg;gvn,sroa;indvars,licm;indvars,mem2reg;indvars,sroa;instcombine,licm;instcombine,loop-rotate;instcombine,mem2reg;instcombine,reassociate;instcombine,simplifycfg;instcombine,sroa;licm,loop-rotate;licm,loop-unroll;licm,mem2reg;licm,sccp;licm,simplifycfg;licm,sroa;loop-rotate,mem2reg;loop-rotate,simplifycfg;loop-rotate,sroa;loop-unroll,mem2reg;loop-unroll,sroa;mem2reg,sccp;mem2reg,simplifycfg;sccp,sroa;simplifycfg,sroa",oracle_ordered_pair,"gvn,instcombine",oracle chose gvn->instcombine (improvement: 720.00),335e87683475cfce96b934e7a4f7bb9e2e0fb5081acd6baeb4127d5bc9cb5800,714.5,-720.0,true
1,Stanford_Puzzle,relaxed,0.9,results\paper_full\Stanford_Puzzle\round_001\input.ll,335e87683475cfce96b934e7a4f7bb9e2e0fb5081acd6baeb4127d5bc9cb5800,714.5,523,11,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;reassociate;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,licm;indvars,loop-rotate;indvars,loop-unroll;indvars,sccp;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,reassociate;licm,loop-rotate;licm,loop-unroll;licm,simplifycfg;loop-rotate,loop-unroll;loop-rotate,sccp;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,reassociate;loop-unroll,sccp;loop-unroll,simplifycfg;reassociate,simplifycfg",oracle_ordered_pair,"loop-rotate,early-cse",oracle chose loop-rotate->early-cse (improvement: 75.50),9e35dceb1d055482fb5ebd75b150d0fee6bb3235ac13f25140e9c5f738012ce5,639.0,-75.5,true
2,Stanford_Puzzle,relaxed,0.9,results\paper_full\Stanford_Puzzle\round_002\input.ll,9e35dceb1d055482fb5ebd75b150d0fee6bb3235ac13f25140e9c5f738012ce5,639.0,469,11,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;reassociate;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;gvn,sccp;indvars,instcombine;indvars,licm;indvars,loop-unroll;indvars,sccp;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,sccp;licm,loop-unroll;licm,sccp;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,reassociate;loop-unroll,sccp;loop-unroll,simplifycfg;reassociate,simplifycfg;sccp,simplifycfg",oracle_ordered_pair,"sccp,gvn",oracle chose sccp->gvn (improvement: 45.00),f4b2f5447b62ee04d75af11840e539d85390cae74717e016cc166e7d09744079,594.0,-45.0,true
3,Stanford_Puzzle,relaxed,0.9,results\paper_full\Stanford_Puzzle\round_003\input.ll,f4b2f5447b62ee04d75af11840e539d85390cae74717e016cc166e7d09744079,594.0,439,13,,,,adce;dce;early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;reassociate;sccp;simplifycfg,"adce,sccp;dce,sccp;early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;early-cse,sccp;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,licm;indvars,loop-unroll;indvars,sccp;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,reassociate;licm,loop-unroll;licm,sccp;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,reassociate;loop-unroll,simplifycfg;reassociate,sccp;reassociate,simplifycfg",oracle_ordered_pair,"sccp,adce",oracle chose sccp->adce (improvement: 10.00),8fd5ccc33fe5b5523d74cbe069001c55dbe60ee02c8c495e2a92b26257244930,584.0,-10.0,true
4,Stanford_Puzzle,relaxed,0.9,results\paper_full\Stanford_Puzzle\round_004\input.ll,8fd5ccc33fe5b5523d74cbe069001c55dbe60ee02c8c495e2a92b26257244930,584.0,429,11,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;reassociate;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,licm;indvars,loop-unroll;indvars,sccp;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,reassociate;licm,loop-unroll;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,reassociate;loop-unroll,simplifycfg;reassociate,simplifycfg",oracle_ordered_pair,"indvars,instcombine",oracle chose indvars->instcombine (improvement: 14.00),8a106ede29306d8ba703b722988bbe7abcae8868a7bbc8f5e589b799444ad5e3,570.0,-14.0,true
5,Stanford_Puzzle,relaxed,0.9,results\paper_full\Stanford_Puzzle\round_005\input.ll,8a106ede29306d8ba703b722988bbe7abcae8868a7bbc8f5e589b799444ad5e3,570.0,415,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,licm;indvars,loop-unroll;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;licm,loop-unroll;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,sccp;loop-unroll,simplifycfg",oracle_ordered_pair,"licm,early-cse",oracle chose licm->early-cse (improvement: 2.00),a7ccaf8a87981c8e10599ab1fafbb68585b0d61192c8060ba3a7e9a9e678eec6,568.0,-2.0,true
6,Stanford_Puzzle,relaxed,0.9,results\paper_full\Stanford_Puzzle\round_006\input.ll,a7ccaf8a87981c8e10599ab1fafbb68585b0d61192c8060ba3a7e9a9e678eec6,568.0,413,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,loop-unroll;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,sccp;loop-unroll,simplifycfg",oracle_ordered_pair,"licm,early-cse",oracle chose licm->early-cse (improvement: 0.00),c367368a91e9fedc77a68822744e9544b65edad4b929e42f2067fa043deed987,568.0,0.0,true
7,Stanford_Puzzle,relaxed,0.9,results\paper_full\Stanford_Puzzle\round_007\input.ll,c367368a91e9fedc77a68822744e9544b65edad4b929e42f2067fa043deed987,568.0,413,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,loop-unroll;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,sccp;loop-unroll,simplifycfg",oracle_ordered_pair,"loop-rotate,early-cse",oracle chose loop-rotate->early-cse (improvement: 0.00),df4ad44230b7dc095a11dafd8a422a58d74b6d7e2f66203eecaa40cc13265a59,568.0,0.0,true
8,Stanford_Puzzle,relaxed,0.9,results\paper_full\Stanford_Puzzle\round_008\input.ll,df4ad44230b7dc095a11dafd8a422a58d74b6d7e2f66203eecaa40cc13265a59,568.0,413,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,loop-unroll;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,sccp;loop-unroll,simplifycfg",oracle_ordered_pair,"licm,gvn",oracle chose licm->gvn (improvement: 0.00),7791f6b8e0e423d23000faa311af0fff722b6a45e840e1cbe6dc2de0d4f93955,568.0,0.0,true
9,Stanford_Puzzle,relaxed,0.9,results\paper_full\Stanford_Puzzle\round_009\input.ll,7791f6b8e0e423d23000faa311af0fff722b6a45e840e1cbe6dc2de0d4f93955,568.0,413,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,loop-unroll;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,sccp;loop-unroll,simplifycfg",oracle_ordered_pair,"loop-rotate,gvn",oracle chose loop-rotate->gvn (improvement: 0.00),aa8740beeda2b3dbf2d86463d18542e587a2e46fb785be6b6b3b45312e3dd33d,568.0,0.0,true
