pass_a,pass_b,commute,ab_path,ba_path,details
instcombine,simplifycfg,true,results\paper_full\Stanford_Queens\round_002\analysis\Stanford_Queens\commutativity\instcombine__then__simplifycfg.ll,results\paper_full\Stanford_Queens\round_002\analysis\Stanford_Queens\commutativity\simplifycfg__then__instcombine.ll,
instcombine,early-cse,true,results\paper_full\Stanford_Queens\round_002\analysis\Stanford_Queens\commutativity\instcombine__then__early-cse.ll,results\paper_full\Stanford_Queens\round_002\analysis\Stanford_Queens\commutativity\early-cse__then__instcombine.ll,
instcombine,gvn,true,results\paper_full\Stanford_Queens\round_002\analysis\Stanford_Queens\commutativity\instcombine__then__gvn.ll,results\paper_full\Stanford_Queens\round_002\analysis\Stanford_Queens\commutativity\gvn__then__instcombine.ll,
instcombine,loop-rotate,false,results\paper_full\Stanford_Queens\round_002\analysis\Stanford_Queens\commutativity\instcombine__then__loop-rotate.ll,results\paper_full\Stanford_Queens\round_002\analysis\Stanford_Queens\commutativity\loop-rotate__then__instcombine.ll,"in function Try:
  in block %6 / %6:
    >   br i1 true, label %.lr.ph, label %35
    <   %7 = load i32, ptr %1, align 4
    <   %.not5 = icmp eq i32 %7, 0
    <   br i1 %.not5, label %.lr.ph, label %36

in function Doit:
  in block %6 / %6:
    >   %.01 = phi i32 [ -7, %0 ], [ %23, %22 ]
    <   %.01 = phi i32 [ -7, %0 ], [ %23, %22 ]
  in block %22 / %22:
    >   %24 = icmp slt i32 %.01, 16
    >   br i1 %24, label %6, label %25, !llvm.loop !7
    <   %24 = icmp slt i32 %23, 17
    <   br i1 %24, label %6, label %25, !llvm.loop !7

in function Queens:
  in block %2 / %2:
    >   %.01 = phi i32 [ 1, %1 ], [ %3, %2 ]
    <   %.01 = phi i32 [ 1, %1 ], [ %3, %2 ]
        call void @Doit()
    >   %3 = add nuw nsw i32 %.01, 1
    >   %4 = icmp samesign ult i32 %.01, 50
    >   br i1 %4, label %2, label %5, !llvm.loop !7
    <   %3 = add nuw nsw i32 %.01, 1
    <   %4 = icmp samesign ult i32 %3, 51
    <   br i1 %4, label %2, label %5, !llvm.loop !7

in function main:
  in block %1 / %1:
    >   %.01 = phi i32 [ 0, %0 ], [ %2, %1 ]
    <   %.01 = phi i32 [ 0, %0 ], [ %2, %1 ]
        call void @Queens(i32 noundef %.01)
    >   %2 = add nuw nsw i32 %.01, 1
    >   %3 = icmp samesign ult i32 %.01, 99
    >   br i1 %3, label %1, label %4, !llvm.loop !7
    <   %2 = add nuw nsw i32 %.01, 1
    <   %3 = icmp samesign ult i32 %2, 100
    <   br i1 %3, label %1, label %4, !llvm.loop !7"
instcombine,licm,true,results\paper_full\Stanford_Queens\round_002\analysis\Stanford_Queens\commutativity\instcombine__then__licm.ll,results\paper_full\Stanford_Queens\round_002\analysis\Stanford_Queens\commutativity\licm__then__instcombine.ll,
instcombine,indvars,false,results\paper_full\Stanford_Queens\round_002\analysis\Stanford_Queens\commutativity\instcombine__then__indvars.ll,results\paper_full\Stanford_Queens\round_002\analysis\Stanford_Queens\commutativity\indvars__then__instcombine.ll,"in function Try:
  in block %15 / %15:
    >   %16 = getelementptr [4 x i8], ptr %2, i64 %indvars.iv.next
    >   %17 = getelementptr [4 x i8], ptr %16, i64 %7
    >   %18 = load i32, ptr %17, align 4
    >   %.not2 = icmp eq i32 %18, 0
    >   br i1 %.not2, label %34, label %19
    <   %16 = add nsw i64 %7, %indvars.iv.next
    <   %17 = getelementptr inbounds [4 x i8], ptr %2, i64 %16
    <   %18 = load i32, ptr %17, align 4
    <   %.not2 = icmp eq i32 %18, 0
    <   br i1 %.not2, label %34, label %19

in function Doit:
  in block %6 / %6:
    >   %indvars.iv = phi i64 [ %indvars.iv.next, %21 ], [ -7, %0 ]
    >   %exitcond.not = icmp eq i64 %indvars.iv, 17
    >   br i1 %exitcond.not, label %22, label %7
    <   %indvars.iv = phi i64 [ %indvars.iv.next, %21 ], [ -7, %0 ]
    <   %exitcond = icmp ne i64 %indvars.iv, 17
    <   br i1 %exitcond, label %7, label %22

in function Queens:
  in block %2 / %2:
    >   %.0 = phi i32 [ 1, %1 ], [ %4, %3 ]
    >   %exitcond.not = icmp eq i32 %.0, 51
    >   br i1 %exitcond.not, label %5, label %3
    <   %.0 = phi i32 [ 1, %1 ], [ %4, %3 ]
    <   %exitcond = icmp ne i32 %.0, 51
    <   br i1 %exitcond, label %3, label %5

in function main:
  in block %1 / %1:
    >   %.0 = phi i32 [ 0, %0 ], [ %3, %2 ]
    >   %exitcond.not = icmp eq i32 %.0, 100
    >   br i1 %exitcond.not, label %4, label %2
    <   %.0 = phi i32 [ 0, %0 ], [ %3, %2 ]
    <   %exitcond = icmp ne i32 %.0, 100
    <   br i1 %exitcond, label %2, label %4"
instcombine,loop-unroll,true,results\paper_full\Stanford_Queens\round_002\analysis\Stanford_Queens\commutativity\instcombine__then__loop-unroll.ll,results\paper_full\Stanford_Queens\round_002\analysis\Stanford_Queens\commutativity\loop-unroll__then__instcombine.ll,
simplifycfg,early-cse,true,results\paper_full\Stanford_Queens\round_002\analysis\Stanford_Queens\commutativity\simplifycfg__then__early-cse.ll,results\paper_full\Stanford_Queens\round_002\analysis\Stanford_Queens\commutativity\early-cse__then__simplifycfg.ll,
simplifycfg,gvn,true,results\paper_full\Stanford_Queens\round_002\analysis\Stanford_Queens\commutativity\simplifycfg__then__gvn.ll,results\paper_full\Stanford_Queens\round_002\analysis\Stanford_Queens\commutativity\gvn__then__simplifycfg.ll,
simplifycfg,loop-rotate,false,results\paper_full\Stanford_Queens\round_002\analysis\Stanford_Queens\commutativity\simplifycfg__then__loop-rotate.ll,results\paper_full\Stanford_Queens\round_002\analysis\Stanford_Queens\commutativity\loop-rotate__then__simplifycfg.ll,"in function Try:
  in block %.lr.ph:
    >   %.06 = phi i32 [ %8, %32 ], [ 0, %6 ]
    >   %8 = add nuw nsw i32 %.06, 1
    >   store i32 0, ptr %1, align 4
    >   %9 = zext nneg i32 %8 to i64
    >   %10 = getelementptr inbounds nuw [4 x i8], ptr %3, i64 %9
    >   %11 = load i32, ptr %10, align 4
    >   %.not1 = icmp eq i32 %11, 0
    >   br i1 %.not1, label %32, label %12
    <   br label %8"
