pass_a,pass_b,classification,dependency_kinds,dependency_strength,read_write_strength,enablement_strength,uncertainty_risk,wa_intersect_rb,wb_intersect_ra,wa_intersect_wb,strong_intersections,weak_intersections,intersection_token_kinds,overlap_pattern,enablement_edge_kinds,enablement_edges,enablement_evidence
early-cse,gvn,independent,,none,none,none,none,,,,,,,none,,,
early-cse,indvars,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,indvars->early-cse,kind=activation round=1 prefix=indvars writes=inst:Quicksort:%.1.lcssa;inst:Quicksort:%.12.lcssa.wide;inst:Quicksort:%.2.lcssa;inst:Quicksort:%.23.lcssa;inst:Quicksort:%.lcssa.wide;inst:Quicksort:%.lcssa1;inst:Quicksort:%.lcssa2;inst:Quicksort:%.lcssa3;inst:Quicksort:%.lcssa4;inst:Quicksort:%.lcssa5
early-cse,instcombine,independent,,none,none,none,none,,,,,,,none,,,
early-cse,licm,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,licm->early-cse,kind=activation round=1 prefix=licm writes=inst:Quicksort:%.1.lcssa;inst:Quicksort:%.12.lcssa;inst:Quicksort:%.2.lcssa;inst:Quicksort:%.23.lcssa;inst:Quicksort:%.lcssa;inst:Quicksort:%.lcssa1;inst:Quicksort:%.lcssa3;inst:Quicksort:%.lcssa4;inst:Quicksort:%.lcssa6;inst:Quicksort:%.lcssa7;inst:Quicksort:%17;inst:Quicksort:%18;inst:Quicksort:%19;inst:Quicksort:%20;inst:Quicksort:%21;inst:Quicksort:%22;inst:Quicksort:%23;inst:Quicksort:%24;inst:Quicksort:%25;inst:Quicksort:%26;inst:Quicksort:%27;inst:Quicksort:%29;inst:Quicksort:%31;inst:Quicksort:%32;inst:Quicksort:%34
early-cse,loop-rotate,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,loop-rotate->early-cse,kind=activation round=1 prefix=loop-rotate writes=inst:Quicksort:%.1.lcssa;inst:Quicksort:%.12.lcssa;inst:Quicksort:%.2.lcssa;inst:Quicksort:%.23.lcssa;inst:Quicksort:%.lcssa;inst:Quicksort:%.lcssa1;inst:Quicksort:%.lcssa2;inst:Quicksort:%.lcssa3;inst:Quicksort:%.lcssa4;inst:Quicksort:%.lcssa5
early-cse,loop-simplify,independent,,none,none,none,none,,,,,,,none,,,
early-cse,loop-unroll,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,loop-unroll->early-cse,kind=activation round=1 prefix=loop-unroll writes=inst:Quicksort:%.1.lcssa;inst:Quicksort:%.12.lcssa;inst:Quicksort:%.2.lcssa;inst:Quicksort:%.23.lcssa;inst:Quicksort:%.lcssa;inst:Quicksort:%.lcssa1;inst:Quicksort:%.lcssa2;inst:Quicksort:%.lcssa3;inst:Quicksort:%.lcssa4;inst:Quicksort:%.lcssa5
early-cse,reassociate,independent,,none,none,none,none,,,,,,,none,,,
early-cse,sccp,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,sccp->early-cse,kind=activation round=1 prefix=sccp writes=inst:Initarr:%10;inst:Initarr:%11;inst:Initarr:%12;inst:Initarr:%15;inst:Initarr:%16;inst:Initarr:%17;inst:Initarr:%3;inst:Initarr:%4;inst:Initarr:%5;inst:Initarr:%6;inst:Initarr:%7;inst:Initarr:%8
early-cse,simplifycfg,independent,,none,none,none,none,,,,,,,none,,,
