pass_a,pass_b,commute,ab_path,ba_path,details
instcombine,simplifycfg,true,results\paper_full\Stanford_Quicksort\round_006\analysis\Stanford_Quicksort\commutativity\instcombine__then__simplifycfg.ll,results\paper_full\Stanford_Quicksort\round_006\analysis\Stanford_Quicksort\commutativity\simplifycfg__then__instcombine.ll,
instcombine,early-cse,true,results\paper_full\Stanford_Quicksort\round_006\analysis\Stanford_Quicksort\commutativity\instcombine__then__early-cse.ll,results\paper_full\Stanford_Quicksort\round_006\analysis\Stanford_Quicksort\commutativity\early-cse__then__instcombine.ll,
instcombine,gvn,true,results\paper_full\Stanford_Quicksort\round_006\analysis\Stanford_Quicksort\commutativity\instcombine__then__gvn.ll,results\paper_full\Stanford_Quicksort\round_006\analysis\Stanford_Quicksort\commutativity\gvn__then__instcombine.ll,
instcombine,sccp,true,results\paper_full\Stanford_Quicksort\round_006\analysis\Stanford_Quicksort\commutativity\instcombine__then__sccp.ll,results\paper_full\Stanford_Quicksort\round_006\analysis\Stanford_Quicksort\commutativity\sccp__then__instcombine.ll,
instcombine,loop-simplify,true,results\paper_full\Stanford_Quicksort\round_006\analysis\Stanford_Quicksort\commutativity\instcombine__then__loop-simplify.ll,results\paper_full\Stanford_Quicksort\round_006\analysis\Stanford_Quicksort\commutativity\loop-simplify__then__instcombine.ll,
instcombine,loop-rotate,false,results\paper_full\Stanford_Quicksort\round_006\analysis\Stanford_Quicksort\commutativity\instcombine__then__loop-rotate.ll,results\paper_full\Stanford_Quicksort\round_006\analysis\Stanford_Quicksort\commutativity\loop-rotate__then__instcombine.ll,"in function Quicksort:
  in block %9 / %9:
    >   %.01 = phi i32 [ %1, %3 ], [ %.23, %25 ]
    >   %.0 = phi i32 [ %2, %3 ], [ %.2, %25 ]
    <   %.01 = phi i32 [ %1, %3 ], [ %.23, %25 ]
    <   %.0 = phi i32 [ %2, %3 ], [ %.2, %25 ]
  in block %16 / %16:
    <   %.12.lcssa = phi i32 [ %.12, %10 ]
    <   %.lcssa3 = phi ptr [ %12, %10 ]
    <   %.lcssa2 = phi i32 [ %13, %10 ]
    <   %.lcssa = phi i32 [ %15, %10 ]
  in block %25 / %25:
    >   %.23 = phi i32 [ %15, %24 ], [ %.12, %23 ]
    >   %.2 = phi i32 [ %22, %24 ], [ %.1, %23 ]
    >   %.not6 = icmp sgt i32 %.23, %.2
    >   br i1 %.not6, label %26, label %9, !llvm.loop !10
    <   %.23 = phi i32 [ %.lcssa, %24 ], [ %.12.lcssa, %23 ]
    <   %.2 = phi i32 [ %.lcssa4, %24 ], [ %.1.lcssa, %23 ]
    <   %.not1 = icmp sgt i32 %.23, %.2
    <   br i1 %.not1, label %26, label %9, !llvm.loop !10"
instcombine,licm,false,results\paper_full\Stanford_Quicksort\round_006\analysis\Stanford_Quicksort\commutativity\instcombine__then__licm.ll,results\paper_full\Stanford_Quicksort\round_006\analysis\Stanford_Quicksort\commutativity\licm__then__instcombine.ll,"in function Quicksort:
  in block %9 / %9:
    >   %.01 = phi i32 [ %1, %3 ], [ %.23, %27 ]
    >   %.0 = phi i32 [ %2, %3 ], [ %.2, %27 ]
    <   %.01 = phi i32 [ %1, %3 ], [ %.23, %27 ]
    <   %.0 = phi i32 [ %2, %3 ], [ %.2, %27 ]
  in block %16 / %16:
    >   %17 = getelementptr inbounds [4 x i8], ptr %0, i64 %11
    <   %.lcssa7 = phi i64 [ %11, %10 ]
    <   %.12.lcssa = phi i32 [ %.12, %10 ]
    <   %.lcssa2 = phi i32 [ %13, %10 ]
    <   %.lcssa = phi i32 [ %15, %10 ]
    <   %17 = getelementptr inbounds [4 x i8], ptr %0, i64 %.lcssa7
  in block %27 / %27:
    >   %.23 = phi i32 [ %15, %25 ], [ %.12, %24 ]
    >   %.2 = phi i32 [ %23, %25 ], [ %.1, %24 ]
    >   %.not8 = icmp sgt i32 %.23, %.2
    >   br i1 %.not8, label %28, label %9, !llvm.loop !10
    <   %.23 = phi i32 [ %.lcssa, %26 ], [ %.12.lcssa, %24 ]
    <   %.2 = phi i32 [ %.lcssa4, %26 ], [ %.1.lcssa, %24 ]
    <   %.not1 = icmp sgt i32 %.23, %.2
    <   br i1 %.not1, label %28, label %9, !llvm.loop !10"
instcombine,indvars,false,results\paper_full\Stanford_Quicksort\round_006\analysis\Stanford_Quicksort\commutativity\instcombine__then__indvars.ll,results\paper_full\Stanford_Quicksort\round_006\analysis\Stanford_Quicksort\commutativity\indvars__then__instcombine.ll,"in function Initarr:
  in block %1 / %1:
    >   %indvars.iv = phi i64 [ %indvars.iv.next, %14 ], [ 1, %0 ]
    <   %indvars.iv = phi i64 [ %indvars.iv.next, %14 ], [ 1, %0 ]
  in block %14 / %14:
    >   %exitcond.not = icmp eq i64 %indvars.iv.next, 5001
    >   br i1 %exitcond.not, label %15, label %1, !llvm.loop !7
    <   %exitcond = icmp ne i64 %indvars.iv.next, 5001
    <   br i1 %exitcond, label %1, label %15, !llvm.loop !7

in function Quicksort:
  in block %9 / %9:
    >   %.01 = phi i32 [ %1, %3 ], [ %.23, %26 ]
    >   %.0 = phi i32 [ %2, %3 ], [ %.2, %26 ]
    <   %.01 = phi i32 [ %1, %3 ], [ %.23, %27 ]
    <   %.0 = phi i32 [ %2, %3 ], [ %.2, %27 ]
  in block %15 / %15:
    <   %.12.lcssa.wide = phi i64 [ %indvars.iv, %11 ]
    <   %.lcssa3 = phi ptr [ %12, %11 ]
    <   %.lcssa2 = phi i32 [ %13, %11 ]
    <   %.lcssa.wide = phi i64 [ %indvars.iv.next, %11 ]
    <   %16 = sext i32 %.0 to i64
  in block %27 / %26:
    >   %.23 = phi i32 [ %25, %24 ], [ %23, %22 ]
    >   %.2 = phi i32 [ %21, %24 ], [ %.1, %22 ]
    >   %.not7 = icmp sgt i32 %.23, %.2
    >   br i1 %.not7, label %27, label %9, !llvm.loop !10
    <   %.23 = phi i32 [ %23, %26 ], [ %22, %21 ]
    <   %.2 = phi i32 [ %25, %26 ], [ %24, %21 ]
    <   %.not1 = icmp sgt i32 %.23, %.2
    <   br i1 %.not1, label %28, label %9, !llvm.loop !10

in function main:
  in block %1 / %1:
    >   %.01 = phi i32 [ 0, %0 ], [ %2, %1 ]
    <   %.01 = phi i32 [ 0, %0 ], [ %2, %1 ]
        call void @Quick(i32 noundef %.01)
    >   %2 = add nuw nsw i32 %.01, 1
    >   %exitcond.not = icmp eq i32 %2, 100
    >   br i1 %exitcond.not, label %3, label %1, !llvm.loop !7
    <   %2 = add nuw nsw i32 %.01, 1
    <   %exitcond = icmp ne i32 %2, 100
    <   br i1 %exitcond, label %1, label %3, !llvm.loop !7"
instcombine,loop-unroll,false,results\paper_full\Stanford_Quicksort\round_006\analysis\Stanford_Quicksort\commutativity\instcombine__then__loop-unroll.ll,results\paper_full\Stanford_Quicksort\round_006\analysis\Stanford_Quicksort\commutativity\loop-unroll__then__instcombine.ll,"in function Quicksort:
  in block %9 / %9:
    >   %.01 = phi i32 [ %1, %3 ], [ %.23, %25 ]
    >   %.0 = phi i32 [ %2, %3 ], [ %.2, %25 ]
    <   %.01 = phi i32 [ %1, %3 ], [ %.23, %25 ]
    <   %.0 = phi i32 [ %2, %3 ], [ %.2, %25 ]
  in block %16 / %16:
    <   %.12.lcssa = phi i32 [ %.12, %10 ]
    <   %.lcssa3 = phi ptr [ %12, %10 ]
    <   %.lcssa2 = phi i32 [ %13, %10 ]
    <   %.lcssa = phi i32 [ %15, %10 ]
  in block %25 / %25:
    >   %.23 = phi i32 [ %15, %24 ], [ %.12, %23 ]
    >   %.2 = phi i32 [ %22, %24 ], [ %.1, %23 ]
    >   %.not6 = icmp sgt i32 %.23, %.2
    >   br i1 %.not6, label %26, label %9, !llvm.loop !10
    <   %.23 = phi i32 [ %.lcssa, %24 ], [ %.12.lcssa, %23 ]
    <   %.2 = phi i32 [ %.lcssa4, %24 ], [ %.1.lcssa, %23 ]
    <   %.not1 = icmp sgt i32 %.23, %.2
    <   br i1 %.not1, label %26, label %9, !llvm.loop !10"
instcombine,reassociate,true,results\paper_full\Stanford_Quicksort\round_006\analysis\Stanford_Quicksort\commutativity\instcombine__then__reassociate.ll,results\paper_full\Stanford_Quicksort\round_006\analysis\Stanford_Quicksort\commutativity\reassociate__then__instcombine.ll,
