pass_a,pass_b,commute,ab_path,ba_path,details
instcombine,simplifycfg,true,results\paper_full\Stanford_RealMM\round_003\analysis\Stanford_RealMM\commutativity\instcombine__then__simplifycfg.ll,results\paper_full\Stanford_RealMM\round_003\analysis\Stanford_RealMM\commutativity\simplifycfg__then__instcombine.ll,
instcombine,early-cse,true,results\paper_full\Stanford_RealMM\round_003\analysis\Stanford_RealMM\commutativity\instcombine__then__early-cse.ll,results\paper_full\Stanford_RealMM\round_003\analysis\Stanford_RealMM\commutativity\early-cse__then__instcombine.ll,
instcombine,gvn,true,results\paper_full\Stanford_RealMM\round_003\analysis\Stanford_RealMM\commutativity\instcombine__then__gvn.ll,results\paper_full\Stanford_RealMM\round_003\analysis\Stanford_RealMM\commutativity\gvn__then__instcombine.ll,
instcombine,licm,true,results\paper_full\Stanford_RealMM\round_003\analysis\Stanford_RealMM\commutativity\instcombine__then__licm.ll,results\paper_full\Stanford_RealMM\round_003\analysis\Stanford_RealMM\commutativity\licm__then__instcombine.ll,
instcombine,loop-unroll,true,results\paper_full\Stanford_RealMM\round_003\analysis\Stanford_RealMM\commutativity\instcombine__then__loop-unroll.ll,results\paper_full\Stanford_RealMM\round_003\analysis\Stanford_RealMM\commutativity\loop-unroll__then__instcombine.ll,
simplifycfg,early-cse,true,results\paper_full\Stanford_RealMM\round_003\analysis\Stanford_RealMM\commutativity\simplifycfg__then__early-cse.ll,results\paper_full\Stanford_RealMM\round_003\analysis\Stanford_RealMM\commutativity\early-cse__then__simplifycfg.ll,
simplifycfg,gvn,true,results\paper_full\Stanford_RealMM\round_003\analysis\Stanford_RealMM\commutativity\simplifycfg__then__gvn.ll,results\paper_full\Stanford_RealMM\round_003\analysis\Stanford_RealMM\commutativity\gvn__then__simplifycfg.ll,
simplifycfg,licm,true,results\paper_full\Stanford_RealMM\round_003\analysis\Stanford_RealMM\commutativity\simplifycfg__then__licm.ll,results\paper_full\Stanford_RealMM\round_003\analysis\Stanford_RealMM\commutativity\licm__then__simplifycfg.ll,
simplifycfg,loop-unroll,false,results\paper_full\Stanford_RealMM\round_003\analysis\Stanford_RealMM\commutativity\simplifycfg__then__loop-unroll.ll,results\paper_full\Stanford_RealMM\round_003\analysis\Stanford_RealMM\commutativity\loop-unroll__then__simplifycfg.ll,"in function main:
  in block %0 / %0:
    >   call void @Mm(i32 noundef 0)
    >   call void @Mm(i32 noundef 1)
    >   call void @Mm(i32 noundef 2)
    >   call void @Mm(i32 noundef 3)
    >   call void @Mm(i32 noundef 4)
    >   call void @Mm(i32 noundef 5)
    >   call void @Mm(i32 noundef 6)
    >   call void @Mm(i32 noundef 7)
    >   call void @Mm(i32 noundef 8)
    >   call void @Mm(i32 noundef 9)
    >   ret i32 0
    <   br label %1"
early-cse,gvn,true,results\paper_full\Stanford_RealMM\round_003\analysis\Stanford_RealMM\commutativity\early-cse__then__gvn.ll,results\paper_full\Stanford_RealMM\round_003\analysis\Stanford_RealMM\commutativity\gvn__then__early-cse.ll,
early-cse,licm,true,results\paper_full\Stanford_RealMM\round_003\analysis\Stanford_RealMM\commutativity\early-cse__then__licm.ll,results\paper_full\Stanford_RealMM\round_003\analysis\Stanford_RealMM\commutativity\licm__then__early-cse.ll,
