pass_a,pass_b,classification,dependency_kinds,dependency_strength,read_write_strength,enablement_strength,uncertainty_risk,wa_intersect_rb,wb_intersect_ra,wa_intersect_wb,strong_intersections,weak_intersections,intersection_token_kinds,overlap_pattern,enablement_edge_kinds,enablement_edges,enablement_evidence
gvn,indvars,independent,,none,none,none,none,,,,,,,none,,,
gvn,instcombine,independent,,none,none,none,none,,,,,,,none,,,
gvn,licm,independent,,none,none,none,none,,,,,,,none,,,
gvn,loop-rotate,independent,,none,none,none,none,,,,,,,none,,,
gvn,loop-simplify,independent,,none,none,none,none,,,,,,,none,,,
gvn,loop-unroll,dependent,enablement,strong,none,strong,none,,,,,,,none,activation,loop-unroll->gvn,kind=activation round=1 prefix=loop-unroll writes=bb:Towers:bb2;inst:Towers:%1;inst:Towers:%2;inst:Towers:%4;inst:Towers:%5;inst:Towers:%6;inst:Towers:bb0:10:store;inst:Towers:bb0:11:store;inst:Towers:bb0:12:store;inst:Towers:bb0:13:store;inst:Towers:bb0:14:store;inst:Towers:bb0:15:store;inst:Towers:bb0:16:store;inst:Towers:bb0:17:store;inst:Towers:bb0:18:store;inst:Towers:bb0:19:store;inst:Towers:bb0:1:ret;inst:Towers:bb0:1:store;inst:Towers:bb0:20:call;inst:Towers:bb0:21:call;inst:Towers:bb0:22:call;inst:Towers:bb0:23:store;inst:Towers:bb0:24:call;inst:Towers:bb0:25:br;inst:Towers:bb0:2:store;inst:Towers:bb0:3:store;inst:Towers:bb0:4:store;inst:Towers:bb0:5:store;inst:Towers:bb0:6:store;inst:Towers:bb0:7:store;inst:Towers:bb0:8:store;inst:Towers:bb0:9:store;inst:Towers:bb1:1:br;inst:Towers:bb1:1:ret;inst:Towers:bb2:1:br;inst:Towers:entry:10:store;inst:Towers:entry:11:store;inst:Towers:entry:12:store;inst:Towers:entry:13:store;inst:Towers:entry:14:store;inst:Towers:entry:15:store;inst:Towers:entry:16:store;inst:Towers:entry:17:store;inst:Towers:entry:18:store;inst:Towers:entry:19:store;inst:Towers:entry:1:br;inst:Towers:entry:1:store;inst:Towers:entry:20:call;inst:Towers:entry:21:call;inst:Towers:entry:22:call;inst:Towers:entry:23:store;inst:Towers:entry:24:call;inst:Towers:entry:25:br;inst:Towers:entry:2:store;inst:Towers:entry:3:store;inst:Towers:entry:4:store;inst:Towers:entry:5:store;inst:Towers:entry:6:store;inst:Towers:entry:7:store;inst:Towers:entry:8:store;inst:Towers:entry:9:store
gvn,reassociate,independent,,none,none,none,none,,,,,,,none,,,
gvn,sccp,independent,,none,none,none,none,,,,,,,none,,,
gvn,simplifycfg,independent,,none,none,none,none,,,,,,,none,,,
indvars,instcombine,independent,,none,none,none,none,,,,,,,none,,,
