pass_a,pass_b,commute,ab_path,ba_path,details
instcombine,simplifycfg,true,results\paper_full\Stanford_Towers\round_006\analysis\Stanford_Towers\commutativity\instcombine__then__simplifycfg.ll,results\paper_full\Stanford_Towers\round_006\analysis\Stanford_Towers\commutativity\simplifycfg__then__instcombine.ll,
instcombine,gvn,true,results\paper_full\Stanford_Towers\round_006\analysis\Stanford_Towers\commutativity\instcombine__then__gvn.ll,results\paper_full\Stanford_Towers\round_006\analysis\Stanford_Towers\commutativity\gvn__then__instcombine.ll,
instcombine,sccp,true,results\paper_full\Stanford_Towers\round_006\analysis\Stanford_Towers\commutativity\instcombine__then__sccp.ll,results\paper_full\Stanford_Towers\round_006\analysis\Stanford_Towers\commutativity\sccp__then__instcombine.ll,
instcombine,loop-simplify,true,results\paper_full\Stanford_Towers\round_006\analysis\Stanford_Towers\commutativity\instcombine__then__loop-simplify.ll,results\paper_full\Stanford_Towers\round_006\analysis\Stanford_Towers\commutativity\loop-simplify__then__instcombine.ll,
instcombine,loop-rotate,true,results\paper_full\Stanford_Towers\round_006\analysis\Stanford_Towers\commutativity\instcombine__then__loop-rotate.ll,results\paper_full\Stanford_Towers\round_006\analysis\Stanford_Towers\commutativity\loop-rotate__then__instcombine.ll,
instcombine,licm,true,results\paper_full\Stanford_Towers\round_006\analysis\Stanford_Towers\commutativity\instcombine__then__licm.ll,results\paper_full\Stanford_Towers\round_006\analysis\Stanford_Towers\commutativity\licm__then__instcombine.ll,
instcombine,indvars,true,results\paper_full\Stanford_Towers\round_006\analysis\Stanford_Towers\commutativity\instcombine__then__indvars.ll,results\paper_full\Stanford_Towers\round_006\analysis\Stanford_Towers\commutativity\indvars__then__instcombine.ll,
instcombine,loop-unroll,true,results\paper_full\Stanford_Towers\round_006\analysis\Stanford_Towers\commutativity\instcombine__then__loop-unroll.ll,results\paper_full\Stanford_Towers\round_006\analysis\Stanford_Towers\commutativity\loop-unroll__then__instcombine.ll,
instcombine,reassociate,false,results\paper_full\Stanford_Towers\round_006\analysis\Stanford_Towers\commutativity\instcombine__then__reassociate.ll,results\paper_full\Stanford_Towers\round_006\analysis\Stanford_Towers\commutativity\reassociate__then__instcombine.ll,"in function tower:
  in block %6 / %6:
    >   %7 = add i32 %0, %1
    >   %8 = sub i32 6, %7
    <   %.neg = sub i32 0, %0
    <   %.neg1 = sub i32 0, %1
    <   %.neg2 = add i32 %.neg, 6
    <   %7 = add i32 %.neg2, %.neg1
        %8 = add nsw i32 %2, -1
    >   call void @tower(i32 noundef %0, i32 noundef %8, i32 noundef %9)
    <   call void @tower(i32 noundef %0, i32 noundef %7, i32 noundef %8)
        call void @Move(i32 noundef %0, i32 noundef %1)
    >   call void @tower(i32 noundef %8, i32 noundef %1, i32 noundef %9)
    <   call void @tower(i32 noundef %7, i32 noundef %1, i32 noundef %8)"
simplifycfg,gvn,true,results\paper_full\Stanford_Towers\round_006\analysis\Stanford_Towers\commutativity\simplifycfg__then__gvn.ll,results\paper_full\Stanford_Towers\round_006\analysis\Stanford_Towers\commutativity\gvn__then__simplifycfg.ll,
