pass_a,pass_b,commute,ab_path,ba_path,details
instcombine,early-cse,true,results\paper_round2\Misc_flops_5\round_001\analysis\Misc_flops_5\commutativity\instcombine__then__early-cse.ll,results\paper_round2\Misc_flops_5\round_001\analysis\Misc_flops_5\commutativity\early-cse__then__instcombine.ll,
instcombine,gvn,true,results\paper_round2\Misc_flops_5\round_001\analysis\Misc_flops_5\commutativity\instcombine__then__gvn.ll,results\paper_round2\Misc_flops_5\round_001\analysis\Misc_flops_5\commutativity\gvn__then__instcombine.ll,
instcombine,loop-rotate,false,results\paper_round2\Misc_flops_5\round_001\analysis\Misc_flops_5\commutativity\instcombine__then__loop-rotate.ll,results\paper_round2\Misc_flops_5\round_001\analysis\Misc_flops_5\commutativity\loop-rotate__then__instcombine.ll,"in function main:
  in block %5 / %5:
    >   %6 = phi i32 [ 1, %0 ], [ %39, %5 ]
    >   %7 = phi double [ 0.000000e+00, %0 ], [ %38, %5 ]
    >   %8 = uitofp nneg i32 %6 to double
    >   %9 = fmul double %4, %8
    >   %10 = fmul double %9, %9
    <   %6 = phi i32 [ 1, %0 ], [ %39, %5 ]
    <   %7 = phi double [ 0.000000e+00, %0 ], [ %38, %5 ]
    <   %8 = uitofp nneg i32 %6 to double
    <   %9 = fmul double %4, %8
    <   %10 = fmul double %9, %9
        %11 = load double, ptr @A6, align 8
        %12 = load double, ptr @A5, align 8
        %13 = call double @llvm.fmuladd.f64(double %11, double %10, double %12)
        %14 = load double, ptr @A4, align 8
        %15 = call double @llvm.fmuladd.f64(double %13, double %10, double %14)
        %16 = load double, ptr @A3, align 8
        %17 = call double @llvm.fmuladd.f64(double %15, double %10, double %16)
        %18 = load double, ptr @A2, align 8
        %19 = call double @llvm.fmuladd.f64(double %17, double %10, double %18)
        %20 = load double, ptr @A1, align 8
        %21 = call double @llvm.fmuladd.f64(double %19, double %10, double %20)
        %22 = load double, ptr @one, align 8
        %23 = call double @llvm.fmuladd.f64(double %21, double %10, double %22)
    >   %24 = fmul double %9, %23
    <   %24 = fmul double %9, %23
        %25 = load double, ptr @B6, align 8
        %26 = load double, ptr @B5, align 8
        %27 = call double @llvm.fmuladd.f64(double %25, double %10, double %26)
        %28 = load double, ptr @B4, align 8
        %29 = call double @llvm.fmuladd.f64(double %10, double %27, double %28)
        %30 = load double, ptr @B3, align 8
        %31 = call double @llvm.fmuladd.f64(double %10, double %29, double %30)
        %32 = load double, ptr @B2, align 8
        %33 = call double @llvm.fmuladd.f64(double %10, double %31, double %32)
        %34 = load double, ptr @B1, align 8
        %35 = call double @llvm.fmuladd.f64(double %10, double %33, double %34)
        %36 = call double @llvm.fmuladd.f64(double %10, double %35, double %22)
    >   %37 = fdiv double %24, %36
    >   %38 = fadd double %7, %37
    >   %39 = add nuw nsw i32 %6, 1
    >   %40 = icmp samesign ult i32 %6, 156249999
    >   br i1 %40, label %5, label %41, !llvm.loop !7
    <   %37 = fdiv double %24, %36
    <   %38 = fadd double %7, %37
    <   %39 = add nuw nsw i32 %6, 1
    <   %40 = icmp samesign ult i32 %39, 156250000
    <   br i1 %40, label %5, label %41, !llvm.loop !7"
instcombine,licm,false,results\paper_round2\Misc_flops_5\round_001\analysis\Misc_flops_5\commutativity\instcombine__then__licm.ll,results\paper_round2\Misc_flops_5\round_001\analysis\Misc_flops_5\commutativity\licm__then__instcombine.ll,"in function main:
  in block %42 / %42:
    <   %.lcssa = phi double [ %19, %18 ]"
instcombine,indvars,false,results\paper_round2\Misc_flops_5\round_001\analysis\Misc_flops_5\commutativity\instcombine__then__indvars.ll,results\paper_round2\Misc_flops_5\round_001\analysis\Misc_flops_5\commutativity\indvars__then__instcombine.ll,"in function main:
  in block %5 / %5:
    >   %6 = phi double [ %39, %8 ], [ 0.000000e+00, %0 ]
    >   %7 = phi i32 [ %40, %8 ], [ 1, %0 ]
    >   %exitcond.not = icmp eq i32 %7, 156250000
    >   br i1 %exitcond.not, label %41, label %8
    <   %6 = phi double [ %39, %8 ], [ 0.000000e+00, %0 ]
    <   %7 = phi i32 [ %40, %8 ], [ 1, %0 ]
    <   %exitcond = icmp ne i32 %7, 156250000
    <   br i1 %exitcond, label %8, label %41"
instcombine,loop-unroll,false,results\paper_round2\Misc_flops_5\round_001\analysis\Misc_flops_5\commutativity\instcombine__then__loop-unroll.ll,results\paper_round2\Misc_flops_5\round_001\analysis\Misc_flops_5\commutativity\loop-unroll__then__instcombine.ll,"in function main:
  in block %42 / %42:
    <   %.lcssa = phi double [ %6, %5 ]"
early-cse,gvn,true,results\paper_round2\Misc_flops_5\round_001\analysis\Misc_flops_5\commutativity\early-cse__then__gvn.ll,results\paper_round2\Misc_flops_5\round_001\analysis\Misc_flops_5\commutativity\gvn__then__early-cse.ll,
early-cse,loop-rotate,false,results\paper_round2\Misc_flops_5\round_001\analysis\Misc_flops_5\commutativity\early-cse__then__loop-rotate.ll,results\paper_round2\Misc_flops_5\round_001\analysis\Misc_flops_5\commutativity\loop-rotate__then__early-cse.ll,"in function main:
  in block %41 / %41:
    in instruction %46 / %44:
      arguments %44 and %11 differ
    <   %.lcssa = phi double [ %38, %5 ]
        %42 = fdiv double %1, %2
        %43 = fmul double %42, %42
    <   %44 = load double, ptr @A6, align 8
    <   %45 = load double, ptr @A5, align 8
        %46 = call double @llvm.fmuladd.f64(double %44, double %43, double %45)
    <   %47 = load double, ptr @A4, align 8
        %48 = call double @llvm.fmuladd.f64(double %46, double %43, double %47)
    <   %49 = load double, ptr @A3, align 8
        %50 = call double @llvm.fmuladd.f64(double %48, double %43, double %49)
    <   %51 = load double, ptr @A2, align 8
        %52 = call double @llvm.fmuladd.f64(double %50, double %43, double %51)
    <   %53 = load double, ptr @A1, align 8
        %54 = call double @llvm.fmuladd.f64(double %52, double %43, double %53)
    <   %55 = load double, ptr @one, align 8
        %56 = call double @llvm.fmuladd.f64(double %54, double %43, double %55)
        %57 = fmul double %42, %56
        store double %57, ptr @sa, align 8
        %58 = load double, ptr @B6, align 8
        %59 = load double, ptr @B5, align 8
        %60 = call double @llvm.fmuladd.f64(double %58, double %43, double %59)
        %61 = load double, ptr @B4, align 8
        %62 = call double @llvm.fmuladd.f64(double %43, double %60, double %61)
        %63 = load double, ptr @B3, align 8
        %64 = call double @llvm.fmuladd.f64(double %43, double %62, double %63)
        %65 = load double, ptr @B2, align 8
        %66 = call double @llvm.fmuladd.f64(double %43, double %64, double %65)
        %67 = load double, ptr @B1, align 8
        %68 = call double @llvm.fmuladd.f64(double %43, double %66, double %67)
        %69 = call double @llvm.fmuladd.f64(double %43, double %68, double %55)
        store double %69, ptr @sb, align 8
        %70 = fdiv double %57, %69
        store double %70, ptr @sa, align 8
        %71 = load double, ptr @two, align 8
    >   %65 = call double @llvm.fmuladd.f64(double %64, double %38, double %63)
    >   %66 = fmul double %4, %65
    >   %67 = fdiv double %66, %64
    >   store double %67, ptr @sa, align 8
    <   %72 = call double @llvm.fmuladd.f64(double %71, double %.lcssa, double %70)
    <   %73 = fmul double %4, %72
    <   %74 = fdiv double %73, %71
    <   store double %74, ptr @sa, align 8
        store double f0x3FE62E42FEFA39EF, ptr @sb, align 8
    >   %68 = fadd double %67, f0xBFE62E42FEFA39EF
    >   store double %68, ptr @sc, align 8
    >   %69 = fmul double %68, 1.000000e-30
    <   %75 = fadd double %74, f0xBFE62E42FEFA39EF
    <   store double %75, ptr @sc, align 8
    <   %76 = fmul double %75, 1.000000e-30"
early-cse,licm,false,results\paper_round2\Misc_flops_5\round_001\analysis\Misc_flops_5\commutativity\early-cse__then__licm.ll,results\paper_round2\Misc_flops_5\round_001\analysis\Misc_flops_5\commutativity\licm__then__early-cse.ll,"in function main:
  in block %42 / %42:
    <   %.lcssa = phi double [ %19, %18 ]"
early-cse,indvars,false,results\paper_round2\Misc_flops_5\round_001\analysis\Misc_flops_5\commutativity\early-cse__then__indvars.ll,results\paper_round2\Misc_flops_5\round_001\analysis\Misc_flops_5\commutativity\indvars__then__early-cse.ll,"in function main:
  in block %41 / %41:
    <   %.lcssa = phi double [ %6, %5 ]"
