round,edge_kind,enabler,enabled,prefix,reads_after_prefix,writes_after_prefix,new_writes_after_prefix,changed_writes_after_prefix
1,expansion,mem2reg,instcombine,mem2reg,inst:Initialize:%2;inst:Initialize:%4;inst:Initialize:%5;inst:Initialize:%6;inst:Initialize:%8;inst:Perm:%10;inst:Perm:%12;inst:Perm:%13;inst:Perm:%2;inst:Perm:%5;inst:Perm:%8;inst:Perm:bb4:1:br;inst:Perm:bb5:1:ret;inst:Permute:%.0;inst:Permute:%12;inst:Permute:%13;inst:Permute:%14;inst:Permute:%15;inst:Permute:%17;inst:Permute:%18;inst:Permute:%19;inst:Permute:%21;inst:Permute:%4;inst:Permute:%6;inst:Permute:%7;inst:Permute:%9;inst:Permute:bb0:1:call;inst:Permute:bb0:2:br;inst:Permute:bb1:1:ret;inst:Permute:bb3:1:call;inst:Permute:bb3:3:call;inst:Rand:%5;inst:main:%2;inst:main:%5,inst:Initialize:%2;inst:Initialize:%4;inst:Initialize:%5;inst:Initialize:%6;inst:Initialize:%8;inst:Perm:%.not;inst:Perm:%10;inst:Perm:%11;inst:Perm:%12;inst:Perm:%13;inst:Perm:%2;inst:Perm:%5;inst:Perm:%8;inst:Perm:%puts;inst:Perm:bb4:1:br;inst:Perm:bb4:1:ret;inst:Perm:bb5:1:br;inst:Perm:bb5:1:ret;inst:Permute:%.0;inst:Permute:%.0.in;inst:Permute:%.not;inst:Permute:%10;inst:Permute:%12;inst:Permute:%13;inst:Permute:%14;inst:Permute:%15;inst:Permute:%17;inst:Permute:%18;inst:Permute:%19;inst:Permute:%21;inst:Permute:%4;inst:Permute:%5;inst:Permute:%6;inst:Permute:%7;inst:Permute:%9;inst:Permute:bb0:1:call;inst:Permute:bb0:1:ret;inst:Permute:bb0:2:br;inst:Permute:bb1:1:call;inst:Permute:bb1:1:ret;inst:Permute:bb1:2:br;inst:Permute:bb3:1:call;inst:Permute:bb3:3:call;inst:Rand:%5;inst:main:%2;inst:main:%5,inst:Initialize:%2;inst:Perm:%2;inst:Perm:%5;inst:Permute:%.0;inst:Permute:%.0.in;inst:Permute:%4;inst:Permute:%5;inst:Permute:bb0:2:br,inst:Initialize:%4;inst:Initialize:%5;inst:Initialize:%6;inst:Initialize:%8;inst:Perm:%10;inst:Perm:%11;inst:Perm:%12;inst:Perm:%13;inst:Permute:%10;inst:Permute:%12;inst:Permute:%13;inst:Permute:%14;inst:Permute:%15;inst:Permute:%18;inst:Permute:%19;inst:Permute:%21;inst:Permute:%7;inst:Permute:%9;inst:main:%2;inst:main:%5
1,expansion,mem2reg,simplifycfg,mem2reg,bb:Initialize:bb3;bb:Perm:bb5;bb:Permute:bb4;bb:Permute:bb5;bb:main:bb3;inst:Initialize:%8;inst:Initialize:bb1:2:br;inst:Initialize:bb3:1:br;inst:Perm:%10;inst:Perm:%12;inst:Perm:%13;inst:Perm:%5;inst:Perm:%7;inst:Perm:%8;inst:Perm:bb1:3:br;inst:Perm:bb3:1:br;inst:Perm:bb4:1:br;inst:Perm:bb5:1:ret;inst:Permute:%21;inst:Permute:bb3:4:br;inst:Permute:bb4:1:br;inst:Permute:bb5:1:br;inst:main:%5;inst:main:bb1:2:br;inst:main:bb3:1:br;loop:Initialize:bb0;loop:Perm:bb0;loop:Permute:bb2;loop:main:bb0,bb:Initialize:bb3;bb:Perm:bb5;bb:Permute:bb4;bb:Permute:bb5;bb:main:bb3;inst:Initialize:%7;inst:Initialize:%8;inst:Initialize:bb1:2:br;inst:Initialize:bb3:1:br;inst:Perm:%10;inst:Perm:%11;inst:Perm:%12;inst:Perm:%13;inst:Perm:%4;inst:Perm:%5;inst:Perm:%6;inst:Perm:%7;inst:Perm:%8;inst:Perm:%9;inst:Perm:bb1:3:br;inst:Perm:bb3:1:br;inst:Perm:bb4:1:br;inst:Perm:bb4:1:ret;inst:Perm:bb5:1:ret;inst:Permute:%20;inst:Permute:%21;inst:Permute:bb3:4:br;inst:Permute:bb4:1:br;inst:Permute:bb5:1:br;inst:main:%4;inst:main:%5;inst:main:bb1:2:br;inst:main:bb3:1:br;loop:Initialize:bb0;loop:Perm:bb0;loop:Permute:bb2;loop:main:bb0,inst:Initialize:%7;inst:Initialize:%8;inst:Initialize:bb3:1:br;inst:Perm:%4;inst:Perm:%5;inst:Permute:%20;inst:Permute:%21;inst:Permute:bb5:1:br;inst:main:%4;inst:main:%5;inst:main:bb3:1:br,inst:Initialize:bb1:2:br;inst:Perm:%10;inst:Perm:%11;inst:Perm:%12;inst:Perm:%6;inst:Perm:%7;inst:Perm:%9;inst:Perm:bb1:3:br;inst:Permute:bb3:4:br;inst:main:bb1:2:br
1,expansion,mem2reg,early-cse,mem2reg,inst:Permute:%11;inst:Permute:%12;inst:Permute:%13;inst:Permute:%14;inst:Permute:%15;inst:Permute:%16;inst:Permute:%17;inst:Permute:%18;inst:Permute:%19;inst:Permute:%21;inst:Permute:%7;inst:Permute:%9;inst:Rand:%5,inst:Permute:%10;inst:Permute:%11;inst:Permute:%12;inst:Permute:%13;inst:Permute:%14;inst:Permute:%15;inst:Permute:%16;inst:Permute:%17;inst:Permute:%18;inst:Permute:%19;inst:Permute:%21;inst:Permute:%7;inst:Permute:%8;inst:Permute:%9;inst:Rand:%5,inst:Permute:%7;inst:Permute:%8,inst:Permute:%10;inst:Permute:%11;inst:Permute:%12;inst:Permute:%13;inst:Permute:%14;inst:Permute:%15;inst:Permute:%16;inst:Permute:%17;inst:Permute:%18;inst:Permute:%19;inst:Permute:%21;inst:Permute:%9
1,expansion,mem2reg,gvn,mem2reg,bb:Initialize:bb3;bb:Perm:bb5;bb:Permute:bb5;bb:main:bb3;inst:Initialize:%8;inst:Initialize:bb1:2:br;inst:Initialize:bb3:1:br;inst:Perm:%10;inst:Perm:%12;inst:Perm:%13;inst:Perm:%5;inst:Perm:%7;inst:Perm:%8;inst:Perm:bb1:3:br;inst:Perm:bb3:1:br;inst:Perm:bb4:1:br;inst:Perm:bb5:1:ret;inst:Permute:%11;inst:Permute:%12;inst:Permute:%13;inst:Permute:%14;inst:Permute:%15;inst:Permute:%16;inst:Permute:%17;inst:Permute:%18;inst:Permute:%19;inst:Permute:%21;inst:Permute:%7;inst:Permute:%9;inst:Permute:bb3:4:br;inst:Permute:bb5:1:br;inst:Rand:%5;inst:main:%5;inst:main:bb1:2:br;inst:main:bb3:1:br;loop:Initialize:bb0;loop:Perm:bb0;loop:Permute:bb2;loop:main:bb0,bb:Initialize:bb3;bb:Perm:bb5;bb:Permute:bb5;bb:main:bb3;inst:Initialize:%7;inst:Initialize:%8;inst:Initialize:bb1:2:br;inst:Initialize:bb3:1:br;inst:Perm:%.pre;inst:Perm:%10;inst:Perm:%11;inst:Perm:%12;inst:Perm:%13;inst:Perm:%4;inst:Perm:%5;inst:Perm:%6;inst:Perm:%7;inst:Perm:%8;inst:Perm:%9;inst:Perm:bb1:3:br;inst:Perm:bb3:1:br;inst:Perm:bb4:1:br;inst:Perm:bb4:1:ret;inst:Perm:bb5:1:ret;inst:Permute:%10;inst:Permute:%11;inst:Permute:%12;inst:Permute:%13;inst:Permute:%14;inst:Permute:%15;inst:Permute:%16;inst:Permute:%17;inst:Permute:%18;inst:Permute:%19;inst:Permute:%21;inst:Permute:%7;inst:Permute:%8;inst:Permute:%9;inst:Permute:bb3:4:br;inst:Permute:bb5:1:br;inst:Rand:%5;inst:main:%4;inst:main:%5;inst:main:bb1:2:br;inst:main:bb3:1:br;loop:Initialize:bb0;loop:Perm:bb0;loop:Permute:bb2;loop:main:bb0,inst:Initialize:bb3:1:br;inst:Perm:%12;inst:Perm:%4;inst:Perm:%5;inst:Permute:bb5:1:br;inst:main:%5;inst:main:bb3:1:br,inst:Initialize:%7;inst:Initialize:%8;inst:Initialize:bb1:2:br;inst:Perm:%11;inst:Perm:%13;inst:Perm:%6;inst:Perm:%7;inst:Perm:%8;inst:Perm:%9;inst:Perm:bb1:3:br;inst:Permute:%10;inst:Permute:%11;inst:Permute:%12;inst:Permute:%13;inst:Permute:%14;inst:Permute:%15;inst:Permute:%16;inst:Permute:%17;inst:Permute:%8;inst:Permute:bb3:4:br;inst:main:%4;inst:main:bb1:2:br
1,activation,mem2reg,sccp,mem2reg,inst:Permute:%13;inst:Permute:%18,inst:Permute:%13;inst:Permute:%18,inst:Permute:%13;inst:Permute:%18,
1,expansion,mem2reg,loop-rotate,mem2reg,bb:Initialize:bb3;bb:Perm:bb5;bb:Permute:bb5;bb:main:bb3;inst:Initialize:%.0;inst:Initialize:%2;inst:Initialize:%4;inst:Initialize:%5;inst:Initialize:%6;inst:Initialize:%8;inst:Initialize:bb0:1:br;inst:Initialize:bb1:1:store;inst:Initialize:bb1:2:br;inst:Initialize:bb3:1:br;inst:Perm:%.0;inst:Perm:%10;inst:Perm:%12;inst:Perm:%13;inst:Perm:%2;inst:Perm:%5;inst:Perm:%7;inst:Perm:%8;inst:Perm:bb0:1:br;inst:Perm:bb1:1:call;inst:Perm:bb1:2:call;inst:Perm:bb1:3:br;inst:Perm:bb3:1:br;inst:Perm:bb4:1:br;inst:Perm:bb5:1:ret;inst:Permute:%.0;inst:Permute:%11;inst:Permute:%12;inst:Permute:%13;inst:Permute:%14;inst:Permute:%15;inst:Permute:%16;inst:Permute:%17;inst:Permute:%18;inst:Permute:%19;inst:Permute:%21;inst:Permute:%9;inst:Permute:bb0:2:br;inst:Permute:bb2:1:br;inst:Permute:bb4:1:br;inst:Permute:bb5:1:br;inst:main:%.0;inst:main:%2;inst:main:%5;inst:main:bb0:1:br;inst:main:bb1:1:call;inst:main:bb1:2:br;inst:main:bb3:1:br;loop:Initialize:bb0;loop:Perm:bb0;loop:Permute:bb2;loop:main:bb0,bb:Initialize:bb3;bb:Perm:bb5;bb:Permute:._crit_edge;bb:Permute:.lr.ph;bb:Permute:bb5;bb:main:bb3;inst:Initialize:%.0;inst:Initialize:%.01;inst:Initialize:%2;inst:Initialize:%3;inst:Initialize:%4;inst:Initialize:%5;inst:Initialize:%6;inst:Initialize:%7;inst:Initialize:%8;inst:Initialize:bb0:1:br;inst:Initialize:bb0:1:store;inst:Initialize:bb0:2:br;inst:Initialize:bb1:1:br;inst:Initialize:bb1:1:store;inst:Initialize:bb1:2:br;inst:Initialize:bb3:1:br;inst:Perm:%.0;inst:Perm:%.01;inst:Perm:%10;inst:Perm:%11;inst:Perm:%12;inst:Perm:%13;inst:Perm:%2;inst:Perm:%3;inst:Perm:%4;inst:Perm:%5;inst:Perm:%6;inst:Perm:%7;inst:Perm:%8;inst:Perm:%9;inst:Perm:bb0:1:br;inst:Perm:bb0:1:call;inst:Perm:bb0:2:call;inst:Perm:bb0:3:br;inst:Perm:bb1:1:br;inst:Perm:bb1:1:call;inst:Perm:bb1:2:call;inst:Perm:bb1:3:br;inst:Perm:bb3:1:br;inst:Perm:bb4:1:br;inst:Perm:bb4:1:ret;inst:Perm:bb5:1:ret;inst:Permute:%.0;inst:Permute:%.01;inst:Permute:%10;inst:Permute:%11;inst:Permute:%12;inst:Permute:%13;inst:Permute:%14;inst:Permute:%15;inst:Permute:%16;inst:Permute:%17;inst:Permute:%18;inst:Permute:%19;inst:Permute:%20;inst:Permute:%21;inst:Permute:%8;inst:Permute:%9;inst:Permute:._crit_edge:1:br;inst:Permute:.lr.ph:1:br;inst:Permute:bb0:2:br;inst:Permute:bb2:1:br;inst:Permute:bb4:1:br;inst:Permute:bb5:1:br;inst:main:%.0;inst:main:%.01;inst:main:%2;inst:main:%3;inst:main:%4;inst:main:%5;inst:main:bb0:1:br;inst:main:bb0:1:call;inst:main:bb0:2:br;inst:main:bb1:1:br;inst:main:bb1:1:call;inst:main:bb1:2:br;inst:main:bb3:1:br;loop:Initialize:bb0;loop:Perm:bb0;loop:Permute:bb2;loop:Permute:bb3;loop:main:bb0,inst:Initialize:%.0;inst:Initialize:%.01;inst:Initialize:bb0:1:store;inst:Initialize:bb0:2:br;inst:Initialize:bb1:1:br;inst:Initialize:bb1:1:store;inst:Initialize:bb1:2:br;inst:Initialize:bb3:1:br;inst:Perm:%.0;inst:Perm:%.01;inst:Perm:%5;inst:Perm:bb0:1:br;inst:Perm:bb0:1:call;inst:Perm:bb0:2:call;inst:Perm:bb0:3:br;inst:Perm:bb1:1:br;inst:Perm:bb1:1:call;inst:Perm:bb1:2:call;inst:Perm:bb1:3:br;inst:Permute:%.0;inst:Permute:%.01;inst:Permute:%10;inst:Permute:%11;inst:Permute:%12;inst:Permute:%8;inst:Permute:%9;inst:Permute:bb0:2:br;inst:Permute:bb5:1:br;inst:main:%.0;inst:main:%.01;inst:main:%2;inst:main:bb0:1:call;inst:main:bb0:2:br;inst:main:bb1:1:br;inst:main:bb1:1:call;inst:main:bb1:2:br;inst:main:bb3:1:br,inst:Initialize:%2;inst:Initialize:%3;inst:Initialize:%4;inst:Initialize:%5;inst:Initialize:%6;inst:Initialize:%7;inst:Initialize:%8;inst:Perm:%12;inst:Perm:%2;inst:Perm:%3;inst:Perm:%4;inst:Perm:%6;inst:Perm:%7;inst:Perm:%8;inst:Perm:%9;inst:Permute:%13;inst:Permute:%14;inst:Permute:%15;inst:Permute:%16;inst:Permute:%19;inst:Permute:%20;inst:Permute:%21;inst:Permute:bb4:1:br;inst:main:%3;loop:Initialize:bb0;loop:Perm:bb0;loop:main:bb0
1,expansion,mem2reg,licm,mem2reg,inst:Permute:%13;inst:Permute:%14;inst:Permute:%15;inst:Permute:%9,inst:Permute:%10;inst:Permute:%13;inst:Permute:%14;inst:Permute:%15;inst:Permute:%8;inst:Permute:%9,inst:Permute:%10;inst:Permute:%8;inst:Permute:%9,inst:Permute:%13;inst:Permute:%14;inst:Permute:%15
1,activation,mem2reg,indvars,mem2reg,inst:Initialize:%.0;inst:Initialize:%2;inst:Initialize:%4;inst:Initialize:%5;inst:Initialize:%6;inst:Initialize:%8;inst:Perm:%10;inst:Perm:%12;inst:Perm:%13;inst:Perm:%2;inst:Perm:%5;inst:Perm:%7;inst:Perm:%8;inst:Permute:%.0;inst:Permute:%11;inst:Permute:%12;inst:Permute:%13;inst:Permute:%18;inst:Permute:%19;inst:Permute:%21;inst:Permute:%7;inst:Permute:%9;inst:main:%2;inst:main:%5,inst:Initialize:%.0;inst:Initialize:%2;inst:Initialize:%3;inst:Initialize:%4;inst:Initialize:%5;inst:Initialize:%6;inst:Initialize:%8;inst:Initialize:%exitcond;inst:Initialize:%indvars.iv;inst:Initialize:%indvars.iv.next;inst:Perm:%10;inst:Perm:%11;inst:Perm:%12;inst:Perm:%13;inst:Perm:%2;inst:Perm:%4;inst:Perm:%5;inst:Perm:%6;inst:Perm:%7;inst:Perm:%8;inst:Perm:%9;inst:Perm:%exitcond;inst:Permute:%.0;inst:Permute:%10;inst:Permute:%11;inst:Permute:%12;inst:Permute:%13;inst:Permute:%18;inst:Permute:%19;inst:Permute:%21;inst:Permute:%7;inst:Permute:%8;inst:Permute:%9;inst:Permute:%indvars.iv;inst:Permute:%indvars.iv.next;inst:main:%2;inst:main:%4;inst:main:%5;inst:main:%exitcond,inst:Initialize:%.0;inst:Initialize:%2;inst:Initialize:%3;inst:Initialize:%4;inst:Initialize:%5;inst:Initialize:%6;inst:Initialize:%8;inst:Initialize:%exitcond;inst:Initialize:%indvars.iv;inst:Initialize:%indvars.iv.next;inst:Perm:%10;inst:Perm:%11;inst:Perm:%12;inst:Perm:%13;inst:Perm:%2;inst:Perm:%4;inst:Perm:%5;inst:Perm:%6;inst:Perm:%7;inst:Perm:%8;inst:Perm:%9;inst:Perm:%exitcond;inst:Permute:%.0;inst:Permute:%10;inst:Permute:%11;inst:Permute:%12;inst:Permute:%13;inst:Permute:%18;inst:Permute:%19;inst:Permute:%21;inst:Permute:%7;inst:Permute:%8;inst:Permute:%9;inst:Permute:%indvars.iv;inst:Permute:%indvars.iv.next;inst:main:%2;inst:main:%4;inst:main:%5;inst:main:%exitcond,
1,activation,mem2reg,loop-unroll,mem2reg,inst:Initialize:%.0;inst:Initialize:%2;inst:Initialize:%4;inst:Initialize:%5;inst:Initialize:%6;inst:Initialize:%8;inst:Initialize:bb0:1:br;inst:Initialize:bb1:1:store;inst:Initialize:bb2:1:ret;inst:Initialize:bb3:1:br;inst:Perm:%.0;inst:Perm:%10;inst:Perm:%12;inst:Perm:%13;inst:Perm:%2;inst:Perm:%5;inst:Perm:%7;inst:Perm:%8;inst:Perm:bb0:1:br;inst:Perm:bb2:1:br;inst:Perm:bb3:1:br;inst:Perm:bb5:1:ret;inst:Permute:bb5:1:br;inst:main:bb3:1:br;loop:Initialize:bb0;loop:Perm:bb0;loop:Permute:bb2;loop:main:bb0,bb:Initialize:bb10;bb:Initialize:bb11;bb:Initialize:bb12;bb:Initialize:bb13;bb:Initialize:bb14;bb:Initialize:bb15;bb:Initialize:bb16;bb:Initialize:bb17;bb:Initialize:bb4;bb:Initialize:bb5;bb:Initialize:bb6;bb:Initialize:bb7;bb:Initialize:bb8;bb:Initialize:bb9;bb:Perm:bb10;bb:Perm:bb11;bb:Perm:bb12;bb:Perm:bb13;bb:Perm:bb14;bb:Perm:bb15;bb:Perm:bb6;bb:Perm:bb7;bb:Perm:bb8;bb:Perm:bb9;inst:Initialize:%.0;inst:Initialize:%2;inst:Initialize:%4;inst:Initialize:%5;inst:Initialize:%6;inst:Initialize:%8;inst:Initialize:bb0:1:br;inst:Initialize:bb10:1:br;inst:Initialize:bb11:1:store;inst:Initialize:bb11:2:br;inst:Initialize:bb12:1:br;inst:Initialize:bb13:1:store;inst:Initialize:bb13:2:br;inst:Initialize:bb14:1:br;inst:Initialize:bb15:1:store;inst:Initialize:bb15:2:br;inst:Initialize:bb16:1:ret;inst:Initialize:bb17:1:unreachable;inst:Initialize:bb1:1:store;inst:Initialize:bb2:1:br;inst:Initialize:bb2:1:ret;inst:Initialize:bb3:1:br;inst:Initialize:bb3:1:store;inst:Initialize:bb3:2:br;inst:Initialize:bb4:1:br;inst:Initialize:bb5:1:store;inst:Initialize:bb5:2:br;inst:Initialize:bb6:1:br;inst:Initialize:bb7:1:store;inst:Initialize:bb7:2:br;inst:Initialize:bb8:1:br;inst:Initialize:bb9:1:store;inst:Initialize:bb9:2:br;inst:Perm:%.0;inst:Perm:%10;inst:Perm:%12;inst:Perm:%13;inst:Perm:%15;inst:Perm:%16;inst:Perm:%18;inst:Perm:%2;inst:Perm:%20;inst:Perm:%21;inst:Perm:%5;inst:Perm:%7;inst:Perm:%8;inst:Perm:bb0:1:br;inst:Perm:bb10:1:br;inst:Perm:bb11:1:call;inst:Perm:bb11:2:call;inst:Perm:bb11:3:br;inst:Perm:bb12:1:br;inst:Perm:bb13:1:unreachable;inst:Perm:bb14:1:br;inst:Perm:bb15:1:ret;inst:Perm:bb2:1:br;inst:Perm:bb3:1:br;inst:Perm:bb3:1:call;inst:Perm:bb3:2:call;inst:Perm:bb3:3:br;inst:Perm:bb5:1:call;inst:Perm:bb5:1:ret;inst:Perm:bb5:2:call;inst:Perm:bb5:3:br;inst:Perm:bb6:1:br;inst:Perm:bb7:1:call;inst:Perm:bb7:2:call;inst:Perm:bb7:3:br;inst:Perm:bb8:1:br;inst:Perm:bb9:1:call;inst:Perm:bb9:2:call;inst:Perm:bb9:3:br;inst:Permute:bb5:1:br;inst:main:bb3:1:br;loop:Initialize:bb0;loop:Perm:bb0;loop:Permute:bb2;loop:main:bb0,bb:Initialize:bb10;bb:Initialize:bb11;bb:Initialize:bb12;bb:Initialize:bb13;bb:Initialize:bb14;bb:Initialize:bb15;bb:Initialize:bb16;bb:Initialize:bb17;bb:Initialize:bb4;bb:Initialize:bb5;bb:Initialize:bb6;bb:Initialize:bb7;bb:Initialize:bb8;bb:Initialize:bb9;bb:Perm:bb10;bb:Perm:bb11;bb:Perm:bb12;bb:Perm:bb13;bb:Perm:bb14;bb:Perm:bb15;bb:Perm:bb6;bb:Perm:bb7;bb:Perm:bb8;bb:Perm:bb9;inst:Initialize:%.0;inst:Initialize:%2;inst:Initialize:%4;inst:Initialize:%5;inst:Initialize:%6;inst:Initialize:%8;inst:Initialize:bb0:1:br;inst:Initialize:bb10:1:br;inst:Initialize:bb11:1:store;inst:Initialize:bb11:2:br;inst:Initialize:bb12:1:br;inst:Initialize:bb13:1:store;inst:Initialize:bb13:2:br;inst:Initialize:bb14:1:br;inst:Initialize:bb15:1:store;inst:Initialize:bb15:2:br;inst:Initialize:bb16:1:ret;inst:Initialize:bb17:1:unreachable;inst:Initialize:bb1:1:store;inst:Initialize:bb2:1:br;inst:Initialize:bb2:1:ret;inst:Initialize:bb3:1:br;inst:Initialize:bb3:1:store;inst:Initialize:bb3:2:br;inst:Initialize:bb4:1:br;inst:Initialize:bb5:1:store;inst:Initialize:bb5:2:br;inst:Initialize:bb6:1:br;inst:Initialize:bb7:1:store;inst:Initialize:bb7:2:br;inst:Initialize:bb8:1:br;inst:Initialize:bb9:1:store;inst:Initialize:bb9:2:br;inst:Perm:%.0;inst:Perm:%10;inst:Perm:%12;inst:Perm:%13;inst:Perm:%15;inst:Perm:%16;inst:Perm:%18;inst:Perm:%2;inst:Perm:%20;inst:Perm:%21;inst:Perm:%5;inst:Perm:%7;inst:Perm:%8;inst:Perm:bb0:1:br;inst:Perm:bb10:1:br;inst:Perm:bb11:1:call;inst:Perm:bb11:2:call;inst:Perm:bb11:3:br;inst:Perm:bb12:1:br;inst:Perm:bb13:1:unreachable;inst:Perm:bb14:1:br;inst:Perm:bb15:1:ret;inst:Perm:bb2:1:br;inst:Perm:bb3:1:br;inst:Perm:bb3:1:call;inst:Perm:bb3:2:call;inst:Perm:bb3:3:br;inst:Perm:bb5:1:call;inst:Perm:bb5:1:ret;inst:Perm:bb5:2:call;inst:Perm:bb5:3:br;inst:Perm:bb6:1:br;inst:Perm:bb7:1:call;inst:Perm:bb7:2:call;inst:Perm:bb7:3:br;inst:Perm:bb8:1:br;inst:Perm:bb9:1:call;inst:Perm:bb9:2:call;inst:Perm:bb9:3:br;inst:Permute:bb5:1:br;inst:main:bb3:1:br;loop:Initialize:bb0;loop:Perm:bb0;loop:Permute:bb2;loop:main:bb0,
1,expansion,instcombine,mem2reg,instcombine,inst:Initialize:%1;inst:Initialize:%10;inst:Initialize:%11;inst:Initialize:%3;inst:Initialize:%5;inst:Initialize:%6;inst:Initialize:%7;inst:Initialize:%8;inst:Initialize:bb0:1:store;inst:Initialize:bb0:2:br;inst:Perm:%1;inst:Perm:%12;inst:Perm:%13;inst:Perm:%3;inst:Perm:%6;inst:Perm:%7;inst:Perm:%9;inst:Perm:bb0:1:store;inst:Perm:bb0:2:br;inst:Permute:%10;inst:Permute:%12;inst:Permute:%13;inst:Permute:%14;inst:Permute:%15;inst:Permute:%18;inst:Permute:%19;inst:Permute:%2;inst:Permute:%20;inst:Permute:%21;inst:Permute:%22;inst:Permute:%23;inst:Permute:%24;inst:Permute:%26;inst:Permute:%3;inst:Permute:%4;inst:Permute:%5;inst:Permute:%7;inst:Permute:%8;inst:Permute:bb2:1:store;inst:Permute:bb2:2:br;inst:Permute:entry:1:store;inst:Permute:entry:2:store;inst:Permute:entry:3:br;inst:main:%1;inst:main:%3;inst:main:%6;inst:main:%7;inst:main:bb0:1:store;inst:main:bb0:2:br,inst:Initialize:%1;inst:Initialize:%10;inst:Initialize:%11;inst:Initialize:%2;inst:Initialize:%3;inst:Initialize:%4;inst:Initialize:%5;inst:Initialize:%6;inst:Initialize:%7;inst:Initialize:%8;inst:Initialize:bb0:1:br;inst:Initialize:bb0:1:store;inst:Initialize:bb0:2:br;inst:Perm:%1;inst:Perm:%10;inst:Perm:%11;inst:Perm:%12;inst:Perm:%13;inst:Perm:%2;inst:Perm:%3;inst:Perm:%5;inst:Perm:%6;inst:Perm:%7;inst:Perm:%9;inst:Perm:bb0:1:br;inst:Perm:bb0:1:store;inst:Perm:bb0:2:br;inst:Permute:%10;inst:Permute:%11;inst:Permute:%12;inst:Permute:%13;inst:Permute:%14;inst:Permute:%15;inst:Permute:%18;inst:Permute:%19;inst:Permute:%2;inst:Permute:%20;inst:Permute:%21;inst:Permute:%22;inst:Permute:%23;inst:Permute:%24;inst:Permute:%26;inst:Permute:%3;inst:Permute:%4;inst:Permute:%5;inst:Permute:%7;inst:Permute:%8;inst:Permute:%9;inst:Permute:bb2:1:br;inst:Permute:bb2:1:store;inst:Permute:bb2:2:br;inst:Permute:entry:1:store;inst:Permute:entry:2:br;inst:Permute:entry:2:store;inst:Permute:entry:3:br;inst:main:%1;inst:main:%2;inst:main:%3;inst:main:%5;inst:main:%6;inst:main:%7;inst:main:bb0:1:br;inst:main:bb0:1:store;inst:main:bb0:2:br,inst:Initialize:%11;inst:Initialize:bb0:1:br;inst:Initialize:bb0:1:store;inst:Initialize:bb0:2:br;inst:Perm:%6;inst:Perm:%9;inst:Perm:bb0:1:br;inst:Perm:bb0:1:store;inst:Perm:bb0:2:br;inst:Permute:%18;inst:Permute:%19;inst:Permute:%8;inst:Permute:bb2:1:br;inst:Permute:bb2:1:store;inst:Permute:bb2:2:br;inst:main:%3;inst:main:%6;inst:main:%7;inst:main:bb0:1:br;inst:main:bb0:1:store;inst:main:bb0:2:br,inst:Initialize:%2;inst:Initialize:%4;inst:Initialize:%6;inst:Perm:%10;inst:Perm:%11;inst:Perm:%12;inst:Perm:%13;inst:Perm:%2;inst:Permute:%10;inst:Permute:%12;inst:Permute:%13;inst:Permute:%14;inst:Permute:%15;inst:Permute:%21;inst:Permute:%4;inst:Permute:%5;inst:Permute:%7;inst:Permute:%9
