round,benchmark,scheduler_mode,independence_threshold,input_ir,input_hash,metric_score,instruction_count,candidate_pass_count,auto_safe_passes,candidate_safe_passes,blocked_passes,decision_required_passes,decision_required_pairs,selected_action_kind,selected_action,action_details,output_hash,metric_after,metric_delta,changed
0,Stanford_Puzzle,relaxed,0.9,results\paper_round2\Stanford_Puzzle\round_000\input.ll,145866c28e29127bc026287d3fde072dd4b9bce1172f74be43e167aec7d69c85,1434.5,913,12,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll;mem2reg;reassociate;sccp;simplifycfg;sroa,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;early-cse,reassociate;gvn,indvars;gvn,instcombine;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;gvn,mem2reg;gvn,sccp;gvn,simplifycfg;gvn,sroa;indvars,licm;indvars,mem2reg;indvars,sroa;instcombine,licm;instcombine,loop-rotate;instcombine,mem2reg;instcombine,reassociate;instcombine,simplifycfg;instcombine,sroa;licm,loop-rotate;licm,loop-unroll;licm,mem2reg;licm,sccp;licm,simplifycfg;licm,sroa;loop-rotate,mem2reg;loop-rotate,simplifycfg;loop-rotate,sroa;loop-unroll,mem2reg;loop-unroll,sroa;mem2reg,sccp;mem2reg,simplifycfg;sccp,sroa;simplifycfg,sroa",oracle_ordered_pair,"gvn,instcombine",oracle chose gvn->instcombine (improvement: 720.00),2862562da8cebb45fd58f4e684c1df5b1bc3f4b26a53fd3afe5b6a326b86f4e8,714.5,-720.0,true
1,Stanford_Puzzle,relaxed,0.9,results\paper_round2\Stanford_Puzzle\round_001\input.ll,2862562da8cebb45fd58f4e684c1df5b1bc3f4b26a53fd3afe5b6a326b86f4e8,714.5,523,11,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;reassociate;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,licm;indvars,loop-rotate;indvars,loop-unroll;indvars,sccp;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,reassociate;licm,loop-rotate;licm,loop-unroll;licm,simplifycfg;loop-rotate,loop-unroll;loop-rotate,sccp;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,reassociate;loop-unroll,sccp;loop-unroll,simplifycfg;reassociate,simplifycfg",oracle_ordered_pair,"loop-rotate,early-cse",oracle chose loop-rotate->early-cse (improvement: 75.50),d4b2f349cc45be5e0392e80323f605d84679482edf507a8d00daf8eb22fb9c23,639.0,-75.5,true
2,Stanford_Puzzle,relaxed,0.9,results\paper_round2\Stanford_Puzzle\round_002\input.ll,d4b2f349cc45be5e0392e80323f605d84679482edf507a8d00daf8eb22fb9c23,639.0,469,11,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;reassociate;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;gvn,sccp;indvars,instcombine;indvars,licm;indvars,loop-unroll;indvars,sccp;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,sccp;licm,loop-unroll;licm,sccp;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,reassociate;loop-unroll,sccp;loop-unroll,simplifycfg;reassociate,simplifycfg;sccp,simplifycfg",oracle_ordered_pair,"sccp,gvn",oracle chose sccp->gvn (improvement: 45.00),d904387587ff2014a6e43a61d8249ce94df9131683c036a6d40e4ce87d52b46c,594.0,-45.0,true
3,Stanford_Puzzle,relaxed,0.9,results\paper_round2\Stanford_Puzzle\round_003\input.ll,d904387587ff2014a6e43a61d8249ce94df9131683c036a6d40e4ce87d52b46c,594.0,439,13,,,,adce;dce;early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;reassociate;sccp;simplifycfg,"adce,sccp;dce,sccp;early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;early-cse,sccp;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,licm;indvars,loop-unroll;indvars,sccp;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,reassociate;licm,loop-unroll;licm,sccp;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,reassociate;loop-unroll,simplifycfg;reassociate,sccp;reassociate,simplifycfg",oracle_ordered_pair,"sccp,adce",oracle chose sccp->adce (improvement: 10.00),2c9275f21fdf38864625143140f6f3a0ee6cac9d0465b50c2a595104bebcb918,584.0,-10.0,true
4,Stanford_Puzzle,relaxed,0.9,results\paper_round2\Stanford_Puzzle\round_004\input.ll,2c9275f21fdf38864625143140f6f3a0ee6cac9d0465b50c2a595104bebcb918,584.0,429,11,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;reassociate;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,licm;indvars,loop-unroll;indvars,sccp;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,reassociate;licm,loop-unroll;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,reassociate;loop-unroll,simplifycfg;reassociate,simplifycfg",oracle_ordered_pair,"indvars,instcombine",oracle chose indvars->instcombine (improvement: 14.00),26c1c7fe858f177b39bac9d3c53eb781843ad540efe18b95346a88d9d1fede1b,570.0,-14.0,true
5,Stanford_Puzzle,relaxed,0.9,results\paper_round2\Stanford_Puzzle\round_005\input.ll,26c1c7fe858f177b39bac9d3c53eb781843ad540efe18b95346a88d9d1fede1b,570.0,415,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,licm;indvars,loop-unroll;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;licm,loop-unroll;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,sccp;loop-unroll,simplifycfg",oracle_ordered_pair,"licm,early-cse",oracle chose licm->early-cse (improvement: 2.00),280affaef01c1326a32a0fae5c6c8c1654d043e8d72bbec45c106e33bcd1210c,568.0,-2.0,true
6,Stanford_Puzzle,relaxed,0.9,results\paper_round2\Stanford_Puzzle\round_006\input.ll,280affaef01c1326a32a0fae5c6c8c1654d043e8d72bbec45c106e33bcd1210c,568.0,413,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,loop-unroll;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,sccp;loop-unroll,simplifycfg",oracle_ordered_pair,"licm,early-cse",oracle chose licm->early-cse (improvement: 0.00),b3e544e601cf4a9548f978d55533511d76f5875b85e1dd83170ffebb95bf8ad7,568.0,0.0,true
7,Stanford_Puzzle,relaxed,0.9,results\paper_round2\Stanford_Puzzle\round_007\input.ll,b3e544e601cf4a9548f978d55533511d76f5875b85e1dd83170ffebb95bf8ad7,568.0,413,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,loop-unroll;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,sccp;loop-unroll,simplifycfg",oracle_ordered_pair,"loop-rotate,early-cse",oracle chose loop-rotate->early-cse (improvement: 0.00),e98a90f87d37178d053fd8d67897ee591bdb3ba264f3495c439e403f864c285f,568.0,0.0,true
8,Stanford_Puzzle,relaxed,0.9,results\paper_round2\Stanford_Puzzle\round_008\input.ll,e98a90f87d37178d053fd8d67897ee591bdb3ba264f3495c439e403f864c285f,568.0,413,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,loop-unroll;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,sccp;loop-unroll,simplifycfg",oracle_ordered_pair,"licm,gvn",oracle chose licm->gvn (improvement: 0.00),e4554c75e6babb15bb18e0603eb38e0140a5eb79c9793fe006fdee65cd01e291,568.0,0.0,true
9,Stanford_Puzzle,relaxed,0.9,results\paper_round2\Stanford_Puzzle\round_009\input.ll,e4554c75e6babb15bb18e0603eb38e0140a5eb79c9793fe006fdee65cd01e291,568.0,413,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,loop-unroll;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,sccp;loop-unroll,simplifycfg",oracle_ordered_pair,"loop-rotate,gvn",oracle chose loop-rotate->gvn (improvement: 0.00),d95559700fea755fbfb864aa3e845408932ab1deaf3e739502dc759edff0a8f0,568.0,0.0,true
