pass_a,pass_b,commute,ab_path,ba_path,details
instcombine,simplifycfg,true,results\paper_round2\Stanford_Queens\round_004\analysis\Stanford_Queens\commutativity\instcombine__then__simplifycfg.ll,results\paper_round2\Stanford_Queens\round_004\analysis\Stanford_Queens\commutativity\simplifycfg__then__instcombine.ll,
instcombine,gvn,true,results\paper_round2\Stanford_Queens\round_004\analysis\Stanford_Queens\commutativity\instcombine__then__gvn.ll,results\paper_round2\Stanford_Queens\round_004\analysis\Stanford_Queens\commutativity\gvn__then__instcombine.ll,
instcombine,licm,false,results\paper_round2\Stanford_Queens\round_004\analysis\Stanford_Queens\commutativity\instcombine__then__licm.ll,results\paper_round2\Stanford_Queens\round_004\analysis\Stanford_Queens\commutativity\licm__then__instcombine.ll,"in function Try:
  in block %6 / %6:
    <   %invariant.gep = getelementptr [4 x i8], ptr %2, i64 %7"
instcombine,loop-unroll,true,results\paper_round2\Stanford_Queens\round_004\analysis\Stanford_Queens\commutativity\instcombine__then__loop-unroll.ll,results\paper_round2\Stanford_Queens\round_004\analysis\Stanford_Queens\commutativity\loop-unroll__then__instcombine.ll,
simplifycfg,gvn,true,results\paper_round2\Stanford_Queens\round_004\analysis\Stanford_Queens\commutativity\simplifycfg__then__gvn.ll,results\paper_round2\Stanford_Queens\round_004\analysis\Stanford_Queens\commutativity\gvn__then__simplifycfg.ll,
simplifycfg,licm,true,results\paper_round2\Stanford_Queens\round_004\analysis\Stanford_Queens\commutativity\simplifycfg__then__licm.ll,results\paper_round2\Stanford_Queens\round_004\analysis\Stanford_Queens\commutativity\licm__then__simplifycfg.ll,
simplifycfg,loop-unroll,false,results\paper_round2\Stanford_Queens\round_004\analysis\Stanford_Queens\commutativity\simplifycfg__then__loop-unroll.ll,results\paper_round2\Stanford_Queens\round_004\analysis\Stanford_Queens\commutativity\loop-unroll__then__simplifycfg.ll,"in function Queens:
  in block %1 / %1:
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   %2 = add nsw i32 %0, 1
    >   %3 = call i32 (ptr, ...) @printf(ptr noundef nonnull dereferenceable(1) @.str.1, i32 noundef %2) #3
    >   ret void
    <   br label %2"
gvn,licm,true,results\paper_round2\Stanford_Queens\round_004\analysis\Stanford_Queens\commutativity\gvn__then__licm.ll,results\paper_round2\Stanford_Queens\round_004\analysis\Stanford_Queens\commutativity\licm__then__gvn.ll,
gvn,loop-unroll,false,results\paper_round2\Stanford_Queens\round_004\analysis\Stanford_Queens\commutativity\gvn__then__loop-unroll.ll,results\paper_round2\Stanford_Queens\round_004\analysis\Stanford_Queens\commutativity\loop-unroll__then__gvn.ll,"in function Queens:
  in block %1 / %1:
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   call void @Doit()
    >   %2 = add nsw i32 %0, 1
    >   %3 = call i32 (ptr, ...) @printf(ptr noundef nonnull dereferenceable(1) @.str.1, i32 noundef %2) #3
    >   ret void
    <   br label %2"
licm,loop-unroll,true,results\paper_round2\Stanford_Queens\round_004\analysis\Stanford_Queens\commutativity\licm__then__loop-unroll.ll,results\paper_round2\Stanford_Queens\round_004\analysis\Stanford_Queens\commutativity\loop-unroll__then__licm.ll,
