round,benchmark,pass,scheduler_class,blocking_reasons,incident_pairs,safe_edge_count,total_edge_count,safe_edge_ratio
0,Stanford_Queens,early-cse,decision_required,order_sensitive,"early-cse,gvn:likely_independent;early-cse,indvars:confirmed_independent;early-cse,instcombine:order_sensitive;early-cse,licm:order_sensitive;early-cse,loop-rotate:order_sensitive;early-cse,mem2reg:order_sensitive;early-cse,reassociate:order_sensitive;early-cse,sccp:order_sensitive;early-cse,simplifycfg:order_sensitive;early-cse,sroa:order_sensitive",2,10,0.2
0,Stanford_Queens,gvn,decision_required,order_sensitive,"early-cse,gvn:likely_independent;gvn,indvars:order_sensitive;gvn,instcombine:order_sensitive;gvn,licm:order_sensitive;gvn,loop-rotate:order_sensitive;gvn,mem2reg:order_sensitive;gvn,reassociate:order_sensitive;gvn,sccp:order_sensitive;gvn,simplifycfg:order_sensitive;gvn,sroa:order_sensitive",1,10,0.1
0,Stanford_Queens,indvars,decision_required,order_sensitive,"early-cse,indvars:confirmed_independent;gvn,indvars:order_sensitive;indvars,instcombine:confirmed_independent;indvars,licm:order_sensitive;indvars,loop-rotate:confirmed_independent;indvars,mem2reg:order_sensitive;indvars,reassociate:confirmed_independent;indvars,sccp:confirmed_independent;indvars,simplifycfg:confirmed_independent;indvars,sroa:order_sensitive",6,10,0.6
0,Stanford_Queens,instcombine,decision_required,needs_attribution;order_sensitive,"early-cse,instcombine:order_sensitive;gvn,instcombine:order_sensitive;indvars,instcombine:confirmed_independent;instcombine,licm:order_sensitive;instcombine,loop-rotate:order_sensitive;instcombine,mem2reg:order_sensitive;instcombine,reassociate:order_sensitive;instcombine,sccp:needs_attribution;instcombine,simplifycfg:order_sensitive;instcombine,sroa:order_sensitive",1,10,0.1
0,Stanford_Queens,licm,decision_required,order_sensitive,"early-cse,licm:order_sensitive;gvn,licm:order_sensitive;indvars,licm:order_sensitive;instcombine,licm:order_sensitive;licm,loop-rotate:order_sensitive;licm,mem2reg:order_sensitive;licm,reassociate:order_sensitive;licm,sccp:order_sensitive;licm,simplifycfg:order_sensitive;licm,sroa:order_sensitive",0,10,0.0
0,Stanford_Queens,loop-rotate,decision_required,needs_attribution;order_sensitive,"early-cse,loop-rotate:order_sensitive;gvn,loop-rotate:order_sensitive;indvars,loop-rotate:confirmed_independent;instcombine,loop-rotate:order_sensitive;licm,loop-rotate:order_sensitive;loop-rotate,mem2reg:order_sensitive;loop-rotate,reassociate:confirmed_independent;loop-rotate,sccp:needs_attribution;loop-rotate,simplifycfg:order_sensitive;loop-rotate,sroa:order_sensitive",2,10,0.2
0,Stanford_Queens,mem2reg,decision_required,order_sensitive,"early-cse,mem2reg:order_sensitive;gvn,mem2reg:order_sensitive;indvars,mem2reg:order_sensitive;instcombine,mem2reg:order_sensitive;licm,mem2reg:order_sensitive;loop-rotate,mem2reg:order_sensitive;mem2reg,reassociate:order_sensitive;mem2reg,sccp:order_sensitive;mem2reg,simplifycfg:order_sensitive;mem2reg,sroa:likely_independent",1,10,0.1
0,Stanford_Queens,reassociate,decision_required,needs_attribution;order_sensitive,"early-cse,reassociate:order_sensitive;gvn,reassociate:order_sensitive;indvars,reassociate:confirmed_independent;instcombine,reassociate:order_sensitive;licm,reassociate:order_sensitive;loop-rotate,reassociate:confirmed_independent;mem2reg,reassociate:order_sensitive;reassociate,sccp:confirmed_independent;reassociate,simplifycfg:needs_attribution;reassociate,sroa:order_sensitive",3,10,0.3
0,Stanford_Queens,sccp,decision_required,needs_attribution;order_sensitive,"early-cse,sccp:order_sensitive;gvn,sccp:order_sensitive;indvars,sccp:confirmed_independent;instcombine,sccp:needs_attribution;licm,sccp:order_sensitive;loop-rotate,sccp:needs_attribution;mem2reg,sccp:order_sensitive;reassociate,sccp:confirmed_independent;sccp,simplifycfg:needs_attribution;sccp,sroa:order_sensitive",2,10,0.2
0,Stanford_Queens,simplifycfg,decision_required,needs_attribution;order_sensitive,"early-cse,simplifycfg:order_sensitive;gvn,simplifycfg:order_sensitive;indvars,simplifycfg:confirmed_independent;instcombine,simplifycfg:order_sensitive;licm,simplifycfg:order_sensitive;loop-rotate,simplifycfg:order_sensitive;mem2reg,simplifycfg:order_sensitive;reassociate,simplifycfg:needs_attribution;sccp,simplifycfg:needs_attribution;simplifycfg,sroa:order_sensitive",1,10,0.1
0,Stanford_Queens,sroa,decision_required,order_sensitive,"early-cse,sroa:order_sensitive;gvn,sroa:order_sensitive;indvars,sroa:order_sensitive;instcombine,sroa:order_sensitive;licm,sroa:order_sensitive;loop-rotate,sroa:order_sensitive;mem2reg,sroa:likely_independent;reassociate,sroa:order_sensitive;sccp,sroa:order_sensitive;simplifycfg,sroa:order_sensitive",1,10,0.1
1,Stanford_Queens,early-cse,decision_required,order_sensitive,"early-cse,gvn:confirmed_independent;early-cse,indvars:order_sensitive;early-cse,instcombine:confirmed_independent;early-cse,licm:confirmed_independent;early-cse,loop-rotate:confirmed_independent;early-cse,reassociate:confirmed_independent;early-cse,sccp:confirmed_independent;early-cse,simplifycfg:confirmed_independent",7,8,0.875
1,Stanford_Queens,gvn,decision_required,needs_attribution;order_sensitive,"early-cse,gvn:confirmed_independent;gvn,indvars:order_sensitive;gvn,instcombine:needs_attribution;gvn,licm:needs_attribution;gvn,loop-rotate:needs_attribution;gvn,reassociate:confirmed_independent;gvn,sccp:confirmed_independent;gvn,simplifycfg:order_sensitive",3,8,0.375
1,Stanford_Queens,indvars,decision_required,needs_attribution;order_sensitive,"early-cse,indvars:order_sensitive;gvn,indvars:order_sensitive;indvars,instcombine:order_sensitive;indvars,licm:order_sensitive;indvars,loop-rotate:needs_attribution;indvars,reassociate:order_sensitive;indvars,sccp:needs_attribution;indvars,simplifycfg:needs_attribution",0,8,0.0
1,Stanford_Queens,instcombine,decision_required,needs_attribution;order_sensitive,"early-cse,instcombine:confirmed_independent;gvn,instcombine:needs_attribution;indvars,instcombine:order_sensitive;instcombine,licm:needs_attribution;instcombine,loop-rotate:order_sensitive;instcombine,reassociate:order_sensitive;instcombine,sccp:needs_attribution;instcombine,simplifycfg:order_sensitive",1,8,0.125
1,Stanford_Queens,licm,decision_required,needs_attribution;order_sensitive,"early-cse,licm:confirmed_independent;gvn,licm:needs_attribution;indvars,licm:order_sensitive;instcombine,licm:needs_attribution;licm,loop-rotate:confirmed_independent;licm,reassociate:order_sensitive;licm,sccp:confirmed_independent;licm,simplifycfg:needs_attribution",3,8,0.375
1,Stanford_Queens,loop-rotate,decision_required,needs_attribution;order_sensitive,"early-cse,loop-rotate:confirmed_independent;gvn,loop-rotate:needs_attribution;indvars,loop-rotate:needs_attribution;instcombine,loop-rotate:order_sensitive;licm,loop-rotate:confirmed_independent;loop-rotate,reassociate:confirmed_independent;loop-rotate,sccp:needs_attribution;loop-rotate,simplifycfg:order_sensitive",3,8,0.375
1,Stanford_Queens,reassociate,decision_required,needs_attribution;order_sensitive,"early-cse,reassociate:confirmed_independent;gvn,reassociate:confirmed_independent;indvars,reassociate:order_sensitive;instcombine,reassociate:order_sensitive;licm,reassociate:order_sensitive;loop-rotate,reassociate:confirmed_independent;reassociate,sccp:needs_attribution;reassociate,simplifycfg:needs_attribution",3,8,0.375
1,Stanford_Queens,sccp,decision_required,needs_attribution;order_sensitive,"early-cse,sccp:confirmed_independent;gvn,sccp:confirmed_independent;indvars,sccp:needs_attribution;instcombine,sccp:needs_attribution;licm,sccp:confirmed_independent;loop-rotate,sccp:needs_attribution;reassociate,sccp:needs_attribution;sccp,simplifycfg:order_sensitive",3,8,0.375
1,Stanford_Queens,simplifycfg,decision_required,needs_attribution;order_sensitive,"early-cse,simplifycfg:confirmed_independent;gvn,simplifycfg:order_sensitive;indvars,simplifycfg:needs_attribution;instcombine,simplifycfg:order_sensitive;licm,simplifycfg:needs_attribution;loop-rotate,simplifycfg:order_sensitive;reassociate,simplifycfg:needs_attribution;sccp,simplifycfg:order_sensitive",1,8,0.125
2,Stanford_Queens,early-cse,decision_required,order_sensitive,"early-cse,gvn:confirmed_independent;early-cse,indvars:order_sensitive;early-cse,instcombine:confirmed_independent;early-cse,licm:confirmed_independent;early-cse,loop-rotate:order_sensitive;early-cse,loop-unroll:confirmed_independent;early-cse,simplifycfg:confirmed_independent",5,7,0.7143
2,Stanford_Queens,gvn,decision_required,needs_attribution;order_sensitive,"early-cse,gvn:confirmed_independent;gvn,indvars:order_sensitive;gvn,instcombine:confirmed_independent;gvn,licm:needs_attribution;gvn,loop-rotate:order_sensitive;gvn,loop-unroll:confirmed_independent;gvn,simplifycfg:confirmed_independent",4,7,0.5714
2,Stanford_Queens,indvars,decision_required,order_sensitive,"early-cse,indvars:order_sensitive;gvn,indvars:order_sensitive;indvars,instcombine:order_sensitive;indvars,licm:order_sensitive;indvars,loop-rotate:order_sensitive;indvars,loop-unroll:confirmed_independent;indvars,simplifycfg:confirmed_independent",2,7,0.2857
2,Stanford_Queens,instcombine,decision_required,order_sensitive,"early-cse,instcombine:confirmed_independent;gvn,instcombine:confirmed_independent;indvars,instcombine:order_sensitive;instcombine,licm:confirmed_independent;instcombine,loop-rotate:order_sensitive;instcombine,loop-unroll:confirmed_independent;instcombine,simplifycfg:confirmed_independent",5,7,0.7143
2,Stanford_Queens,licm,decision_required,needs_attribution;order_sensitive,"early-cse,licm:confirmed_independent;gvn,licm:needs_attribution;indvars,licm:order_sensitive;instcombine,licm:confirmed_independent;licm,loop-rotate:order_sensitive;licm,loop-unroll:confirmed_independent;licm,simplifycfg:confirmed_independent",4,7,0.5714
2,Stanford_Queens,loop-rotate,decision_required,order_sensitive,"early-cse,loop-rotate:order_sensitive;gvn,loop-rotate:order_sensitive;indvars,loop-rotate:order_sensitive;instcombine,loop-rotate:order_sensitive;licm,loop-rotate:order_sensitive;loop-rotate,loop-unroll:order_sensitive;loop-rotate,simplifycfg:order_sensitive",0,7,0.0
2,Stanford_Queens,loop-unroll,decision_required,order_sensitive,"early-cse,loop-unroll:confirmed_independent;gvn,loop-unroll:confirmed_independent;indvars,loop-unroll:confirmed_independent;instcombine,loop-unroll:confirmed_independent;licm,loop-unroll:confirmed_independent;loop-rotate,loop-unroll:order_sensitive;loop-unroll,simplifycfg:confirmed_independent",6,7,0.8571
2,Stanford_Queens,simplifycfg,decision_required,order_sensitive,"early-cse,simplifycfg:confirmed_independent;gvn,simplifycfg:confirmed_independent;indvars,simplifycfg:confirmed_independent;instcombine,simplifycfg:confirmed_independent;licm,simplifycfg:confirmed_independent;loop-rotate,simplifycfg:order_sensitive;loop-unroll,simplifycfg:confirmed_independent",6,7,0.8571
3,Stanford_Queens,early-cse,decision_required,order_sensitive,"early-cse,gvn:confirmed_independent;early-cse,indvars:order_sensitive;early-cse,instcombine:confirmed_independent;early-cse,licm:confirmed_independent;early-cse,loop-unroll:confirmed_independent;early-cse,simplifycfg:confirmed_independent",5,6,0.8333
3,Stanford_Queens,gvn,decision_required,order_sensitive,"early-cse,gvn:confirmed_independent;gvn,indvars:order_sensitive;gvn,instcombine:confirmed_independent;gvn,licm:confirmed_independent;gvn,loop-unroll:order_sensitive;gvn,simplifycfg:confirmed_independent",4,6,0.6667
3,Stanford_Queens,indvars,decision_required,needs_attribution;order_sensitive,"early-cse,indvars:order_sensitive;gvn,indvars:order_sensitive;indvars,instcombine:order_sensitive;indvars,licm:order_sensitive;indvars,loop-unroll:needs_attribution;indvars,simplifycfg:confirmed_independent",1,6,0.1667
3,Stanford_Queens,instcombine,decision_required,needs_attribution;order_sensitive,"early-cse,instcombine:confirmed_independent;gvn,instcombine:confirmed_independent;indvars,instcombine:order_sensitive;instcombine,licm:confirmed_independent;instcombine,loop-unroll:needs_attribution;instcombine,simplifycfg:confirmed_independent",4,6,0.6667
3,Stanford_Queens,licm,decision_required,order_sensitive,"early-cse,licm:confirmed_independent;gvn,licm:confirmed_independent;indvars,licm:order_sensitive;instcombine,licm:confirmed_independent;licm,loop-unroll:confirmed_independent;licm,simplifycfg:confirmed_independent",5,6,0.8333
3,Stanford_Queens,loop-unroll,decision_required,needs_attribution;order_sensitive,"early-cse,loop-unroll:confirmed_independent;gvn,loop-unroll:order_sensitive;indvars,loop-unroll:needs_attribution;instcombine,loop-unroll:needs_attribution;licm,loop-unroll:confirmed_independent;loop-unroll,simplifycfg:order_sensitive",2,6,0.3333
3,Stanford_Queens,simplifycfg,decision_required,order_sensitive,"early-cse,simplifycfg:confirmed_independent;gvn,simplifycfg:confirmed_independent;indvars,simplifycfg:confirmed_independent;instcombine,simplifycfg:confirmed_independent;licm,simplifycfg:confirmed_independent;loop-unroll,simplifycfg:order_sensitive",5,6,0.8333
4,Stanford_Queens,gvn,decision_required,order_sensitive,"gvn,instcombine:confirmed_independent;gvn,licm:confirmed_independent;gvn,loop-unroll:order_sensitive;gvn,simplifycfg:confirmed_independent",3,4,0.75
4,Stanford_Queens,instcombine,decision_required,needs_attribution;order_sensitive,"gvn,instcombine:confirmed_independent;instcombine,licm:order_sensitive;instcombine,loop-unroll:needs_attribution;instcombine,simplifycfg:confirmed_independent",2,4,0.5
