round,edge_kind,enabler,enabled,prefix,reads_after_prefix,writes_after_prefix,new_writes_after_prefix,changed_writes_after_prefix
1,expansion,instcombine,sccp,instcombine,inst:Push:%14;inst:Push:%15,inst:Push:%14;inst:Push:%15,inst:Push:%15,
1,expansion,instcombine,loop-unroll,instcombine,bb:Towers:bb3;inst:Towers:%10;inst:Towers:%11;inst:Towers:%2;inst:Towers:%3;inst:Towers:%4;inst:Towers:%5;inst:Towers:%7;inst:Towers:%exitcond.not;inst:Towers:%indvars.iv;inst:Towers:%indvars.iv.next;inst:Towers:bb0:1:store;inst:Towers:bb0:2:br;inst:Towers:bb1:1:store;inst:Towers:bb1:2:call;inst:Towers:bb1:3:call;inst:Towers:bb1:4:call;inst:Towers:bb1:5:store;inst:Towers:bb1:6:call;inst:Towers:bb1:7:br;inst:Towers:bb2:1:ret;inst:Towers:bb3:1:br;inst:main:bb0:2:br;loop:Towers:bb1;loop:main:bb1,bb:Init:._crit_edge.loopexit;bb:Init:.lr.ph.preheader;bb:Towers:bb3;inst:Init:._crit_edge.loopexit:1:br;inst:Init:.lr.ph.preheader:1:br;inst:Towers:%10;inst:Towers:%11;inst:Towers:%2;inst:Towers:%3;inst:Towers:%4;inst:Towers:%5;inst:Towers:%6;inst:Towers:%7;inst:Towers:%exitcond.not;inst:Towers:%indvars.iv;inst:Towers:%indvars.iv.next;inst:Towers:bb0:10:store;inst:Towers:bb0:11:store;inst:Towers:bb0:12:store;inst:Towers:bb0:13:store;inst:Towers:bb0:14:store;inst:Towers:bb0:15:store;inst:Towers:bb0:16:store;inst:Towers:bb0:17:store;inst:Towers:bb0:18:store;inst:Towers:bb0:19:store;inst:Towers:bb0:1:store;inst:Towers:bb0:20:call;inst:Towers:bb0:21:call;inst:Towers:bb0:22:call;inst:Towers:bb0:23:store;inst:Towers:bb0:24:call;inst:Towers:bb0:25:br;inst:Towers:bb0:2:br;inst:Towers:bb0:2:store;inst:Towers:bb0:3:store;inst:Towers:bb0:4:store;inst:Towers:bb0:5:store;inst:Towers:bb0:6:store;inst:Towers:bb0:7:store;inst:Towers:bb0:8:store;inst:Towers:bb0:9:store;inst:Towers:bb1:1:ret;inst:Towers:bb1:1:store;inst:Towers:bb1:2:call;inst:Towers:bb1:3:call;inst:Towers:bb1:4:call;inst:Towers:bb1:5:store;inst:Towers:bb1:6:call;inst:Towers:bb1:7:br;inst:Towers:bb2:1:br;inst:Towers:bb2:1:ret;inst:Towers:bb3:1:br;inst:main:bb0:2:br;loop:Towers:bb1;loop:main:bb1,inst:Towers:%exitcond.not;loop:Towers:bb1;loop:main:bb1,
1,expansion,sccp,instcombine,sccp,inst:Init:%6;inst:Push:%15;inst:Towers:%2;inst:Towers:%3;inst:Towers:%4;inst:Towers:%5;inst:Towers:%exitcond;inst:main:%exitcond;loop:Towers:bb0;loop:main:bb0,inst:Init:%6;inst:Push:%15;inst:Towers:%2;inst:Towers:%3;inst:Towers:%4;inst:Towers:%5;inst:Towers:%exitcond;inst:Towers:%exitcond.not;inst:main:%exitcond;inst:main:%exitcond.not;loop:Towers:bb0;loop:Towers:bb1;loop:main:bb0;loop:main:bb1,inst:Push:%15,
1,activation,loop-simplify,simplifycfg,loop-simplify,bb:Init:._crit_edge.loopexit;bb:Init:.lr.ph.preheader;inst:Init:._crit_edge.loopexit:1:br;inst:Init:.lr.ph.preheader:1:br,bb:Init:._crit_edge.loopexit;bb:Init:.lr.ph.preheader;inst:Init:._crit_edge.loopexit:1:br;inst:Init:.lr.ph.preheader:1:br,bb:Init:._crit_edge.loopexit;bb:Init:.lr.ph.preheader;inst:Init:._crit_edge.loopexit:1:br;inst:Init:.lr.ph.preheader:1:br,
1,activation,loop-rotate,simplifycfg,loop-rotate,bb:Init:._crit_edge.loopexit;bb:Init:.lr.ph.preheader;inst:Init:._crit_edge.loopexit:1:br;inst:Init:.lr.ph.preheader:1:br,bb:Init:._crit_edge.loopexit;bb:Init:.lr.ph.preheader;inst:Init:._crit_edge.loopexit:1:br;inst:Init:.lr.ph.preheader:1:br,bb:Init:._crit_edge.loopexit;bb:Init:.lr.ph.preheader;inst:Init:._crit_edge.loopexit:1:br;inst:Init:.lr.ph.preheader:1:br,
1,activation,licm,simplifycfg,licm,bb:Init:._crit_edge.loopexit;bb:Init:.lr.ph.preheader;inst:Init:._crit_edge.loopexit:1:br;inst:Init:.lr.ph.preheader:1:br,bb:Init:._crit_edge.loopexit;bb:Init:.lr.ph.preheader;inst:Init:._crit_edge.loopexit:1:br;inst:Init:.lr.ph.preheader:1:br,bb:Init:._crit_edge.loopexit;bb:Init:.lr.ph.preheader;inst:Init:._crit_edge.loopexit:1:br;inst:Init:.lr.ph.preheader:1:br,
1,activation,indvars,simplifycfg,indvars,bb:Init:._crit_edge.loopexit;bb:Init:.lr.ph.preheader;inst:Init:._crit_edge.loopexit:1:br;inst:Init:.lr.ph.preheader:1:br,bb:Init:._crit_edge.loopexit;bb:Init:.lr.ph.preheader;inst:Init:._crit_edge.loopexit:1:br;inst:Init:.lr.ph.preheader:1:br,bb:Init:._crit_edge.loopexit;bb:Init:.lr.ph.preheader;inst:Init:._crit_edge.loopexit:1:br;inst:Init:.lr.ph.preheader:1:br,
1,mutation,loop-unroll,instcombine,loop-unroll,inst:Init:%6;inst:main:%exitcond;loop:main:bb0,inst:Init:%6;inst:main:%exitcond;inst:main:%exitcond.not;loop:main:bb0;loop:main:bb1,,loop:main:bb1
1,activation,loop-unroll,simplifycfg,loop-unroll,bb:Init:._crit_edge.loopexit;bb:Init:.lr.ph.preheader;bb:Towers:bb2;inst:Init:._crit_edge.loopexit:1:br;inst:Init:.lr.ph.preheader:1:br;inst:Towers:%2;inst:Towers:%5;inst:Towers:%6;inst:Towers:bb0:10:store;inst:Towers:bb0:11:store;inst:Towers:bb0:12:store;inst:Towers:bb0:13:store;inst:Towers:bb0:14:store;inst:Towers:bb0:15:store;inst:Towers:bb0:16:store;inst:Towers:bb0:17:store;inst:Towers:bb0:18:store;inst:Towers:bb0:19:store;inst:Towers:bb0:1:store;inst:Towers:bb0:20:call;inst:Towers:bb0:21:call;inst:Towers:bb0:22:call;inst:Towers:bb0:23:store;inst:Towers:bb0:24:call;inst:Towers:bb0:25:br;inst:Towers:bb0:2:store;inst:Towers:bb0:3:store;inst:Towers:bb0:4:store;inst:Towers:bb0:5:store;inst:Towers:bb0:6:store;inst:Towers:bb0:7:store;inst:Towers:bb0:8:store;inst:Towers:bb0:9:store;inst:Towers:bb1:1:ret;inst:Towers:bb2:1:br;inst:Towers:entry:1:br,bb:Init:._crit_edge.loopexit;bb:Init:.lr.ph.preheader;bb:Towers:bb2;inst:Init:._crit_edge.loopexit:1:br;inst:Init:.lr.ph.preheader:1:br;inst:Towers:%1;inst:Towers:%2;inst:Towers:%4;inst:Towers:%5;inst:Towers:%6;inst:Towers:bb0:10:store;inst:Towers:bb0:11:store;inst:Towers:bb0:12:store;inst:Towers:bb0:13:store;inst:Towers:bb0:14:store;inst:Towers:bb0:15:store;inst:Towers:bb0:16:store;inst:Towers:bb0:17:store;inst:Towers:bb0:18:store;inst:Towers:bb0:19:store;inst:Towers:bb0:1:ret;inst:Towers:bb0:1:store;inst:Towers:bb0:20:call;inst:Towers:bb0:21:call;inst:Towers:bb0:22:call;inst:Towers:bb0:23:store;inst:Towers:bb0:24:call;inst:Towers:bb0:25:br;inst:Towers:bb0:2:store;inst:Towers:bb0:3:store;inst:Towers:bb0:4:store;inst:Towers:bb0:5:store;inst:Towers:bb0:6:store;inst:Towers:bb0:7:store;inst:Towers:bb0:8:store;inst:Towers:bb0:9:store;inst:Towers:bb1:1:br;inst:Towers:bb1:1:ret;inst:Towers:bb2:1:br;inst:Towers:entry:10:store;inst:Towers:entry:11:store;inst:Towers:entry:12:store;inst:Towers:entry:13:store;inst:Towers:entry:14:store;inst:Towers:entry:15:store;inst:Towers:entry:16:store;inst:Towers:entry:17:store;inst:Towers:entry:18:store;inst:Towers:entry:19:store;inst:Towers:entry:1:br;inst:Towers:entry:1:store;inst:Towers:entry:20:call;inst:Towers:entry:21:call;inst:Towers:entry:22:call;inst:Towers:entry:23:store;inst:Towers:entry:24:call;inst:Towers:entry:25:br;inst:Towers:entry:2:store;inst:Towers:entry:3:store;inst:Towers:entry:4:store;inst:Towers:entry:5:store;inst:Towers:entry:6:store;inst:Towers:entry:7:store;inst:Towers:entry:8:store;inst:Towers:entry:9:store,bb:Init:._crit_edge.loopexit;bb:Init:.lr.ph.preheader;bb:Towers:bb2;inst:Init:._crit_edge.loopexit:1:br;inst:Init:.lr.ph.preheader:1:br;inst:Towers:%1;inst:Towers:%2;inst:Towers:%4;inst:Towers:%5;inst:Towers:%6;inst:Towers:bb0:10:store;inst:Towers:bb0:11:store;inst:Towers:bb0:12:store;inst:Towers:bb0:13:store;inst:Towers:bb0:14:store;inst:Towers:bb0:15:store;inst:Towers:bb0:16:store;inst:Towers:bb0:17:store;inst:Towers:bb0:18:store;inst:Towers:bb0:19:store;inst:Towers:bb0:1:ret;inst:Towers:bb0:1:store;inst:Towers:bb0:20:call;inst:Towers:bb0:21:call;inst:Towers:bb0:22:call;inst:Towers:bb0:23:store;inst:Towers:bb0:24:call;inst:Towers:bb0:25:br;inst:Towers:bb0:2:store;inst:Towers:bb0:3:store;inst:Towers:bb0:4:store;inst:Towers:bb0:5:store;inst:Towers:bb0:6:store;inst:Towers:bb0:7:store;inst:Towers:bb0:8:store;inst:Towers:bb0:9:store;inst:Towers:bb1:1:br;inst:Towers:bb1:1:ret;inst:Towers:bb2:1:br;inst:Towers:entry:10:store;inst:Towers:entry:11:store;inst:Towers:entry:12:store;inst:Towers:entry:13:store;inst:Towers:entry:14:store;inst:Towers:entry:15:store;inst:Towers:entry:16:store;inst:Towers:entry:17:store;inst:Towers:entry:18:store;inst:Towers:entry:19:store;inst:Towers:entry:1:br;inst:Towers:entry:1:store;inst:Towers:entry:20:call;inst:Towers:entry:21:call;inst:Towers:entry:22:call;inst:Towers:entry:23:store;inst:Towers:entry:24:call;inst:Towers:entry:25:br;inst:Towers:entry:2:store;inst:Towers:entry:3:store;inst:Towers:entry:4:store;inst:Towers:entry:5:store;inst:Towers:entry:6:store;inst:Towers:entry:7:store;inst:Towers:entry:8:store;inst:Towers:entry:9:store,
1,activation,loop-unroll,gvn,loop-unroll,bb:Towers:bb2;inst:Towers:%2;inst:Towers:%5;inst:Towers:%6;inst:Towers:bb0:10:store;inst:Towers:bb0:11:store;inst:Towers:bb0:12:store;inst:Towers:bb0:13:store;inst:Towers:bb0:14:store;inst:Towers:bb0:15:store;inst:Towers:bb0:16:store;inst:Towers:bb0:17:store;inst:Towers:bb0:18:store;inst:Towers:bb0:19:store;inst:Towers:bb0:1:store;inst:Towers:bb0:20:call;inst:Towers:bb0:21:call;inst:Towers:bb0:22:call;inst:Towers:bb0:23:store;inst:Towers:bb0:24:call;inst:Towers:bb0:25:br;inst:Towers:bb0:2:store;inst:Towers:bb0:3:store;inst:Towers:bb0:4:store;inst:Towers:bb0:5:store;inst:Towers:bb0:6:store;inst:Towers:bb0:7:store;inst:Towers:bb0:8:store;inst:Towers:bb0:9:store;inst:Towers:bb1:1:ret;inst:Towers:bb2:1:br;inst:Towers:entry:1:br,bb:Towers:bb2;inst:Towers:%1;inst:Towers:%2;inst:Towers:%4;inst:Towers:%5;inst:Towers:%6;inst:Towers:bb0:10:store;inst:Towers:bb0:11:store;inst:Towers:bb0:12:store;inst:Towers:bb0:13:store;inst:Towers:bb0:14:store;inst:Towers:bb0:15:store;inst:Towers:bb0:16:store;inst:Towers:bb0:17:store;inst:Towers:bb0:18:store;inst:Towers:bb0:19:store;inst:Towers:bb0:1:ret;inst:Towers:bb0:1:store;inst:Towers:bb0:20:call;inst:Towers:bb0:21:call;inst:Towers:bb0:22:call;inst:Towers:bb0:23:store;inst:Towers:bb0:24:call;inst:Towers:bb0:25:br;inst:Towers:bb0:2:store;inst:Towers:bb0:3:store;inst:Towers:bb0:4:store;inst:Towers:bb0:5:store;inst:Towers:bb0:6:store;inst:Towers:bb0:7:store;inst:Towers:bb0:8:store;inst:Towers:bb0:9:store;inst:Towers:bb1:1:br;inst:Towers:bb1:1:ret;inst:Towers:bb2:1:br;inst:Towers:entry:10:store;inst:Towers:entry:11:store;inst:Towers:entry:12:store;inst:Towers:entry:13:store;inst:Towers:entry:14:store;inst:Towers:entry:15:store;inst:Towers:entry:16:store;inst:Towers:entry:17:store;inst:Towers:entry:18:store;inst:Towers:entry:19:store;inst:Towers:entry:1:br;inst:Towers:entry:1:store;inst:Towers:entry:20:call;inst:Towers:entry:21:call;inst:Towers:entry:22:call;inst:Towers:entry:23:store;inst:Towers:entry:24:call;inst:Towers:entry:25:br;inst:Towers:entry:2:store;inst:Towers:entry:3:store;inst:Towers:entry:4:store;inst:Towers:entry:5:store;inst:Towers:entry:6:store;inst:Towers:entry:7:store;inst:Towers:entry:8:store;inst:Towers:entry:9:store,bb:Towers:bb2;inst:Towers:%1;inst:Towers:%2;inst:Towers:%4;inst:Towers:%5;inst:Towers:%6;inst:Towers:bb0:10:store;inst:Towers:bb0:11:store;inst:Towers:bb0:12:store;inst:Towers:bb0:13:store;inst:Towers:bb0:14:store;inst:Towers:bb0:15:store;inst:Towers:bb0:16:store;inst:Towers:bb0:17:store;inst:Towers:bb0:18:store;inst:Towers:bb0:19:store;inst:Towers:bb0:1:ret;inst:Towers:bb0:1:store;inst:Towers:bb0:20:call;inst:Towers:bb0:21:call;inst:Towers:bb0:22:call;inst:Towers:bb0:23:store;inst:Towers:bb0:24:call;inst:Towers:bb0:25:br;inst:Towers:bb0:2:store;inst:Towers:bb0:3:store;inst:Towers:bb0:4:store;inst:Towers:bb0:5:store;inst:Towers:bb0:6:store;inst:Towers:bb0:7:store;inst:Towers:bb0:8:store;inst:Towers:bb0:9:store;inst:Towers:bb1:1:br;inst:Towers:bb1:1:ret;inst:Towers:bb2:1:br;inst:Towers:entry:10:store;inst:Towers:entry:11:store;inst:Towers:entry:12:store;inst:Towers:entry:13:store;inst:Towers:entry:14:store;inst:Towers:entry:15:store;inst:Towers:entry:16:store;inst:Towers:entry:17:store;inst:Towers:entry:18:store;inst:Towers:entry:19:store;inst:Towers:entry:1:br;inst:Towers:entry:1:store;inst:Towers:entry:20:call;inst:Towers:entry:21:call;inst:Towers:entry:22:call;inst:Towers:entry:23:store;inst:Towers:entry:24:call;inst:Towers:entry:25:br;inst:Towers:entry:2:store;inst:Towers:entry:3:store;inst:Towers:entry:4:store;inst:Towers:entry:5:store;inst:Towers:entry:6:store;inst:Towers:entry:7:store;inst:Towers:entry:8:store;inst:Towers:entry:9:store,
