round,edge_kind,enabler,enabled,prefix,reads_after_prefix,writes_after_prefix,new_writes_after_prefix,changed_writes_after_prefix
1,expansion,loop-rotate,instcombine,loop-rotate,inst:main:%.lcssa;inst:main:%27,inst:main:%.lcssa;inst:main:%27,inst:main:%.lcssa,
1,activation,loop-rotate,early-cse,loop-rotate,inst:main:%.lcssa,inst:main:%.lcssa,inst:main:%.lcssa,
1,activation,loop-rotate,gvn,loop-rotate,inst:main:%.lcssa,inst:main:%.lcssa,inst:main:%.lcssa,
1,expansion,licm,instcombine,licm,inst:main:%.lcssa;inst:main:%27,inst:main:%.lcssa;inst:main:%27,inst:main:%.lcssa,
1,activation,licm,early-cse,licm,inst:main:%.lcssa,inst:main:%.lcssa,inst:main:%.lcssa,
1,activation,licm,gvn,licm,inst:main:%.lcssa,inst:main:%.lcssa,inst:main:%.lcssa,
1,expansion,indvars,instcombine,indvars,inst:main:%.lcssa;inst:main:%exitcond;loop:main:bb0,inst:main:%.lcssa;inst:main:%exitcond;inst:main:%exitcond.not;loop:main:bb0;loop:main:bb1,inst:main:%.lcssa;inst:main:%exitcond;inst:main:%exitcond.not;loop:main:bb0;loop:main:bb1,
1,activation,indvars,early-cse,indvars,inst:main:%.lcssa,inst:main:%.lcssa,inst:main:%.lcssa,
1,activation,indvars,gvn,indvars,inst:main:%.lcssa,inst:main:%.lcssa,inst:main:%.lcssa,
1,expansion,loop-unroll,instcombine,loop-unroll,inst:main:%.lcssa;inst:main:%27,inst:main:%.lcssa;inst:main:%27,inst:main:%.lcssa,
1,activation,loop-unroll,early-cse,loop-unroll,inst:main:%.lcssa,inst:main:%.lcssa,inst:main:%.lcssa,
1,activation,loop-unroll,gvn,loop-unroll,inst:main:%.lcssa,inst:main:%.lcssa,inst:main:%.lcssa,
