pass_a,pass_b,commute,ab_path,ba_path,details
instcombine,simplifycfg,true,results\paper_v4\Stanford_Perm\round_001\analysis\Stanford_Perm\commutativity\instcombine__then__simplifycfg.ll,results\paper_v4\Stanford_Perm\round_001\analysis\Stanford_Perm\commutativity\simplifycfg__then__instcombine.ll,
instcombine,gvn,true,results\paper_v4\Stanford_Perm\round_001\analysis\Stanford_Perm\commutativity\instcombine__then__gvn.ll,results\paper_v4\Stanford_Perm\round_001\analysis\Stanford_Perm\commutativity\gvn__then__instcombine.ll,
instcombine,sccp,true,results\paper_v4\Stanford_Perm\round_001\analysis\Stanford_Perm\commutativity\instcombine__then__sccp.ll,results\paper_v4\Stanford_Perm\round_001\analysis\Stanford_Perm\commutativity\sccp__then__instcombine.ll,
instcombine,loop-simplify,true,results\paper_v4\Stanford_Perm\round_001\analysis\Stanford_Perm\commutativity\instcombine__then__loop-simplify.ll,results\paper_v4\Stanford_Perm\round_001\analysis\Stanford_Perm\commutativity\loop-simplify__then__instcombine.ll,
instcombine,loop-rotate,false,results\paper_v4\Stanford_Perm\round_001\analysis\Stanford_Perm\commutativity\instcombine__then__loop-rotate.ll,results\paper_v4\Stanford_Perm\round_001\analysis\Stanford_Perm\commutativity\loop-rotate__then__instcombine.ll,"in function Initialize:
  in block %1 / %1:
    >   %2 = phi i32 [ 1, %0 ], [ %6, %1 ]
    >   %3 = add nsw i32 %2, -1
    >   %4 = zext nneg i32 %2 to i64
    >   %5 = getelementptr inbounds nuw [4 x i8], ptr @permarray, i64 %4
    >   store i32 %3, ptr %5, align 4
    >   %6 = add nuw nsw i32 %2, 1
    >   %7 = icmp samesign ult i32 %2, 7
    >   br i1 %7, label %1, label %8, !llvm.loop !7
    <   %2 = phi i32 [ 1, %0 ], [ %6, %1 ]
    <   %3 = add nsw i32 %2, -1
    <   %4 = zext nneg i32 %2 to i64
    <   %5 = getelementptr inbounds nuw [4 x i8], ptr @permarray, i64 %4
    <   store i32 %3, ptr %5, align 4
    <   %6 = add nuw nsw i32 %2, 1
    <   %7 = icmp samesign ult i32 %6, 8
    <   br i1 %7, label %1, label %8, !llvm.loop !7

in function Permute:
  in block %4 / %4:
    >   %6 = icmp sgt i32 %0, 1
    >   br i1 %6, label %.lr.ph, label %15
    <   %6 = icmp sgt i32 %5, 0
    <   br i1 %6, label %.lr.ph, label %15

in function Perm:
  in block %1 / %1:
    >   %2 = phi i32 [ 1, %0 ], [ %3, %1 ]
    <   %2 = phi i32 [ 1, %0 ], [ %3, %1 ]
        call void @Initialize()
        call void @Permute(i32 noundef 7)
    >   %3 = add nuw nsw i32 %2, 1
    >   %4 = icmp samesign ult i32 %2, 5
    >   br i1 %4, label %1, label %5, !llvm.loop !7
    <   %3 = add nuw nsw i32 %2, 1
    <   %4 = icmp samesign ult i32 %3, 6
    <   br i1 %4, label %1, label %5, !llvm.loop !7

in function main:
  in block %1 / %1:
    >   %2 = phi i32 [ 0, %0 ], [ %3, %1 ]
    <   %2 = phi i32 [ 0, %0 ], [ %3, %1 ]
        call void @Perm()
    >   %3 = add nuw nsw i32 %2, 1
    >   %4 = icmp samesign ult i32 %2, 99
    >   br i1 %4, label %1, label %5, !llvm.loop !7
    <   %3 = add nuw nsw i32 %2, 1
    <   %4 = icmp samesign ult i32 %3, 100
    <   br i1 %4, label %1, label %5, !llvm.loop !7"
instcombine,licm,true,results\paper_v4\Stanford_Perm\round_001\analysis\Stanford_Perm\commutativity\instcombine__then__licm.ll,results\paper_v4\Stanford_Perm\round_001\analysis\Stanford_Perm\commutativity\licm__then__instcombine.ll,
instcombine,indvars,false,results\paper_v4\Stanford_Perm\round_001\analysis\Stanford_Perm\commutativity\instcombine__then__indvars.ll,results\paper_v4\Stanford_Perm\round_001\analysis\Stanford_Perm\commutativity\indvars__then__instcombine.ll,"in function Initialize:
  in block %1 / %1:
    >   %indvars.iv = phi i64 [ %indvars.iv.next, %2 ], [ 1, %0 ]
    >   %exitcond.not = icmp eq i64 %indvars.iv, 8
    >   br i1 %exitcond.not, label %6, label %2
    <   %indvars.iv = phi i64 [ %indvars.iv.next, %2 ], [ 1, %0 ]
    <   %exitcond = icmp ne i64 %indvars.iv, 8
    <   br i1 %exitcond, label %2, label %6

in function Perm:
  in block %1 / %1:
    >   %2 = phi i32 [ %4, %3 ], [ 1, %0 ]
    >   %exitcond.not = icmp eq i32 %2, 6
    >   br i1 %exitcond.not, label %5, label %3
    <   %2 = phi i32 [ %4, %3 ], [ 1, %0 ]
    <   %exitcond = icmp ne i32 %2, 6
    <   br i1 %exitcond, label %3, label %5

in function main:
  in block %1 / %1:
    >   %2 = phi i32 [ %4, %3 ], [ 0, %0 ]
    >   %exitcond.not = icmp eq i32 %2, 100
    >   br i1 %exitcond.not, label %5, label %3
    <   %2 = phi i32 [ %4, %3 ], [ 0, %0 ]
    <   %exitcond = icmp ne i32 %2, 100
    <   br i1 %exitcond, label %3, label %5"
instcombine,loop-unroll,false,results\paper_v4\Stanford_Perm\round_001\analysis\Stanford_Perm\commutativity\instcombine__then__loop-unroll.ll,results\paper_v4\Stanford_Perm\round_001\analysis\Stanford_Perm\commutativity\loop-unroll__then__instcombine.ll,"in function Initialize:
  in block %9 / %9:
    <   store i32 7, ptr getelementptr inbounds nuw (i8, ptr @permarray, i64 32), align 4

in function Perm:
  in block %7 / %7:
    <   call void @Initialize()
    <   call void @Permute(i32 noundef 7)"
simplifycfg,gvn,true,results\paper_v4\Stanford_Perm\round_001\analysis\Stanford_Perm\commutativity\simplifycfg__then__gvn.ll,results\paper_v4\Stanford_Perm\round_001\analysis\Stanford_Perm\commutativity\gvn__then__simplifycfg.ll,
simplifycfg,sccp,true,results\paper_v4\Stanford_Perm\round_001\analysis\Stanford_Perm\commutativity\simplifycfg__then__sccp.ll,results\paper_v4\Stanford_Perm\round_001\analysis\Stanford_Perm\commutativity\sccp__then__simplifycfg.ll,
simplifycfg,loop-simplify,false,results\paper_v4\Stanford_Perm\round_001\analysis\Stanford_Perm\commutativity\simplifycfg__then__loop-simplify.ll,results\paper_v4\Stanford_Perm\round_001\analysis\Stanford_Perm\commutativity\loop-simplify__then__simplifycfg.ll,"in function Permute:
  in block %.loopexit / %15:
    >   ret void
    <   br label %15"
