pass_a,pass_b,commute,ab_path,ba_path,details
instcombine,simplifycfg,true,results\paper_v4\Stanford_Puzzle\round_003\analysis\Stanford_Puzzle\commutativity\instcombine__then__simplifycfg.ll,results\paper_v4\Stanford_Puzzle\round_003\analysis\Stanford_Puzzle\commutativity\simplifycfg__then__instcombine.ll,
instcombine,dce,true,results\paper_v4\Stanford_Puzzle\round_003\analysis\Stanford_Puzzle\commutativity\instcombine__then__dce.ll,results\paper_v4\Stanford_Puzzle\round_003\analysis\Stanford_Puzzle\commutativity\dce__then__instcombine.ll,
instcombine,early-cse,true,results\paper_v4\Stanford_Puzzle\round_003\analysis\Stanford_Puzzle\commutativity\instcombine__then__early-cse.ll,results\paper_v4\Stanford_Puzzle\round_003\analysis\Stanford_Puzzle\commutativity\early-cse__then__instcombine.ll,
instcombine,gvn,true,results\paper_v4\Stanford_Puzzle\round_003\analysis\Stanford_Puzzle\commutativity\instcombine__then__gvn.ll,results\paper_v4\Stanford_Puzzle\round_003\analysis\Stanford_Puzzle\commutativity\gvn__then__instcombine.ll,
instcombine,sccp,true,results\paper_v4\Stanford_Puzzle\round_003\analysis\Stanford_Puzzle\commutativity\instcombine__then__sccp.ll,results\paper_v4\Stanford_Puzzle\round_003\analysis\Stanford_Puzzle\commutativity\sccp__then__instcombine.ll,
instcombine,adce,true,results\paper_v4\Stanford_Puzzle\round_003\analysis\Stanford_Puzzle\commutativity\instcombine__then__adce.ll,results\paper_v4\Stanford_Puzzle\round_003\analysis\Stanford_Puzzle\commutativity\adce__then__instcombine.ll,
instcombine,loop-simplify,true,results\paper_v4\Stanford_Puzzle\round_003\analysis\Stanford_Puzzle\commutativity\instcombine__then__loop-simplify.ll,results\paper_v4\Stanford_Puzzle\round_003\analysis\Stanford_Puzzle\commutativity\loop-simplify__then__instcombine.ll,
instcombine,loop-rotate,false,results\paper_v4\Stanford_Puzzle\round_003\analysis\Stanford_Puzzle\commutativity\instcombine__then__loop-rotate.ll,results\paper_v4\Stanford_Puzzle\round_003\analysis\Stanford_Puzzle\commutativity\loop-rotate__then__instcombine.ll,"in function Place:
  in block %28 / %28:
    <   %.lcssa = phi i32 [ %24, %23 ]
  in block %33 / %33:
    >   %34 = phi i32 [ 0, %32 ], [ %24, %28 ]
    <   %34 = phi i32 [ 0, %32 ], [ %.lcssa, %28 ]"
instcombine,licm,false,results\paper_v4\Stanford_Puzzle\round_003\analysis\Stanford_Puzzle\commutativity\instcombine__then__licm.ll,results\paper_v4\Stanford_Puzzle\round_003\analysis\Stanford_Puzzle\commutativity\licm__then__instcombine.ll,"in function Place:
  in block %28 / %28:
    <   %.lcssa = phi i32 [ %24, %23 ]
  in block %33 / %33:
    >   %34 = phi i32 [ 0, %32 ], [ %24, %28 ]
    <   %34 = phi i32 [ 0, %32 ], [ %.lcssa, %28 ]

in function Puzzle:
  in block %10 / %10:
    >   %11 = phi i32 [ 1, %8 ], [ %22, %21 ]
    >   %12 = shl nuw nsw i32 %11, 3
    <   %11 = phi i32 [ 1, %8 ], [ %21, %20 ]
    <   %12 = shl nuw nsw i32 %11, 3
    <   %invariant.op = or disjoint i32 %12, %9
  in block %184 / %185:
    <   %invariant.op1 = or disjoint i32 %186, %183"
instcombine,indvars,false,results\paper_v4\Stanford_Puzzle\round_003\analysis\Stanford_Puzzle\commutativity\instcombine__then__indvars.ll,results\paper_v4\Stanford_Puzzle\round_003\analysis\Stanford_Puzzle\commutativity\indvars__then__instcombine.ll,"in function Fit:
  in block %.lr.ph:
    >   %4 = zext nneg i32 %.pre to i64
    <   %4 = add i32 %.pre, 1
    <   %wide.trip.count = zext i32 %4 to i64

in function Place:
  in block %5 / %5:
    >   %indvars.iv = phi i64 [ %indvars.iv.next, %12 ], [ 0, %.lr.ph ]
    <   %indvars.iv = phi i64 [ %indvars.iv.next, %12 ], [ 0, %.lr.ph ]
  in block %9 / %9:
    >   %10 = getelementptr [4 x i8], ptr @puzzl, i64 %indvars.iv
    >   %11 = getelementptr [4 x i8], ptr %10, i64 %3
    >   store i32 1, ptr %11, align 4
    <   %10 = add nsw i64 %3, %indvars.iv
    <   %11 = getelementptr inbounds [4 x i8], ptr @puzzl, i64 %10
    <   store i32 1, ptr %11, align 4
  in block %12 / %12:
    >   %exitcond = icmp eq i64 %indvars.iv.next, %wide.trip.count
    >   br i1 %exitcond, label %._crit_edge, label %5, !llvm.loop !7
    <   %exitcond = icmp ne i64 %indvars.iv.next, %wide.trip.count
    <   br i1 %exitcond, label %5, label %._crit_edge, !llvm.loop !7
  in block %22 / %22:
    >   %indvars.iv3 = phi i64 [ %indvars.iv.next4, %27 ], [ %21, %.lr.ph6 ]
    <   %indvars.iv3 = phi i64 [ %indvars.iv.next4, %27 ], [ %21, %.lr.ph6 ]
  in block %27 / %27:
    >   %28 = and i64 %indvars.iv.next4, 4294967295
    >   %exitcond6.not = icmp eq i64 %28, 512
    >   br i1 %exitcond6.not, label %._crit_edge7, label %22, !llvm.loop !9
    <   %lftr.wideiv = trunc i64 %indvars.iv.next4 to i32
    <   %exitcond6 = icmp ne i32 %lftr.wideiv, 512
    <   br i1 %exitcond6, label %22, label %._crit_edge7, !llvm.loop !9
  in block %25 / %25:
    >   %26 = trunc nsw i64 %indvars.iv3 to i32
    <   %.lcssa.wide = phi i64 [ %indvars.iv3, %22 ]
    <   %26 = trunc nsw i64 %.lcssa.wide to i32
  in block %29 / %30:
    >   %31 = phi i32 [ 0, %29 ], [ %26, %25 ]
    <   %30 = phi i32 [ 0, %28 ], [ %26, %25 ]

in function Remove:
  in block %5 / %5:
    >   %indvars.iv = phi i64 [ %indvars.iv.next, %12 ], [ 0, %.lr.ph ]
    <   %indvars.iv = phi i64 [ %indvars.iv.next, %12 ], [ 0, %.lr.ph ]
  in block %12 / %12:
    >   %exitcond = icmp eq i64 %indvars.iv.next, %wide.trip.count
    >   br i1 %exitcond, label %._crit_edge, label %5, !llvm.loop !7
    <   %exitcond = icmp ne i64 %indvars.iv.next, %wide.trip.count
    <   br i1 %exitcond, label %5, label %._crit_edge, !llvm.loop !7
  in block %9 / %9:
    >   %10 = getelementptr [4 x i8], ptr @puzzl, i64 %indvars.iv
    >   %11 = getelementptr [4 x i8], ptr %10, i64 %3
    >   store i32 0, ptr %11, align 4
    <   %10 = add nsw i64 %3, %indvars.iv
    <   %11 = getelementptr inbounds [4 x i8], ptr @puzzl, i64 %10
    <   store i32 0, ptr %11, align 4

in function Trial:
  in block %4 / %4:
    >   %indvars.iv = phi i64 [ %indvars.iv.next, %23 ], [ 0, %1 ]
    <   %indvars.iv = phi i64 [ %indvars.iv.next, %23 ], [ 0, %1 ]
  in block %23 / %23:
    >   %exitcond.not = icmp eq i64 %indvars.iv.next, 13
    >   br i1 %exitcond.not, label %24, label %4, !llvm.loop !7
    <   %exitcond = icmp ne i64 %indvars.iv.next, 13
    <   br i1 %exitcond, label %4, label %24, !llvm.loop !7

in function Puzzle:
  in block %1 / %1:
    >   %indvars.iv = phi i64 [ %indvars.iv.next, %1 ], [ 0, %0 ]
    >   %2 = getelementptr inbounds nuw [4 x i8], ptr @puzzl, i64 %indvars.iv
    >   store i32 1, ptr %2, align 4
    >   %indvars.iv.next = add nuw nsw i64 %indvars.iv, 1
    >   %exitcond.not = icmp eq i64 %indvars.iv.next, 512
    >   br i1 %exitcond.not, label %3, label %1, !llvm.loop !7
    <   %indvars.iv = phi i64 [ %indvars.iv.next, %1 ], [ 0, %0 ]
    <   %2 = getelementptr inbounds nuw [4 x i8], ptr @puzzl, i64 %indvars.iv
    <   store i32 1, ptr %2, align 4
    <   %indvars.iv.next = add nuw nsw i64 %indvars.iv, 1
    <   %exitcond = icmp ne i64 %indvars.iv.next, 512
    <   br i1 %exitcond, label %1, label %3, !llvm.loop !7

in function main:
  in block %1 / %1:
    >   %2 = phi i32 [ 0, %0 ], [ %3, %1 ]
    <   %2 = phi i32 [ 0, %0 ], [ %3, %1 ]
        call void @Puzzle()
    >   %3 = add nuw nsw i32 %2, 1
    >   %exitcond.not = icmp eq i32 %3, 100
    >   br i1 %exitcond.not, label %4, label %1, !llvm.loop !7
    <   %3 = add nuw nsw i32 %2, 1
    <   %exitcond = icmp ne i32 %3, 100
    <   br i1 %exitcond, label %1, label %4, !llvm.loop !7"
