round,benchmark,scheduler_mode,independence_threshold,input_ir,input_hash,metric_score,instruction_count,candidate_pass_count,auto_safe_passes,candidate_safe_passes,blocked_passes,decision_required_passes,decision_required_pairs,selected_action_kind,selected_action,action_details,output_hash,metric_after,metric_delta,changed
0,Stanford_Puzzle,relaxed,0.9,results\paper_v4\Stanford_Puzzle\round_000\input.ll,145866c28e29127bc026287d3fde072dd4b9bce1172f74be43e167aec7d69c85,1800.59,913,12,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll;mem2reg;reassociate;sccp;simplifycfg;sroa,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;early-cse,reassociate;gvn,indvars;gvn,instcombine;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;gvn,mem2reg;gvn,sccp;gvn,simplifycfg;gvn,sroa;indvars,licm;indvars,mem2reg;indvars,sroa;instcombine,licm;instcombine,loop-rotate;instcombine,mem2reg;instcombine,reassociate;instcombine,simplifycfg;instcombine,sroa;licm,loop-rotate;licm,loop-unroll;licm,mem2reg;licm,sccp;licm,simplifycfg;licm,sroa;loop-rotate,mem2reg;loop-rotate,simplifycfg;loop-rotate,sroa;loop-unroll,mem2reg;loop-unroll,sroa;mem2reg,sccp;mem2reg,simplifycfg;sccp,sroa;simplifycfg,sroa",oracle_ordered_pair,"gvn,instcombine",oracle chose gvn->instcombine (improvement: 801.25),b82564d747ae1ac2c57bc9b2b6dc40cc520b67073d5ba3e3d0ca95cc67c9fa47,999.34,-801.25,true
1,Stanford_Puzzle,relaxed,0.9,results\paper_v4\Stanford_Puzzle\round_001\input.ll,b82564d747ae1ac2c57bc9b2b6dc40cc520b67073d5ba3e3d0ca95cc67c9fa47,999.34,523,11,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;reassociate;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,licm;indvars,loop-rotate;indvars,loop-unroll;indvars,sccp;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,reassociate;licm,loop-rotate;licm,loop-unroll;licm,simplifycfg;loop-rotate,loop-unroll;loop-rotate,sccp;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,reassociate;loop-unroll,sccp;loop-unroll,simplifycfg;reassociate,simplifycfg",oracle_ordered_pair,"loop-rotate,early-cse",oracle chose loop-rotate->early-cse (improvement: 145.07),6f0c6325b041d757a1dc4882d5ba21437dffeb8baf8dc8876b023aa74771548f,854.27,-145.07,true
2,Stanford_Puzzle,relaxed,0.9,results\paper_v4\Stanford_Puzzle\round_002\input.ll,6f0c6325b041d757a1dc4882d5ba21437dffeb8baf8dc8876b023aa74771548f,854.27,469,11,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;reassociate;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;gvn,sccp;indvars,instcombine;indvars,licm;indvars,loop-unroll;indvars,sccp;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,sccp;licm,loop-unroll;licm,sccp;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,reassociate;loop-unroll,sccp;loop-unroll,simplifycfg;reassociate,simplifycfg;sccp,simplifycfg",oracle_ordered_pair,"sccp,gvn",oracle chose sccp->gvn (improvement: 87.08),bc7644dbdd41bdc64fd46e8011a94c21b1fe39bbdcce183c0084e9588e93c859,767.19,-87.08,true
3,Stanford_Puzzle,relaxed,0.9,results\paper_v4\Stanford_Puzzle\round_003\input.ll,bc7644dbdd41bdc64fd46e8011a94c21b1fe39bbdcce183c0084e9588e93c859,767.19,439,13,,,,adce;dce;early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;reassociate;sccp;simplifycfg,"adce,sccp;dce,sccp;early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;early-cse,sccp;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,licm;indvars,loop-unroll;indvars,sccp;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,reassociate;licm,loop-unroll;licm,sccp;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,reassociate;loop-unroll,simplifycfg;reassociate,sccp;reassociate,simplifycfg",oracle_ordered_pair,"sccp,adce",oracle chose sccp->adce (improvement: 8.94),900dfc9bd26480ba70b5ad6e8113083e7063559e12836740649d795e283218c7,758.25,-8.94,true
4,Stanford_Puzzle,relaxed,0.9,results\paper_v4\Stanford_Puzzle\round_004\input.ll,900dfc9bd26480ba70b5ad6e8113083e7063559e12836740649d795e283218c7,758.25,429,11,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;reassociate;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,licm;indvars,loop-unroll;indvars,sccp;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,reassociate;licm,loop-unroll;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,reassociate;loop-unroll,simplifycfg;reassociate,simplifycfg",oracle_ordered_pair,"indvars,instcombine",oracle chose indvars->instcombine (improvement: 5.58),d269c20aa5a205e0acf968e0b0d4c5465101547fc54232a502b8a590aaa78e0f,752.67,-5.58,true
5,Stanford_Puzzle,relaxed,0.9,results\paper_v4\Stanford_Puzzle\round_005\input.ll,d269c20aa5a205e0acf968e0b0d4c5465101547fc54232a502b8a590aaa78e0f,752.67,415,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,licm;indvars,loop-unroll;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;licm,loop-unroll;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,sccp;loop-unroll,simplifycfg",oracle_ordered_pair,"licm,early-cse",oracle chose licm->early-cse (improvement: 1.75),2ceec1ba3f9e1403eac7fe97e1bff78010917858434a294798905938973f31f4,750.92,-1.75,true
6,Stanford_Puzzle,relaxed,0.9,results\paper_v4\Stanford_Puzzle\round_006\input.ll,2ceec1ba3f9e1403eac7fe97e1bff78010917858434a294798905938973f31f4,750.92,413,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,loop-unroll;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,sccp;loop-unroll,simplifycfg",oracle_ordered_pair,"licm,early-cse",oracle chose licm->early-cse (improvement: 0.00),b397bc732cc5dfdcf336081e414ee366dd07f09adcec6443f5fe4ed6c73023da,750.92,0.0,true
7,Stanford_Puzzle,relaxed,0.9,results\paper_v4\Stanford_Puzzle\round_007\input.ll,b397bc732cc5dfdcf336081e414ee366dd07f09adcec6443f5fe4ed6c73023da,750.92,413,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,loop-unroll;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,sccp;loop-unroll,simplifycfg",oracle_ordered_pair,"loop-rotate,early-cse",oracle chose loop-rotate->early-cse (improvement: 0.00),7e520453ff2939418bf36a0f51fda98a01c02c21e48fc09e98ba0868705e1991,750.92,0.0,true
8,Stanford_Puzzle,relaxed,0.9,results\paper_v4\Stanford_Puzzle\round_008\input.ll,7e520453ff2939418bf36a0f51fda98a01c02c21e48fc09e98ba0868705e1991,750.92,413,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,loop-unroll;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,sccp;loop-unroll,simplifycfg",oracle_ordered_pair,"licm,gvn",oracle chose licm->gvn (improvement: 0.00),51dfc0f85c542cd90bef09b7502a356dc6beb9487cc58b08730e4968636c314e,750.92,0.0,true
9,Stanford_Puzzle,relaxed,0.9,results\paper_v4\Stanford_Puzzle\round_009\input.ll,51dfc0f85c542cd90bef09b7502a356dc6beb9487cc58b08730e4968636c314e,750.92,413,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,loop-unroll;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,sccp;loop-unroll,simplifycfg",oracle_ordered_pair,"loop-rotate,gvn",oracle chose loop-rotate->gvn (improvement: 0.00),0f83de6e08af11091a90237674df4fd0376a8edbaf024bb2d7b30f5fe1ef9b40,750.92,0.0,true
