pass_a,pass_b,commute,ab_path,ba_path,details
mem2reg,instcombine,false,results\paper_v4\Stanford_Queens\round_000\analysis\Stanford_Queens\commutativity\mem2reg__then__instcombine.ll,results\paper_v4\Stanford_Queens\round_000\analysis\Stanford_Queens\commutativity\instcombine__then__mem2reg.ll,"in function Try:
  in block %7 / %7:
    >   %.0 = phi i32 [ 0, %6 ], [ %14, %58 ]
    <   %.0 = phi i32 [ 0, %6 ], [ %14, %58 ]
  in block %13 / %13:
    >   %15 = sext i32 %14 to i64
    >   %16 = getelementptr inbounds [4 x i8], ptr %3, i64 %15
    >   %17 = load i32, ptr %16, align 4
    >   %.not1 = icmp eq i32 %17, 0
    >   br i1 %.not1, label %58, label %18
    <   %15 = zext nneg i32 %14 to i64
    <   %16 = getelementptr inbounds nuw [4 x i8], ptr %3, i64 %15
    <   %17 = load i32, ptr %16, align 4
    <   %.not1 = icmp eq i32 %17, 0
    <   br i1 %.not1, label %58, label %18

in function Doit:
  in block %12 / %12:
    >   %13 = sext i32 %storemerge to i64
    >   %14 = getelementptr inbounds [4 x i8], ptr %2, i64 %13
    >   store i32 1, ptr %14, align 4
    <   %13 = zext nneg i32 %.0 to i64
    <   %14 = getelementptr inbounds nuw [4 x i8], ptr %2, i64 %13
    <   store i32 1, ptr %14, align 4
  in block %17 / %17:
    >   %18 = sext i32 %storemerge to i64
    >   %19 = getelementptr inbounds [4 x i8], ptr %3, i64 %18
    >   store i32 1, ptr %19, align 4
    <   %18 = zext nneg i32 %.0 to i64
    <   %19 = getelementptr inbounds nuw [4 x i8], ptr %3, i64 %18
    <   store i32 1, ptr %19, align 4

in function Queens:
  in block %2 / %2:
    >   %storemerge = phi i32 [ 1, %1 ], [ %6, %5 ]
    >   %3 = icmp slt i32 %storemerge, 51
    >   br i1 %3, label %4, label %7
    <   %.0 = phi i32 [ 1, %1 ], [ %6, %5 ]
    <   %3 = icmp samesign ult i32 %.0, 51
    <   br i1 %3, label %4, label %7

in function main:
  in block %1 / %1:
    >   %storemerge = phi i32 [ 0, %0 ], [ %5, %4 ]
    >   %2 = icmp slt i32 %storemerge, 100
    >   br i1 %2, label %3, label %6
    <   %.0 = phi i32 [ 0, %0 ], [ %5, %4 ]
    <   %2 = icmp samesign ult i32 %.0, 100
    <   br i1 %2, label %3, label %6"
mem2reg,simplifycfg,false,results\paper_v4\Stanford_Queens\round_000\analysis\Stanford_Queens\commutativity\mem2reg__then__simplifycfg.ll,results\paper_v4\Stanford_Queens\round_000\analysis\Stanford_Queens\commutativity\simplifycfg__then__mem2reg.ll,"in function Doit:
  in block %8 / %8:
    >   %or.cond = select i1 %9, i1 %10, i1 false
    >   br i1 %or.cond, label %11, label %14
    <   %or.cond = and i1 %9, %10
    <   br i1 %or.cond, label %11, label %14"
mem2reg,sroa,true,results\paper_v4\Stanford_Queens\round_000\analysis\Stanford_Queens\commutativity\mem2reg__then__sroa.ll,results\paper_v4\Stanford_Queens\round_000\analysis\Stanford_Queens\commutativity\sroa__then__mem2reg.ll,
mem2reg,early-cse,false,results\paper_v4\Stanford_Queens\round_000\analysis\Stanford_Queens\commutativity\mem2reg__then__early-cse.ll,results\paper_v4\Stanford_Queens\round_000\analysis\Stanford_Queens\commutativity\early-cse__then__mem2reg.ll,"in function Try:
  in block %33 / %33:
    >   %36 = sext i32 %15 to i64
    >   %37 = getelementptr inbounds i32, ptr %3, i64 %36
    >   store i32 0, ptr %37, align 4
    >   %38 = add nsw i32 %0, %15
    >   %39 = sext i32 %38 to i64
    >   %40 = getelementptr inbounds i32, ptr %2, i64 %39
    >   store i32 0, ptr %40, align 4
    >   %41 = sub nsw i32 %0, %15
    >   %42 = add nsw i32 %41, 7
    >   %43 = sext i32 %42 to i64
    >   %44 = getelementptr inbounds i32, ptr %4, i64 %43
    >   store i32 0, ptr %44, align 4
    <   store i32 0, ptr %17, align 4
    <   store i32 0, ptr %23, align 4
    <   store i32 0, ptr %30, align 4"
mem2reg,gvn,false,results\paper_v4\Stanford_Queens\round_000\analysis\Stanford_Queens\commutativity\mem2reg__then__gvn.ll,results\paper_v4\Stanford_Queens\round_000\analysis\Stanford_Queens\commutativity\gvn__then__mem2reg.ll,"in function Try:
  in block %7 / %7:
    >   %8 = phi ptr [ %58, %57 ], [ %1, %6 ]
    >   %9 = phi ptr [ %59, %57 ], [ %1, %6 ]
    >   %10 = phi i32 [ %18, %57 ], [ 0, %6 ]
    >   %11 = phi i32 [ %.pre, %57 ], [ 0, %6 ]
    >   %12 = icmp ne i32 %11, 0
    >   br i1 %12, label %15, label %13
    <   %8 = phi i32 [ 0, %6 ], [ %.pre, %45 ]
    <   %.0 = phi i32 [ 0, %6 ], [ %15, %45 ]
    <   %9 = icmp ne i32 %8, 0
    <   br i1 %9, label %12, label %10

in function Doit:
  in block %6 / %6:
    >   %7 = phi i32 [ %28, %27 ], [ -7, %0 ]
    >   %8 = icmp sle i32 %7, 16
    >   br i1 %8, label %9, label %29
    <   %.0 = phi i32 [ -7, %0 ], [ %27, %26 ]
    <   %7 = icmp sle i32 %.0, 16
    <   br i1 %7, label %8, label %28

in function Queens:
  in block %2 / %2:
    >   %3 = phi i32 [ %6, %5 ], [ 1, %1 ]
    >   %4 = icmp sle i32 %3, 50
    >   br i1 %4, label %5, label %7
    <   %.0 = phi i32 [ 1, %1 ], [ %5, %4 ]
    <   %3 = icmp sle i32 %.0, 50
    <   br i1 %3, label %4, label %6

in function main:
  in block %1 / %1:
    >   %2 = phi i32 [ %5, %4 ], [ 0, %0 ]
    >   %3 = icmp slt i32 %2, 100
    >   br i1 %3, label %4, label %6
    <   %.0 = phi i32 [ 0, %0 ], [ %4, %3 ]
    <   %2 = icmp slt i32 %.0, 100
    <   br i1 %2, label %3, label %5"
mem2reg,sccp,false,results\paper_v4\Stanford_Queens\round_000\analysis\Stanford_Queens\commutativity\mem2reg__then__sccp.ll,results\paper_v4\Stanford_Queens\round_000\analysis\Stanford_Queens\commutativity\sccp__then__mem2reg.ll,"in function Doit:
  in block %12 / %12:
    >   %13 = sext i32 %.0 to i64
    >   %14 = getelementptr inbounds [9 x i32], ptr %2, i64 0, i64 %13
    >   store i32 1, ptr %14, align 4
    <   %13 = zext nneg i32 %.0 to i64
    <   %14 = getelementptr inbounds [9 x i32], ptr %2, i64 0, i64 %13
    <   store i32 1, ptr %14, align 4
  in block %17 / %17:
    >   %18 = sext i32 %.0 to i64
    >   %19 = getelementptr inbounds [17 x i32], ptr %3, i64 0, i64 %18
    >   store i32 1, ptr %19, align 4
    <   %18 = zext nneg i32 %.0 to i64
    <   %19 = getelementptr inbounds [17 x i32], ptr %3, i64 0, i64 %18
    <   store i32 1, ptr %19, align 4"
mem2reg,loop-rotate,false,results\paper_v4\Stanford_Queens\round_000\analysis\Stanford_Queens\commutativity\mem2reg__then__loop-rotate.ll,results\paper_v4\Stanford_Queens\round_000\analysis\Stanford_Queens\commutativity\loop-rotate__then__mem2reg.ll,"in function Doit:
  in block %0 / %0:
    >   %6 = icmp sle i32 -7, 16
    >   br i1 %6, label %.lr.ph, label %28
    <   br label %6

in function Queens:
  in block %1 / %1:
    >   %2 = icmp sle i32 1, 50
    >   br i1 %2, label %.lr.ph, label %7
    <   br label %2

in function main:
  in block %0 / %0:
    >   %1 = icmp slt i32 0, 100
    >   br i1 %1, label %.lr.ph, label %6
    <   br label %1"
mem2reg,licm,false,results\paper_v4\Stanford_Queens\round_000\analysis\Stanford_Queens\commutativity\mem2reg__then__licm.ll,results\paper_v4\Stanford_Queens\round_000\analysis\Stanford_Queens\commutativity\licm__then__mem2reg.ll,"in function Try:
  in block %11 / %11:
    >   %12 = phi i32 [ %66, %65 ], [ 0, %6 ]
    <   %.0 = phi i32 [ 0, %6 ], [ %19, %63 ]

in function Doit:
  in block %6 / %6:
    >   %7 = phi i32 [ %28, %27 ], [ -7, %0 ]
    >   %8 = icmp sle i32 %7, 16
    >   br i1 %8, label %9, label %29
    <   %.0 = phi i32 [ -7, %0 ], [ %27, %26 ]
    <   %7 = icmp sle i32 %.0, 16
    <   br i1 %7, label %8, label %28

in function Queens:
  in block %2 / %2:
    >   %3 = phi i32 [ %7, %6 ], [ 1, %1 ]
    >   %4 = icmp sle i32 %3, 50
    >   br i1 %4, label %5, label %8
    <   %.0 = phi i32 [ 1, %1 ], [ %6, %5 ]
    <   %3 = icmp sle i32 %.0, 50
    <   br i1 %3, label %4, label %7

in function main:
  in block %1 / %1:
    >   %2 = phi i32 [ %6, %5 ], [ 0, %0 ]
    >   %3 = icmp slt i32 %2, 100
    >   br i1 %3, label %4, label %7
    <   %.0 = phi i32 [ 0, %0 ], [ %5, %4 ]
    <   %2 = icmp slt i32 %.0, 100
    <   br i1 %2, label %3, label %6"
mem2reg,indvars,false,results\paper_v4\Stanford_Queens\round_000\analysis\Stanford_Queens\commutativity\mem2reg__then__indvars.ll,results\paper_v4\Stanford_Queens\round_000\analysis\Stanford_Queens\commutativity\indvars__then__mem2reg.ll,"in function Try:
  in block %6 / %6:
    <   %7 = sext i32 %0 to i64
    <   %8 = sext i32 %0 to i64
    <   %9 = sext i32 %0 to i64
    <   %10 = sext i32 %0 to i64
    <   %11 = sext i32 %0 to i64
    <   %12 = sext i32 %0 to i64

in function Doit:
  in block %6 / %6:
    >   %.0 = phi i32 [ -7, %0 ], [ %27, %26 ]
    >   %7 = icmp sle i32 %.0, 16
    >   br i1 %7, label %8, label %28
    <   %indvars.iv = phi i64 [ %indvars.iv.next, %22 ], [ -7, %0 ]
    <   %exitcond = icmp ne i64 %indvars.iv, 17
    <   br i1 %exitcond, label %7, label %23

in function Queens:
  in block %2 / %2:
    >   %.0 = phi i32 [ 1, %1 ], [ %6, %5 ]
    >   %3 = icmp sle i32 %.0, 50
    >   br i1 %3, label %4, label %7
    <   %.0 = phi i32 [ 1, %1 ], [ %5, %4 ]
    <   %exitcond = icmp ne i32 %.0, 51
    <   br i1 %exitcond, label %3, label %6

in function main:
  in block %1 / %1:
    >   %.0 = phi i32 [ 0, %0 ], [ %5, %4 ]
    >   %2 = icmp slt i32 %.0, 100
    >   br i1 %2, label %3, label %6
    <   %.0 = phi i32 [ 0, %0 ], [ %4, %3 ]
    <   %exitcond = icmp ne i32 %.0, 100
    <   br i1 %exitcond, label %2, label %5"
mem2reg,reassociate,false,results\paper_v4\Stanford_Queens\round_000\analysis\Stanford_Queens\commutativity\mem2reg__then__reassociate.ll,results\paper_v4\Stanford_Queens\round_000\analysis\Stanford_Queens\commutativity\reassociate__then__mem2reg.ll,"in function Try:
  in block %7 / %7:
    >   %.0 = phi i32 [ 0, %6 ], [ %15, %63 ]
    <   %.0 = phi i32 [ 0, %6 ], [ %15, %63 ]
  in block %14 / %14:
    <   %.neg = sub i32 0, %15"
